8/6p1/5p1p/5P1P/5K2/3k4/8/8 w - -,f4f3
r3nqk1/1p1b3p/pn1p2p1/3Pp3/4P1P1/2NN4/PP1QB2P/2K4R w - -,h2h4
r4rk1/ppp4p/2n2ppb/2PpP2P/3P1P2/4B3/PP1KB3/R6R b - -,f6e5
rnbqk2r/pp2ppbp/5np1/3p4/3P1PP1/2N2N1P/PPP3B1/R1BQ1RK1 b kq -,b8c6
4r1k1/p5pp/1p2pn2/7q/P7/2PBQ1P1/5P1P/4R1K1 w - -,h2h4
2r2r2/p6p/4p1p1/P2pk3/8/3PK1P1/P5BP/1RR5 b - -,h7h5
8/1p1kb2p/p3p1p1/P2pPpP1/1P2nP1P/3BP3/8/3KB3 b - h3,d7c6
1r4B1/1PR4p/7k/p3ppp1/8/b7/5PPP/6K1 w - -,g8h7
r2r2k1/p1n1b1pp/1p2pp2/8/1PPNb3/4B3/P3BPPP/1R3RK1 w - -,b1b2
2r1nrk1/pp1b1ppp/3q4/8/n1BNp3/PP2P3/1B1P2PP/R2Q1RK1 w - -,c4f7
rn1qk2r/pbppbppp/1p2pn2/1P6/8/4PN2/PBPP1PPP/RN1QKB1R w KQkq -,c2c4
2B1n3/5pp1/1ppk4/6p1/1PP5/4KPP1/7P/8 w - -,f3f4
R4bk1/2p2p1p/5N2/p4P2/2r2P2/8/5KPP/8 b - -,g8g7
8/5pp1/3kp2p/P2b4/3r4/3N1P2/6PP/R5K1 w - -,a1a3
r2q1r2/pp2n1k1/2npb1pp/2p1pp2/4P3/2PP1NP1/PP1N1PBP/R2Q1RK1 b - -,d8c7
3n4/8/1P1K4/3P4/4k3/8/8/8 b - -,e4d4
2brr1k1/p1q3b1/1p3ppp/2pPp3/4P3/1Q4BP/PP1N1PP1/R3R1K1 b - -,g8h7
2bq1rk1/1pp1pp1p/1nn3pb/r7/3PP3/2N2N1P/P4PP1/2QRKB1R w K -,c1h6
8/5k2/2R5/4pN1P/6K1/6P1/4r3/6b1 b - -,e5e4
8/8/8/p1R3k1/P5p1/3r3p/5K1P/8 b - -,g5h4
5k2/R4p2/4r1p1/8/3KP3/8/8/8 w - -,e4e5
2r5/5p1k/2bp1Pp1/4p3/rPP1P3/p5KP/R5B1/1R6 b - -,c6d7
3r2k1/pp3p2/2n3p1/8/2N5/BP1p4/P4K2/2R5 b - -,d8d5
5n2/p2pk3/1p5p/5p2/1P3P1P/P2R2P1/3R2K1/r2Br3 w - -,g2f2
r1b1k2r/ppp1nppp/3p2q1/2b5/3NP1n1/2P1B3/PP1NBPPP/R2Q1R1K b kq -,g4e3
r2q1rk1/1b1nbppp/pp1ppn2/8/2P5/1PN2NP1/PBQ1PPBP/R2R2K1 b - -,a8c8
8/7R/3k4/3n1pN1/7K/4p1PP/8/5r2 w - -,h7h6
2kr1bnr/pp4pp/2n2p2/5bB1/2Bpq3/N4N2/PP3PPP/R2QR1K1 b - -,e4g4
3rr3/1B6/2R2npk/1p3p2/7p/4P1P1/3Q3P/5RK1 b - -,d8d2
r2q1rk1/4bppp/p1n1pn2/1p1p4/3P4/P2BB2P/1PP1NPP1/R2Q1RK1 b - -,f6e4
1nrq1rk1/5ppp/p3p3/P2b4/Rp1P4/1P6/3NBPPP/4QRK1 b - -,b8c6
6k1/1pp3bp/n2p4/1N1P1p2/1PPq1P2/P3r1P1/4r1BP/3R1RK1 w - -,b5d4
8/5p1p/1p4p1/p2kP3/5P2/1P1K2P1/P6P/8 b - -,b6b5
4q1k1/p1r2pbp/1p2pBp1/2p1P2P/2PnBQ2/P5P1/1P3PK1/3R4 b - -,e8f8
2rr2k1/1bq1bppp/pp1ppn2/2n5/2PNP3/1PN1BPP1/P3Q1BP/2R1R1K1 b - -,e7f8
r1bqr1k1/1p1n1pp1/p1pb1n1p/3Pp3/3P4/1PNBPN1P/P1QB1PP1/R3R1K1 b - -,f6d5
r1b1qr1k/pp5p/1np2p1b/4p3/3P2p1/1BN1P1P1/PP3PP1/2RQN1KR b - -,h8g7
2r4k/5Rp1/1p3b1p/1q2p3/6QP/BP4P1/P4P2/6K1 b - -,c8g8
3r2k1/p4pp1/4b2p/5P2/6P1/n3B3/5P2/2RB2K1 b - -,e6d7
8/p7/4k3/1P3RP1/1P1pr3/8/5P2/5K2 w - -,f5f3
r1b3k1/5p2/4pn1p/p1R3p1/8/3BNP2/PP4PP/1K6 b - -,f6d7
r1b1k1nr/ppqnppbp/2pp2p1/8/2PPP3/2N1B3/PP2BPPP/R2QK1NR w KQkq -,g1f3
rn1q1rk1/p3ppbp/1p1p2p1/nB6/Q2PP3/N1P2P2/3B1P1P/1R2R1K1 w - -,d2e3
1r1q1rk1/pB2ppbp/3p2p1/2p5/2Pn4/PP4P1/1B2PP1P/R2Q1RK1 w - -,e2e3
2b1rrk1/1pq3np/2p3pb/p1p1p3/P1P1P3/1PNQ2PP/2N2PB1/1R1R2K1 w - -,c2e3
