8/1p6/pB2n1p1/P2k3p/1P3P1P/3K4/8/8 w - -,b6e3
4n1k1/p2bnp2/1pp3pp/2Pp3N/1P1P2P1/P2B1P2/4NK1P/8 w - -,h5g3
8/5p2/3p1k1p/1R1P2p1/6r1/1P6/P6K/8 b - -,g4d4
r4r1k/pp3ppp/1n4b1/1q6/8/1BP3QP/PP3PP1/R1B1R1K1 w - -,e1e5
r1bq1rk1/1p1nnpbp/p2pp1p1/2p5/2PPP3/2NBB3/PP1QNPPP/R4RK1 w - -,a1d1
8/6k1/3Kppn1/4r3/8/8/8/Q7 w - -,a1h1
r2qr1k1/1p1b1p2/3p1np1/3Pp2p/NPP5/8/1Q1NBPPP/2R1R1K1 b - -,a8a4
1r6/p2rnkpp/4bp2/3pp3/8/2B1P1PP/PP1R1P1K/3R1B2 w - -,f1c4
2b1r1k1/1pqr1pb1/2pp1np1/p1n4p/2P1P3/1PN1BPPP/P2RN1B1/3R1QK1 b - -,b7b6
r4rk1/1b2bppp/2P5/4p3/8/3q4/PPNB1PPP/R2Q1RK1 b - -,b7c6
2kr4/ppq2pp1/2p5/2P1Rp2/1P6/2Q4P/P7/2K5 b - -,g7g6
3r1rk1/pp2bppp/2p1b2q/8/2P5/1PQ3P1/PB3P1P/1B2RRK1 w - -,e1e4
8/6k1/5q1p/6r1/P7/3Q2PP/6BK/8 w - -,d3d7
2rq1rk1/2n2p1p/bp2p1p1/p1npP1N1/2P2N1P/1P4P1/P1Q2PB1/R2R2K1 b - -,d8e7
8/8/5kpp/p7/2r3P1/N5K1/R2b4/8 b - -,d2e1
8/2B5/3n2p1/3bk3/p7/P3K3/7P/1B6 b - -,g6g5
r3r2k/1pN2pp1/1qp2nnp/3p4/4P3/1B1P2QP/3b2PB/4RR1K w - -,e1b1
3k4/7p/1p4pP/1P2PpPB/2RppP2/p7/5K2/r7 b - -,a3a2
r2q1rk1/pb1pnpbp/1pn1p1p1/2p5/2P5/P1NP1NP1/1P1BPPBP/1R1Q1RK1 b - -,d7d5
8/3k2pp/1p2np2/p3p3/4PP2/1N1PK1P1/PP5P/8 w - -,f4f5
r3kb1r/p2p1pp1/bpp1q2p/8/2PQP3/2N2N2/PPP3PP/2KR3R w kq -,b2b3
r1b1k2r/ppp2ppp/2n1p3/4P3/2pP4/q2B1N2/P4PPP/1R1Q1RK1 w kq -,d3c4
r4rk1/1p1nppbp/3q1np1/pPpp4/3P2b1/P3PN1P/1BPNBPP1/R2Q1RK1 b - -,g4f3
r7/4kppp/2n1p3/3pPP2/r1R3P1/p4B2/1B3K1P/3R4 w - -,c4a4
2r1r1k1/pp3pp1/5n1p/1q1p4/8/4PP2/PP1Q2PP/1BR2R1K w - -,a2a3
r6r/p1p3pp/5nk1/8/Q1B1p1b1/2qP4/P4PPP/R1B2RK1 w - -,a4b5
1rbqr1nk/6b1/p2p3p/1p1Pp1pP/1P2P3/P2BN1N1/3Q1P2/2R1K1R1 b - -,g8e7
8/p6p/8/kP1p1p1P/P7/4P3/1PK5/8 w - -,b2b3
8/5pk1/3pbq1p/pp6/4P3/P3QNP1/1r4P1/2R3K1 w - -,f3d4
rn2k1nr/pbpp1ppp/1p2p3/3P4/1bP1P2q/2N5/PPQ2PPP/R1B1KBNR b KQkq -,g8f6
