5k2/2R1N1bp/8/8/4KP2/7P/1r6/8 w - -,e7f5
8/6k1/Rb1r2p1/4pP2/1P5P/2pP1RP1/1nN1K3/8 b - -,g6f5
4q2R/p1b2kp1/1pn5/2p3N1/3p4/3P2P1/PPP3K1/R7 b - -,f7g6
rn1q1rk1/pbppbppp/1p2pn2/8/3P1B2/3BPN1P/PPP2PP1/RN1QK2R w KQ -,e1g1:b1d2
8/5pk1/R6p/6p1/6P1/p3P2P/5PK1/r7 b - -,a3a2
2r5/1p4k1/1n3p2/p1b1p1p1/Pr2P1P1/1P1B2B1/5PP1/2RR1K2 w - -,c1c3
8/8/p1r2k1p/Pp1R3P/2p2Pp1/2Pp4/1P2r3/2K2R2 w - -,f1g1
8/8/4P3/2NK1k1P/1p6/2r5/8/8 w - -,h5h6
1nb2rk1/1p2n1pp/5p2/r1p4P/1P1NP3/p2N4/P1P3P1/2KR1B1R b - -,c5b4
7k/2p5/1p3p1p/p7/P7/1P4P1/7P/5K2 w - -,f1e2
r5k1/1p5p/pn1b1q2/2pPp3/2P3p1/P5N1/3Q1r1P/R1RB3K w - -,g3e4
2r1r1k1/1b1n1q1p/p3p1pP/3pbp2/1BP2N1Q/3B1P2/PP4P1/1KR1R3 b - c3,d5d4
8/8/5pp1/p1p4p/P1P2P1P/1P1K2k1/8/8 w - -,b3b4
8/2r2k2/p3p3/1b1pP2p/3B1P2/2P5/5KP1/R7 w - -,f2f3
3rr1k1/pp3pbp/1qn3p1/2Nppb2/2pP4/1PP1P2P/P2QBPPB/R2R2K1 b - -,e5d4
r1q3k1/5pb1/4p3/p7/BB4Q1/1P6/2P5/2KR4 b - -,a5b4
r1b1qrk1/ppn2nbp/2Pp2p1/4pp2/P1PP4/B1N2NP1/4PPBP/1R1Q1RK1 b - -,b7c6
5r1k/3qr1bp/p2pp3/2p2pP1/1pP2P1P/1P1P2N1/P3R1QK/5R2 w - -,h4h5
8/2R1Rpkp/5qp1/8/1pK3P1/7P/8/8 b - -,f6c3
8/4k3/p2p4/2r1p2p/K1p3p1/2P1R2P/PrP3P1/3R4 b - -,b2a2
r1b2rk1/2Q2pp1/p3pn1p/qp6/8/P3PN2/BP3PPP/2RR2K1 b - -,a5c7
1r3k2/8/2n5/1n1p4/p1pP2RP/P7/4NK2/1N6 w - -,h4h5
8/1N3p2/1p2pPp1/p5kp/4B3/3K1P2/7q/R7 w - a6,a1b1
6rk/7r/4pP2/2P5/4p3/1P2q1P1/P3B1Q1/5RK1 w - -,f1f2
8/8/8/kprn2P1/pR5P/P2R4/5P2/5K2 w - -,b4g4
4rrk1/1ppbn1pp/p2p2q1/P4p2/1PPBP3/5P2/3N2PP/R2Q1R1K w - f6,b4b5
8/7p/R5pk/p7/2r5/6P1/5P1P/6K1 b - -,a5a4
r1b1k2r/ppq1ppbp/2np1np1/2p5/4P3/2NP1NP1/PPP2PBP/R1BQR1K1 b kq -,e8g8
8/1p6/p3b2p/1k4p1/1P1K2P1/P7/5N2/8 w - -,d4c3
3qr1k1/5ppp/3p1b2/r7/2B1p3/1PP1Q3/1P3P1P/1K1R2R1 w - -,d1d5
8/7p/2R2pk1/6p1/5rP1/6K1/8/8 w - -,c6c7
2r1qr2/6kp/8/p1Pppp2/Pp5Q/3NP1P1/1PP2P1P/4R1K1 b - -,e5e4
8/3P1kb1/5ppp/3r4/4N2P/6P1/3BKP2/8 w - -,e4c5
6k1/6p1/1p2pp2/1PN4p/5P1P/p5P1/4PK2/8 w - -,c5b3
