8/k4p2/P5p1/4p2p/4r3/2RK2P1/4P2P/8 b - -,e4d4
r3n3/5pk1/2rp2p1/3P2Pp/4Pp1P/p7/R4P1K/5B2 w - -,d5c6
8/R2b1rk1/5b2/7p/p1Pp1P2/2rB2P1/2R2K1P/4N3 b - -,d7c6
r1b2rk1/5pb1/pq1p2pp/2pPp2n/2N1P3/2P5/1PB2PPP/R1BQR1K1 b - -,b6c7
4k3/8/1p2q3/pP1p4/P2P1Q2/4PK2/8/8 w - -,f4e5
r2r2k1/pp1n1pbp/3N2p1/2pnP3/2BB1P2/1P6/1P4PP/3R1RK1 b - -,d7b6
r7/4p1kp/q2p1pp1/1Rp1P3/r1P2P2/P1Q1R1P1/7P/6K1 b - -,f6e5
r2n1rk1/2pb1ppp/pb6/1p4B1/4P3/1BP5/PP3PPP/RN3RK1 w - -,f1e1
2kr4/1p1q1p2/2n1b3/2p5/pP1p1Qp1/P2P2B1/2P3BP/5RK1 b - b3,c5b4
1q3rk1/3r2pp/5p2/1p1b3P/1Pp2PP1/2Bn2Q1/P7/R4RKB w - -,h1d5
4k1K1/6P1/8/8/R7/8/8/7r b - -,h1e1
R7/8/8/8/7P/1k4p1/4p1K1/2r5 w - -,a8b8
r6r/1p1bk2p/2p2ppn/p1n1p3/P1B1P3/2N1KPP1/1PP1N2P/R6R w - -,e2c1
8/4N2k/4Rp2/2r3pp/8/4K3/8/8 b - -,h7g7
6k1/1R5p/3b4/2p2PP1/3r4/7K/6N1/8 b - -,c5c4
8/6p1/4p1kp/4P1q1/3Q4/8/5PK1/8 w - -,g2f3
6k1/pb3pp1/7p/1pq1p3/4P3/5N1P/4QPPK/8 b - -,c5c4
2rq1rk1/p2nbppp/1p2p1bB/4N3/3P4/1B4Q1/PP3PPP/R4RK1 w - -,e5g6
1r6/7R/4n3/3bk1p1/p2p1p2/3B1P2/1PP2BP1/2K5 w - -,h7h1
r7/2PP4/1P3kp1/2n2p2/7p/8/5KPP/8 b - -,a8a2
5r1k/2q1r2p/pp3p2/2b1p3/2P1B3/7Q/PP4PP/4RR1K b - -,e7g7
