8/7B/6p1/2k1pbP1/7P/4K3/8/8 w - -,h4h5
8/p6B/8/6k1/PP3p2/3P3P/4r3/7K w - -,h1g1
2r2rk1/pbq3pp/1ppbp3/4Np2/3PQ3/4PB2/PP3PPP/2R2RK1 w - f6,e4f4
8/4kp2/8/4P3/3R4/3p1K1P/6P1/6r1 b - -,g1d1
2r2k2/1p4p1/p2p2K1/2nN4/2P2P2/PP6/5P1P/4R3 b - -,c5d3
8/5p2/p2qp1k1/1p4p1/8/P1P2P1P/1P4Q1/7K b - -,d6f4
3rk2r/5pQ1/p3p3/7p/2b5/1N5P/P3qPP1/R5K1 w k -,g7h8
r1r5/1p2ppkp/1n4p1/p7/P1n2q2/1BN4P/1P2Q1P1/R2R2K1 w - -,e2e7
8/pp4p1/4kpp1/6P1/5B2/3r3r/PP2K3/2R2N2 w - -,f4e3
rnbqkb1r/pp3ppp/4pn2/1Npp4/3PPB2/5P2/PPP3PP/R2QKBNR b KQkq -,b8a6
r2qk2r/pp1n1ppp/2p1pn2/3p4/4P3/2PP1QPP/P1P2PB1/R1B2RK1 b kq -,d8a5
8/3R1p1p/p4kp1/PnN5/8/r5P1/4PPKP/8 b - -,a3a5
1rq5/4rk2/p2pPnp1/Pp2bn2/1Pp4p/2B1NB1P/2Q2PP1/3RR1K1 b - -,c8e6
6r1/5p2/6k1/6P1/8/6P1/5P2/R5K1 w - -,a1a5
r3kb1r/ppqnpppp/3p1n2/2p5/4P3/5N2/PPPPQPPP/RNB2RK1 w kq -,c2c3
r1b1k1nr/p1p2ppp/2n5/1pq5/4Q3/PPN2NP1/3PPbBP/R1B2K1R b kq -,g8e7
4rrk1/2pq2b1/p2p3p/np3np1/2bPN3/2Q2N1P/PPB2PPB/R3R1K1 b - -,a5c6
r7/P6R/2p1kp2/4p3/1P2P3/2K2P2/8/8 b - -,a8g8
5rk1/2R2pp1/4pb1p/3p4/1r1P2PP/4PN2/5P2/5RK1 b - -,g7g5
rnbqnrk1/pp2ppbp/2p3p1/3pP3/3P1P2/2N1BN2/PPP1B1PP/R2QK2R w KQ -,d1d2
3r3k/p5pp/1b3R2/8/P3P3/6B1/6PP/3r1Q1K b - -,g7f6
r2q1rk1/pppbn1bp/n2p2p1/3Pp1N1/1PP1Pp2/B1N2PP1/P1Q3BP/R4RK1 b - -,f4g3
1r1qrnk1/5pp1/1p1b1np1/p1pp4/N2P4/PP2PN1P/1BQ2PP1/R1R3K1 b - d3,c5c4
8/ppp2pk1/5rpq/2p1p1RP/P3Pr2/1P1P4/2P2PQ1/5KR1 w - -,f1e1
r1bqr1k1/p1bn1ppp/2p1pn2/1p6/3P4/P1N1P1N1/1PQ1BPPP/R1BR2K1 b - -,a7a6
1r3k1r/Q1p1qppp/p4b2/1p1b4/4p3/4P1P1/PP3PBP/RN4K1 w - -,a7b8
r5k1/r1q2pp1/4p2p/3pP3/PR6/6RP/1Q2bPPN/6K1 b - -,e2h5
r2q1rk1/ppp1nppp/2n1p3/3P4/3P2b1/2N1PN2/PP3PPP/R2QKB1R b KQ -,e7d5
4qrk1/1n1n2p1/p2p2p1/1ppPpr2/4N1RQ/1PP1B3/P2R1PK1/8 w - -,e3g5
2kr1b1r/ppp1pppp/1nn5/8/3P1B2/PBN1Pq1P/1P3PP1/R4RK1 w - -,g2f3
1nr2rk1/1pq1bppp/p2pbn2/4p3/P3P3/2N3P1/1PP2PBP/R1BQRNK1 b - -,a6a5
2r2rk1/1pqbbppp/p1n1pn2/8/2P2P2/1NN1B2P/PP2BQP1/2R2RK1 b - -,e7d8
r1bqk2r/1ppnbppp/p3pn2/3p4/2P5/1P3NP1/PB1PPPBP/RN1QK2R w KQkq -,e1g1
2rq1rk1/pb2bppp/1pn1p3/8/P1BP4/2P1BN2/4QPPP/1R3RK1 b - -,c6a5
6r1/8/1p2kP1b/p2pR1Br/2pP4/2P3K1/PP6/5R2 b - -,e6d6
2kr2qr/p3npp1/1pn1p2p/3pP2P/b1pP4/P1P1N3/2PQBPPB/R3K2R b KQ -,g8h7
r4qk1/1b5p/2p3p1/3p1p2/4n3/4P1P1/PPQ2PBP/2RR2K1 w - -,a2a3
r2q1rk1/pp1nbppn/2p5/3p2p1/P2P1PP1/3B3P/1PP1N1KB/R2Q1R2 w - -,f4g5
r2r2k1/1bq1bpp1/p1np1n1p/1pp1p3/3PP3/1BP1BNN1/PP3PPP/2RQR1K1 b - -,c6a5
6r1/3R4/2p5/2b1Bp2/1P3P2/1k3K1P/1P6/8 b - -,c5b4
4rrk1/6pp/1pp1p1q1/p2pRn2/P2P4/1N1R3P/1PP2PP1/4Q1K1 w - -,e1e2
3r4/4n3/3p1k1R/ppp1pN2/4P3/2P3PP/PP5K/8 b - -,f6g5
r5k1/pb1n3r/1p1P4/1Pp2p1q/P3pPp1/4P1P1/1BQ5/2RR1BK1 w - -,c2g2
r4rk1/4np1p/2nq2p1/p2p4/8/3b1NP1/1Q1PPPBP/2R2RK1 w - -,e2d3
8/1P3k2/6p1/2N5/1r6/8/4K2p/R7 w - -,a1h1
6k1/4q1p1/1r6/2p1p3/2PpPp2/5P1Q/7P/6RK w - -,h3c8
r1bqr1k1/1p1n1pbp/p2p1np1/2pP4/P4B2/2N1P2P/1P1N1PP1/R2QKB1R w KQ -,f1e2:d2c4
r2qk2r/p2bb2p/2p1pn2/3pN1B1/3p4/8/PP3PPP/R2QR1K1 b kq -,h8f8
r3k2r/1b1n1p1p/1q2p1p1/p1bpP2P/1p1B1P2/7R/PPPQN1P1/1K1R1B2 b kq -,h8g8
r2r2k1/1q2ppbp/ppp1bnp1/4B3/Q1PP4/1PN5/P3BPPP/3RR1K1 w - -,h2h3
8/8/r3pk2/3p1np1/P1r5/6P1/1RBK3P/4R3 b - -,c4d4
2q2r2/1p1r1pkp/p2pb1p1/P3p1b1/1R2P3/2N2B1P/1PP1QPP1/3R2K1 w - -,b4b6
r7/rp1n2k1/2pNqnp1/P1P1p2p/NQ2P3/7P/5RP1/5RK1 w - -,a4b6
8/5k2/3p3p/2pP2q1/BpP1Pp2/1K3P1b/P2Q3P/8 w - -,a4c6
2r2r1k/p3q1pp/4pn2/2p2p2/2P2P2/4B1P1/PP1R2QP/3R2K1 b - -,c8c7
2b2rk1/2q5/pR1p4/3Pp3/4P2B/5P2/2KN4/R7 w - -,b6c6
