2k5/8/2K5/8/PRP5/8/7r/8 w - -,c4c5
6k1/1n1b2p1/p2P1p2/1p5p/2rN4/5PB1/P1PR2PP/6K1 w - h6,h2h4
8/5R2/pr6/p5P1/1k6/8/6K1/8 b - -,b6g6
8/1p2kPK1/2p5/8/6B1/8/P5r1/8 w - -,f7f8q
5k2/R7/1pqr2b1/2p2pN1/5P1Q/7P/PP4P1/6K1 b - -,f8g8
3R4/pp6/4k3/8/8/1P2pKPP/P2p4/5r2 w - -,f3e3
r1bq1rk1/pp2b1pp/2n1pn2/2pp4/3P1P2/2N1BN2/PPP1B1PP/R2Q1R1K b - -,b7b6
r1b1rbk1/2pn2pp/2pq4/p1P2p2/P2Pp3/1N2B2P/1P1N1PP1/R2QR1K1 b - -,d6g6
4rr1k/p4ppp/qp1R2b1/2n5/5Q1P/1BP1B3/PP3PP1/4R1K1 w - -,b3d5
r2q1rk1/pp2ppbp/2n2np1/1B1pP3/P2P2b1/2N1BN2/1P3PPP/R2QR1K1 b - -,f6e4
r1b1r1k1/pppp1ppp/8/1Bb5/3NP3/2N2P2/PP3K1q/R2QR3 w - -,f2e3
1r1n2k1/pP3b1p/1b1N2n1/2P2p2/5P2/BP3KP1/P6P/2RR4 b - -,b6c7
r5k1/p1p5/np2b1p1/1N3p2/8/2N2P1P/PP3KP1/3R4 b - -,g8f7
8/1pp5/p2k4/4p2r/1PP3pp/P2KP3/6P1/7R b - -,d6c6
4k3/pp3ppb/7p/1P2P2P/2B1p1P1/8/P4P2/6K1 w - -,g1g2
2rq1b2/pb3ppk/6rp/n3PN2/2p1N2Q/1P1PB3/P1P3PP/R4RK1 b - -,c4d3
8/5pkp/6p1/8/6P1/5P2/2pqr2P/5RQK w - -,f1a1
r3k2r/1bqnp1bp/p2p2pn/5p2/P2PPP2/3B1N2/4N1PP/1RB1QRK1 w kq f6,e2g3
2rr2k1/pp1bbppp/3qpn2/3nN3/3P4/2N1BB2/PP3PPP/1QRR2K1 b - -,d7c6
