8/2pk4/7R/p2P3p/1pK1n3/8/P7/8 b - -,e4c3
8/4p1kq/3p1p2/3Q2B1/6P1/1Nb5/P1P5/1K6 w - -,g5c1
r4rk1/pbqnppbp/1p4p1/8/3NNP2/2P1Q1P1/PP4BP/3R1RK1 b - -,a8d8
r2rq1k1/2p2p1p/4bnp1/4p1b1/2p1P3/BP2NP2/2B3PP/R3QR1K w - -,b3c4
r3k2r/1pqbbppp/p2ppn2/4P3/3N1P2/3P1N2/PP2Q1PP/R1B2R1K b kq -,d6e5
r3r1k1/p1p2pp1/1p1bpn1p/4B2q/2PP4/5N2/PP2QPPP/3R1RK1 w - -,a2a3
2b1rbk1/7p/p2q2p1/B1pPp3/2P1P3/3B2QP/8/1R4K1 b - -,d6d7
8/2k5/2n1p3/1p1p1p2/1P1P1P2/1PK1P3/2N5/8 b - -,c6e7
r1bq1rk1/ppp1bppp/2n5/3np3/2B5/2PP1N2/PP3PPP/RNBQ1RK1 w - -,f1e1:h2h3
5k2/7R/5P1p/4K3/8/8/4r3/8 w - -,e5f5
2r4r/pp2qk2/4bbp1/3p3p/3PB3/1P3QP1/P2B1R2/3RK3 b - -,d5e4
r6k/1q4pp/p7/1pp1R3/4PrP1/1P5Q/PBP2b1P/1K5R w - -,h1d1
8/6bk/8/p1p2q1P/P1Pp3Q/1P4P1/6RK/5r2 b - -,g7f6
5K2/8/5k2/8/2b5/8/1R6/8 w - -,b2b6
r4rk1/6pp/1q1n1p2/p1p5/1pP5/1P3N1P/1PP2QP1/R2R2K1 w - -,f2d2
r1bq1rk1/pp2bppp/3p1n2/n1p1p3/4P3/2PP1N2/PPB2PPP/R1BQKN1R b KQ -,a5c6:f8e8
rn1q1rk1/2p1ppbp/p2p2p1/1p1bP3/3P1P2/P2BBN2/1PP3PP/R2Q1RK1 b - -,b8d7
2r1kq2/3b1r1Q/p3pB2/1pnp1p1B/8/P1P5/2P3PP/1R3RK1 b - -,c5e4
r2qk2r/pp1nbppp/1n2p3/4P3/8/2N2N2/PP3PPP/R1BQ1RK1 b kq -,e8g8
2kr3r/1b2q2p/p2pp1p1/2n1b1P1/P1pBP3/2N5/1PP3QP/2KR1RN1 b - -,c5d3
1r3rk1/p2b1pp1/1q5p/2bpP3/1ppN4/2P5/PPQ2PPP/3RRBK1 b - -,b4c3
1r4k1/3nbppp/p1n5/q2p4/P1rP1N2/1p3PP1/1P3BKP/R2QNR2 w - -,g2h1
q5k1/3n2b1/p2pr2p/Pp2p3/1PpP4/2PbRPNP/6KN/2B1Q3 b - -,d7f6
1r2r1k1/pQ3ppp/3p4/P1bP4/5P2/2B2R2/2q1N1PP/4R2K w - -,b7d7
1r1b1knr/3b1pp1/n2Np2p/pp2P3/1P6/P4N2/1B2BPPP/3RK2R b K -,a5b4
5rk1/1q2p3/4PrpQ/p2PBp1p/P1Pp4/7P/6P1/3R3K w - -,d1d4
r1b2k1r/pp3pbp/1q1Np1p1/8/2n5/2B5/PPP1Q1PP/2KR3R w - -,e2c4
r4rk1/pp1qpp1p/2n3p1/3pP3/3P4/2R2N2/PP2QPPP/2R3K1 b - -,a8c8
r1bq1rk1/p1n1ppbp/2p3p1/3pP3/N4P2/4B3/PPP1B1PP/R2Q1RK1 b - -,f7f6
2k5/8/8/P1BPK3/2b5/8/8/8 b - -,c4d5
rn1qkb1r/pbpp1ppp/1p2pn2/8/2P5/1P2PN2/PB1P1PPP/RN1QKB1R b KQkq c3,f8e7
rnbqk2r/ppp1p1bp/3p1np1/5pB1/2PP4/2N1P1P1/PP3P1P/R2QKBNR b KQkq -,e8g8
r4rk1/3q1p1p/p3bRpP/1p1pP1P1/2pP1Q2/2P5/PP4BK/4R3 w - b6,f4g3
1B1q4/2R2pkp/4r1p1/8/2Bb4/1P4P1/P2Q1nKP/8 b - -,e6f6
2r3k1/p4p1p/1b1Rpqp1/4n3/4P3/1Q3B2/P2B1PPP/6K1 b - -,e5f3
r2q1rk1/pp4b1/2n1p1p1/2pp3p/P1NPPp2/2P2N1P/1P1Q1PP1/R4RK1 w - -,e4d5
1r1q1r2/p5bk/1P2n1pp/2p1pp2/2NnP3/B1NP1PPP/2P4K/1R1Q1R2 b - -,a7b6
1q4k1/P4p1p/4b1p1/2rp4/8/1Pp1PP1P/2B1Q1P1/R6K b - -,b8a8
6k1/4rpb1/2R1n1p1/4P2p/1rp2P1P/p1N1B1P1/P7/2R3K1 b - -,e7d7
3r4/2nrb3/p1q1k1p1/Pp1pPp1p/1Pp2P1P/2P1BBP1/3R2Q1/4RK2 b - -,e7b4
2n1r3/p2n1ppk/2q3bp/1p2p3/2p1P3/2P1BPQP/PPBR2P1/4R1K1 b - -,f7f6
2r2rk1/p2nqppp/1p2p3/2pb4/3P4/1P1BPN2/P4PPP/2RQ1RK1 w - -,d3a6
4rbk1/1b1r1p1n/p1qp1np1/1p2p2p/4P3/1BP1BQNP/PP3PPN/3RR1K1 w - -,e3g5
r4rk1/2p1qppp/1p2n3/p2nP3/P2p4/1P1PB2P/2QN1PP1/R4RK1 w - -,d2c4
8/8/6k1/8/2KN4/8/5R2/6r1 w - -,c4d5
r1q3k1/pp1rbppp/2p2P2/3nP3/8/4BBPP/PP3QK1/R4R2 b - -,d5e3
b1N5/5p2/P5p1/8/1k6/5P2/6P1/6K1 w - -,c8b6
4r1k1/1b3ppp/8/p2r2q1/2pB4/P1P5/5PPP/R2Q1RK1 w - -,f2f3
r1b1rbk1/p1q2ppp/2p2n2/1p2pP2/4P3/P1NBB2P/1PPQ2P1/3R1RK1 b - -,a7a5
6k1/5pp1/1P6/P7/7P/4Q2K/5P2/7q w - -,h3g3
r3r2k/pp1nBR2/4Bp1p/3p3P/7P/8/PPP2P2/2K5 b - -,e8e7
8/5pk1/4q1p1/1p6/3n4/5Q2/5R1K/8 w - -,f3f4
8/5p1k/5p1p/2b2NP1/2q4P/5Q2/5PK1/8 b - -,f6g5
6k1/1r5p/6p1/3p2b1/2pBb3/P1P2B2/1P4PP/3R3K w - -,d1a1
2r1k2r/pp1np2p/3p2p1/8/2P1N3/1P5P/P4PP1/R3K2R w KQk -,e1d2
2b2r2/4n3/p3p1p1/4Rpk1/N7/5B2/2P3KP/8 w - -,a4c5
r1bq1rk1/pp3ppp/8/3p1n2/3P4/6P1/PP3PBP/R1BQ1RK1 b - -,c8e6
4r1k1/8/rn4pb/1RpPp1N1/2p4p/2PbN2P/4BPP1/4R1K1 w - -,e2d3
1r1r2k1/p4pp1/4p1n1/q1p1P2p/2b4P/P3QN2/2PN1PP1/3RK2R b K -,b8b2
rnbq1rk1/pp3pbp/2p2pp1/8/3P1B2/5N1P/PPP2PP1/R2QKB1R w KQ -,d1d2
r2q1rk1/5pbp/p3b1p1/1p1p4/3p1B2/1B1P2Q1/PPP3PP/R4RK1 b - -,f7f6
r1r3k1/p2n1ppp/1p1qp3/n2p4/Q2P4/4PN2/PP2BPPP/R4RK1 w - -,f1c1
