8/6k1/8/5K2/3N2PP/8/8/3b4 w - -,d4e6
8/5pk1/4r1p1/1B5p/8/2Q4P/5P2/7K b - -,g7f8
7k/3P4/pq4N1/1p3pbp/8/6P1/PPP3BP/1K1R4 b - -,b6g6
2r1r1k1/p2n1ppp/1ppbp3/3P4/B1P5/2B3P1/PP3P1P/3RR1K1 b - -,d7b8
8/R4p2/1p3kp1/1P5p/P5rP/5KP1/8/8 b - -,f6e6
4n1k1/p2prr2/1p3p2/2pR2p1/2P3P1/1P2PN2/P4PK1/3R4 b - -,f7h7
1k1r3r/n4p2/4p1p1/3pP3/2pP1PP1/1bP1N3/5RB1/4R1K1 w - -,f4f5
8/5pk1/6p1/6R1/p4PPp/1pK4P/2r5/8 w - -,c3d3
r1q2bk1/p4ppp/1pbNpn2/2n5/4PB2/1QN3P1/PP1R1PBP/6K1 w - -,d6c8
4rrk1/pbpqp1bp/1p1n1pp1/3p4/3P1B2/2P1PN1P/PP2BPP1/2RQ1RK1 w - -,f4h2
R7/4bkp1/4ppn1/1qPp2r1/1Pp4p/5P1P/1Q3P1B/4RK2 w - -,a8b8
1Q6/6k1/q5pp/5p2/3p3P/3Pn1P1/5N1K/8 w - -,b8c7
2k5/p4Np1/2p2n2/2br4/P2Pp1p1/1R4Pr/4PP1P/2B2RK1 b - d3,e4d3
8/2p2pk1/3p3p/1PbP1Pp1/1p2rpP1/r7/1R3PKP/3R1B2 w - -,h2h3
3qr1k1/3rpp1p/1pbpn1p1/p3b3/2P1P2B/1PN2P2/P2Q2PP/1R1R1B1K b - -,e6c5
4n1k1/2q1r1bp/p2p2p1/P1pP1rN1/R4P2/7Q/1P5P/2B2R1K b - -,h7h6
6k1/6p1/pp4b1/4p1P1/1B2q3/P7/1PP2Q2/2K5 w - -,c1b1
r3k2r/pb2qpp1/1pp1p2p/4P1n1/3P4/1BPQ4/P2N1PPP/R4RK1 w kq -,f2f4
4r1k1/1b3p2/5R2/p1p3p1/P1P2p2/1P2p3/6P1/1R3K2 w - -,f6f5
1r6/p4k1p/b5p1/2PPp3/p3Pp2/P4P1P/1rRN1KP1/2R5 b - -,f7e7
6k1/q5p1/r2p3p/2p1p3/1p1nP1bP/1P1P2P1/P2R1QBK/6N1 w - -,g2h3
6k1/1bb1qpp1/p3pn1p/2p5/PnN5/1PB1P2P/3NQPP1/1B4K1 b - -,f6d5
2r5/1R2pp2/1p1pnkp1/1B6/2pP3p/2P3PP/4PPK1/8 w - -,b7b6
2rr2k1/1p3pp1/p1bp4/4p1P1/4PP2/2NR4/PPP5/1K3R2 b - -,e5f4
8/4kp2/6p1/4K1P1/1r2PB2/8/8/8 b - -,b4b5
2r3k1/2r2pnp/pq2p1p1/3pP1P1/5PBP/2pR3Q/PP2Nb2/1K1R4 w - -,d3c3
8/p2n1k2/1pn5/3p3p/P2Pp2N/2K1B2P/5PP1/8 b - -,f7f6
rnb2rk1/p3ppb1/2pp1npp/q7/1p1PPP1B/3B4/PPPQN1PP/1K1R2NR b - -,b8d7
3q1rk1/3n1pbp/r1n1p1p1/p1pp4/1p1P1PN1/2P1P1N1/PPQB2PP/R4RK1 b - -,d8b6
