8/5pk1/7p/2nN2P1/5PK1/8/7P/8 b - -,c5d7
1rbqr1k1/5pbp/5np1/1p2n1B1/1PpNN3/6PP/P4P2/1R1QRBK1 b - -,c8b7
8/7N/3p2kP/2pn4/p7/8/1K6/8 w - -,h7g5
8/8/5k1p/4R1p1/r5PP/5PK1/8/8 w - -,e5b5
8/2kB4/2Pp1p2/5Kp1/1p2P1P1/2b1P2P/P7/8 b - -,c3b2
r3r1k1/pp1nbpp1/2p1p2p/2Pp1b2/3PNB2/1P2PN1P/1P3PP1/R3RBK1 b - -,f5e4
3rr1k1/bp1q4/p3p2p/2pnP1p1/3pQn2/3P1NNP/PP1B1PPK/R3R3 w - -,g3e2
5bk1/p6p/4p1p1/3p1pQ1/3B1P2/4P2K/P1r3PP/6q1 b - -,f8e7
7k/1p1n4/3P1p1p/r3pP2/1bB3P1/7P/8/B2R1K2 b - -,a5a8
r3k2r/ppq1pp1p/3p1np1/3bn3/2P1P3/2P2P2/P2Q2PP/1RB1KB1R w Kkq -,c4d5
8/p7/1r5p/4p1k1/4b1P1/3r3P/P4P1K/2Q5 b - -,g5g6
r3k3/2rn1ppp/p3pb2/1p6/8/2P1BN2/PP1R1PPP/3R1K2 b - -,f6e7
2r3k1/p2nbppp/qp2p3/3pP3/1n1P3B/1QN2N2/PP3PPP/5RK1 b - -,b4c6
r3k2r/pp1nppbp/1qp3pn/3pP3/3P1Pb1/2N2N2/PPP1B1PP/R1BQ1RK1 w kq -,c3a4
2r5/4kp2/3p1p1b/2q1pP1P/bp2P2P/3B4/PKP1Q3/3RR3 w - -,b2b1
r2r2k1/1p4pp/2n1bp2/2q1p3/p3P3/P2P1NP1/1P3PBP/2R2RK1 w - -,c1c5
r4rk1/pbq2pbp/4pnp1/2p5/8/1BP1QNNP/PP3PP1/3RR1K1 w - -,f3g5
r1bq1rk1/pp3pbp/4pnp1/2p2P2/3nP2Q/1BN2N2/PPP3PP/R1B2RK1 b - -,d4f3
1b1rr2k/1p2nb1p/2q1pp1P/p3n1p1/P1p1PN2/2P1B1PB/1P2QP1N/R3R1K1 w - g6,f4h5
4k1r1/7R/3b3B/3p2P1/7r/1P6/P3N3/1K6 w - -,e2c3
2rr2k1/p3ppbp/2p3p1/1q1n4/2Q5/3N2P1/PP1BPP1P/2R2RK1 w - -,b2b3
3r2k1/3rnpp1/pp2p2p/q1b1P3/P7/2P2N2/2QB1PPP/RR4K1 b - -,e7g6
6k1/p3q1p1/1bp3pp/1p2p3/1P2Q3/2P3PB/PN1r1r1P/R3R2K w - -,h3g2
r1b2rk1/pp2b1pp/4pn2/3pnp1q/2pP1B1P/2P1PN2/PPB1QPP1/2KR3R w - -,d4e5
2rq1rk1/1b3pb1/p3p2p/2pn2p1/2NP4/1B4B1/PPQ2PPP/3RR1K1 w - -,c4d6
r1bqk1nr/ppp2ppp/2np4/2b1p3/2P5/2N2NP1/PP1PPPBP/R1BQK2R b KQkq -,a7a6
rnbqk2r/pp2ppbp/2p2np1/1N6/2BP4/1N6/PPP2PPP/R1BQ1RK1 w kq -,b5c3
8/1p3pk1/r1p1q1p1/p1n1p2p/P3P2P/2P1NPP1/1P1R2K1/3Q4 w - -,d2f2
3k3r/3b1p2/1p1ppp1r/p4P1p/P1PKP2R/1P4P1/5R1P/3B4 w - -,d1e2
8/4rk2/1p3pp1/p1p2p1p/P1P2b1P/1P3K2/8/1R2B3 b - -,g6g5
r1r5/pp1nppkp/3p2p1/3b4/2P1P3/5P2/PP1KB1PP/R6R w - -,c4d5
5r2/2q1b1pk/4Q1b1/2p4p/p3pp1P/2P5/P1Pr1PP1/1RN1R1K1 w - -,c1e2
6k1/3b2p1/3n4/1p3P2/1P1Np1P1/8/4K3/B7 b - -,d6c4
1r6/1P6/8/2KB1rp1/5kp1/8/5RP1/8 b - -,f4e5
r1bq1rk1/pp2ppbp/5np1/3p4/3P4/1PB2NP1/P3PPBP/2RQ1RK1 b - -,f6e4
3Rr3/4P2k/5npp/p1B1p2q/P3Q3/1P6/1K6/8 w - -,e4c6
1r3rk1/1b2qpp1/1np1p2p/pp2P1N1/1n1PN3/8/PP3PPP/1BRQ1RK1 w - -,d1h5
8/6R1/2P4p/5p1P/5k2/3p4/4r3/3K4 b - -,e2h2
7r/1pk2p2/1pn1n3/4pQ2/4Pb1P/2P5/PP3P2/3K4 b - -,c6d8
r1bqn2k/4n1bp/p4r2/2BPp1p1/2P1Pp2/1QN2P2/P3B1PP/1R3R1K b - -,f6h6
3r4/1pk2p2/2b1p1p1/8/8/6PP/P4P1K/2Q5 b - -,d8d7
r2qrbk1/pp3p2/2p1b1pp/8/1P1p4/P2P2P1/3BPPBP/2RQR1K1 b - -,e6d5
r2q1rk1/ppp1bppp/2np1n2/1B2p2b/4P3/2PP1N1P/PP1N1PP1/R1BQR1K1 b - -,a7a6:h7h6
b7/P7/1kP5/1P1n4/K7/8/8/8 w - -,a4b3
r1b2r1k/p1p1q3/1p2N2b/2pPpn2/2P1Np2/2QB1P2/PP5P/2KR2R1 b - -,c8e6
r1bq1rk1/ppp1ppbp/2n2np1/8/2QPPB2/2N2N2/PP3PPP/R3KB1R b KQ -,f6d7:f6h5
6k1/1R6/3r4/8/6PK/1P6/8/8 w - -,b3b4
r1bqr1k1/5ppp/p2p4/bnNPn3/5Q2/P3B1PP/4NPB1/1R1R2K1 w - -,c5b3
1r2k2r/1p1bp1bp/6p1/p4p2/3p4/2NP2P1/PP1KPPBP/1RR5 w k -,c3d5
r1b1k1nr/2q1bp1p/pp2p1p1/4p3/P3P3/1N1B4/1PP1QPPP/R1B2RK1 w kq -,f2f4
r1bb1r2/q4pkp/p1n1n1p1/2pNP3/2B1N3/2Q3B1/P4PPP/3R1RK1 w - -,d5f6
3r3k/4bppn/ppq1p2p/2p1P2P/2P1NP2/1P1r2P1/P5QK/2R1R1B1 b - -,c6e8
R7/7k/4K3/5P2/8/8/5r2/8 b - -,h7g7
8/8/4k2p/N5p1/n5K1/6P1/5P2/8 w - -,g4h5
r3r1k1/2p2q1n/pp1p2pb/5pp1/P2P1P2/2P1P2P/1P1N2QB/4RR1K b - f3,g5f4
8/8/p4k2/2bP4/8/PK6/6P1/8 w - -,a3a4
8/8/3p2R1/p1p1k3/P2rP3/2K3P1/8/8 b - -,d4e4
3r3k/2RB1rbp/8/P4pP1/4bP1p/4P3/1Q3K2/8 w - -,b2b6
4k3/1p1R2bp/p7/P4p2/1B2b3/1N3p1R/1Pr3PP/2K5 w - -,c1d1
rnbq1rk1/pppp1ppp/4pn2/8/1bPP4/P1N5/1PQ1PPPP/R1B1KBNR b KQ -,b4c3
7k/1N2nBp1/pPr2n1p/P3q2P/Q2r4/8/2R2PP1/2R3K1 w - -,a4c6
6k1/8/4p3/5qb1/1p1P3p/1P2Np2/2P2P2/R4KR1 b - -,f5b5
r1bqr1k1/p4ppp/2p2n2/3p4/1b6/2NB1Q1P/PPP2PP1/R1B2RK1 w - -,c1f4:c1g5
8/3k4/3P1pNp/2p5/8/7P/4KPP1/8 b - -,d7d6
r2q1rk1/p3bppp/1p2p3/n1p5/8/1QPP1NP1/P3PPKP/R1B2R2 w - -,b3c2
r1bq1rk1/ppp1npb1/3p2pp/4p2n/1PP1P3/2NP1NP1/P2B1PBP/1R1Q1RK1 b - e3,h5f6
