8/8/6P1/2k5/2b5/K4p2/8/4R3 w - -,e1e3
1rr2b2/q6k/1p2bppp/pQp1p3/2N5/P1PPP1P1/1R3PBP/3R2K1 w - -,c4b6
2rr2k1/1pqnbpp1/p2pbn1p/P3p3/4P3/1NN1B3/1PP1BPPP/R2RQ1K1 w - -,h2h3
r2qr1k1/p3ppb1/2bp1np1/1ppN2N1/2P1P2Q/7P/PPP3P1/R1B2RK1 w - b6,c4b5
r1bqnr1k/1pp1n1b1/3p3p/2PPp1p1/PBN1Pp2/2N2P2/4B1PP/R2Q1RK1 w - -,a4a5
r4rk1/pppnqppp/3bpn2/3pN3/3P4/1P1PP3/PB3PPP/RN1Q1RK1 w - -,b1d2
2r5/1p3kbp/p7/P4p2/1r2bp1B/1N2R3/1PPR2PP/2K5 w - -,e3h3
4n3/Q5pp/1pqBppk1/4P3/1P6/P4P2/5KPP/8 w - -,a7e7
8/5k2/5p2/7r/6RP/6K1/5P2/8 b - h3,h5a5
5k2/pp3p2/2p1p2p/2P1P3/1PK2P2/P3P3/7P/8 w - -,b4b5
r1bqk2r/pp2npbp/2npp1p1/2p5/2P1P3/P1N3P1/1P1PNPBP/R1BQK2R w KQkq -,d2d3
1k1r4/pp1bpp2/2np1pqb/8/4PP2/1N3BPr/PPP1NQ2/2KR2R1 b - -,c6e5
rn2k2r/ppq1nppp/2pb4/3p3b/3P4/3BBN1P/PPP2PP1/RN1QR1K1 b kq -,b8d7
rq3rk1/1b2bppp/p3pn2/Np1p4/4PP2/2NP4/PP1BQ1PP/2R2R1K w - -,e4e5
r1r3k1/2p1b1pp/3pNnq1/3Pp3/N1P5/Pn2B1PP/QP3PB1/3R2K1 b - -,g6c2
1R6/8/1r1P3p/1Bp4P/2P5/P1k5/K4P2/8 b - -,b6b8
8/8/8/2r5/5k1K/1B6/8/8 b - -,c5c3
r1bqkbnr/1p3ppp/p3p3/2p5/4PP2/3n1NP1/PP1PN1BP/R1BQ1RK1 w kq -,f3e1
rnbqkbnr/pp3ppp/4p3/2pp4/2P5/4PN2/PP1P1PPP/RNBQKB1R w KQkq c6,c4d5:d2d4:b2b3
6k1/2P1qpp1/p7/P3pb1P/3r4/2Q4P/6B1/2R3K1 b - -,f5c8
2k4r/pp3ppp/2n2n2/3r3b/1P3B2/1Q3N1P/1P2BPP1/5qK1 w - -,g1f1
3b4/5kp1/1pp1p3/p3P3/P4BP1/3P4/1P3PK1/8 w - -,g2f3
R7/1p1r4/1Pp1nk1p/2p3P1/2N1Pb2/R2P4/5PK1/8 b - -,h6g5
6k1/p3q3/1r3p1p/4PRpP/3rQ3/P7/5PP1/6K1 w - -,e4d4
3r4/2k2p2/1p2pp2/p1b4p/P3P2P/1PP2PP1/2K1N3/1R6 w - -,b3b4
rnbq1rk1/pp4pp/2pbpn2/3pNp2/2PP4/3BP3/PP3PPP/RNBQ1RK1 w - -,f2f4
4r3/1p1R1pk1/2p3p1/p1q5/P5p1/1P1QP2P/5PK1/8 w - -,h3g4
r1b1r1k1/3n1pbp/p2p2p1/qp1Pn3/3NP3/2N1BP2/P2QB1PP/1R3RK1 b - -,d7c5
1r4k1/2q1npp1/2p1p2p/8/1PP5/5NP1/5PP1/1R1Q2K1 b - -,e6e5
r1bb1r1k/1p3ppp/p3pn2/2q2NB1/8/2PB4/PP2QPPP/R3R1K1 w - -,g5e3
8/8/3p1nk1/2pPp1p1/2PqPpP1/5P2/1r1N1RK1/3Q4 w - -,d1c1
r1b2rk1/pp2ppbp/n2p1np1/q1p5/2PP4/P1N2NP1/1P2PPBP/1RBQ1RK1 w - -,d4d5
1r4k1/5ppp/4p3/6q1/3B4/1PP5/4BPPP/5RK1 w - -,e2c4
r1b2rk1/pp1p1ppp/nq3n2/2pPb3/2P5/P2B1P2/1PQ3PP/RNB1K1NR b KQ -,b6a5
r1b2rk1/ppq1ppbp/6p1/n1p5/2BPP2P/2P1B3/P3NPP1/2RQK2R w K -,c4d3
r2q2k1/1bp1rpp1/p4n1p/2bPp3/8/PQPP1N1P/1P3PP1/R1B1RNK1 b - -,b7d5
r1bqkb1r/p2n1ppp/2n1p3/2ppP3/1p3P2/2NP1NP1/PPP3BP/R1BQK2R w KQkq -,c3e2
rn1qkb1r/pp1Bpppp/3p1n2/2p5/4P3/1P6/PBPP1PPP/RN1QK1NR b KQkq -,b8d7
r2q1rk1/1p1bb1pp/n2p1n2/2pP1p2/1PPNp3/2N3P1/4PPBP/1RBQ1RK1 w - c6,d5c6
2rr4/1pq1bpk1/p1p3pn/P1n1PP2/1PR1B2p/5Q1P/3BN1P1/R5K1 b - -,d8d2
r4k2/5pp1/1R2bn1p/3pN3/3P4/6P1/P3P1BP/5K2 b - -,a8a2
kqB2b2/p6r/3p1p2/4pNp1/QPPpPnPp/1R1P3P/1R3P1K/8 b - -,b8c8
8/5b2/1n1k4/1P2p2p/1K5P/3BNP2/8/8 w - -,d3e4
r4rk1/1bq1bppp/4p3/p1npP3/1p1B1P2/8/PPPQBNPP/3R1R1K b - -,b7a6
8/8/5R2/P4P2/r3k3/3p4/3K4/8 w - -,f6f8
r3kbnr/pp3ppp/1q2p3/1p6/2PP4/P2Q1N2/1P1B1PPP/R4RK1 b kq -,b5c4
r1bq1rk1/pp3pb1/n1pp1npp/8/2PNP3/2NBB2P/PP3PP1/R2Q1RK1 b - -,a6c5
r1bqkb1r/ppp2ppp/1nnp4/4P3/3P4/1Q3N2/PP3PPP/RNB1KB1R w KQkq -,f1b5
4k3/p3R3/1q5p/3p1pp1/8/3P1N2/PPKB1PPP/R7 b - -,e8e7
6k1/p4p2/6p1/2p5/3b3R/8/P2BK1PP/r2r1N1R b - -,d1b1
1r3r1k/1p1n2qp/p1n5/2P1p1p1/PP1p4/3P1BPP/2N1Q3/2R2RK1 b - -,c6e7
6k1/p2r1pbp/1pQPp1p1/2r1P3/2P3PP/6B1/P4R1K/2R5 b - -,c5c6
r4rk1/1ppbnppp/3p1b2/p7/P3PP2/1BP1B3/1P4PP/RN3RK1 b - -,b7b5
r1r2nk1/3qbppp/2p2n2/2Pp4/Q2Pp3/4P1P1/1B3P1P/RRNB2K1 w - -,a4a8
r4rk1/bbqp1ppp/p3pn2/1P2n3/1P1NP3/P1N2PP1/3QB2P/R1B1K2R w KQ -,b5a6
8/5rkp/2pp2p1/2q1p3/2P2r2/1n2RP1P/5QP1/1B2R2K w - -,f2a2
R7/5kp1/p4r1p/1p6/5p2/2P5/PP4PP/6K1 b - -,g7g5
1n2qrk1/r5b1/pp2Pp2/2Pp1P2/5R2/2N3PQ/PP5P/R5K1 b - -,b6c5
rnb1n1k1/p2q1pbp/3p2p1/1NpP2B1/8/3B1N1P/PP2QPP1/R5K1 b - -,b8a6
8/8/1p6/4p3/pk3p2/4rP2/PP3K2/2R5 b - -,b6b5
r3kb1r/pp1n1ppp/1qp2n2/3p1b2/3P1B2/2N1P3/PP1QNPPP/R3KB1R w KQkq -,f2f3
