5rk1/2R3pp/5p2/3Nn3/P2KP3/7r/8/R7 b - -,e5f3
r2q1rk1/ppn1b1pp/2ppbn2/5p2/1PPPp3/2N1P1P1/PBQN1PBP/R3K2R b KQ -,b7b5
r1b1r1k1/pp3ppp/q4nn1/2pPp3/2P3P1/P2BPPQ1/3BN2P/R3K2R w KQ -,e3e4
8/p2k1r2/3r2p1/6Kp/8/2R5/PN6/8 w - -,b2d3
8/1p3r1p/8/1k4p1/2R3P1/1P2P1K1/1P2P3/8 b - -,f7e7
r4rk1/ppqn1pp1/4pN1p/2b4P/8/5N2/PPPBQPP1/1K1R3R b - -,d7f6
6rk/3R2p1/1p5p/p3Q3/2P3Pq/P4p1P/KP3P2/8 w - -,d7f7
r6r/1p1bkpb1/1pn1p2p/2pp2p1/3P4/N1PBPNP1/PP3PP1/R4RK1 w - -,f1e1
r3r1k1/p3qppp/2pp1n2/1p2n1B1/4PN2/3B3b/PPP2PP1/R2QR1K1 b - -,h3g4
6k1/3qp1b1/3p1r2/2pPnp1B/1pP2P2/1P4P1/2R3K1/rN1Q3R b - f3,e5g4
5n1k/1p2R2p/p1b3p1/2pp3P/5r2/2PB1PN1/PP4P1/6K1 w - -,g1f2
4n3/8/4K3/2kPN3/1pP1Pp2/p7/P2R4/5r2 b - -,f1h1
rnq2rk1/1bp1b1pp/1p1pp3/pN3p2/2PPnB2/6P1/PP2PPBP/2RQNRK1 w - f6,f2f3
8/p5k1/p1R4p/5BP1/3p2P1/4P3/5nPK/r7 b - -,h6g5
6k1/p3p2p/1r2P3/2N1p3/3b4/1P4PP/P3K1P1/2R5 b - -,a7a5
b1rr2k1/4qp2/1p1pp1p1/2n5/2PBPb1P/QPN4P/P1R3B1/3R2K1 w - -,b3b4
1rr3k1/4ppb1/R1n3pp/1p1p4/3PNq1B/2PQ3P/1PN2PP1/R5K1 b - -,f4h4
2r1r2k/1bqn1p1p/1n1b2p1/p2Pp3/1pp1P1N1/4B1NP/PP1QBPP1/2R2RK1 b - -,f7f6
8/8/2p2r1p/1k1r1P2/2R3PK/7P/2R5/8 b - -,c6c5
8/R6k/8/4p1PP/4r3/8/7K/8 b - -,h7g8
6k1/1p1b1pp1/1p4qp/2p1p3/P1B1Pn2/1PP2Q1P/5PPN/5K2 b - -,d7c6
r3k2r/pp4p1/1np1p1Q1/q3P3/P2P2P1/7P/1P3PK1/R1R5 b kq -,e8f8
r1bq1rk1/p3bpp1/3p3p/1Nn1n3/5B2/1B5N/PPP3PP/R2Q1RK1 w - -,b3d5
8/8/1p1kn3/5N1p/1PP1KPp1/8/8/8 b - -,d6d7
1rq2rk1/p4ppp/1n2p3/N7/PbN5/4PbP1/1P3P1P/R1QR1BK1 w - -,d1d4
2r4r/pp6/2p1Nkp1/3Pp3/8/6N1/PPP3K1/R7 w - -,g3e4
5r2/6pk/4p2p/1N1bP3/pP1P1P2/P3K3/2R5/8 b - -,g7g5
r2qkbnr/pp1n1pp1/2ppp1b1/6Pp/3PP2P/2N2N2/PPP1QP2/R1B1KB1R b KQkq -,d8b6
8/8/8/1K6/6qp/4Q2k/8/8 b - -,h3g2
4rqk1/1p3p2/p1p2p1p/3b1B2/3P4/P6P/1P1Q1PP1/2R3K1 w - -,c1c3
r6r/p3kp2/2ppb3/2b1p1qp/2P1P1P1/2N2P1P/PP2B1K1/R2Q3R b - -,a8g8
r2q1rk1/1p1nBpp1/p1n1p2p/3p4/3P4/P1NBP3/1P2QPPP/2R2RK1 b - -,d8e7
r3r1k1/p1q2ppp/3b4/2pn4/PpN5/3P2P1/1P3P1P/R1BQR1K1 w - -,c1e3
5r2/1p3nkp/1r1P1pp1/2N5/1P3P2/6PB/7P/3R2K1 b - -,b6d6
1R6/8/3r4/6pk/7p/5P1K/8/8 b - -,h5g6
2r3k1/1n3rpp/qp3p2/2p5/P2P4/5NP1/Q1R2PP1/1R4K1 w - -,c2b2
3r2k1/2q1bbpp/p1r2p2/2nppP2/PpB1P1Q1/1P2B1P1/2PN3P/R2R2K1 w - -,e4d5
8/5p2/5k2/8/1P5P/PR4K1/8/3r4 b - -,d1g1
r1b2rk1/pp3pbp/n1pp1np1/q2Pp1B1/2P1P3/2N2P2/PP1QB1PP/R3K1NR w KQ -,g2g4
8/8/3k1R2/3P2p1/3K1p1p/5P1P/4r1P1/8 b - -,d6d7
1rr3k1/p4qpp/3b1p2/B1p5/P3Q3/6P1/2R2P1P/2R3K1 w - -,e4d3
1rb2rk1/1p2ppbp/p1np2p1/q1p5/3nP3/P1NPB1PP/1PP2PBN/1R1Q1R1K b - -,b7b5
6r1/p1r2ppk/4pn1p/4B3/8/P3P1R1/1P5P/3RK3 b - -,c7b7
5r1k/4p1bp/p3P1p1/1p1N4/5P2/1B1RQ2P/2P3PK/q7 w - -,d5e7
r1b3k1/p1pp1p1p/2p3p1/N5rn/1PB1P3/2P2P2/P4P2/2KRR3 w - -,c1d2
8/p7/P7/8/4p1k1/2p3P1/4K3/8 w - -,e2e3
1kb3r1/pp6/3b1q1p/1P1pn1p1/1P6/3B1N1P/3BNPP1/R3K2R w KQ -,f3e5
r3kbnr/ppq1pppp/2n5/1BPpPb2/7P/8/PPP2PP1/RNBQK1NR w KQkq -,g1f3
r1bq1rk1/pp1nppbp/1n4p1/2p1N3/3P4/1P3NP1/P3PPBP/R1BQ1RK1 w - c6,c1b2
1br1k2r/1p1b1p2/p1n1pBpp/8/2B2P2/P1P2N2/1PP3PP/1K1RR3 b - -,h8g8
2krr3/npp1n1p1/p4pp1/1qNp4/PP1P3P/2PQ1NP1/8/2K2RR1 b - a3,b5d3
r1b1r1k1/pp2qpbp/2p3p1/2n5/3NPB2/1Q4PP/PP3PB1/3RR1K1 w - -,b3a3
8/p1k2pp1/1p1n2p1/3K4/1p5P/2P3P1/P3BP2/8 w - -,c3b4
8/8/1p6/1k2p1R1/6nP/6r1/3NK3/8 b - -,g3e3
8/4k3/4P1pp/8/1pK1R3/1Pb5/6PP/8 b - -,g6g5
7Q/pp1k4/2p1p3/2Pp2q1/P2Pn2N/6P1/1P5P/4K3 w - -,h8h7
6k1/3R4/5p1p/P6P/1r4p1/1P6/2K5/8 b - -,b4b8
5r1k/1r1nbppp/p3p3/1p1b4/3N4/P3BP2/1PP1B1PP/3R1R1K w - -,f3f4
4k3/4bp1p/6p1/8/3BN3/4PP2/2b3PP/6K1 w - -,e4d2
3rk2r/p3ppbp/2p1b1p1/q1p5/4n3/2N1BP2/PPP2QPP/R1N1K2R w KQk -,f3e4
r2q1rk1/pb1n1ppp/2pb1n2/1p2p3/3PP3/3B1N2/PP2NPPP/R1BQ1RK1 w - -,c1g5
8/5pkp/3r1bp1/8/1pB5/6P1/P4PKP/4R3 w - -,e1e2
r1r3k1/1bB3p1/5b2/p6p/1p6/1P1B1P2/P1R3PP/3R2K1 b - -,f6c3
2k5/8/1r5p/p2R3p/P1P5/6P1/1Bb2P1P/6K1 b - -,b6b2
4r3/1kp5/p4r2/2R5/3Pp1pp/4Pp2/P4KPP/4R3 b - -,g4g3
8/kp3Q2/p2K4/2pp2P1/8/2P2P2/q7/8 b - -,a2h2
r1b1k1r1/6q1/pn2pbp1/1p1pN1Np/3P1P2/1pP1P3/P1Q1B1PP/R4R1K w q -,a2b3
rnbq1rk1/ppp2p1p/5n2/3B2p1/1b2Pp1P/2N2Q2/PPPPN1P1/R1B1K2R b KQ h3,c8g4
4Bn2/6p1/3kpp1p/p2p4/Pp1P4/1P1KPPP1/7P/8 b - -,f8d7
1rb1r2k/p1p4p/p1Pb2q1/3Pp3/N1Q1Ppn1/P4N2/3B1PPR/4R1K1 w - -,h2h1
6k1/p2r1pp1/1qrP2p1/6N1/1p2P1nP/6Q1/1P1R1PP1/R5K1 b - -,g4h6
rn3rk1/pb1p1ppp/1p2pn2/q1p5/2PP4/2P2NP1/P2BPPBP/R2Q1RK1 w - -,d1b3:f1e1
r1r3k1/1p1n1pbp/p1n1p1p1/q2pP3/3P4/P3BN1P/1P2QPP1/RB3RK1 w - -,b1d3
5r2/p1nrqpk1/1pRp2p1/3Pp1Np/4P1nP/1P4PB/P4P2/2R1Q1K1 b - -,c7b5
2k4r/1bqnbp2/p2pp3/1p2n3/3NP3/P1NB2B1/1PP1Q1P1/1K1R4 w - -,d4f3
r1b1r1k1/bpp2pp1/p6p/3PN3/3P1Bn1/1QP3N1/PP3PPq/R3RK2 b - -,c8f5
2r3k1/p1pq2pp/1p3n1r/3p4/3Pp3/2N1P3/PP2QPPP/2R2RK1 w - -,f2f3
3q2k1/5p2/1p4pQ/2n1n3/p6N/P5PP/1P3B2/6K1 w - -,h6f4
8/5kp1/7p/3N3K/4p2P/6P1/8/8 w - -,d5c3
r3r1k1/2p2pp1/p2p3p/2p1nPq1/2P5/1PB3Q1/P4PPP/4RRK1 w - -,c3e5
2b2k2/1r2p2p/4p1p1/8/p1P5/1PB3P1/P4P1P/R5K1 w - -,b3b4
3b4/1kqP4/1p6/1Pn5/6Q1/6pP/5P2/3R2K1 w - -,f2g3
2R5/5p1p/4pNpk/4P1P1/1b6/7K/7P/3q4 b - -,h6g5
2r3k1/1bqr1pb1/pp1ppnp1/6Bp/2PNP2P/1P3BP1/P3QP2/3RR1K1 b - -,g8h7
1N4k1/7p/p2p4/2bPpp2/8/2P3P1/P5KP/8 b - -,a6a5
2rq1rk1/3nbppp/p2p1n2/1p2pP2/4P1P1/1bN1B2P/PPPQ4/2KR1B1R w - -,a2b3
r3r1k1/1p6/1np1q1pp/p3p2n/P3Pp2/NPP2N1P/2Q2PP1/3RR1K1 w - -,c3c4
r2nkbr1/3npp2/pp5p/2pP1Np1/2P5/2BB1P2/PP4PP/2KR3R w q -,h1e1
7k/5rp1/3p3n/1p4r1/1PpQPN2/7B/P7/1K6 w - -,d4d6
r4rk1/pp3ppp/2p1bn2/2q1p1Q1/2P5/2NP4/PP2BPPP/3R1RK1 w - -,d3d4
