8/1p4K1/3b3p/2k1p3/5pPB/5P2/8/8 b - -,c5d5
r4rk1/1pqb3p/3p3b/p2P2NB/1np1N3/1Q2P3/PP4PP/R4RK1 w - -,b3c3
2r1rb1k/1b4p1/1p3p1p/2pqPP2/3pNB2/1P4Q1/P5PP/R3R1K1 w - -,e4d6
1r3r2/3qppbk/3p2pp/1ppP1P2/1n2P1QN/3P2P1/1P5P/R1B2RK1 b - -,d7e8
1k1r2r1/pp1b1pbp/1q1ppn2/2pP1p2/2P5/2NBPNP1/PPQ2P1P/1K1R3R w - -,f3h4
r1bq1rk1/pp2pnbp/2p1n1p1/3pN3/P2P1PP1/1BN3BP/1PPQ4/2KR3R b - f3,f7e5
rn1qkb1r/pp2pppp/1np1b3/4N3/2PP2P1/2N5/PP2BP1P/R1BQK2R b KQkq -,f7f6
2r1b1k1/6pp/2p1qr2/p3Np2/2P2P2/PQ2P1P1/7P/R2R2K1 b - f3,c6c5
3r1r2/pp2b1pk/4B2p/3PP3/5p2/2BR4/PP4KP/8 b - -,e7c5
3rk2r/5p2/pq2pp2/1p2n2p/1P3Qn1/P7/2P1N1PP/R1B2R1K b k -,d8d1
r2r2k1/3n1ppp/2p1p3/1pPB1b2/1P1P4/5P2/1B1N2PP/R3R1K1 b - -,e6d5
3r1bk1/7p/1p4p1/4pp2/8/P1N2P2/1P2K1PP/7R w - f6,h1d1
r4rk1/pb1nbpp1/1qp1pn1p/1p6/3P1B2/1Q3NP1/PP2PPBP/RN1R2K1 w - -,b1a3
r1bq1rk1/pppn2bp/2np4/5pp1/2PP4/2N1PB1P/PP4PB/R2QNRK1 b - -,d7f6
5r1k/5pb1/pq1p2pp/1n1B4/4P3/3Q2BP/5PP1/1R4K1 w - -,d5c4
3r1rk1/pp3ppp/1q3n2/1Bb1N3/8/P7/1PP1QPPP/R2R2K1 b - -,c5f2
8/5pkp/2N1n1pq/1BbR4/P5R1/5K2/5P2/8 b - -,h6h1
r1bq1rk1/p3ppbp/2n2np1/3p4/5P2/R4N2/1PPPBNPP/2BQ1RK1 b - -,f6g4
4rk2/2P2ppp/6b1/p2R4/1p6/P2P3P/B1P3PK/8 w - -,a3b4
3Nb1k1/pp2r2p/3R1p2/8/7P/8/PP3P2/6K1 w - -,d6f6
5k2/p1rrq3/2p1npp1/1pP1p2p/1P2P3/1PQ1P3/R4NPP/4R1K1 w - -,c3c2
2r1k2r/1p1n1ppp/4p3/3pP3/1p1P4/bP1N1N2/P1Q2PPP/3R1RK1 b k -,c8c2
8/3nB3/2b4k/2p3p1/2P1p1P1/2K1P3/8/3B4 w - -,c3b3
8/3k1p2/2r3p1/8/3B4/r3PK2/PR3P2/8 w - -,f3e4
4qk1r/Q2Rb1pp/p1pppp2/8/4P3/4B3/PP3PPP/6K1 w - -,e3b6
8/2k3p1/8/2KP1P2/8/8/8/8 w - -,d5d6
4rrk1/p3q1pp/1p1p1p2/2pP4/4PP2/2PQ2P1/P1R3KP/4R3 w - -,c2e2
