2k5/1p6/1K6/P7/7n/8/1P4p1/6B1 b - -,h4f3
3Q4/5pkp/4p1r1/8/P4p1B/5q2/1P3P1P/5K2 w - -,h4e7
8/4pp2/p7/1b1P2P1/k3PP2/P7/5KP1/8 b - -,a4a3
2n5/p5pk/2qp3p/4p3/Q1PnP3/3B3P/6P1/R6K b - -,c6c5
r4rk1/pp1b3p/2p2q2/2Pp4/PP3p2/6P1/3Q1PBP/R3R1K1 w - -,d2f4
4Q3/6p1/1k5p/1p3P1P/p7/P2q4/8/4K3 b - -,d3f5
5r2/6k1/3p2P1/3P2K1/4B3/8/8/8 b - -,f8f1
r2r2k1/1p1n1pp1/2pqbn1p/p2p4/1P1P4/2NBPN1P/P1Q2PP1/1R2R1K1 w - a6,b4a5
8/1p6/2p3p1/P1Pb1kB1/1P3p1P/3Kp3/8/8 b - -,d5c4
b2b4/r4k2/6p1/6R1/2P4P/3KP2B/8/8 b - -,d8g5
r1b2rk1/2p1bppp/p7/3nN3/P7/2N5/1P3PPP/R1B1R1K1 b - -,d5c3
8/p1r1pk1p/1b2p1p1/8/1P2Pn1P/2R5/P1P5/2KN1B2 w - -,c3f3
r2q1rk1/3nbppp/b1n1p3/p2pP2P/1p1P4/2p2NP1/PPP1QPB1/R1B1RNK1 w - -,e2e3
1r2r1k1/1bqn1pbp/3p2p1/1ppP4/4PP2/3NB1P1/1PQ3BP/3RR1K1 b - -,e8c8
4q1k1/5p2/6pp/r3P3/p3QP2/R5P1/6KP/8 b - f3,h6h5
8/7p/r2pk3/PR3p2/8/7P/4KP2/8 b - -,a6c6
2q1rbk1/3b1p2/r4n1p/1p2pN2/2p1Pp1P/N1P5/1PB1QPP1/3RR1K1 b - -,d7f5
2r4k/2N3b1/1R2N1pp/1p3p2/5P2/P3n1P1/7P/7K b - -,e3c4
8/p5kp/1qNpQpp1/1p1P1p2/1P5P/1b4P1/6K1/8 b - -,g7h6
r2q1rk1/p5p1/2p5/n3p3/4Q1p1/2P5/PP1P1bP1/RNBK3R b - -,d8d5
1r4k1/p5pp/4pn2/PP6/1BR3P1/1N6/4Pp1P/5K2 w - -,f1f2
r2qkb1r/1b3ppp/pp1ppn2/2n5/3NP3/2N2P2/PPP3PP/R1BQRBK1 w kq -,c1e3
8/8/Q7/1p2p3/1P2k3/P2q2K1/8/8 w - -,g3g4
r4rk1/1p5p/1qn2ppb/p2pp3/3PbP2/QPP1NNP1/4BP1P/R3R1K1 w - -,e3g4
5bk1/5p1p/2r1p1p1/q2pP3/P2B1P2/4Q2P/6PK/R7 b - -,h7h5
1qr4k/3bPpbp/1p4p1/pNp5/2P5/5P2/PP1Q1PBP/3R2K1 b - -,d7b5
rn1q1rk1/pp2npbp/2ppb1p1/4p3/1PP5/1QNP2P1/PB2PPBP/R3K1NR w KQ -,g1f3
5k2/p2R4/8/2p4p/2Bbr1pP/PN4P1/5PK1/3r4 w - -,d7f7
1r4k1/pb3ppp/1p1rp3/3nN3/3R4/P3P1P1/1P3PBP/2R3K1 b - -,f7f6
5k2/5p2/4p1p1/1p1pP3/P5PP/3rRN2/1bN2PK1/2n5 w - -,a4b5
2r2k2/p4pp1/4p2p/2p1R3/2Pr1P2/1P4P1/PR5P/6K1 b - f3,f8e7
r3kb1r/pp3p1p/2p1pp2/8/3qP3/6PP/P1P1Q1BK/1R3R2 w kq -,b1b7
r2q1rk1/3b1p1p/p2p2pb/1p1Pn3/3B1N2/2P4P/PP2B1P1/R2Q1RK1 w - -,f4d3
8/8/1pB5/2n5/P4k2/4p3/4K3/8 w - -,c6e8
r4b2/6kr/pqp1Rp2/8/4N3/5Q1P/PP4P1/R6K w - -,f3f6
r1bqkb1r/ppp2ppp/4pn2/8/3n4/2NB1N2/PPP2PPP/R1BQ1RK1 w kq -,f3d4
1rr3k1/4qppp/p2pb3/4p3/2p1P1n1/P1N5/1PP1QPPP/1R1R1NK1 w - -,h2h3
rnbqk2r/pp3ppp/2p1pn2/8/1b1P4/2N2B2/PPP1NPPP/R1BQK2R b KQkq -,e8g8
8/8/3K1k2/1RP5/8/1p1r4/8/8 w - -,d6c7
5rk1/pp1bq2p/n1p1p1pb/8/2PP4/1B3NQP/PP2RPP1/4R1K1 w - -,e2e4
2r2rk1/pp1b2bp/1q3np1/3Pp3/8/1BN2P2/PP1Q2P1/2KR2NR b - -,b6d6
2q3rk/p3b1pp/1pn2p2/2p4Q/P1N3PP/2BPP2n/1P5K/R4R2 b - -,g7g6
2k3r1/4p3/1B1pn1P1/p7/1p6/1P6/P1P5/1K4R1 w - -,b6a5
2kr3r/pppbn1pp/2nb1p2/3p4/3P4/1PPB1N1P/P2N1PP1/R1B2RK1 b - -,g7g5
rnq2rk1/p4pbp/3p1np1/1P1Pp3/8/2NN2P1/PP3PKP/R1BQ1R2 b - -,c8c4
r1q1r1k1/pb1n1ppp/1p3b2/4p3/2P5/1PB2NP1/P1Q2PBP/R3R1K1 b - -,b6b5
6k1/5q2/2p1bb2/2B1p3/p1P1Ppp1/1P1N1P2/P1K3P1/6Q1 b - -,f7b7
8/3k4/2R5/4Ppr1/3B4/2p4P/P2b1P2/5K2 w - -,c6c4
r2qkb1r/3n1ppp/b1n1p3/p1ppP3/1p1P4/2P1BNP1/PP2NPBP/R2QR1K1 b kq -,b4c3
2br2k1/2R3p1/3P3p/7P/4pB2/8/5PP1/6K1 w - -,f4e5
8/4n3/5K1k/7p/7P/5P2/6N1/8 b - -,e7c6
r3r3/pp2kp1p/2bp2p1/4p3/2B1P3/2P1KP2/PP4PP/R6R w - -,a1d1
2rr4/1p3pkp/p1bp1np1/2q1p3/PnP1P3/1PN2PP1/1Q1R2BP/2NR3K b - -,h7h5
2rr2k1/pp3ppp/5n2/3p4/1P1RpP2/P1q1Q3/4B1PP/3R2K1 w - -,e3c3
4b3/4r1pk/1Q3p2/3BpP1q/4P2P/1PP5/5R2/4R1K1 w - -,b6c5
8/5pk1/8/3K4/8/8/6pp/7R w - -,h1h2
r2qrnk1/1p2b1pp/p3p3/3pPp2/P2P1P2/3QBN2/1P4PP/R5RK b - -,a8c8
2r1r1k1/3nppbp/3pbnp1/qp1N4/1N1BP3/PP3P2/1Q2B1PP/R4RK1 w - -,f1c1
2rq2k1/1p2b2p/p2p2p1/3Pp1P1/5r2/1N3P2/PPP2Q2/1K1R2R1 w - -,b3d2
8/3P4/8/2K5/8/p7/1k6/8 b - -,a3a2
5k2/1P3p2/4r1p1/7p/R7/P1K5/8/8 b - -,e6b6
r3k2r/1p1b1pp1/pq1ppb1p/2n5/3NPP2/1BN5/PPPQ2PP/1K1RR3 b kq f3,b6c7
8/8/1p4p1/1P2kp2/3p1b2/3P4/7P/5K1B w - -,h2h3
r7/1p1brpk1/4p1p1/n1Pp4/1R1P4/P4N2/2B2PP1/R5K1 w - -,c2a4
r2q3r/2pn1kpp/pp1b4/4p1N1/P3b3/8/1P3PPP/R1BQ1RK1 b - -,f7e7
6R1/8/8/4pN1k/3bP3/8/r7/3K4 w - -,f5g3
2r1b1k1/ppq1n2p/4p1p1/3pP2P/3P2P1/2PBQ3/P7/2R1K2R w K -,e3g5
8/1Q3n2/p2p1kp1/3P1q2/8/1P2BP2/P1PK2P1/8 w - -,e3d4
4rr1k/q5pp/3p1n2/P1b1p3/1pb1P3/5PP1/1B1Q2BP/1KNR3R b - -,f6e4
1r4k1/5p1p/p2p2pb/n1qPp3/2P1P1b1/P2R2P1/2QN1P1P/2B2BK1 b - -,f7f5
2n1k3/2b2pp1/4p2p/1p1pN3/1P1P1P2/N1P5/4K1PP/8 b - -,c8d6
r3k1nr/1bqp1ppp/p1n1p3/2b5/Pp2P3/3B1N2/NPPBQPPP/R4RK1 b kq -,g8f6
8/p7/3kbp2/1P5p/PK2BP1P/8/8/8 w - -,a4a5
b1r3k1/5ppp/ppq1n3/4BP2/P5P1/1P1P2KP/2P1Q3/4R3 b - -,e6g5
r3k2r/p2n1pp1/4p1n1/2ppP1Qp/6qP/P1PP1N2/3B1PP1/R4RK1 w kq -,f1e1
r2q1rk1/1p1n1ppp/3bpnb1/3p4/p5P1/1P1P1N1P/PB1NPPB1/2RQ1RK1 w - -,f3h4
8/3r2k1/3pp1p1/p5P1/3R3P/1Pr5/5PK1/4R3 w - -,e1e6
br1r2k1/2q1bppp/pn1p1n2/Np2pP2/4P3/P1N1QB1P/1PP2BP1/3RR1K1 b - -,d8c8
r1b2rk1/1pp2pp1/p1np1q1p/2b1p3/2P1N3/P2P1NP1/1P2PPBP/R2QK2R b KQ -,f6e7
r3r1k1/p2q1pb1/bp3np1/2pPp2p/P3P1P1/1PN1BB1P/5P2/2RQR1K1 w - h6,g1h2
2rqkb1r/1b1n1ppp/p2pp3/8/1pnNP1PP/4BPN1/PPP5/1KQR1B1R b k -,d7e5
8/8/6k1/1P5p/1B2pP1q/4P3/4BK2/8 w - -,f2g2
3rr2k/p4p2/5n2/5P1q/1p1N4/3Q2PB/PP2R1KP/2R5 w - -,e2e8
3r2k1/1R4pp/4pb2/p7/P7/4P1P1/5P1P/5RK1 w - a6,b7a7
2r2k2/2r2pb1/1p1pp1p1/pP5p/P1PP2q1/2RQB1PP/5PK1/2R5 b - -,g4f5
r1b2rk1/pp3ppp/1bn2q2/3p4/5B2/3BPN2/PP3PPP/2RQ1RK1 w - -,d1d2
2rq1rk1/1p2bppp/pn1pbn2/4p3/P3P3/2N2B2/1PP2PPP/R1BQRNK1 b - -,b6c4
8/8/3p1p1k/2pP1P2/2P4p/1P3q2/7Q/6K1 b - -,h4h3
