8/6p1/2R4b/4p3/N5k1/r7/4K3/8 w - -,a4c3
rn1qk2r/pb1pbppp/1p2pn2/8/3pP3/2PB1N2/PP1N1PPP/R1BQ1RK1 w kq -,c3d4
3rr3/1p4pp/2p1Qnk1/8/2Pq4/2Np3R/PP3PPP/R5K1 w - -,h3g3
R5k1/4b2p/3p2p1/2pPp3/4P3/P5rP/3B4/4K3 b - -,g8f7
r4rk1/1p2bppp/2p1pn2/1p3b2/n2P1B2/P3PN2/RP1NBPPP/5RK1 w - -,f3e5
2kr1b1r/pp4q1/4p3/4n1Q1/3pNB2/8/PP4PP/R4RK1 b - -,d8d5
6k1/2p3pp/4pn2/1P2N3/3pP2P/1P1Q2P1/5PK1/4q3 w - -,e5f3
r1bqr1k1/p6p/2p1NbpB/3p1p2/1p1Pn3/3B1N1P/PPP2PP1/2QRR1K1 b - -,c8e6
r1bqr1k1/pp3pbn/5np1/3p3p/1P1Pp3/2N1P3/PBQ1BPPP/1R2RNK1 b - -,c8e6
8/Q7/3kn2p/3n4/6p1/2B3P1/PP4KP/3r4 w - -,a7a6
5rk1/Rp3p1p/4pp2/1P6/8/6P1/1r3PKP/2R5 w - -,a7b7
r1bqr1k1/1p2bpp1/pnp2n1p/3p4/3P1B2/2NBPN1P/PP3PP1/2RQ1RK1 w - -,f3e5
3r1k2/2nq1rB1/p7/1p4RQ/1Pp2p1P/2P2R2/P5P1/6K1 b - -,f8e7
1rb2rk1/1pq1bppp/p1nppn2/8/N1PNP3/4B3/PPQ1BPPP/2RR2K1 b - -,c8d7
6k1/1p1nr2p/p2R2p1/3P1p2/2P5/4rB2/PP4PP/5R1K b - -,g8f7
2r3k1/p3qp1p/6pB/1bN1b3/1P2B3/2n2P2/P4PK1/2Q1R3 b - -,c3e2
3r4/1p2bpkn/p1b1p1p1/4p1P1/2B1P3/P3BP2/1PP5/2KN3R w - -,h1g1
rnbq1rk1/2pnp1bp/pp1pp1p1/8/P2P4/2N1BN1P/1PP2PP1/R2QKB1R w KQ -,f1d3
2r3k1/p4p2/6p1/1p3nNp/3b1B2/1P5P/P3R1P1/7K b - -,f7f6
2rqk2r/1b1nbp2/p1p1p2p/1p4p1/P2PP3/3B1Nn1/1PQN1PPP/3R1RK1 w k -,h2g3
1r6/4bpk1/1PRp2p1/p2Pp3/4P3/B2P2P1/7P/7K b - -,g7f8
4r3/1p3pk1/1P2nb2/2P3p1/2Qp2q1/3N2P1/P4PB1/4R1K1 w - -,c5c6
3r1nk1/3r2q1/4p2p/1pp1P3/3B1Q2/2P5/1P4PP/R2R2K1 b - -,c5d4
3r1k2/1p3ppp/8/p2b4/4P3/1P4P1/P2R1P1P/6K1 w - -,e4d5
r4k1r/pp1qppbp/2n3p1/2R5/3P2b1/3NBN2/PP1Q1PPP/R5K1 w - -,f3e5
4r1k1/pp3p1p/5bp1/2p4r/5B2/3PP1P1/PP3PKP/1R3R2 b - -,h5d5
2b1r1k1/pp4pp/2p5/2Pp3r/1R5P/5P2/PP2PKB1/2R5 b - h3,e8e7
2r1r1k1/1p1n1ppb/1q3P2/pNp1p1PQ/PnPpP2p/3P4/1P3BB1/3R1RK1 b - -,g7f6
1r3rk1/4p2p/3p4/2pP1p2/8/2Pn1P2/P2B2PP/1R2R1K1 w - -,b1b8
6k1/3r1pp1/4pn1p/1N6/2R1P3/6P1/1P3PKP/8 w - -,e4e5
1n6/3k2p1/2p2p1p/N1Ppp1n1/1N1P4/4P2P/5PP1/5K2 w - -,f1e2
8/1p4pp/8/3nk3/p3p3/1P4PP/P3K3/2N1B1b1 b - -,b7b5
5rk1/1pq3pp/4p1r1/PpNp1n2/3PpP2/2P3P1/4Q1KP/R4R2 b - -,b5b4
4r1k1/pp3pp1/5n1p/3pr3/3N4/P4P2/1PPK2PP/3R3R b - -,e5g5
r4rk1/2qn1ppp/1p3n2/1P1p4/1QpP4/B3PN2/5PPP/R1R3K1 b - -,f8c8
4k3/1R1n3p/4N1p1/8/6PP/r4PK1/8/8 w - -,g3f4
5k2/6p1/N3Bp1p/1p5P/1P1P4/n3PKP1/1r3P2/8 b - -,a3c2
r2q1rk1/pbpp2pp/1pn1pn2/5p2/1bPP4/2NBPP2/PP1BN1PP/R2Q1RK1 b - -,f6h5
r1bqk2r/1p2bpp1/p2ppn1p/2P1n3/4P1P1/2N1BP2/PPPQ3P/R3KBNR b KQkq -,d6c5
