8/8/4R1Pk/8/4p2K/6P1/8/4r3 w - -,h4h3
r2qr1k1/pp3ppp/2nb1n2/8/3p2b1/1N3N2/PPP1BPPP/R1BQ1RK1 w - -,h2h3
8/2R2k2/4pp2/1p4p1/p2PP2p/1r3P2/3K2PP/8 b - -,f7e8
r7/8/8/2K1N3/7R/5k2/8/8 b - -,f3e3
2rq1rk1/pp1b1pbp/4p1p1/n7/8/3R2P1/PPQ1PPBP/R1B1N1K1 w - -,c2d1
4r1k1/5Rp1/1p4r1/2qP2nQ/P3p3/6PP/2P3BK/5R2 b - -,g5f7
1kr2r2/1p2b3/3pNpB1/pq2p3/2n1PP1P/7R/1PP1Q1P1/1K1R4 w - -,h3b3
2r5/p4kn1/1p2pp1p/5Bp1/3P4/4PN2/Pb3PPP/3R1RK1 b - -,g7f5
2rqn3/3b2pk/r1p5/p1RpBp1p/P2NpP2/1P2P1PP/K2P4/2RQ4 b - -,h7g6
8/6k1/8/2n1R3/1pN1P3/1P1pKPP1/2r5/8 b - -,c5b3
r1b4r/2p1kp1p/1p1p1np1/p1nPp3/2P1P1P1/PP3P2/2BKNN1P/R6R b - -,c8d7
r2q1rk1/pb1n1ppp/1p1bpn2/3p4/3P4/PP1B1N2/1BPNQPPP/R4RK1 w - -,f3e5
6r1/p2kn2R/4p3/1p1pPp1B/2pP4/2P5/P1PK1P2/8 b - -,g8g2
8/5pp1/pR2kn2/P3p3/1P2PP2/5BPK/5r2/8 b - -,e6e7
2r3k1/rq5p/p1p1pp2/2Np2p1/3Pb2P/bP2P1B1/P4PP1/2RQ1RK1 b - -,a3c5
r1b2rk1/pp1nqpbp/2p3p1/2n1p3/2P1P3/2N1BN1P/PPQ1BPP1/3RK2R w K -,e1g1
r1q2rk1/1b2bppp/p2pp3/1p4P1/2nBP2P/P1N1QP2/1PP5/1K1R1B1R w - -,f1c4
6k1/6p1/7p/8/3r1P2/1R2N2P/7K/8 b - -,d4f4
r2qr1k1/Bb2ppbp/3p2p1/1p1Nn3/2n1P3/P1P3PP/1P2NPB1/R1Q2RK1 w - -,a7d4
1rb1r1k1/p1p1qpp1/7p/3pP3/8/1P1B1Q2/P1P3PP/R4RK1 b - -,c8e6
r2q1rk1/1p1n1pbp/p2p2p1/2p5/2PnPP2/2NBB2P/PP3QP1/3R1RK1 b - -,a8b8
r6k/2p3b1/pp1pq2p/4pn2/2P3n1/2N3P1/PP3PK1/1QB2R1R w - -,b1e4
8/7p/6p1/5pk1/4pN2/2n1P1PP/PnN2K2/8 b - -,c3a2
2r5/3pk1p1/R3p3/2P3P1/3K1P2/2P5/8/8 b - -,c8f8
2r2rk1/1q2bppp/pp1p4/3Np3/1PP1P3/6P1/PQ3P1P/2RR2K1 b - -,f8d8
k7/1p5r/p7/1q1BQ3/8/PNP5/KP6/8 w - -,c3c4
2R5/1p3pkp/n4bp1/BQ1Pq3/8/6P1/5rBP/6K1 w - -,g1f2
1r4q1/4QR2/1p4r1/6p1/3pP3/R3k2P/6P1/6K1 b - -,e3e2
8/7p/4nk2/1pbbpp2/8/1P3P2/1B3K1P/1N3B2 w - -,f2g3
