4k3/R7/1p6/2p5/2P1q3/1P6/P4P2/6K1 b - -,e8d8
r2r2k1/pb3ppp/1p2p3/8/2B1P3/PNP2P2/2n1K1PP/2B4R b - -,a8c8
3q1rk1/pbrnbppp/1p3n2/2pp4/3P4/1P1BPN2/PBQN1PPP/2R2RK1 w - -,f3e5
rn3rk1/pp2b1pp/1q2p3/3pPp2/3P1P2/P1NQ1N2/1P4PP/1R3RK1 b - -,f8c8
1q2r2k/2R5/1p2P1np/1NpB1pP1/2PQ4/1P4Pb/5B2/6K1 b - -,c5d4
4kr2/pp3pp1/7p/3rn3/4p2P/2P4N/PP3PP1/R3K2R w KQ -,h3f4
3r2k1/5pp1/1qQ1p2p/pP1pP3/Pp1N3b/7P/1P3PP1/3R2K1 b - -,b6b8
2k1r3/1p2q2p/p1p3p1/4np2/2P5/6P1/P2rBP1P/1RR2QK1 b - -,e7a3
1r3r2/3R1pk1/2p4p/p3Rp2/2B4b/1P6/P5P1/6K1 w - -,e5f5
1r2r1k1/3q1pbp/2np1np1/1pp1p3/1p2P3/P1PP1N2/3B1PPP/R2QRBK1 w - -,a3b4
8/2pk2b1/p5np/1pp3p1/4P3/1NP1KPB1/PP4P1/8 b - -,d7c6
5rk1/p1p3pp/bp2p2q/4Pp2/2P2Pn1/1P1pP1P1/PBQ4P/R4NK1 w - -,c2d3
r2qr1k1/pp2ppb1/2p1bnpp/3n4/3P3B/P1NBP3/1P1NQPPP/R4RK1 b - -,d5c3
4N3/Q5pp/2p3k1/1p2qn2/8/7P/PP4P1/7K w - -,a7d7
8/1prk2p1/1R5p/P4K2/1P4PP/8/8/8 b - -,d7c8
2r5/p5kp/pb2npp1/4p3/1P2P3/2PN4/1P1PKPPP/2B2N2 b - -,a6a5
5k2/5p2/3Q3p/5Bq1/6P1/8/7P/7K b - -,f8g7
1r1q1rk1/pp2ppbp/2bp1np1/2pP4/2P5/1PN1PQPP/PB3PB1/R4RK1 b - -,c6d7
8/6k1/R2p1n2/3Pp1p1/5pP1/5P2/6P1/1r2B1K1 w - -,g1f2
4B3/5p2/1p2b1p1/p7/1k3K2/1P4P1/P7/8 w - -,g3g4
r4r2/6p1/bq2pPk1/npbn2N1/8/2N5/1PQ2PPP/R1B2RK1 b - -,g6f6
