8/2R5/8/4r1p1/1p4P1/1P5k/1KP5/8 w - -,c7c4
5b2/5k2/R7/2p2p2/P1P5/5P2/1n4PP/6K1 b - a3,b2c4
3qr1k1/1Q3ppp/3p4/2pPp3/2P1Pbb1/2N1B1N1/P4PnP/1R4K1 b - -,g2e3
8/5k2/1pB5/p7/P2p2Kp/3P4/4P3/6b1 b - -,g1f2
1r2r1k1/Rbq2ppp/8/1p2p3/2p1P3/1nP2PB1/1PQ1B1PP/3R2K1 w - -,d1d5
2kq3r/3r1pb1/pp2p2p/2pPP1p1/3nB3/P3Q1B1/1P3PPP/3R1RK1 w - -,d5d6
8/5pkp/4b3/5n2/1r6/7P/4NKB1/2R5 w - -,c1c2
8/1p2r1k1/2qR1p1p/P5p1/4P1P1/3Q3P/5PK1/8 b - -,c6a4
6k1/p1r1ppbp/4bnp1/8/1p6/1P2NBP1/PB3P1P/3R2K1 b - -,c7d7
8/2k4p/5R2/4B3/2q1P3/4K1PP/p4P2/8 b - -,c7b7
6b1/pp4k1/5p2/5P2/3PrnP1/4r2p/P2R3K/2Q5 b - -,f4d5
r2r2k1/1p3p2/4bq1p/pPb1p1p1/Q2nP3/P4NP1/1R3PP1/1N1BR1K1 b - -,b7b6
2r2rk1/p4ppp/np1qp3/8/2nP1NQ1/P7/5PPP/B1R2RK1 b - -,g7g6
1k6/pp6/4b3/2p1b1p1/2PpP2p/3P3P/PP2K3/5BN1 b - -,g5g4
3B2k1/1q3Bb1/3p2p1/3b1p2/P2P4/4QPP1/1P1RR1K1/2r5 b - -,d5f7
q2r2k1/2p2ppp/2P1pb2/r7/pp1NQ3/4P1P1/PP3PKP/R2R4 w - -,d4c2
rnbqkb1r/pppn1ppp/4p3/3pP3/5P2/1P6/PBPP2PP/RN1QKBNR b KQkq f3,c7c5
2rq1rk1/pb3ppp/1p1p4/n7/3P1Q2/2P2N1P/P3BPP1/2R2RK1 b - -,b7d5
r5r1/2k2p1p/1np1bp2/4p3/1p2P2N/1P1B4/P2RNbPP/1K5R w - -,g2g3
R3r3/5Rpk/P3p2p/2q5/b1P1p3/3nP1Q1/6PP/6K1 b - -,c5e5
1nk1r2r/Q1pp1p1p/1p1b1qp1/3P3P/3P4/P3p3/1P2N1P1/1K1R1B1R w - -,e2c3
r3k1r1/1b6/p1p1pp2/1p2N1qp/PbpPPn1p/2N2B2/1P1Q1PPK/3R2R1 w q -,g2g3
4r1k1/pp1n1p1p/P1p3p1/5b2/3R4/2N2B1P/1PP2PP1/6K1 b - -,e8e1
r4rk1/p4pb1/6pp/1ppnp3/n1N5/2PP1N2/1P3PPP/R1B1R1K1 w - b6,c4e5
6k1/4Rp2/p7/5P2/2b1P3/rN1rBK2/PR6/4b3 w - -,e7b7
r2qk2r/pbpnbppp/1p1pp3/8/2PPP3/P2B1N2/1P3PPP/R1BQ1RK1 b kq -,e8g8
rn3rk1/4q1bp/p1p1b1p1/1p1p1p2/PP1P4/1Q1BPN2/4NPPP/1R3RK1 b - -,b8d7
r1b1q1k1/1p4bp/p5p1/2B1pp2/P3nP2/2P5/4B1PP/R2Q1RK1 w - -,c5b6
4rqk1/5p2/pQ1p2pp/2pP4/2bb1P2/5R1P/1P4PK/R2N4 w - -,d1c3
1r4kb/2n1p1qp/p2r1pp1/4n3/2PBN3/RP4P1/4Q1KP/3B1R2 w - -,e4d6
r7/p1p4k/1p1p2pp/3Pp3/2P1P3/2P5/P4Q2/3q2K1 w - -,g1g2
r1bq1rk1/1pp3bp/2np1np1/p3pp2/2P5/P1NPP1P1/1P2NPBP/1RBQK2R w K -,b2b4:e1g1
2Bb4/8/2p2qk1/p1Pp1n1p/Pp1PpQ1P/4P3/1P3B1K/8 w - -,c8f5
r1bq1rk1/pppn1ppp/4pn2/8/QbpP4/2N2NP1/PP2PPBP/R1B2RK1 b - -,a7a5
2r3k1/5nbp/p2q2b1/2p1p3/P1Q1Ppp1/1R1N1P2/6PP/3R2K1 w - -,d3f2
2r5/5k2/1p3qp1/1N2p3/P2p2np/1P4PP/3QPP2/5RK1 b - -,c8h8
3Q4/6kp/4p1p1/3b4/1B6/P2B4/6PP/2q3K1 w - -,d3f1
5r2/p3R3/1bb5/2p5/2p5/2P2kP1/P1Pp4/4R1K1 w - -,e1f1
2bq1rk1/p3npbp/4p1p1/2p5/1r1pPP2/3P1NP1/PP3BBP/R2Q1RK1 w - -,b2b3
6k1/5p1p/1r1p2p1/3N4/r1P1P3/5P2/4pKPP/8 w - -,d5b6
r5k1/3R3p/p5pB/1p2p3/3r2pP/8/P4PK1/3R4 w - -,d1d4
r4rk1/p2b1pbp/3p1np1/qppP4/2B1PP2/2N1B1NP/PP4P1/R2Q1RK1 b - -,b5c4
br1qrnk1/p1p3pp/3p1p2/2n5/1NP1P2R/P2PB1PP/4Q1B1/5RK1 w - -,g1h2
1k6/2p5/P1R5/1PP2K2/8/8/8/r7 b - -,a1a5
4R3/1k6/3K4/3P4/8/8/3r4/8 w - -,d6e6
4k3/p5p1/1pp2pbp/3p4/3P2P1/1NP1KP2/PP4P1/8 b - -,e8e7
r5k1/5p1p/6p1/2r5/1R3p2/pP6/P1P3PP/2K1R3 w - -,b4f4
8/2R1b3/3nk3/p4p2/3P2P1/4PK2/P7/8 b - -,f5g4
r1b2rk1/ppp1q1pp/2nppn2/5p2/2PP4/P1B1PP1N/1P4PP/R2QKB1R w KQ -,d1c2
4r1k1/2p2r1p/np1pN3/p2Pbp2/2PB4/P5P1/1P5P/3RR1K1 b - -,e5d4
rn1qk2r/pp1b1pbp/4pnp1/1B1p4/3P4/1QN1PN2/PP3PPP/R1B1K2R w KQkq -,f3e5
r1b1k1r1/1p3p1p/p2n4/2Np4/2nB1P2/P1PB4/2P3PP/R3K2R b KQq -,g8g2
3r2k1/R4pp1/2p1b2p/8/1P6/4B3/5PPP/6K1 w - -,h2h3
rb2r3/4k1pp/pp6/3p2Q1/3P4/q2NP1P1/7P/2R3K1 b - -,e7d6
r1bq1rk1/ppp3b1/3p1n1p/2PPppp1/4Pn2/2NN1P2/PP1BB1PP/R2Q1RK1 w - -,d2f4
r6r/6pp/Nk1p4/1P2pPb1/8/2P5/5PPP/4KB1R b K -,d6d5
2rb1rk1/1q1b1pp1/pp1ppn2/4n2p/1PP1P3/P1N1BP2/3NBQPP/2R2RK1 w - -,g1h1
6k1/7p/5Bp1/3Pp3/3r2P1/7P/3K4/8 w - -,d2e3
6k1/5p2/B5pp/8/1N1b1Pb1/8/3K4/8 b - -,g4f3
7r/kp4p1/p6r/2p1pR2/2PpP3/qP1P2P1/6RP/3Q2K1 b - -,h8e8
r1b3k1/pp2b1pp/2p5/4p3/2PrN3/6P1/PP3P1P/R1B1R1K1 b - -,c8f5
