8/4r1k1/3N2p1/7p/1R4n1/4P3/5PK1/8 w - h6,b4b7
8/ppp1n3/r3pkp1/4N3/P3PP1P/1P2P3/4K3/6R1 b - -,a6d6
2r3k1/p1qrnpbp/b3p1p1/np1pP3/3P1BP1/5N1P/PP1Q1PB1/1R2RNK1 w - -,b2b3
3r3k/1p1rb1qn/2p1p2p/p3Pb2/2BPNp2/P4P1P/1P1R2PN/R4Q1K w - -,a1d1
r1bq1rk1/pp2bppp/2n1p3/2p5/3P4/2PB1N2/P1P2PPP/1RBQ1RK1 w - -,d1e2
rnbqkb1r/p1pp2pp/1p2pn2/5p2/2PP4/2N1PN2/PP3PPP/R1BQKB1R b KQkq -,c8b7
rnb2rk1/pp1pppbp/1qp2np1/8/3PP3/2N1BN1P/PPP2PP1/1R1QKB1R b K -,d7d5
3r1r1k/2p1q1b1/1p1p3p/pPnP1pp1/P1P1p3/Q3P2P/2B2PPB/4RRK1 w - -,a3c1
5k2/p4r1p/1p2qP2/2pp4/5RP1/1P3Q2/P6P/6K1 b - -,h7h6
r1b1kb1r/p2n1p2/q1n1p1p1/1p1pP3/1PpP1PBP/2P2N2/1N1B4/1RQ1K2R b Kq h3,f7f5
8/2q3k1/1p4b1/3p2p1/p2PpbBp/P1P4P/1PKNQ1P1/8 w - -,c2d1
3r1r1k/bpp3pp/p1n5/4pp1q/1PQP4/P3P1P1/1B2NPKP/R2R4 b - -,f5f4
r5k1/p1n2p1p/3p2p1/1qpPr3/Np2P3/1P5P/P1Q2PP1/3RR1K1 w - -,a4b2
5k2/8/5Pp1/3B1b2/4KP2/8/8/8 w - -,e4e5
r4rk1/pp1b3p/1n4p1/2pPp1n1/3pP3/1P1N4/P3BNPP/1R3RK1 w - -,d3c5
r1b1k2r/1pqn2pp/p2bpn2/6B1/2B5/5N2/PPP1QPPP/R3K2R w KQkq -,e2e6
3nk3/1p5p/2p2Q2/2q1p2p/8/5NP1/5P2/6K1 w - -,f3e5
2r3k1/6p1/5R2/1q2p3/1p2P3/1p1N3p/P1P1Q2P/1K6 w - -,a2b3
8/p4r2/1p5p/5r1k/1PPPK3/5pR1/P4R1P/8 b - -,f5f4
3b2k1/7p/p2P2p1/8/b2pPpN1/3P1N1P/P5P1/7K w - -,f3d4
1r2k2r/pp1nqpp1/2p1p2p/N2pP3/3P1PPb/3P4/PP1B3P/R2Q1RK1 w k -,a2a3
1r1q1r2/4n2k/1p1p1np1/pP1Pp1bp/N1N1P3/1Q6/P4BPP/R3R1K1 b - -,e7c8
4r1r1/ppp2p1k/3p1B1p/3P1P2/2PN1R1Q/7P/P3b1PK/3q4 w - -,h4f2
2r2r1k/2qn1ppp/p2bpn2/1p1p2B1/3P4/P1P2N1P/1P1NQPP1/2R1R1K1 b - -,h7h6
2kb4/8/1KP5/8/8/5R2/8/8 w - -,c6c7
r4rk1/1p3pp1/p1pq1np1/3p4/3P2P1/5B1P/PPPQRP2/4R1K1 w - -,e2e7
r1bqk1nr/ppp3bp/2np2p1/4pp2/2P5/2NP1NP1/PP2PPBP/1RBQK2R b Kkq -,h7h6
3r2k1/1b2qpp1/p3p2p/1p2P3/4pP2/P3Q3/1PP1B1PP/4R1K1 w - -,e1d1
5rk1/4p1bp/1r1p4/p1pPpPP1/P1R4P/1pP3N1/1P6/5RK1 b - -,g8f7
r2q1rk1/1p2bppp/2npbn2/p3p3/N3P3/1N2BP2/PPP1B1PP/R2Q1R1K b - -,f6d7
3r1qk1/pp1b3p/3p1pp1/2pP4/5Q1P/2P5/P2N1PP1/4R1K1 w - -,d2e4
8/3kP3/R7/5PKp/pr5P/8/8/8 w - -,f5f6
1r1r3k/1b3pp1/pp5p/3n1Nq1/8/2P2P2/1PB2QPP/3RR1K1 w - -,h2h4
r3BR2/pbp3k1/2pp4/4b1p1/2P5/2P5/P5PP/5RK1 b - -,e5f4
2kr3r/ppp2ppp/4pn2/2bq3b/2Nn4/3P1N1P/PPP1BPP1/R1BQR1K1 w - -,f3d4
7r/8/1p1pRp1p/p3b1pB/P1P3P1/1P1K3k/8/8 b - -,f6f5
r3k2r/5pN1/p2pp2p/qp2n3/2b4B/4Q3/PPP3PP/2KR1B1R b kq -,e8f8
