8/6p1/1p1k1pN1/2pn1P1P/4K1P1/8/8/8 b - -,b6b5
r1b2rk1/pp3p1p/6p1/4p3/8/2P1PB1P/PP4P1/R3K2R b KQ -,c8e6
4r3/8/2p4k/1p5R/4N1Pp/P1Pn4/1P5K/8 b - -,h6g6
3r3k/4b2p/pp2p3/4P3/2P1NP2/PP6/6KP/2B5 b - -,d8d3
2r3k1/2b1rbpp/1p3p2/p1p1p3/2N5/1PBP4/1PP1RPPP/4R1K1 w - -,f2f4
8/p7/1p1kp3/1P1pN3/3P1P2/4K3/1r2B3/8 b - -,b2b1
3r4/5n2/2p2p2/1p2k1pP/p3P1P1/2P1K3/1P2B3/R7 b - -,d8a8
5k2/3b3p/3p2pn/2pP1p2/1pP2P2/1P3B1P/3NKQP1/2q5 b - -,h6f7
r2q1rk1/ppp1ppbp/2n3p1/4PB2/5P2/2P2N1P/P1P3P1/R1BQ1RK1 b - -,g6f5
r1b2rk1/1p4b1/1p6/3np3/4NpP1/5P2/PP1B2B1/R4RK1 b - -,c8e6
1r4k1/4Np1p/6p1/Rr6/1P1b4/6PP/5P2/5RK1 b - -,g8f8
r6k/2pb4/2nbp1qp/pp1p1rp1/1P1P3P/P1PNRNP1/3Q1PB1/3R2K1 w - -,h4g5
2r5/1p1bk2p/4prpP/3R4/1P1N1P2/2P1R1P1/7K/8 b - -,d7c6
r2r2k1/3pbppp/1p2p3/2p1n3/2P5/1P4P1/PB2PPKP/R2R4 w - -,b2e5
8/pR5p/6k1/3r4/8/nP5P/6KP/8 b - -,a7a5
2r1n1k1/5rpp/2ppb3/4p3/2P5/R3N1P1/4PPBP/5RK1 w - -,f1b1
8/8/7K/4bkBP/8/8/8/8 b - -,e5d4
3r4/7k/2n1P2p/p5p1/1Pq2r2/2BpQ3/1P4PP/3RR2K b - -,a5b4
r2qk1nr/pp1bbppp/2n1p3/3pP3/3P4/2P2N2/5PPP/RNBQKB1R w KQkq -,f1d3
2rq1rk1/p2nbppp/1p1np3/1P1p4/3P1B2/1P3NP1/1Q2PPBP/R1R3K1 w - -,f4d6
8/5p2/1kp5/1pp1p2B/p3P3/P1K5/1P4P1/8 b - -,f7f6
4r1k1/2pR1p1p/1pn5/2p2Pp1/2P3P1/2KN4/1P4P1/8 b - -,e8e7
8/6p1/p1b1pk2/8/p1P4P/P3R1K1/4BPP1/2r5 w - -,f2f4
2k1rb1r/p5p1/5p2/R1p1Pp1p/b1NP4/5NP1/P4B1P/6K1 w - -,a5a4
2rr2k1/ppq2pp1/4pn1p/2b1N2P/6P1/8/PPP1QP2/1KBR3R b - -,d8d5
1r2r3/2p2pk1/ppbp2p1/P6p/1PPRPP2/6PP/6B1/3R2K1 w - -,d1a1
2kr4/p2r2pp/1p2bp2/3np3/5P2/2P1B1P1/PP3K1P/2N1R2R w - -,f4e5
6kr/4qpp1/2p1p3/3pP2p/p2P4/Pn2QNP1/1P3P2/4R1K1 w - -,e3c3
5rk1/pbpnq1pp/4p3/2p2r2/1P6/P2B1PPn/2Q4P/R1B1NR1K w - -,d3f5
