8/8/6Bp/p5p1/P3n3/4k2P/6K1/8 w - -,g6f7
r2q1rk1/pp1n1pp1/2pb1np1/3p4/3P4/2N1PPP1/PP4BP/R1BQ1RK1 b - -,f6e8
2b5/2k1r3/p1p1p3/1pP5/2qP4/2P3P1/2B2P1P/3QR1K1 w - -,d1a1
7k/p5q1/5bBp/1pB3p1/2p1Q3/6pb/PP6/1K1R4 w - -,d1d8
8/1p3p2/p7/3pkP2/2q1n1p1/4Q1P1/8/3R2K1 w - -,e3f4
3q1rk1/5pp1/r1p1p2p/p2PNb1n/Q2P1B2/4PP2/P5PP/R4RK1 b - -,c6d5
r2q1rk1/p4ppp/1p6/3pPp2/8/3p2QP/PP4P1/nNB3K1 w - -,c1h6
r1bq1rk1/1ppn2b1/p1n1p1pp/2Pp1p2/1P1P4/P1N1PNBP/4BPP1/2RQ1RK1 b - -,g6g5
8/p5pk/1pp1p3/3p1Rb1/3P4/2P3BP/PPbN4/6K1 b - -,c2f5
r3k1nr/p2n1ppp/1ppqp3/5b2/3P4/1N3NP1/PPP2P1P/R2QKB1R w KQkq -,f1g2
8/1R4bk/4p1p1/5p1p/3P4/2r1PBP1/4PK1P/8 w - f6,b7e7
8/7p/p1r3p1/1p6/1P4kP/P6R/2P5/3K4 w - -,h3h1
6k1/4pp1p/6p1/1p6/1P4P1/4P2P/b2r1PB1/R5K1 b - -,a2c4
3r4/1R2nkp1/5p2/7p/3P3P/1N4P1/5PK1/8 b - h3,g7g5
r1nqnrk1/3b1pb1/1p1p2pp/2pPp3/P1P1P3/RQN2NP1/5PBP/1RB3K1 b - -,g8h7
3r1rk1/1pp3pp/1nn5/4pb2/p1P1N3/P1QqP1P1/R2N1PBP/5RK1 w - -,f1c1
r1bq1rk1/ppp1n1pp/1n3p2/1B2p3/8/2PPRN2/PP3PPP/RN1Q2K1 w - -,d3d4
1r3rk1/p2n3p/2b1pbp1/2pp3P/5P2/2P1B3/PP1RN1P1/1K3B1R w - -,h5g6
rn1q1rk1/1p3p1p/p2p1npQ/2pP1b2/P1B5/2N5/1PP2PPP/2KR2NR b - -,b7b5
rnbqk1nr/pp1pppbp/6p1/2pP4/8/2N5/PPP1PPPP/R1BQKBNR w KQkq -,e2e4
8/7R/1Np3p1/P4k2/1Pb1r3/5K2/8/8 b - -,c4e2
r1b1k2r/pp1n1ppp/3Npb2/q7/3p4/2PB1N2/PP2QPPP/R3K2R b KQkq -,e8f8
5rk1/1q1nppbp/r2p1np1/2pP4/P3P3/R1N2NP1/1PQ2PKP/2B4R w - -,h1e1
8/7p/3Bn1p1/4pp2/3k3P/5KP1/5P2/8 b - -,e6c5
2R5/5k2/p3r1p1/5p1p/2P1p2P/r5P1/P1R3K1/8 b - -,e6d6
2k1N2r/ppp5/4P2p/5P2/3b4/2R5/Pn1N2PP/5R1K b - -,d4c3
8/p4Q1p/bp5k/5pp1/8/q3PBP1/5PKP/8 b - -,a3a1
8/7p/3k4/R5p1/1p1p4/3K1P2/P5rP/8 w - -,d3d4
rnbq1rk1/ppp1bppp/8/2npP3/8/5N2/PPP1BPPP/RNBQ1RK1 w - -,c1e3
rn2kb1r/pp3ppp/2p1pn2/8/2P3b1/5NP1/PP2PPBP/RNBq1RK1 w kq -,f1d1
7k/8/4N1RP/5p2/8/r2K1P2/7b/8 w - -,d3d4
8/7p/6k1/1p4P1/2p4P/PPK2RP1/r7/8 w - -,c3b4
5R2/8/4p3/4K3/4P1k1/2P3p1/8/2r5 w - -,f8g8
r2qkb1r/pp1b1ppp/2n1p2n/3pP3/3p4/P1PB1N2/1P3PPP/RNBQK2R w KQkq -,c3d4
1rbq1rk1/pp2npbp/3p2p1/2p1p3/2PnPP2/2NPB1P1/PP2N1BP/R2Q1RK1 w - -,d1d2
1r3rk1/3q1bbp/1p1p2p1/3Ppp2/1R6/1Q1PP1P1/5PBP/2B2RK1 w - -,b4b6
8/8/1p6/p3kP1p/P4rP1/1P2K3/2P1B3/8 w - -,g4h5
r4rk1/5ppp/p1np4/2qNp3/1pP1PbPP/1P1R4/P1N2P2/R2QK3 b Q -,a8d8
1nr3k1/2rpppb1/p6p/P1N1P1p1/RP6/5b1P/2P1BPP1/3K3R w - -,g2f3
2rq1rk1/1b6/4N1pp/p2pn3/1p4Pb/3Q4/P1B4P/B1RN3K w - -,a1e5
r5k1/8/p2R3p/3Pp3/P3n3/2R4P/2b2P2/5BK1 w - -,d6g6
2kr1br1/pbq1np2/3p4/3n1NPp/2pP3P/2P2NB1/P1BQR2K/5R2 w - -,f3g1
2r2rk1/1pq1n1bp/4p1p1/1pBpP3/1P6/P7/2NQ1PPP/R3R1K1 b - -,g7e5
rn2kb1r/pp3ppp/2p1bp2/q7/3PQ3/2N5/PPP2PPP/R3KBNR w KQkq -,f1c4
2rqkb1r/3npp1p/2p2np1/1pPp4/3P2b1/Q1N1PN2/1P3PPP/R1B1KB1R w KQk -,c1d2
r2q1rk1/pp6/2npp1p1/2p1b2p/P1N1Pp2/2PP1N1P/1P1Q1PP1/R4RK1 b - -,e5g7
8/2r2Bk1/6Pp/R7/2P4P/1p4P1/3n2K1/8 w - -,a5b5
5qk1/R4p1p/3rpQp1/5n2/8/3P1BPP/4PPK1/8 b - -,f5g7
rnbq1rk1/pp2bppp/4pn2/2pp4/2PP4/2NBPN2/PP3PPP/R1BQ1RK1 b - -,b8c6
8/p1p3k1/2ppr2p/2n1P1p1/Pr6/1PR1R2P/2PN2P1/6K1 b - -,b4d4
