4NK2/8/6k1/6Pp/7P/1b6/8/8 w - -,e8c7
rnbq1rk1/1p3pp1/3p1n1p/2p1p3/1PP5/2NP1NP1/3QPPBP/R4RK1 b - -,a8a1
2rr2k1/1b2bppp/p3pn2/1pp5/5q2/1PNB2R1/PBPP1PPP/3RQ1K1 b - -,c5c4
r7/2p2krp/1p1p1p2/p3pP2/2P1P3/PP4P1/5K1P/R4R2 w - -,b3b4
1k1r3r/pppq1ppp/8/nP2n3/4B3/3P2P1/P1N2PQP/R2R2K1 b - -,f7f5
r2q1rk1/1p1b1pbp/p1nppnp1/2p5/2P5/1PNP1NP1/PB2PPBP/2RQ1RK1 w - -,e2e3
r3kb1r/ppp2ppp/2n5/4p3/2PPq1b1/4BN2/PP3PPP/R2QKB1R w KQkq e6,f1d3
8/5k2/p4pp1/8/P3K1PP/8/8/8 b - -,a6a5
8/p4p1k/1p5p/1N2p3/P3Pn2/3q4/1Q1R4/4K1B1 b - -,d3e4
8/p1k2p1p/5Pp1/8/P4P1P/8/6P1/6K1 w - -,g2g4
r1b1k2r/ppppnppp/2n3q1/8/4P1P1/1Nb1BP2/PPP4P/R2QKB1R w KQkq -,b2c3
2r1r1k1/p4p2/2pb2p1/3p3p/P2P2qP/2NQP1P1/5PK1/RR6 w - -,d3d1
2nq4/3b1k2/1p1p4/3P1p1n/1P2PB2/3B4/7Q/4N1K1 b - -,d8g8
r1bqr1k1/1p3ppp/p1n1pn2/3p4/3P4/2NBPNP1/PP3PP1/2RQ1RK1 b - -,d8d6
r2qkb1r/1bpn1p2/p2ppnpp/1p6/3PP1PP/2N1BP1N/PPPQ4/2KR1B1R b kq -,d7b6
r4rk1/pbqnbppp/1pn1p3/2p5/4P3/P1P2NP1/1PQN1PBP/R1B1R1K1 w - -,h2h3
2k5/1p6/4p1p1/P1K1Pp2/5P2/3pn3/6BB/8 w - -,g2f3
2r3k1/5rp1/2q2b2/p3pR2/1p2P2p/3N4/PPP3QP/1K4R1 b - -,h4h3
8/4k1p1/3p2r1/7p/2PRN2P/r5P1/5K2/8 b - -,a3b3
1r1qk2r/4ppbp/3p1np1/2p5/1p1nPP2/3PN1P1/1PP2QBP/R1B2RK1 w k -,e4e5
4r1k1/p1pr3p/2R5/4Bp2/2R1p3/1P4P1/P3PPK1/8 b - -,e8e5
r5k1/1p2Qppp/1p6/8/4r3/8/PP3PPP/R4RK1 b - -,e4e7
6k1/6P1/1p3pR1/p7/2r5/P7/KP2P3/8 b - -,c4c6
r5k1/pp3pp1/2p2n1p/8/3P4/4r1B1/PP3PPP/4R1K1 w - -,f2e3
8/8/2b5/6p1/3K1b2/R5k1/8/8 b - -,c6f3
r2r3k/6p1/p1Q2pq1/4b2p/8/4B1P1/PP3P1P/2RR2K1 w - -,d1d8
4q1k1/3r2pp/p4p2/p2pp3/Pb2P3/1P2N1P1/2R2PBP/B5K1 w - -,e4d5
r3k1nr/ppp3pp/2nq1p2/8/3P4/2N1BP2/PP3PPb/R2QKB1R w KQkq -,d4d5
2r1r1k1/pp1n1p2/4b2p/q2p2pP/2pPP3/2P2P2/P1Q2BP1/1N2RRK1 b - -,d7f6
r1bqk2r/pp1nbppp/2n1p3/2ppP3/3P4/2PB4/PP1NNPPP/R1BQK2R w KQkq -,e1g1:d2f3:f2f4
3k4/7R/3K4/3P4/2p5/4r2P/8/8 w - -,h7d7
2b3k1/2r1bpp1/2Bp3p/2nPpP2/4P2P/r5P1/2N2B2/1R2R1K1 b - -,a3c3
1rb2rk1/p1pp1ppp/2p2q2/5n2/N2P4/1PP5/P4PPP/2RQRBK1 b - -,d7d5
5r1k/1b2p1bp/2qp4/5p2/2P2P2/P1B3PP/3Q3K/1R3R2 w - -,c3g7
r5r1/1bp2k1p/p4b2/3p1N2/Pp3p2/1B1P4/1PP2PPP/2KR3R w - -,f5h6
r2qr1k1/2n1ppbp/pp1p2p1/2pPn3/PPP1P3/2N1B3/3QNPPP/1R3RK1 w - -,d2a2
r2q1rk1/pb1pppbp/1pn2np1/8/2PNP3/2N1BP2/PP1QB1PP/R3K2R b KQ -,e7e6:d8b8
r2r2k1/1b2bppp/p7/3Pp3/2B3P1/qP2BP2/3R1Q1P/4K2R w K -,e1g1
2b1r1k1/p4pp1/1q5p/3pP3/1B1P1Q2/P7/5PPP/2R3K1 w - -,h2h3
r3k2r/pppqppbp/5np1/3Pp3/2P1P3/8/PP2QPPP/RNB2RK1 b kq c3,e8g8
1Q6/1p4r1/2p4k/3n1r2/8/8/PP4P1/6K1 b - -,h6h7
5k2/1p3pqp/2r2n2/p4P2/Pb4nQ/5R2/BP4PP/R6K b - -,g7h6
1r3rk1/2qnbppp/p4n2/1ppb1P2/4p3/2PP1NP1/PPNBQ1BP/R4RK1 w - -,f3e1
1r3r1k/1p1qn1b1/3p1pp1/p1pPpb1p/7P/PPNPP1P1/2QB1PBK/1R3R2 b - -,d7e8
1k2r3/1p3ppp/p3q3/8/PP3b2/5QP1/2P2P2/3R2K1 w - -,f3f4
2r5/p5bk/1q4p1/1P3p1p/4p3/1P2P1P1/Q4P1P/3R1BK1 w - -,f1c4
1r3rk1/1b3pb1/2np1qpp/2pNp3/1p2P3/3P2PP/1PPQNPB1/R4RK1 b - -,f6d8
1N2k2r/5p2/2r1p3/1pp4p/5p2/P1P4P/1PK3P1/3R4 b k -,c6c8
6k1/5p2/p5p1/1b5q/4Q3/4B3/6BK/8 w - -,h2g3
1r6/8/3k4/7R/1n5P/KB1n4/8/8 b - -,b8a8
r1bqk1nr/p1pp1ppp/1pn1p3/4P3/2PP4/2P2P2/P5PP/R1BQKBNR w KQkq -,f1d3
r3k2r/1p3pp1/4pn1p/p3q2P/8/6P1/PPPB2P1/2K1RR2 w kq -,e1e5
1r6/1b3R2/8/8/7p/1B1Pk2P/PPP3P1/6K1 w - -,f7e7
5rk1/1pN2ppp/p1b1p3/q2pP3/3Pn2P/P1R5/1Q3PP1/2R1KB2 w - -,b2b4
8/p4pk1/2p2q1p/2np4/5P1P/1P3BK1/P2Q4/8 w - -,h4h5
5r2/3q2k1/3p1p2/Q2P1Pp1/P1P4r/1P5p/7P/2B2RbK w - -,h1g1
rn4k1/6pp/2p2p2/pp3P2/3Pr3/3NP3/1P3KPP/2R1R3 b - -,g7g6
rq3rk1/1p1bbppp/p2p1nn1/P2Pp3/1RB1P3/3QBP2/2P1N1PP/R6K w - -,a1b1
rnbqk1nr/pp2ppbp/3p2p1/8/2BpP3/2N2N2/PPP2PPP/R1BQK2R w KQkq -,f3d4
r1n3k1/1r1q1ppp/p1Rp1n2/B2Pp3/1P6/1B6/P4PPP/3Q1RK1 w - -,d1d3
4r3/2q4k/p4rpp/1pNpp3/1P2b3/2P1Q2P/1P2R1P1/4R1K1 b - -,e4f5
8/3R1k2/5P2/2K1P3/2N5/2q5/8/8 b - -,f7g6
5k2/1p2r3/1PRp1p2/3P1P1p/5K1P/5P2/8/8 b - -,e7d7
rq3r1k/4n1bp/2bp2p1/p1p1p3/4P3/Q3B1P1/PP1RNPBP/2R3K1 w - a6,c1d1
4rrk1/pbq3p1/1pn1pn1p/2pp4/7P/2PP1NP1/PP2QPB1/R3RNK1 w - -,c3c4
2r3k1/1b3p2/1pN1n1p1/pP1P4/P1pP1Pqb/8/Q5BP/1R1R2K1 b - -,e6f4
8/1Bk5/P1n3p1/1p1p3p/2pPp2P/2P1P1P1/4K3/8 b - -,c6e7
5N2/8/3B3p/5k1p/p3bP2/4b3/8/4K3 w - -,e1e2
rn1q1rk1/p1p1b1np/b3pp2/3p2p1/1P1P4/3N1QP1/1PPBPPBP/RN3RK1 b - -,g7f5
6k1/pB2Brp1/Pp3q1p/3p4/6P1/3Q4/6R1/6K1 b - -,f7e7
8/8/1n1k1p2/1P1p3p/1N1K1p2/6PP/8/8 w - -,g3f4
r2qr1k1/pp1b2pp/2nb1n2/2p2p2/2Pp1P2/3P1NP1/PPNB2BP/R2Q1RK1 b - -,a7a5
r2r1nk1/1bq1bppp/p3pn2/1p4B1/3NP3/P1N5/1PB1QPPP/R2R2K1 w - -,a1c1
3k4/1p4R1/4p1p1/1Bnr3p/5KP1/7P/8/8 w - -,g7g6
2rr4/1k3pp1/1pp1p1np/p3P3/PbRPN3/5NP1/1P3P1P/2R3K1 b - -,c8c7
rnb2rk1/1pqp1ppp/2p2n2/p1b1p3/2PPP3/P1N2N2/1P2BPPP/R1BQ1RK1 b - d3,e5d4
6rk/5qpp/2p2p2/4n3/P3P2P/2N4Q/6P1/5R1K w - -,h3e3
r1b2rk1/pp1nqppp/4p3/4P1N1/5Q2/3B4/PPP3PP/2KR3R b - -,f7f5
2b4r/1pb1k1pp/2p2p2/2P1p3/1P6/2B1P1P1/5PBP/R5K1 w - -,g1f1
2r3k1/p4p2/5qpp/b7/3p1P2/3B1QP1/PP2R2P/6K1 b - -,g8g7
1r4k1/4Brp1/3Pp2p/pN1b1P2/6P1/1P6/P1P5/2KR4 w - -,b5c7
r3r1k1/3b1ppp/np3q2/p1pP4/2Pp2P1/PQ4BP/1P3PB1/R4RK1 w - -,d5d6
r3kbnr/1p3ppp/4p3/1b1pP3/p2P1B2/PpP2NN1/1P3PPP/R3R1K1 b kq -,g8e7
r2r2k1/p2qbppp/2p1bn2/4p3/N3P3/1P4P1/P1Q2PBP/R1B2RK1 b - -,d7c7
b2r2r1/p3q1bk/1pnNp2p/2p1Pp2/5P2/P2PB2P/2PQ2B1/3R2RK b - -,e7h4
r2q3r/pp1kbp1p/3p1p2/2pP1N2/2P5/3P4/PP1Q2PP/4RRK1 b - -,e7f8
1rr2bk1/2Rn1p1p/4b1p1/pp1NP3/5P2/1P3BPP/P3RB1K/8 w - -,c7d7
1rb1rbk1/1pqn1p1p/p2p1np1/2pP4/P3P3/2N3B1/1PQNBPPP/R4RK1 w - -,f2f4
r1r5/4kp2/pp3N2/4PQ2/b1q5/P5R1/1B3PPP/R5K1 w - -,f5d3
r3k2r/1p2pp2/1q6/pN1p1Q2/2P5/P7/1P3P1b/1RB2R1K b kq -,e7e6
r4rk1/2R1ppb1/b5p1/2Bp3p/8/2N2P2/1PPK2PP/7R b - -,g7h6
r2qk2r/pb1p1ppp/1pn1pn2/2p3B1/1bPP4/1QN1PN2/PP3PPP/R3KB1R w KQkq -,d4d5
1r6/3rbk1p/p7/B1p2p2/P3pN1P/1P2PbP1/KR6/2R5 b - -,b8g8
rnb1kb1r/1p1p1ppp/p3p3/4q1B1/3NN3/P2Q4/1PP2PPP/R3KB1R b KQkq -,d7d5
8/5pk1/p3p1q1/4P3/PP3Q2/6PB/4bP1K/8 w - -,g3g4
r4rk1/pp1q1ppp/1nB1pb2/8/3P2Q1/2N5/PP3PPP/R1BR2K1 b - -,b7c6
5r2/3bkpp1/4p2p/3pP2P/qrpP1RP1/5Q2/2P2P2/2BK1B2 w - -,c1a3
3r2k1/2p2p2/p4b1p/1p4p1/PP2Pp2/2P2N2/5PPP/R5K1 w - -,e4e5
4r3/pp2r1kp/2p3p1/5b2/2P5/1PN5/PK4PP/3R1R2 b - -,e7e5
r2qnrk1/2p1b3/p1n2p1Q/1p1p3p/3P3P/1PN2P2/PBP2P2/2KR2R1 b - -,g8f7
2q5/1pr1p1k1/3p1ppr/pB1Pn2P/P2Q4/5PR1/1PP5/1K4R1 w - -,f3f4
8/8/4K3/6k1/6n1/5R2/8/8 b - -,g4h2
8/4k3/R6p/2Nb3r/3K4/8/8/8 w - -,a6a7
2r2rk1/5p1p/3p1p2/p7/1pbpP2P/6P1/PP3P2/R3KB1R w KQ -,e1d2
6k1/3n1p1p/3q2p1/2r5/4p3/2N1Q2P/1P2BPP1/5RK1 b - -,f7f5
2R5/8/4r3/1kP1B3/3K4/8/2b5/8 b - -,c2f5
r5k1/pp4p1/2p1bn1p/3p4/3P2pP/2N1P3/PPQ1Br1q/2K2RR1 w - -,c2b3
r3k2r/ppqn1pp1/2pbbn1p/3p2B1/3P1P2/2NB3P/PPPQN1P1/R3K2R w KQkq -,g5f6
2k5/1ppn4/p4pP1/3p3p/3P1NrP/1P2K2R/P1P5/8 b - -,d7f8
r1bqn3/p3pkbQ/1np3p1/1p2PrB1/3P4/2NB1p2/PPP5/2KR3R w - -,g5h6
1r1qrn2/1b1nbpkp/p7/2ppPP2/P7/2P2N1P/2B3P1/R1BQR1K1 w - -,f5f6
r1b2rk1/pp2p1n1/1q5Q/3pP3/5P2/2p2NPP/PP5K/2R2R2 w - -,h6b6
1r1q1rk1/pp2npbp/4B1p1/2p1p3/P2nP3/2N2N1P/2PP1PP1/1RBQ1RK1 b - -,d4e6
r2rb1k1/6p1/pp1qp2p/3nNp2/1PBP4/PQ6/5PPP/2R1R1K1 b - -,b6b5
