8/3R1pk1/6pp/8/6PP/5BK1/8/4r3 b - -,g7f8
5k2/4b2p/p5r1/1p2BR2/4p3/P3Q1P1/1Pq4P/7K b - -,f8e8
2r1n2k/1p2q1pp/p1pp4/4pr2/1PP5/P1Q3PB/3RPP1P/5RK1 b - -,g7g6
r3k2r/1q2ppb1/bpp2np1/p6p/2p1PP2/P1NPBN1P/1PP2QP1/R4RK1 w kq -,d3d4
6k1/1p1r1ppp/8/p4P2/4n3/2P1P3/2n1NPKP/2B2R2 b - -,d7d5
5b2/p1R1rk1p/5pp1/2p5/2P2P2/3R3P/PB4P1/6K1 b - -,e7c7
r2qkbnr/pp1nppp1/2p4p/3p1b2/2PP3B/2N1P3/PP3PPP/R2QKBNR b KQkq -,g8f6
r2q1rk1/pp3ppp/2npbb2/4p3/4P1B1/1NN3P1/PPP2P1P/R2QK2R b KQ -,a7a5
2r3k1/p2rp3/1p1pNp1b/n2NnPpp/P1P1P1b1/1PR1K1P1/5BB1/2R5 w - -,e3d2
r6q/p4r1k/1p1p2b1/1PpPbpBp/2P1p2P/R5P1/P2QBP2/6RK b - -,h8e8
1r3rk1/Rp4p1/2b1p2p/2Pp1p2/3P1P2/2N1P2P/5KP1/1R6 w - -,c3b5
rnbqr1k1/1p3pbp/2p3p1/p2p4/3P4/2NNP3/PP2BPPP/R2Q1RK1 b - -,b8d7
r1bq1rk1/p3p1bp/2p2np1/n1p2p2/Q7/2N2NP1/PP2PPBP/R1B2RK1 w - -,c1f4
8/8/p1p5/B2p1kbp/P2P4/2P2K1P/8/8 b - -,g5d2
1rbq1rk1/1p2ppbp/p1np1np1/2p5/P3PP2/2N3PP/1PPPN1B1/R1BQ1RK1 w - -,g3g4
1r3rk1/p4pp1/bqp4p/3n4/4Q3/1P3N2/P2N1PPP/R3R1K1 w - -,d2c4
5k2/4n2p/1r1Rr1p1/4P3/3KB1P1/5R2/7P/8 b - -,f8g7
3q1rk1/4bppp/2n1p3/3pP1B1/1p1P2NP/rPpb1NP1/1nP2PB1/1RQ1R1K1 b - -,d3g6
8/6N1/2r5/6kP/8/4K3/8/8 b - -,g5f6
2n5/2q4k/3p2pp/2p2p2/2bb4/B1N1P1PP/2Q2PB1/6K1 b - -,d4g7
r3k2r/1b2qppp/p1n1pn2/1pb5/8/1PN1PN2/PBQ1BPPP/2R2RK1 b kq -,c6b4
rnbq1rk1/p1p2ppp/1p2pn2/8/2BP4/P1Q1P3/1P3PPP/R1B1K1NR w KQ -,g1e2
r3bbk1/ppn3pp/2p1p3/3qP3/3P4/5NP1/PPQ3BP/R1B3K1 w - -,c1e3
8/2R2p1p/2nr1kp1/8/5N2/1r4P1/5P1P/4R1K1 w - -,f4d5
3rr3/1ppq1p1k/p1nbbnpp/4p3/P1PpP3/1P1P2NP/2Q2PPN/R1BBR1K1 b - -,f6g8
1r1qk2r/2pbnpb1/3p1np1/1p1Pp1B1/1p2P2N/P1N5/2PQBP1P/1K1R2R1 w k -,a3b4
1R6/4kp2/6b1/8/5P2/r3K3/7R/8 w - -,e3f2
r1bq1r1k/p5pp/2pp4/2p1p3/2Q5/NP1P2P1/P1P3PP/R4RK1 w - -,f1f8
r5k1/p1p1rppp/1p1p1b2/3P4/4b3/qP2PNP1/P2Q1PBP/2RR2K1 w - -,f3d4
2r1kb1r/1bqnpp1p/p2p2pP/1p4P1/2nNPP2/P1N1B3/1PPQ4/2KR1B1R w k -,f1c4
r1bq1rk1/pppnppbp/3p1np1/8/3PPP2/2NBBN1P/PPPQ2P1/R3K2R b KQ -,c7c5
krqnr3/8/p4Q1p/Pp1p4/1b1P1N2/3B4/1P3BPP/5RK1 w - -,f4d5
8/3k4/2p2p2/ppP5/5PP1/P6P/4K3/8 w - a6,a3a4
1r6/5pk1/RnB1p2p/4P1p1/1p1K1P2/1P4P1/7P/8 b - -,g5f4
rn1qk2r/pb2bppp/1p2pn2/2ppN3/3P4/1P1BP3/PBP2PPP/RN1Q1RK1 b kq -,e8g8
r3k2r/1p1qbp2/1n2p1p1/3pP2p/p2P1P2/1P1QB3/P2N2PP/R4RK1 w kq -,g2g3
4b2k/1B5p/1N6/6p1/P7/7P/1P5K/2n5 b - a3,c1d3
r2qr1k1/1bp2p2/pp1bnnp1/3p4/1P1PP2p/P2B1PN1/4NQPP/1RB2RK1 w - -,g3f5
7k/R7/1Pr3p1/2pB1p1p/7Q/1PP3PP/5P2/4q1K1 w - -,g1g2
6k1/1p1b3p/p2b1qp1/3R1r2/1P2p3/P5P1/2Q2P1P/4RBK1 w - -,e1d1
r4rk1/pp1qbppp/3pbn2/2p1p1B1/2BnP3/1PNP3P/P1P2PPN/R2Q1RK1 w - -,g5f6
r4rk1/1p1n2pp/3p4/3P4/2PqPp2/P2n4/1PQ3PP/RN1B1R1K b - -,d3b2
2r1r1k1/pp1b1p2/3ppqpb/4n2n/3NP1P1/1BN5/PPPQ4/1K4RR w - -,d2h6
4Q3/p4pk1/1b4p1/3p2q1/3p3p/1P1R2P1/4PP1P/6K1 w - -,d3f3
r1bqk2r/pppp1ppp/5n2/1B2n3/4p3/1P2P1N1/P1PP1PPP/RN1QK2R w KQkq -,d2d4
5q1k/4Rn1p/2p2Pp1/1p1b4/p4QP1/P6P/1PP4K/8 b - -,f8d8
r4rn1/pbq3kp/3ppnp1/2p2P2/2P5/3BN3/P3Q1PP/1RB2RK1 w - -,f5e6
r1bq1rk1/pp2ppbp/3p1np1/2n5/2PNP3/2N4P/PP2BPP1/R1BQ1RK1 w - -,e2f3
r2q1rk1/pp1nbp1p/2p2np1/3p1bB1/3P4/1QN1PN2/PP2BPPP/R3K2R w KQ -,b3b7
2r1r1k1/1p4p1/4pn1p/pQq2b2/P2N4/1P3NPP/5P1K/4RB2 w - -,e1e5
2r1q2k/3R1bp1/1p5p/1Qp5/P7/1P4PP/4rP2/2R3K1 w - -,d7f7
8/3R4/7r/2K5/8/8/3kp3/8 b - -,d2e1
8/2k1np1r/4pq2/p2pP1rp/p1pP4/P1P3PB/2P4P/1R3RK1 w - -,f1f6
r3rnk1/1b2qppp/1p1bpn2/p2pN3/P1PP1P2/1P1B3Q/1B1N2PP/2R2RK1 b - -,d6a3
4k2r/p2bbpp1/1p2p3/3pP3/qP6/P2QBN2/5PPP/R1r3K1 w k -,a1c1
3r1r2/nkp5/3p2p1/2p4p/P1P2PN1/1P4P1/2K4P/3RR3 w - -,g4e3
6k1/p6p/1p3n2/1N3p2/2P5/1P4P1/P4K2/8 b - -,a7a5
1r1q1rk1/pbpnppbp/3p1np1/8/Q1P5/2N2NP1/P2PPPBP/1RB2RK1 w - -,a4a7
r1bqk2r/pp1n1pbp/2pp1np1/4P3/2P1P3/2N2N1P/PP2BPP1/R1BQK2R b KQkq -,d6e5
r2qR3/ppb2rkp/2p3p1/2P2b2/1Q1p4/3P1PN1/PP4BP/4R1K1 b - -,c7a5
1R6/6kp/b1P2p2/6b1/P2B4/5BP1/2r1P3/6K1 b - -,c2c4
