3R4/8/r7/5k2/8/3P4/3K4/8 w - -,d2e3
2r2rk1/2q2pbp/4b1p1/p1p5/2B5/2P2N2/P3QPPP/R4RK1 w - -,c4e6
r1bqr1k1/ppp1npbp/3p2p1/7P/4Pn2/2N3Q1/PPPB1PP1/2KR1B1R w - -,d2f4
rnbq1rk1/pp2ppbp/6p1/8/2NPP3/4B3/P4PPP/2RQKB1R b K -,b7b6:b7b5
r2r2k1/5pp1/1pp1p2p/n3P3/R2P4/1p4P1/1P3PBP/R5K1 b - -,a8a7
r1b2rk1/1pp1ppbp/p4np1/n2N4/Pq1P4/1B2BN1P/1PP2PP1/R2Q1RK1 b - -,f6d5
r3kbnr/1pq2p1p/p2p2p1/4p3/2PpP1b1/1P4PP/PB1PNPB1/R2Q1RK1 b kq -,g4d7
rnbqk2r/p3ppbp/3p1np1/1PpP4/P7/6P1/1P2PPBP/RNBQK1NR b KQkq a3,a7a6
4n3/8/1p6/p1p1k1p1/P1P3P1/3BK3/1P6/8 w - -,d3e2
rn2kbnr/pp3ppp/4p3/1qppP3/1P1P4/P1P2N2/5PPP/RNBQK2R b KQkq b3,c5d4
1rb2rk1/1pq1bppp/p1nppn2/8/2P1P3/1PN2NP1/P3QPBP/R1B2RK1 b - -,b7b6
3r3k/8/1P5p/p1R1p2N/6pP/4P1P1/P5PK/5r2 b - -,d8d1
8/7p/2k5/5bB1/8/8/3N1K2/2b5 b - -,c6d5
1r4k1/4R1pp/5p2/1pB5/8/1P4P1/1b3P1P/6K1 w - -,b3b4
r3r1k1/p3bp1p/b7/1p2p1p1/1n1pP1P1/BP1q2P1/P2NQPB1/R1R3K1 w - -,e2d1
7k/ppp2R2/3p4/8/8/1P5P/P5PK/4r3 b - -,e1c1
2b3k1/1p2q2p/p4pp1/2pPn3/2P4Q/4PN1P/P3B1P1/6K1 w - -,f3d2
6k1/5p2/5rp1/7p/3R1K1P/5PP1/8/8 w - -,f4e3
8/1r6/1N2p3/7p/p3k3/b1R5/P3K3/8 w - -,b6a4
rn2kb1r/pp2pppp/2p2n2/3p4/2PP4/1PN1Pb2/1P3PPP/R1B1KB1R w KQkq -,g2f3
