3R4/2k2p2/8/1pr5/8/P3Q3/KPq4P/8 w - -,e3e7
6r1/2pn1p2/3p1k2/1P1P3p/p1Bb4/P4K1P/1PR2P2/4R3 w - -,e1d1
2rqrnk1/p6p/1pbpp1p1/2p2p2/1PP1PP2/P2P1NPP/1R4BK/3QR3 w - -,b2e2
8/7r/2k5/3R3p/2P4P/7K/6P1/8 b - -,h7h8
r2qr1k1/pp1bppbp/1n4p1/1B4B1/3PP3/Q4N2/P4PPP/R4RK1 w - -,a3b3
4r1k1/5p2/2p3p1/1pq4p/8/1P5P/5PP1/Q2R2K1 w - -,a1f6
2r2rk1/pb2q1pp/3b1p2/1p1p4/2pPpPN1/2P1P3/PP1Q2PP/3BRRK1 b - -,b5b4
1r6/2pq1pkp/2n1b1p1/2Pp1p2/p2P3P/PrRNP1P1/3Q1PB1/2R3K1 w - -,g2f3
1r3r1k/pp1bq1p1/1b1p2np/2pP1p2/1PP2P2/P2B2N1/2Q1N1PP/1R3R1K b - -,e7f6
r1b2rk1/p3ppbp/1qp3p1/8/6n1/1B6/PPP1N1PP/R1BQ1R1K w - -,d1e1
r4rk1/pbq2ppp/1p3n2/3pb3/2PB4/1P1BP3/P1QN2PP/R4RK1 w - -,d2f3
3r2k1/1p1b2q1/2pb1r2/3p1ppp/P2P1P2/1P2PNP1/6BP/Q1RR2K1 b - -,f6e6
r1r3k1/3n1ppp/bqn1p3/2bpP3/Pp3P2/1P3QP1/1B1NN1BP/R4R1K w - -,f1d1
r1bqr1k1/ppbn1ppp/2p1pn2/8/2BP4/P1N1P1N1/1PQ2PPP/R1B2RK1 w - -,f1d1
r2q1r1k/4Rp1p/3p4/1p1p2Qp/3p4/3P4/PP3PP1/4R1K1 w - -,g5d5
2bq1rk1/1p1nnpb1/7p/QPp1p1p1/2Pp4/1N1P2PP/4PPB1/B3K1NR b K -,b7b6
8/k5pp/p1pb4/3b4/pP6/2P5/3R1K2/8 w - -,c3c4
2r2rk1/p2n1ppp/1pnq4/2b2B2/2PpN3/P2P2P1/1BQ2P1P/R3R1K1 b - -,d6c7
rnb1kb1r/ppppqppp/8/8/4n3/5N2/PPPP1PPP/RNBQKB1R w KQkq -,f1e2
1R6/5k1p/3Bp1p1/2p1P1P1/3n1P1P/2r5/8/6K1 b - -,d4e2
5rk1/3r1pp1/1p5p/2nb4/p2Np3/P1R1P3/1P3PPP/1BR3K1 w - -,d4e2
2r1r1k1/p2n1ppp/2p1pb2/1pPqB3/1P1P4/P3RN2/2Q2PPP/3R2K1 b - -,a7a5
r6r/1pp1n3/3p4/p3pPkp/2P1P1PR/2N5/PP4KR/8 b - -,g5f4
8/5p2/4k1pp/prR5/3nPPPP/PP6/KP6/8 w - -,f4f5
6r1/2Pk1n2/R3p2p/pN1pPp2/P4P2/2P5/7P/6K1 w - -,g1f2
r7/p5pp/1k3p2/N1p1n2b/PPB2P2/8/2K3PP/4R3 b - -,c5b4
4r1k1/8/p1p3r1/Pp1RP3/5P2/4K3/3R4/5B2 b - -,c6d5
7k/1pp3qp/3p4/p1nPp3/2P5/P3Q2P/1PB2P2/1K6 w - -,b1a2
r2q1rk1/pp3ppp/2B1pn2/3pBb2/3P4/2N1P3/PP3PPP/R2QK2R b KQ -,b7c6
5bk1/5p1p/R2p2p1/4n1P1/4P2P/1N1p2K1/8/8 b - -,h7h6
r5k1/5pp1/3B3p/2P5/p3R2P/2r5/5PPK/8 b - -,a4a3
r1b2rk1/pp2q1pp/3p1b2/2pPnp1n/2P1p3/1PN2PPN/PBQ1P1BP/R4RK1 b - -,e4e3
r4rk1/1p5p/2p3p1/p3qb2/PnP5/NQ3B1P/6P1/R4RK1 b - -,e5c5
1r1qn1k1/r3ppbp/3p2p1/p1pP1b2/N4P2/1PB3PP/P4PB1/2RQR1K1 w - -,d1e2
6k1/3R2b1/4p2p/5rp1/P3R3/r2N2PP/5P2/6K1 w - -,e4e6
6k1/1p3p1p/2p5/p5p1/8/PP4P1/1B1N3P/4bK2 b - -,e1d2
2R5/4q1pk/pr5p/5Q2/3P4/4P2P/5PP1/6K1 b - -,g7g6
r1b2rk1/2q3pp/p3pn2/1pbpN3/4nP2/PP1BBN1Q/2P3PP/R4RK1 w - -,f3g5
r2q1rk1/pp3pp1/1bppbnnp/4p3/B2PP3/2P2NNP/PP3PP1/R1BQR1K1 b - -,b6c7
2kr3r/2q5/b1nbp2p/p1pp1p1P/Pp4N1/2PP2P1/1P1Q1PB1/R3RNK1 w - f6,g4h2
8/7R/2k3p1/p5K1/8/2r3P1/2n4P/8 b - -,c6b5
8/8/8/5kb1/7p/6BK/5P2/8 w - -,g3h4
r1b3k1/2q1b2p/p1ppp1p1/5r2/5P2/2NQ3R/PPPB2PP/5R1K w - -,c3e2
8/2k5/2p5/2Pp4/1N1Pp1bp/4P3/3K2P1/8 b - -,g4f3
r1bqkbnr/1p1p1ppp/p1n1p3/2p5/P1B1PP2/2N5/1PPP2PP/R1BQK1NR b KQkq -,d7d6:g8e7
1r1bqnk1/p1p2ppp/2p5/2Pp4/3P4/3Q1P2/PP2N1PP/1RB3K1 w - -,b2b3
8/p2Pk3/Bp4Rp/2p2p2/3n1p2/5P1K/6PP/8 w - -,a6c8
r5k1/p1p2qpp/bnp5/P3p3/2p1P3/4B1P1/P1Q2PBP/3R2K1 b - -,b6d7
rn1qkbnr/pbpp1ppp/1p2p3/8/4P3/2P2N2/PP1P1PPP/RNBQKB1R w KQkq -,f1d3
1r4k1/3r1pp1/1q2p2p/pp2PPb1/1n1P2Q1/4B1P1/1P5P/R1R2BK1 w - -,e3f2
4rrk1/pb1p2pp/nq6/1ppP4/2P2B2/2P4N/P3PP1P/1QR1K2R w K -,b1b5
8/8/1p4Q1/p1q3p1/2P2p1p/1P5P/P3K1P1/1k6 b - -,b1b2
5rr1/4q2k/p2pPpp1/2pP4/1pP3PP/4Q3/P5R1/5RK1 w - -,f1f2
8/5k2/p1q5/Kp2Q3/1P4P1/P7/8/8 w - -,g4g5
r1b2bk1/1p1q2r1/3p4/pP1Pp3/P3Pp1p/5Ppn/2RRQ1B1/3NN1BK b - -,h3g1
1k1rb1r1/ppp1q3/4p3/2P1Np1p/3Pp1pP/6P1/PP1QPP2/1K1R3R b - -,e8b5
r2q1rk1/pppbppbp/6p1/n2P4/4P2N/2P3P1/P4PBP/1RBQ1RK1 b - -,c7c6
5n2/p1n1Bkb1/1p2p2p/3pPp1p/1P1P1N2/P3Q1P1/2qN1P2/6K1 w - -,e7f8
rnq2rk1/pp2p2p/2p2npb/4Nb2/2PP1P2/4PQ2/PB1N2BP/2R2RK1 b - -,b8d7
6k1/5p2/1q4p1/1P1Q3p/7P/6P1/5PK1/8 b - -,b6a5
6r1/3b4/3bp2p/kp1p1p2/2pP1P2/P1P1QR1P/1KB1N1q1/8 w - -,f3f2
4r3/3pBkb1/1p1P1p2/p7/2R5/1P6/P1r2PP1/5RK1 b - -,c2c4
r2qkb1r/1b2nppp/p1n1p3/1pppP3/8/1P3NP1/PBPP1PBP/RN1Q1RK1 w kq -,f1e1
r4rk1/3nppbp/bq1p2p1/2pP4/2B1P2P/2N2NP1/PP3P2/R1BQR1K1 b - -,a6c4
r4rk1/p1q1bppp/4p3/8/2P1Q3/8/PBP2PPP/R4RK1 b - -,f8c8
r2qr1k1/pppbbp1p/3p1np1/6B1/4P3/P1N5/1PPQ1PPP/R3RBK1 w - -,f2f4
1r3rk1/pp1qbpp1/1n2p1bp/N2pP3/1B1P4/1Q5P/PP3PP1/2R1RBK1 w - -,b4c5
2b2bk1/p2r1p2/q3r1pp/2p1p2P/4N3/1P1PNQP1/P1P2P2/R3R1K1 w - -,h5g6
r3kb1r/ppqb1ppp/3ppn2/8/2B1PP2/1NN1B3/PPP3PP/R2QK2R b KQkq -,c7c4
r4rk1/pp2Rpbp/5np1/2nP4/8/1BNb1N2/PP3PPP/R1B3K1 w - -,c1e3
8/8/p7/1p3k2/6R1/2P2K2/PP6/4r3 w - -,g4b4
r3kbnr/pp1n1ppp/1q2p3/3pP3/2pP1P2/2P1BN2/PP1Q2PP/RN2K2R b KQkq -,g8h6
r6r/pp1kn3/1q1pp2p/6p1/3QPp2/2N4P/PPP3P1/3R1RK1 w - -,f1f2
r3k2r/1p1n1pp1/p1pqpnp1/3p4/2P3P1/1PN1P2P/P2PQPB1/R4RK1 w kq -,d2d4
1r1r2k1/1p2ppbp/1qbp1np1/p2N4/PnP1P3/1P4PP/1B2NPBK/1R1Q1R2 b - -,c6d5
r2q1rk1/pb3ppp/Bp2pb2/2p5/Q2PpP2/2P1P2N/PP4PP/R4RK1 b - -,b7a6
1n1rk2r/ppqbbp1p/4pp1B/8/1PB2N2/2P2P2/P3Q1PP/3R1RK1 b k -,d8c8
r1b1k2r/p2n1p2/4p1pp/q1bpPP2/1p4PP/P5Q1/1PP5/2KRBBNR b kq -,a5a4
r1bqr1k1/1pppbppp/p1n2n2/4p3/P1B1P3/2PP1N2/1P3PPP/RNBQ1RK1 w - -,b2b4
5k2/4b1pp/3pQp2/3PpP2/4P2P/4q1P1/6BK/8 w - -,e6c8
3r1nk1/5qbp/p3p1p1/1p4P1/5PN1/1Prp2Q1/P2R1BKP/4R3 b - -,d8d5
2n5/8/k2p4/3PpNB1/2p1P2P/3b1BP1/3b2K1/8 b - -,d2g5
6k1/7p/p7/1p1n1p2/1P6/1P3P2/5K1P/B7 w - -,a1e5
r3r1k1/pbp2pp1/5n1p/4bN2/2B5/4B1PP/PP3P2/R4RK1 w - -,a1d1
r3n1k1/ppp1q3/n2p4/4b3/1PP2p2/8/P2N1PP1/1RQ2RK1 w - -,c1c2
8/8/8/bk2p1p1/2ppP1Pp/3P4/2P2B2/3K4 w - -,f2g1
