8/8/8/4kppp/3N4/1pP2PP1/1P5P/2K2n2 w - -,c1d1
r7/p1p1k3/1p1p1q2/3P1p2/4n1pr/P1PBP3/1Q4PP/3R1RK1 b - -,f6e5
3r1rk1/1p2qppp/p7/2p1b3/8/P1N1P3/1P2QPPP/3R1RK1 w - -,e2c2
3k3r/p3pR2/6p1/2rP2P1/8/8/P3NK1b/1R6 b - -,c5d5
r4rk1/1bqnbppp/p1npp3/1pp5/4PPP1/3P2NP/PPP1N1B1/R1BQ1RK1 w - -,f4f5
r2qnrk1/pp1bnppp/3p4/2pPp3/2P1PP2/2PB4/P2N2PP/R1BQR1K1 b - f3,e5f4
r1b1k2r/5p1p/pnn2Qp1/1pqpPp2/8/2NB1N2/PPP3PP/2KR3R b kq -,e8g8
r2qk2r/ppp2ppp/2n5/2Pp4/1b1P2b1/3B1N2/PP1NQPPP/R3K2R b KQkq -,e8d7
r6r/pbq1kpp1/1p2pn1p/1BP5/2N5/8/PPPbQPPP/2KR3R w - -,d1d2
rnbqkbnr/pp2pppp/8/2pp4/3P4/4PN2/PPP2PPP/RNBQKB1R b KQkq d3,e7e6
r1b1kb1N/1p1n2pp/p3pq2/2p1P3/P1nP4/2N1B3/1P3PPP/R2QK2R b KQq -,f6h4
rnbqkb1r/pp2pp1p/6p1/2p5/8/2P3P1/P2PPPBP/R1BQK1NR w KQkq c6,a1b1
2r3k1/pqnpppbp/1p4p1/8/1PrNn3/P1PQPNP1/1BR2P1P/2R3K1 b - -,c7e8
1q6/2k4p/1r3r2/Qbp2p2/p1N5/3P1B2/1PP3PP/R5K1 b - -,b5c4
8/8/1p3n2/pP1p2pk/P2PP3/2NK4/6P1/8 b - -,d5e4
3r2n1/p1p2rkp/1p2Rpp1/1B1n4/3P4/P1P2NP1/1P3P1P/4R1K1 b - -,d8d6
rnbqk1nr/ppp1b1pp/3p4/4pp2/2PP4/6P1/PP2PPBP/RNBQK1NR w KQkq -,b1c3
6k1/5pp1/4p1p1/qn1p4/p1rP2P1/PrP1RP1P/1BR3K1/4Q3 w - -,e1a1
1r2b3/6k1/3qp2p/p1p2pp1/P1Q1B3/2P2PP1/4PK1P/7R w - f6,e4d3
r1R2bk1/1q3pp1/4pn1p/p2bN3/3P1B2/3B3P/1P1Q1PP1/R5K1 b - -,a8c8
1R6/4b3/4Bk2/p1p1pP2/4K3/8/P7/7r b - -,h1h3
1r3rk1/ppp1ppb1/2n3pp/2N5/3PRB2/1PP4P/P4PP1/R5K1 b - -,f8c8
1r4k1/n3pp1p/3p2pB/1PbP4/4P3/6PP/5PK1/R4B2 b - -,f7f6
8/p7/1p4bp/2p1k1p1/2P3P1/PP1K1B1P/8/8 w - -,d3e3
r5k1/2pnqpp1/2b4p/8/2PQ4/p2B1P2/R1PB2PP/6K1 b - -,d7f6
6k1/r4p2/2B3b1/p1p2nq1/2Pp4/PP1P1Qb1/2N5/R4RK1 w - -,c6e4
3r2k1/pp4pp/2n1Qp2/2P5/5P2/1N5P/qP4P1/5R1K b - -,g8h8
r5k1/1p3pbp/pqr1p1p1/P2p1n2/1P1P1B2/2P2B1P/2R2PP1/Q1R3K1 b - -,b6d8
5rk1/2p1r1pp/1pp5/5q1n/4NpR1/5P2/PP3PQP/3R3K b - -,h5f6
2rr2k1/pq3ppp/1p1Pp3/2n5/7P/1P4P1/PB3P2/1Q1RR1K1 b - -,c8c6
r4rk1/1p2ppb1/pq4p1/2n2b1p/P1PN4/Q1n1B2P/1P3PP1/R3RBK1 w - -,d4f5
1rq5/R2b1rnk/1b1p2pp/1p1Pp1p1/1Pp1P1P1/2P1B1NP/3Q1PK1/R2B4 w - -,e3b6
3q2k1/2b3p1/p2p1np1/2pP3p/2N1PBbP/2PB2P1/8/Q5K1 w - -,a1a6
8/1p1r1kpp/p1pPb3/1P3p2/P4P2/3Q2P1/q3PKBP/1R6 b - -,a6b5
2rq2r1/pp1bk3/1b2pp1Q/1P1p4/R7/2PB4/5PPP/1N3RK1 b - -,d8f8
2r3k1/5p2/2Pb2p1/p5Qp/P2B3P/1P3qP1/2R4K/8 b - -,f3e4
8/1p1b4/2p2kpp/p1n1pp2/P1P1P3/1P2KPPP/3N4/5B2 b - -,f6e7
8/p7/4k1p1/7p/P7/1r4P1/2R3KP/8 b - -,b3b6
r2q1b1r/pp1k4/2n1pp2/2pp1b1B/3PnBP1/2P1P3/PP3P1P/RN1Q1RK1 b - g3,f5h7
3q2k1/p1r2pp1/4p3/1Qb1P3/3r4/2N3P1/PP3P1P/3RR1K1 w - -,b5e2
3r4/4npkp/p2p1np1/qp6/2rNP3/P1N4P/1P1Q1PP1/R3R1K1 w - -,a1d1
3qrbk1/5pp1/b2pP2p/p1nP4/1p1Q1P2/6P1/5NBP/B3R1K1 w - -,f4f5
1r4k1/p1p1r1b1/5n1p/4n1N1/2p5/2P5/P2BBPPP/2KR3R b - -,h6g5
r4rk1/pp1qppbp/6p1/n2pP3/3P3P/2P2N2/P4PP1/R1BQR1K1 w - -,h4h5
r2qr1k1/ppp2pbp/1nn3p1/4p3/3PP3/1PN1BB2/P2Q1PPP/3RK2R w K e6,c3e2
8/4bpk1/2bNn1pp/4P3/ppP2p2/5N1P/1P1Q1PPK/q2B4 b - -,a4a3
6k1/6pp/4p3/4q3/4Pr2/8/6QP/6RK w - -,g1e1
