8/1p5k/p5pp/8/P2qB3/3p2PP/1PbQ3K/8 w - -,e4b7
8/8/pB6/P7/1k6/2p5/1K4p1/5b2 w - -,b2c2
1k1r4/1p6/4p3/p1ppP2p/6pP/P3PqP1/1P6/K1R1Q3 b - -,b7b6
r1bq2k1/pp3p1p/2p3p1/3pB1b1/2nP2P1/2PN4/PP2QPBP/R5K1 w - -,e5g3
5rkn/6pp/1p1p2r1/3Ppb2/2P2p1q/1PQ2P2/R2B1RPP/5NK1 b - -,h8f7
8/6pp/5p2/3pr3/PBn5/2P2R2/2k2KPP/8 w - -,a4a5
r3r1k1/pp3pbp/q1p2np1/2np4/2P1P3/4BPP1/PPQ1N1BP/R2R2K1 b - -,c5a4
2rr2k1/pbq2ppp/1p2pn2/2b3N1/2P1N3/3B4/PP2QPPP/3R1R1K b - -,f6e4
8/6K1/8/8/8/1R1p4/3k4/8 b - -,d2c2
8/8/p4pk1/Pr6/7P/R7/5PK1/8 w - -,g2g3
r1bqr1k1/p1p2pbp/2pp2p1/8/2P1P3/4BP2/PP1QN1PP/R4RK1 w - -,e3d4
3r4/Q2b1p2/4nk1p/2NBp1p1/2P3P1/Pr2P2P/1P4P1/6K1 b - -,e6c5
r2q1rk1/1p1b1pbp/2pp1np1/4p3/1PPn4/2NP2PP/3NPPB1/1RBQ1RK1 w - -,g1h2
r1bq1rk1/ppn1ppbp/3p1np1/2pP4/2P1PP2/2N2N2/PP2B1PP/R1BQK2R w KQ -,e1g1
6k1/5pp1/7p/2P5/1pNP4/2nQ1PR1/5K1q/r7 w - -,g3g2
2k1q3/p1pp3p/bnp3p1/8/2P5/PP1B1N2/K1Q2PPP/8 w - -,h2h4
8/5pk1/1p4p1/p2Q3p/P6P/1P4P1/8/4q1K1 w - -,g1g2
5r2/p3q1k1/1p1rbpp1/2p1p2p/4P2P/1P1P2P1/P1N1PR1K/2Q2R2 b - -,e7d7
r1b2r1k/ppq2pp1/4p2B/3pn3/2p4Q/2P1P2P/PPB2PP1/R4RK1 b - -,e5g6
2rBb3/1rk2nqp/3p4/2pPpP2/p1N1P2P/PnQ2B1K/1P6/6R1 b - -,c8d8
R1rr2k1/5p1p/6p1/4q3/4p3/3nP1PP/5P2/QR3NK1 w - -,a1e5
4rrk1/pppn2p1/3p3p/3Ppp2/1PP4q/3PP1R1/P2NQ1PP/R5K1 b - -,d7f6
6k1/3qn1b1/r1n1br1p/1RB2p2/2p1p3/2P2NP1/1Q3PBP/N4RK1 w - -,f3d4
6k1/r1n2pp1/4b3/8/2p5/B1N2PP1/P2R3P/4K3 w - -,a3b4
1r3rk1/pppq1ppp/2np1n2/2b1p3/2N1P3/1QPP1N2/PP3PPP/R1B2RK1 w - -,c1e3
3n4/3k4/3B2pp/2p1p3/2PbN1P1/3K3P/8/8 b - -,d8e6
r2b1k1r/PQp1np2/Rn1p1qpp/3P4/3P4/5N2/1PB2PPP/2BR2K1 b - -,e7c8
8/p5pk/1p1B2rp/n1pP4/2b1Q3/7P/P5P1/7K b - -,c4f1
2k5/1p6/p1p5/K1P1Bp1p/PP1P3P/1b4P1/8/8 b - -,b3c4
8/5p2/2p5/1p5k/1P2P3/4K3/8/8 w - -,e3f4
8/8/5k2/1B3p2/P4K2/r7/4R3/8 b - -,a3a1
2r3k1/3n1pp1/3Bp2p/1RP5/8/3rP3/5PPP/1R4K1 b - -,d3d5
r2qk1nr/1p1bppb1/p1np2p1/7p/2BNPP2/2N1B3/PPPQ2PP/2KR3R b kq f3,g8f6
8/1p1q1pk1/1P2n1p1/2p4p/2N1P2P/2P3P1/2Q2P2/6K1 w - -,c2e2
r4k2/1R6/2p3p1/3q1p2/3P1p1r/8/P2Q4/K2R4 b - -,h4h1
7r/p4pk1/1p4p1/2p5/7r/2P1N3/PPKR3p/7R b - -,f7f5
1q2rb2/1r1bp1kp/pp3pp1/3P4/P2PN3/1Q3N1P/1P2RPP1/4R1K1 b - -,d7f5
r1b1kbnr/ppqnpppp/2pp4/8/3PP3/3B1N2/PPP2PPP/RNBQ1RK1 b kq -,g8f6
8/p2r1pk1/1p5p/4q1p1/2Pp4/1P1Q2P1/P4P1P/3R2K1 w - -,d1d2
6k1/2b2p1p/p5pB/4n3/3RB3/1P4P1/P1r2P1P/6K1 w - -,d4a4
r7/p5pp/R1pkr3/3b4/pPp1p2P/6P1/2P2PB1/4R1K1 w - -,a6a4
8/4R3/2p3k1/1b1p2p1/1B1P4/2P2PK1/2r5/8 b - -,g6f6
r7/1pp1nkp1/2n2p2/p3p3/4P3/P2PN1P1/1PP1N1K1/7R w - -,e2c3
r5k1/p3ppbp/p5p1/4P3/6b1/4BN2/PP3PPP/2R3K1 w - -,c1c5
r3kb1r/ppqn2pp/2p1pn2/2Pp4/3P4/1Q2P3/PP1NBP1P/R1B1K2R w KQkq -,f2f4
2r1k2r/p2q2pp/1b2p1p1/1p1pPn1P/1PnP4/PQ1B1N2/1B2KP2/3R2R1 w k -,h5g6
r2qkb1r/1b3pp1/ppnppn1p/2p5/P3P3/2PP1NP1/1P3PBP/RNBQR1K1 w kq -,d3d4
rr4k1/3bq1bp/p2p2p1/1ppPp1P1/2P1Pp2/3B1P2/PP2QBR1/1KR5 b - -,a8a7
2r1k2r/1b1qbpp1/p3pn1p/1p1pB3/8/P1N1P1P1/1PP2PBP/R2Q1RK1 w k -,e5d4
r2qkb1r/pp1npppp/2p2n2/3p1b2/8/3P1NP1/PPPNPPBP/R1BQK2R w KQkq -,e1g1
r3k2r/1p3p1p/p2p1np1/2pPb3/P3P1P1/2N1BP2/1P4P1/R4RK1 b kq -,h7h6
r2r2k1/pp2ppbp/4N3/4n1p1/1nP1P3/1PN1BP2/P5PP/2R1KB1R b K -,f7e6
rnb1kb1r/pp3p1p/4p3/2pp1p2/3P4/2q2NP1/P2NPPBP/R2Q1RK1 w kq -,a1c1
7r/3b4/1qp1ppkb/1p5p/2pPP1PP/Q1P2P2/P7/KR5R w - -,a3e7
