4K3/3P4/4k3/8/8/3r1R2/4p3/8 w - -,f3d3
1r4k1/5p2/4b3/2p1P1p1/2P3P1/2R1P1KP/3R2B1/r7 b - -,g8f8
r1q3k1/pppr2p1/6Bn/3p3N/1Pb4Q/2P4P/P4PP1/R3R1K1 w - -,e1e8
rq3rk1/p4ppp/b3pn2/3nb1B1/PpNP4/3B1Q2/1P3PPP/R3R1K1 w - -,d4e5
r2qk2r/pb2bppp/1pnppn2/8/2PNP3/1PN5/PB2BPPP/R2QK2R w KQkq -,e1g1
3r1k2/4pp1p/p1B3p1/4n3/1PP5/6PP/5P2/R5K1 w - -,a1a6
2rr2k1/1p3pp1/p1n4p/2B5/1PB2nb1/P4N2/5PPP/2RR2K1 w - -,d1d8
1R6/8/6p1/7k/8/r7/6K1/8 w - -,b8b7
8/8/1p4k1/p2PR2p/P4Kp1/4P1P1/7r/8 w - -,e5e6
r4rk1/1pqn1ppp/p1nNp1b1/2p5/B3P1P1/2P2N1P/PP2QP2/R1B1K2R b KQ -,c7d6
rnbqk1nr/ppppppbp/6p1/8/4P2P/2N5/PPPP1PP1/R1BQKBNR b KQkq h3,h7h5
r1r3k1/1bqn1p1p/p2bp1p1/1ppp4/P2P4/2PQPNB1/1PB2PPP/R4RK1 b - a3,d6g3
r1b2rk1/pp2q2p/2pp1bp1/4n3/2P1P3/2NB1N2/PP1Q1PP1/R3R1K1 w - -,f3d4
8/3q1pkp/1R1Nr1p1/2Q5/1P2p1P1/8/1KP4P/8 w - -,c5d4
q4rk1/3bbppp/2p1pn2/1pPpN3/1P1P4/2N1P3/1Q3PPP/4KB1R b K -,a8b7
2k3q1/Qp3p2/2p1p2p/7n/2P5/8/PP3P2/1K1R4 b - -,g8g5
8/7k/1np3p1/N4p2/P5p1/8/2P3PP/7K w - -,a5c6
2kr3r/1ppbnppp/p1np4/8/4P3/2P1NP2/PP1B1P1P/R3KBR1 b Q -,g7g6
r4r2/ppp2ppk/n2p3p/3Pp3/2P1P1Bq/2P2QRP/P4P2/2KR4 b - -,g7g6
2qrr1k1/1pp1bppp/p1n2n2/3pNbB1/3P4/P1NB3P/1PPQ1PP1/R3R1K1 w - -,f2f4
r4rk1/1p2R1p1/p3p3/3pP2p/3P4/4Qp1P/PP3R2/4Kbq1 w - -,e1d2
r6k/2p1b1p1/2P2n1p/p3qb2/1p2p3/1Q2B3/PPP1NPPP/2KR3R w - a6,e2d4
r1b1r1k1/ppq1ppbp/2p3p1/3pP3/6n1/1P1BPN2/PBP2PPP/R2QR1K1 b - -,g4e5
2r1k2r/1pqbbppp/p2ppn2/2n5/4P3/1NN1BPQ1/PPP3PP/1K1R1B1R b k -,c5a4
4k2r/pp1n1pp1/3bp3/6pq/3PP2P/1B2B1P1/P4P2/2Q2RK1 b k h3,g5h4
8/8/4k3/5R2/4p3/3r2PP/3p4/3K4 w - -,f5f1
7r/p7/1p6/2p2b2/2Pk1p2/P1R2B2/1P3P2/4K3 w - -,f3d5
r4rk1/1pq2ppp/2n1p1n1/p2pP3/b1pP4/P1P1B1QN/R1P1BPPP/5RK1 b - -,b7b5
8/PR3p1p/3k4/5p2/5P2/6P1/1P4KP/r7 b - -,d6e6
r4rk1/pqp1bppp/4pn2/1p4B1/3P4/5N1P/PPP1QPP1/R4RK1 b - -,f8d8
r3r1k1/2p2pp1/1p2q2p/p1b1p2n/P1N1P3/1PP4P/2QN1PP1/R3RK2 w - -,d2f3
6k1/p2b3p/1p1B1pp1/5q2/5P2/PP2R2P/7K/2R5 b - -,f5d5
rnbq1rk1/ppp3bp/3p1np1/4pp2/2P5/2NP1NP1/PP1BPPBP/R2QK2R w KQ -,d1c1
2r5/r2q1kbp/2p1ppp1/2R2n2/PpQP4/1P1NB2P/5PP1/2R3K1 b - -,g7f8
6k1/1bp5/1p1pr2p/p4p2/2PB4/1P2PP1P/P4K2/3R4 b - -,e6g6
2b1q1r1/r3p2k/2p2p2/1pPp1Nbp/p2P4/P1B1PQ1P/1P3P1K/R5R1 w - -,g1g2
rnbqkb1r/ppp2p1p/3p1np1/3Pp3/2P5/2N5/PP2PPPP/R1BQKBNR w KQkq -,e2e4
r1b2rk1/pp2bppp/1nn1p3/4P3/8/1BN1BN2/PP3PPP/R2R2K1 b - -,b6d7
r6r/3qp1b1/1p1n1pk1/p1pPpNp1/P1P1P1Pp/1P1Q1P1P/3BR1K1/5R2 b - -,d7c7
4r3/pr5k/3Bp2p/3RPppq/1P1P4/P2Q2PP/5PK1/2R5 b - -,e6d5
8/5pk1/1pp1r3/p2rP3/1P1P1RP1/P6P/5K2/2R5 w - -,f2e3
3r2k1/6pp/2q1b3/pp1p4/2p1pPP1/4Q2P/PP1RP3/3R2K1 w - -,e3d4
r2qr1k1/1p3ppp/5nb1/nQ6/8/P4NP1/1B1N1PBP/4R1K1 w - -,e1c1
1Rb2rk1/7p/2p1p1p1/5p2/8/6P1/5PBP/6K1 b - -,c6c5
6k1/p2q4/1p2nPp1/1b1p3Q/r2P3P/5PB1/4R2K/8 w - -,h5g6
r1b1rbk1/1pqn1p2/p1pp1npp/4p3/2PPP3/2N1BNPP/PPQR1PB1/3R2K1 b - -,c7a5
4k3/r7/2PKP3/7p/3p4/6R1/8/8 b - -,e8f8
r2q1rk1/1bp2ppp/3ppn2/p1nP2B1/2P5/2R2N2/PPB2PPP/R2Q2K1 b - -,c7c6
6k1/6p1/5p2/4r2p/3N1KP1/6P1/4p2P/3nR3 b - -,d1c3
1b2rn2/6pp/1kp2p2/1p3P2/8/1PN3P1/1P3K1P/2R5 b - -,f8d7
