8/R7/6pk/6p1/5r2/6K1/8/8 w - -,a7b7
8/8/8/2k1p3/8/2R5/7r/4K3 b - -,c5d4
6k1/5p1p/1R2pbp1/Rp1r4/8/3N2P1/1Pr1PP1P/5K2 b - -,f6b2
r1b3k1/1p4pp/1q6/p2BP3/P1Pb4/6P1/1P3nKP/R1BQR3 b - -,g8h8
4r1k1/p1p2ppp/2b1q3/2Q1p3/8/2N1R3/PrP2PPP/4R1K1 b - -,b2c2
r1b1nrk1/1pp3bp/p2p2p1/3Ppp2/2P1P3/2NBBP2/PP3KPP/R6R w - f6,f2e2
rnbq1rk1/ppp2ppp/8/3P4/3QnP2/2P5/P1P3PP/R1B1KBNR w KQ -,g1f3
8/7p/1Bp1k3/1p2pNb1/p4pP1/P1P2P1P/1P1K4/2n5 b - -,c1b3
8/2B5/5pk1/p5p1/2n1P3/1r4P1/4K3/R7 b - -,b3c3
r2q1rk1/1bp3b1/p7/1p1nnN1p/4Q3/2P5/PPN1BPPP/3R1RK1 b - -,d8g5
4r1k1/5p2/6p1/6R1/P1q5/8/3Q1PK1/8 w - -,d2d5
r3nrk1/1bqn2bp/pp1p2p1/2pPpp2/2P1P3/1PNNB1PP/P2QRPB1/5RK1 w - f6,f2f4
r1b1k2r/p3bpp1/3p3p/3Pp3/8/4P1P1/1PP1N1BP/R3K2R b Kkq -,c8f5
8/p2nk3/8/3P3p/3K4/6R1/8/8 b - -,e7f6
r1bq1rk1/pp2bppp/2n1pn2/2pp4/2P2B2/N2P1NP1/PP2PPBP/R2Q1RK1 b - -,b7b6
6k1/1p2pp1p/2npb1p1/1N6/rPP1P3/2B1bPP1/2R1B1KP/8 w - -,b5c7
r1bqk2r/1p1nbppp/p1pp4/8/2Pp4/P1N1PNP1/1P1Q1PP1/R3KB1R w KQkq -,f3d4
3r2k1/pp3pb1/1q4p1/1P1pN2p/P6P/3QP1P1/2R1NP2/6K1 b - -,g7e5
3r1k2/ppR2p1p/2bp2p1/8/3R4/P5PP/5P2/6K1 b - -,d8e8
1r1q1r1k/pb3pp1/4pn1p/n2p4/1pP5/P1BBPN1P/2Q2PP1/1R1R2K1 w - -,a3b4
r5kr/pp3b1p/3q1pn1/3p1B1Q/3P4/2N3R1/PP4PP/3R2K1 w - -,d1f1
rnbqr1k1/pp3pbp/3p1np1/2pP4/8/2N3P1/PP1NPPBP/R1BQ1RK1 b - -,b7b6:a7a6:b8d7
r1b1k1nr/ppp2p1p/3p2pb/2nP4/4PP2/2N3NP/PPP3B1/R1B1K2R b KQkq -,g8e7
4B3/8/1p5p/p3n2P/P4p1k/5P2/5K2/8 w - -,f2g2
b4qk1/p3p1b1/1pn1P2p/5rp1/4R3/Q3Bp1B/PP3P1P/R5K1 b - -,c6a5
q7/6kp/6p1/4pp2/P7/2r1P2P/3Q2P1/5RK1 b - -,a8c6
7R/r2bk3/8/r2Rp2p/2p4P/2N3P1/P2K4/8 b - -,d7e8
r2q2k1/ppp4p/3p2p1/3Nrb2/2P5/1P3R2/P2Q2PP/R5K1 b - -,c7c6
1r2q2k/7p/p5pR/8/b2N4/6Q1/1P6/1K6 w - -,g3d6
2rqnrk1/5pbp/pp2p3/4Pp2/1P1P1B2/4NBP1/P2Q1P1P/4R1K1 w - -,a2a4
8/4k3/4p1Bp/1b1pPp2/3P3P/2P1K3/8/8 w - -,e3f4
r1bqkbnr/1pp1pppp/p1np4/8/3PP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq -,g8f6
r2qkb1r/ppp2ppp/2n3n1/4P3/2Pp4/5NPP/PP2PP2/R1BQKB1R w KQkq -,f1g2
8/6p1/2R4b/4p3/N5k1/5r2/5K2/8 w - -,f2e2
1r1qr1k1/1pnb1pbp/p2p1np1/P1pP4/2N1P3/2N5/1PQ1BPPP/R1B1R1K1 b - -,d7b5:c7b5
6k1/7p/p7/1p6/1P1N2P1/2P1RKP1/q7/8 b - -,a2d5
1r1qk2r/3bbpp1/3p1n1p/1p2p3/4P3/2NQB3/1PPN1PPP/R4RK1 w k -,b2b4
r4k2/np3ppN/4p3/pq2P1P1/2pR4/7P/1P2QP2/6K1 b - -,f8e7
r4rk1/2qnnpp1/p1b1p2p/1P2P3/2pPN2P/N1P3P1/4QPB1/R3R1K1 b - -,a6b5
r1b2k2/1p3pp1/2p2b1p/p7/P1BRP3/2N4P/1PP2PP1/6K1 w - -,d4d3
4R3/5k2/6p1/2pP4/3nPr2/8/6K1/8 w - -,e8e5
8/p6p/3kp1p1/1P3p2/5PP1/2b3NP/6K1/8 w - -,g3e2
r1bqk2r/pp3ppp/4pb2/8/1n1p4/2NP2P1/PPP1QPBP/R1BR2K1 w kq -,c3e4
r2q1rk1/1b2bpp1/p2ppn1p/1p6/3P1n2/2PBNN2/PPQB1PPP/R3R1K1 w - -,e3f1
2rr2k1/1p2b1pb/q1n1p2p/3p1p2/pP1P1PP1/P3P2P/1B1Q1RB1/R3N1K1 b - -,e7h4
8/2p2k2/3p3p/P1pP1r2/2P4P/1P3PR1/2K5/8 b - -,f5e5
r1bq1rk1/pp3nbp/2n3p1/3pp3/7B/2PB1N2/PP1NQPPP/R4RK1 b - -,d8b6
5rk1/p4qbp/1pnp2p1/2pN1pP1/2Pn1P2/3P2K1/PP3B1P/R2QR3 b - c3,d4e6
3r2k1/pp1q1pb1/2p2np1/2P2b1p/1P2p3/P1N1PnPP/1BN1QPB1/5R1K b - -,f5h3
rnb2rk1/pp3pp1/4p2p/3P4/1b1N4/2N1P3/PP3PPP/2R1KB1R b K -,e6d5
2N3rk/1p1P2q1/2p2b1p/p1p1p3/2P1Pp1p/1P5Q/P4PP1/3R3K b - -,f6e7
5r1k/1p6/p4rp1/4pp2/2Pb1N2/1P3RP1/P5KP/3R4 w - -,f4e2
r2qk2r/pp2ppbp/2n3p1/8/3PP1b1/4BN2/P2Q1PPP/R3KB1R w KQkq -,a1d1
8/5p1p/p4Pp1/3k4/r6P/2K1B1P1/5P2/8 b - h3,h7h5
6k1/pp3pbp/3np1p1/3P4/q7/P1R2BP1/1B1RPP1P/6K1 w - -,d5e6
r4rk1/p4ppp/2np4/4p2n/1q6/3P1N1P/PPP3P1/R1BQ1RK1 w - -,c2c3
8/5kpp/4p3/pPp5/r7/5K1P/1R6/8 b - -,a4d4
1R6/p2r2p1/8/3p1K1P/3P4/1p3P2/k7/8 b - -,d7f7
2r1q3/pp1b3p/3k1p2/1P1p4/P1r1Pp2/2N5/2R2QPP/2R3K1 w - -,f2a7
r1bqk2r/pp1pppbp/2n3p1/8/2P1P3/2N1B3/PP1Q1PPP/R3KB1R b KQkq -,e8g8:d7d6
r1bqkb1r/1p1n1ppp/p1p2n2/3p4/3P1B2/2N1PN2/PPQ2PPP/R3KB1R b KQkq -,f8e7
3r2k1/1p3ppp/4p3/2r1P3/3bR1b1/1B6/PP3PPP/R1B3K1 b - -,c5e5
r4rk1/p2b2b1/1p3p1p/2nPp1pP/2PpP3/5NB1/P1BK1PP1/1R5R w - -,f3e1
2r2rk1/5pb1/p5p1/1ppP1q2/5R2/PQBP2Pp/1P3P1P/2R3K1 b - -,f5d3
2k5/2p2R2/1p3B2/3Kp3/P7/5n2/4r3/8 w - -,f6g7
1rq1rnk1/1b1n1pbp/pp1P2p1/2pBp3/P1N2P2/1QN4P/1P4PB/R4RK1 b - -,f8e6
r7/3P1pk1/pQ3b1p/1p3qpP/2p5/3b4/P2R1PP1/4R1K1 w - -,e1e8
2r2rk1/5pb1/6pp/p1qPp3/PpB4Q/1P5R/5PPP/5RK1 b - -,c5d6
6k1/1p6/p1p1p2p/6bP/8/1P1PBP2/P2K4/8 b - -,g5e3
4b3/1p2rppk/8/Q2Bp1qp/4P3/1PP2P2/3R2P1/3R1K2 w - -,a5c5
8/1Bk3p1/P4p1p/3K4/8/6P1/7P/r7 b - -,a1e1
8/8/1R4pk/5p2/1p6/4rBP1/3r4/5RK1 b - -,b4b3
rn1q2nr/p7/2p1k2p/8/5pQb/2N5/PPPP2P1/R1B2K1R b - -,e6f7
2r1r1k1/4bppp/p2p1n2/qp1P4/8/NP3B2/PQP2PPP/R3R1K1 b - -,f6d7
7r/2k5/1R1pp1Bp/p1n3p1/2P2pP1/P1K2P2/6P1/7R b - -,a5a4
3rr1kb/1bq1pp1p/p2p1npB/1pnP2N1/2p1P2Q/P1N2P2/1PP1B1PP/3R1R1K b - -,e7e6
1r3r1k/p4pp1/1p1p3p/3Bb1q1/4P3/1R2QP2/P5PP/3R2K1 b - -,g5h4
5r1k/Rb4bp/2q1B2n/6N1/1p2P1nB/1P2Q3/2P2P1P/4R1K1 w - -,e3e2
6k1/pQ3pp1/4b2p/4P3/1p1q3P/3P2P1/5PB1/6K1 b - -,b4b3
1rR1k3/4P1b1/3P2pp/1P6/p4pPP/5P2/1p1R2K1/8 b - -,b8c8
5rk1/5ppp/5n2/p2n4/3N4/r4BP1/P1R1PP1P/R5K1 w - -,d4c6
r1bqr3/3n1k2/1pp2b1p/2p1pp2/Np6/P1QP1N1P/2PB1PP1/R3R1K1 w - -,a3b4
2Q5/5pk1/p1b5/1pq3p1/5pP1/2p5/r4R2/5RK1 w - -,c8d8
r2qkb1r/pbp2Ppp/1pn5/1Qn5/2P2B2/P7/1P3PPP/RN2KBNR b KQkq -,e8f7
2r3k1/p3bpp1/b2Np3/7p/Pp1nQ3/4BPPq/1P2PR1P/3R2K1 b - -,e7d6
r4rk1/6pp/pnqpp3/1p3p2/PPpPn2b/R1P1PP1P/2BNQ1PB/R5K1 b - -,e4d2
1q2r1k1/1b1n1ppp/pp3n2/8/1P6/P1N2P2/3Q2PP/2NR1BK1 w - -,d2d4
1r1qr3/1bpn1pkp/pp1p2p1/3Pp3/P3P3/2P2N2/1P1N1PPP/R2QR1K1 w - -,a4a5
4k3/1R6/2r3b1/4K1Pp/8/8/8/8 b - -,e8f8
3Q4/p4pkp/P5p1/8/4q3/6P1/7P/1r1R2K1 b - -,e4e3
5r2/1pkb4/p5p1/2P1p1P1/1P2Nb2/1BP1n3/PK3N2/6R1 b - -,f8f5
rnb1kb1r/pp2pppp/5n2/3q4/1p1P4/8/PBP2PPP/RN1QKBNR w KQkq -,g1f3
r1b2rk1/5ppp/p1Q5/4q3/2p1P3/2N4P/PP4P1/2KR3R b - -,c8e6
8/pp2kppp/4b3/2p5/2P1p3/1KP1P1P1/P3BP1P/8 b - -,e7d6
6k1/bp3pp1/p3r2p/3QP3/2N2q2/8/P4RPP/3R2K1 b - -,a7f2
6k1/5pb1/6pp/2rp4/8/5N1P/1r1R1PP1/3R2K1 w - -,d2d5
2r5/5pkp/3p2p1/p2Np3/4P3/6P1/1KP2P1P/5B2 b - -,c8b8
5r2/6pp/3b4/pp1kpPPP/2pP4/3P4/PP1B2K1/5R2 b - -,e5d4
r1bq1rk1/ppp4p/3p1b2/3Ppp2/2P5/4BP2/PP1QN1PP/R3K2R w KQ -,e1c1
r2q1nk1/3r2pp/2Rp4/1b1Pp1P1/4N3/4Q1P1/5PB1/2R3K1 w - -,c6b6
8/4q3/1kb1P3/pp1p1R1p/2pP3P/r5P1/2PQ3K/4R3 w - -,d2f4
r1b1k2r/ppp1bppp/8/3q4/3P4/2nQ1N2/PP3PPP/R1B2RK1 w kq -,b2c3
r3kbnr/5ppp/p1n1p3/2pq4/Np6/3P1QP1/PPP2P1P/R1B1K1NR w KQkq -,f3d5
8/pp3pk1/3p3p/3nq1p1/4p3/4P1PP/PP1Q2PK/2R5 b - -,d5e7
rnbqk2r/ppppbppp/5n2/4p3/2P5/2N1P3/PP1P1PPP/R1BQKBNR w KQkq -,d2d4
8/3k3p/2p3pP/1p2Rp2/b2P1P2/2K5/8/8 w - -,e5e1
r3r1k1/1b1nbp2/8/3pn2Q/p7/P1R5/1P1B2PP/5RK1 b - -,e5g6
4rrk1/1pp4n/p2p2pq/3P2P1/4Np1n/2PP3P/PP2Q1BK/4RR2 b - -,h7g5
8/6p1/5k1p/4NP2/4K1P1/1r6/8/8 w - -,e4d4
r1b3k1/pp6/n4rp1/4pp2/8/1NP3P1/PP2PP2/3RKB1R w K -,d1d8
r2q1rk1/1b2bppp/pp1p1n2/2n1p3/2P1P3/1NN1BP2/PP2B1PP/2RQ1R1K b - -,f6h5
1rbq1r2/4p1kp/1pnp1pp1/pN6/2P1PP2/4Q3/PP2B1PP/R2R2K1 w - -,e2f3
6k1/7p/p1r3p1/B1pn4/3p2P1/1P2bR2/P1P4P/4R2K w - -,e1f1
r2qnrk1/ppp1n1b1/3pb1pp/3Ppp2/1PP1P3/2N5/P2BBPPP/R2Q1RK1 w - -,d5e6
5b2/5pk1/2Q3p1/4p3/4P1p1/8/KP1q1P2/2N5 w - -,c6c8
4rk2/ppp4p/4bp1r/3p1p1P/3P1N2/P4PR1/1PPK1P2/7R w - -,h1e1
2rr2k1/pp3ppp/1q2p3/3n2N1/3n4/P5B1/1P2QPPP/3RR1K1 w - -,e2h5
r5k1/1p3p1p/2pn1np1/q1N1N3/p2P3P/P5P1/1P3P2/2QR2K1 b - -,a5d8
r4rk1/1p2qp1p/6p1/p1nN2Pn/Pb6/1B2P3/1P3PQ1/R1BR2K1 b - -,e7e5
r4rk1/p2q1bb1/2p1n1pp/1nPpp3/N4pP1/3PPN2/P1QB1PBP/1R3RK1 w - -,b1b3
r3rbk1/1p1bn1pp/p4p2/4qP1Q/4NR2/2P4P/PP1B2B1/5RK1 w - -,c3c4
2r2bk1/p1q4p/bpr3p1/3n1p2/2NPpP1P/PP4P1/1B2Q3/2RR1BK1 w - -,e2e1
3R4/5k2/p7/2p1p3/1PP5/P2p3P/4pK2/8 w - -,b4c5
r1b1r1k1/ppp2pp1/2n2q1p/1B6/3N4/P1Q1P3/1P3PPP/2R1K2R b K -,c8d7
6k1/1N4p1/p1n4r/2P5/3p1RP1/8/PP1K4/8 w - -,f4e4
5R2/4p3/3p1k2/3Pn3/1p1b4/6K1/6B1/8 b - -,f6g7
r1bq1rk1/n2nbppp/1p2p3/p1ppP1N1/3P3P/2PB4/PP1N1PP1/R1BQR1K1 b - -,e7g5
8/p7/1p4pk/4Qp2/1P1P4/P6P/5qPK/8 b - -,f5f4
r1bq1rk1/1p1nppbp/p1np2p1/2p5/2PPP3/2N1BP2/PPBQN1PP/R3K2R b KQ -,b7b5
r2qk2r/pp1n1pp1/2pbpn1p/3P1b2/2P5/2N2N1P/PP2BPP1/R1BQ1RK1 b kq -,c6d5
r3r1k1/p4pp1/1p2pq1p/3pR3/3P4/2PQ3P/PP3PP1/R5K1 w - -,a1e1
r1bqr1k1/1p1n1ppp/2pb1n2/p3p3/4P3/1PBP1NP1/P2N1PBP/R2QR1K1 b - -,d6b4
5r1k/pp4pp/8/3N4/2rp1P2/3R2Pb/P3PK1P/3R4 b - -,c4a4
r4rk1/pp1nqpp1/2pbpnp1/8/2BP4/2N1P2P/PP1B1PP1/R2Q1RK1 w - -,d1c2
1rq2rk1/p2nppbp/b2p1np1/B1pP4/2N1P3/6P1/PP2NPBP/2RQ1RK1 w - -,b2b4
8/8/3k1p2/B1b1p1p1/2K1B1P1/5Pn1/8/8 w - -,a5e1
2rqr1k1/pb1n1p1p/1p1b2p1/2p5/3Pp3/1P2PN1B/PB3PPP/1QRR2K1 w - -,d4c5
2br2k1/5p1p/p1n3p1/1p2q3/2p1P3/2P3P1/PPQ2NBP/4R1K1 w - -,e1d1
3r1r2/1p2k1p1/p1p1p3/7p/7P/4PPP1/PP2K3/3R1R2 w - -,e3e4
2r2k2/2pqp2Q/p1Rn1r2/3P4/P3B1p1/1P6/4PP2/2R3K1 w - -,e4g6
8/8/8/3k1B2/4n3/8/7B/2K5 w - -,f5c8
8/8/q4k2/3p1pP1/1K1P4/1PQ1P3/8/8 b - -,f6g5
rr6/p1pk3p/6pb/3pPp2/4nP2/1P3NP1/PB5P/R3K2R b KQ -,a7a5
7r/5kp1/p1p1pb2/PpP2pp1/1P1PpPq1/2B3Pr/1K1R1Q2/6R1 b - -,g5f4
8/p4P2/b1p3p1/7P/3Q4/5K1k/P3r3/8 b - -,e2g2
r1b2nk1/pp2rpb1/2nN2pp/2P1p3/2B5/1P2BN2/P4PPP/2R2RK1 w - -,d6c8
8/2p2pk1/2n1p1pp/1p1P1r2/2P5/rP3N1P/3R1PP1/3R1K2 b - -,e6d5
r2rb1k1/pp2bppp/2n1p3/q3P3/8/1BP2N2/P2BQPPP/2R1R1K1 b - -,a8c8
5rk1/1p3pb1/5r2/p3p1Q1/7P/2q5/B1P2PP1/5RK1 b - -,f8d8
8/p2k2R1/2p5/2Pp4/1P1Np3/P2nK2P/7r/8 b - -,d7e8
4B3/8/6k1/2b1Pp1p/3p1P2/2pP4/2P4P/5K2 b - -,g6h6
8/R3Bnk1/3p4/2nPN3/4P1P1/6P1/3b2K1/8 b - -,c5e4
1q1r2k1/nrp1npbp/6p1/3p4/NNRP4/1P3QP1/P2B1PKP/5R2 w - -,f1e1
4k3/4n1B1/6pp/8/4K1P1/1p5P/r7/2R5 b - -,a2h2
8/n3k3/P7/8/5PB1/6K1/8/8 b - f3,e7d6
