8/8/1N5k/8/2R4P/4P1P1/2p1K3/1r6 w - -,c4c2
5rk1/4Rp1p/R5p1/p3P3/2pr4/P7/2P3P1/6K1 w - -,a6a5
3r4/4R1p1/pp5p/2pb4/5kB1/1P5P/P4P2/5K2 b - -,c5c4
1rr3k1/1bq2ppp/p2pp3/2n3P1/1PBbPP2/P1N5/2PBQ2P/2KR3R w - -,b4c5
3r1r1k/2R4p/6p1/p2Pq1P1/p3P3/4Q3/1P6/1KR5 w - -,e3c3
r1b2rk1/pp2qpb1/2n3pp/2pnp3/2Q1N3/2PP1NP1/PP3PBP/R1B2RK1 b - -,f8d8
6r1/R1pr2np/RpNp1k1n/3P1p2/1PP2P2/4p1P1/4B2P/6K1 w - -,a6b6
1k6/1pb2r1p/1Rp1p1p1/5p2/P1RPPP1P/4BP2/4K3/8 b - -,c7b6
3r1rk1/6pp/2b1p3/pp1pPp2/2pR4/P1P1PP2/1PB3PP/5RK1 w - -,f1d1
1r4k1/5pb1/6pp/2rp4/1P6/5N1P/1P1R1PP1/R5K1 b - -,b8b4
2r5/pnrpk1p1/1p2p1qp/4Pp2/1PP2P2/P2B2PP/6Q1/R4RK1 w - -,g3g4
r2q1rk1/pb1nppbp/3p1np1/2p5/PpN1P3/3P1NP1/1PP2PBP/R1BQR1K1 w - -,d1e2
r1b2rk1/1p2b2p/2pp1n2/1Pn3q1/2P1pN2/2N1P1PP/1B4BK/1R1Q1R2 b - -,c8d7
8/5k2/3p2p1/4b2p/p4N1P/6P1/KP6/8 w - -,a2a3
r1r3k1/1p1nppbp/p2p2p1/3P4/4P3/1P2BP2/P2KB1PP/2R4R b - -,g7b2
r1br3k/ppppq1pp/5p2/2P1n3/5B2/P3P3/1P1QBPPP/2R1K2R w K -,d2a5
8/2p1q3/3p3k/P2P4/7p/2R1p2P/1P2QrP1/6K1 w - -,e2e3
r3r1k1/p2n1pbp/bp1q2p1/2pP4/B1P5/4B1NP/P2Q1PP1/2R2RK1 b - -,g7e5
1rbqk2r/1pp3b1/p3pnpp/4p3/P1PP4/2N1B1P1/1P2QPB1/R4RK1 w k -,d4e5
2r2rk1/ppq2p1p/4pp2/2n5/7N/P2b4/BPPRQPPP/2K4R w - -,e2e3
2k4r/p1q2p2/1pr1pPp1/n2pP2p/P2P4/1PB2R2/2Q3PP/3RK3 b - -,c8b8
r2q1r1k/1p1bb1pp/p2ppn2/8/3NP3/1PN1BQ2/1PP3PP/R4R1K b - -,f6d5
r3kb1r/pp1bpp2/3p1p1p/q7/3QPP2/2N5/PPP3PP/2KR1B1R b kq -,a8c8
r3r1k1/ppp2pbp/1nn3p1/4P3/6b1/1PN1PNP1/P4PBP/R1BR2K1 w - -,h2h3
2kr1bnr/pppq1ppp/2n1p1b1/8/3P2P1/2N1BN1P/PPP1BP2/R2QK2R w KQ -,e2b5
r1r3k1/pb2ppbp/1pn3p1/3q4/Q2P3B/2R1PN2/P3BPPP/5RK1 b - -,e7e6
rnbq1rk1/ppb2ppp/2p1pn2/8/P1pP4/5NP1/1PQ1PPBP/RNB2RK1 w - -,b1a3
5rk1/3R1p1p/2p1pbp1/2q5/Pp6/1B5P/1P1Q1PP1/6K1 w - -,g2g3
2kr3r/ppqb1p2/2n1p1np/3pP1p1/P1pP4/B1P2N1P/2PQ1PP1/R3RBK1 b - -,d8g8
2r2rk1/1bq1bppp/p1npp3/1pp1n2P/4P3/P1NPBNP1/1PPQ1PB1/R3R1K1 w - -,f3h2
rnb2rk1/pp2ppbp/6p1/1B6/3PP3/4B3/P2K1PPP/2R3NR b - -,b8c6
3r1r2/1p3k2/8/3n1pP1/p2B3R/P7/BP6/K5R1 w - -,g5g6
rr4k1/3nppbp/b2p1np1/q1pP4/4P3/2N2N1P/PP1BBPP1/R2Q1RK1 w - -,e2a6
r3kbnr/pp1b1ppp/1qn1p3/8/2Qp4/5NP1/PP2PPBP/RNB2RK1 w kq -,b1d2
r5k1/1q1nbppp/8/3b4/1p1N4/1Q2PN1P/1P1B2P1/5RK1 w - -,b3d3
r4rk1/pp3pb1/1np2qp1/3Pp2p/4P1b1/1BN5/PP1NQPPP/R4RK1 w - -,f2f3
r5k1/r1q2ppp/3p1n2/p1p5/R2pPP2/1B1P2PP/QPP3K1/R7 b - -,g8h8
rn1qk2r/p3nppp/1ppbp3/3p3b/3PPB2/1QPN4/PP1N1PPP/R3KB1R b KQkq -,d5e4
