8/6k1/6p1/1Q2p2p/5q2/7P/2P2PP1/6K1 b - -,f4c1
r2r4/1p2k2p/2pRbpp1/4p3/p3P2P/2P5/1PN2PP1/1K1R4 w - -,d6d8
r3kb1r/1pq1pppp/p4n2/2Pp2B1/4b3/2P2N2/PP3PPP/RN1QR1K1 w kq -,b2b4
r2q2r1/2pb1pbk/1p1p1n1p/p1nPp2P/2P1P1p1/PPN3B1/3NBPP1/1R1QK2R w K -,d1c2
r1b5/1p2qk2/1Qp1np2/r3p1p1/P1P1P2p/2N2P1P/6P1/R2R1B1K w - -,d1b1
6k1/3qpp2/3p2P1/1R5n/p1QR3P/P1P1r3/K1P5/8 b - -,e7e5
r1b2rk1/ppq1bppp/2n1pn2/2pp4/4P3/1P1P1NP1/PBPN1PBP/R2Q1RK1 b - e3,d5e4
rnb2rk1/pp2ppb1/6pp/8/3PP3/4B3/P2K1PPP/2R2BNR w - -,f1d3:g1f3
r1b2rk1/ppq1bppp/3p1n2/n3p3/1P2P3/3P1N2/P1BN1PPP/R1BQ1RK1 b - -,a5c6
8/8/1k1pN3/1p1Pp3/1K2P3/2P2P2/3n4/8 w - -,e6g5
r1bqr1k1/2b2ppp/p4n2/2Ppn1B1/8/2NB1N2/P4PPP/1R1QR1K1 w - -,g5f6
8/1kp5/6R1/2p3pP/3r4/1K6/6P1/8 b - -,d4g4
4rqk1/ppnr1p1p/1np3p1/8/1P2PP2/PN4P1/1b4BP/Q2R1RK1 w - -,a1b2
rn1qk2r/ppp1bppp/4pn2/5b2/2BP4/2N2N2/PPP2PPP/R1BQ1RK1 w kq -,f1e1
8/5p1p/6p1/p4rk1/R7/8/P5P1/6K1 w - -,g1h2
rnb1kb1r/pp2pppp/2q5/P2pPPN1/2pP4/2P5/2P1B1PP/R1BQ1RK1 b kq -,g7g6
r1b1qrk1/1p4pp/2ppPb2/p1P1np2/4P3/1PB3P1/P2N1PBP/R2Q1RK1 b - e3,c8e6
r5k1/pbpq2n1/1p1p2Bp/4b1pP/5r2/2P1NP2/PPQ3P1/R1B1R1K1 b - -,a8f8
k2r3r/1p4pp/p4n2/2QnBP2/4p2q/4P1NP/PP3P2/1K1R3R b - -,d8c8
8/p7/1p6/2p3k1/P1PbP2p/1P1N1K1P/8/8 w - -,a4a5
5k2/1p3p2/2ppr3/6p1/1rP1P1PP/3R1K2/2R5/8 b - h3,g5h4
2r2rk1/4Bp1p/6p1/1p1p4/1P3Pb1/3P4/5P2/1R2R1K1 b - -,f8e8
6k1/5pb1/4p1p1/2NnP2p/p2pBP1P/Pq4PK/1P6/2Q5 b - -,b3b5
r5k1/p2q1pb1/2pB2p1/7p/3Pr3/1P1Q2P1/P5BP/5RK1 w - -,d3e4
2br2k1/p1p1qp1p/5rp1/2p5/N2bP3/1P4P1/P1R2PBP/2Q1R1K1 b - -,c5c4
4k1r1/1ppb1p2/r2p2qp/2nPp3/p1P1PR2/P1Q3NP/1PB2PP1/R5K1 w - -,f4h4
4r3/1b3p1k/p5p1/7n/PpPp1q2/1P1Q1N1P/2B2PP1/3R2K1 b - -,b7e4
2r5/p5kp/2q1p1p1/4p3/2p5/2P3P1/PP2Q2P/3R2K1 b - -,c6b6
r4rk1/1b1n1ppp/4p3/qp1p4/3PnB2/2PBPN2/1Q3PPP/2R2RK1 b - -,f8c8
r1bq1rk1/4npbp/p5p1/npp5/4P3/2N2N1P/PPB2PP1/R1BQ1RK1 w - -,d1d8
1r1q1r1k/2p3pp/p7/5p2/5Q2/8/PPP2PPP/RN2R1K1 b - -,b8b2
r1b2rk1/p2q1pbp/1pn1p1p1/1N1pP3/5P2/6P1/PP2P1BP/R1BQ1R1K w - -,a2a4
3r4/8/6p1/4pk1p/4p2P/R3K1P1/5P2/8 b - -,d8d4
3rk2r/p1n1bppp/2p1bq2/2P1N3/3B4/2P2PN1/PP1Q3P/R4R1K b k -,f6e5
2r1r1k1/p3qppp/1pp2nb1/3p4/NP1Q4/P2PPB2/5PPP/2RR2K1 w - -,c1c3
1r2r3/2bb1k1p/p3p1p1/1pB2p2/3P4/2P3P1/PP2R1BP/4R1K1 w - -,b2b4
2krr3/1pp2p2/6bp/nR3p2/4p3/P3P1N1/B1P3PP/4R1K1 b - -,b7b6
3bn3/2qn1k2/p2p1p1p/p1PPp1pP/2P1P1P1/1Q1NBP2/3NK3/8 b - -,d6c5
r1r3k1/1n1b1p1p/3p2pb/1p1P4/1p1BPP1q/P3Q1N1/4N1PP/2R2RK1 w - -,a3b4
8/8/8/8/2kb4/4r3/4K1R1/8 w - -,e2d2
5k2/2R5/6p1/7p/1p1r4/1P3KP1/P7/8 w - -,c7b7
3r4/1p3k1p/2b3p1/3p4/1p1R1P2/1P4P1/P2R1KBP/2r5 b - -,f7e6
3r2k1/pp1q1pbp/2n4r/2B5/2Npn2p/1P1N2P1/P3PP1K/2RQ1R2 w - -,g3g4
7R/1k6/8/1p1K4/p6p/P1r5/8/8 w - -,h8h4
r2q1rk1/ppp1ppbp/2n1bnp1/8/2NP4/5NP1/PP2PPBP/R1BQ1RK1 w - -,b2b3
8/2p2p2/1k2b1p1/1np4p/4P2R/1P3P2/P5PP/6K1 w - -,f3f4
r4rk1/pb2q1p1/1p2pb1p/1P1p4/4n3/5NPB/P3PP1P/1QRRB1K1 b - -,f8e8
r7/p3kpp1/2p4p/1pPp1b2/3P2P1/P1P2P1P/1R3KN1/8 b - -,f5d7
1r4k1/pb3n2/2rq1pp1/2p1n3/P2pP2N/B2P2PB/7P/2RQR1K1 b - -,b7a6
r3kb1r/pp1nq2p/2p1p1p1/4Pp2/2BP2P1/1N2PQ1P/PP2K3/R6R w kq -,a1c1
4r1k1/3qrpbp/p2p1Bp1/1p1P2P1/2n2Q2/P1P4P/1P3RBK/3R4 b - -,e7e5
1r1k4/p3p3/1qb2b2/1p1N4/P2pQ3/8/1PP3PP/2K2R2 b - -,c6d5
r3k2r/3npp2/b2p1q2/p1pPP2p/P1N2bp1/2PB4/2RNQPPP/5RK1 b kq -,d6e5
r2q1rk1/1p2n1bp/3pPnp1/2B1pp2/2P1P3/2N3P1/P4PBP/R2Q1RK1 b - -,d6c5
1r3rk1/4bppp/4qn2/pB1pp3/P3P3/2P1BP2/3Q2PP/R4RK1 w - -,e4d5
r1bqk2r/1ppn1ppp/3ppn2/8/p1PP4/P1Q2NP1/1P2PPBP/R1B1K2R b KQkq -,e8g8
1k6/1p6/3pB3/P2P4/8/2pK1r2/5P2/8 w - -,d3c2
6k1/3R2p1/8/2q2r1p/2P4P/6P1/1Q3P2/6K1 b - -,f5e5
2b1rb2/1p3q1k/r1p3pp/4pp2/P1Pp4/3P2P1/RQ1NPPBP/1R4K1 w - -,b2c2
1qr2r1k/2b3p1/3p3p/pP2pb2/R1B1N3/1P3P2/4Q1PP/3R3K b - -,c8d8
8/4k3/b3p1pp/p7/2P5/5PP1/P1R2K1P/1r3B2 b - -,g6g5
4k2r/2p1bp1p/3npp2/q2b4/P2P4/1P1Q4/4RPPP/1KR1N3 w k -,e1c2
r1bqk2r/1p3ppp/p1n1p3/8/1b4P1/2N4P/PPP2PB1/R1BQ1RK1 b kq -,b4c3
3r2k1/5pp1/N2P4/1p3b1p/5P2/1P5P/1P4P1/3R2K1 w - -,b3b4
1br1r2k/4npp1/p2q3p/1p1p4/1P1P1PQ1/2PBR2P/3B2P1/5RK1 b - -,e7g8
r1bq1rk1/pp3pbp/2n1p1p1/8/2P1PP2/3p2P1/PP2Q1BP/R1BN1RK1 w - -,e2d2
