8/1b2kp2/5P2/8/P3NKB1/1n5P/8/8 b - -,e7f8
r1b2r1k/pp1nQpp1/6qp/3p1NB1/3P3P/P1N2P2/1Pp2nP1/2K1R2R w - -,g2g4
1r1r2k1/1p2qppp/pNpn4/3p4/1P1P1Q1P/P3P1P1/2R2P2/2R3K1 b - -,d8e8
r1b2rk1/pp1nq1pp/2pbp3/3p1p2/2PPnP2/1P2PN2/PBN1B1PP/R2QK2R w KQ -,e1g1
r2qr1k1/1p2npp1/p1p1bb1p/3pp3/P3P3/2PPNN1P/BP2QPP1/R3K2R w KQ -,e3g4
6k1/1p3q2/p1p2np1/P2p1b1p/1P3P2/4Q1PP/1BP3B1/6K1 w - -,e3e5
r2q1rk1/pp2npbp/2npb1p1/2pN4/1PP1p3/P5P1/3PPPBP/1RBQNRK1 b - -,e7d5
r1b2rk1/pppn1ppp/5q2/8/3p4/2PB1N2/PP3PPP/R2Q1RK1 w - -,c3d4
r3r1k1/1pq1P1bn/p2p1nP1/2p1p3/2P1P1P1/4B3/PPQ1B3/R4RK1 b - -,c7e7
1B6/5k2/8/3R4/5Pp1/1N2n1P1/PP5r/5K2 w - -,f1g1
r1bq1rk1/pp2ppbp/2np1np1/2p5/4P3/2NPBN1P/PPPQ1PP1/R3KB1R w KQ -,e3h6
k7/pp3p1p/2p2p2/2b2Q2/1P4P1/q1P2b2/P1R1r2P/RKBr4 b - -,d1c1
8/3k2pp/4pp2/1P6/7P/1R6/6P1/r4NK1 w - -,b5b6
5n2/1p2k2p/3rPpp1/2p5/2B5/1P3PK1/4R1PP/8 w - -,e2c2
4b3/1k2N3/2pK4/2Pp4/pP1P4/P7/8/8 w - -,b4b5
2rqr3/p4k2/1p6/3pB1p1/2P1p3/P1Q1P3/1P3P2/2K4R w - d6,h1h7
7r/2k2p2/ppb1p1p1/2q1P3/P2p1PPP/1B1P2K1/2P2Q2/3R4 w - -,c2c4
8/5p2/4p1p1/4P3/p4P1p/3k3P/KP4P1/8 b - -,d3e3
2bk2Q1/8/1p5p/1P6/2PqBp1P/p4P2/4K1P1/8 b - -,d8e7
r4rk1/pp1bqppp/3bpn2/4n3/4P3/PNNB4/1P1B1PPP/R2Q1R1K w - -,d3e2
2rr2k1/q1p1pp1p/2B3p1/p7/Pp3PP1/1P2PQ2/1N5P/4R1K1 b - -,a7c5
3r1rk1/2pbq1pp/1bp2p2/p2pP3/P2NnP2/2P1BN2/1P4PP/R2Q1R1K w - -,d1b3
7r/5p2/6k1/6n1/5K1p/1P2N1p1/P2R4/8 b - -,h8e8
r2q1rk1/2p1bppp/p3b3/1p1pP3/3P4/1B2R3/PP1N1PPP/R1nQ2K1 w - -,a1c1
