3r4/8/p4k1p/2PK2p1/4R1p1/8/PP5P/8 w - -,d5c4
2kr1r2/pp1bq2p/2nQpp2/2p5/2P1N3/6PP/PP3PB1/R4RK1 w - -,d6c5
4r3/4qpkp/3pr1p1/p1p5/1p2PP2/1P1Q4/P2R2PP/4R1K1 w - -,d2e2
2r3k1/pbrn1pp1/1p2p2p/nB1p4/P2P4/2P2N1P/2RN1PP1/2R3K1 w - -,b5d3
bn3k2/2n2pb1/p2p2p1/2pPp1Pp/B1P1PP1P/P1N1B2N/3K4/8 b - -,f8e7
r3r2k/b2b2pp/2pp1q2/p1PP1p1Q/8/P1N5/1B3PPP/1R1R2K1 b - -,f6e7
2r1rbk1/p4p2/1p4pq/3n3p/3Np1bP/PP2P1P1/1BQR1PB1/4R1K1 w - -,c2b1
r3b1k1/1n2q2p/p2p1pp1/1p1P4/3P1Q1P/4NB2/PP3PP1/2R3K1 w - -,h4h5
8/7k/1pr4p/p1b2K2/P7/1P1R4/3R4/8 b - -,c6c7
2r2k2/5p2/6p1/p7/2P1rp1p/1BP4P/P2R2P1/6K1 w - -,c4c5
2r2bk1/r2p1p2/6p1/n2N1P1p/3P3P/1p1q1BP1/1P1N1P2/1R1Q2K1 b - -,d3f5
5k2/p1r2pp1/2pb3p/R4P2/1r1p2P1/1B1P3P/P4PK1/2R5 b - -,c7e7
1r3r1k/8/b1n4B/ppp1p3/3pB2P/3P2q1/PPP5/R2QR2K w - -,h6g7
r2r2k1/pp2ppbp/2p3pn/4P3/8/3N1P2/P2B4/1N3QK1 w - -,d2c3
5b2/3q1pk1/4n1pp/ppn1p3/2Q1P3/2P1B1PP/1PB2PK1/2N5 w - -,c4e2
3r2k1/1qbR1bpp/p1n2p2/P3pP2/1pp1P3/4B1P1/1PPQ2BP/R5K1 w - -,c2c3
2r2kr1/3q1ppb/2p1p2p/1p5P/p1nP1BQ1/P1P3N1/2P1RPP1/4R1K1 w - -,f4c1
rn2k2r/1p3ppp/pq3n2/2bPp3/Q5b1/2N1P1P1/PP3P1P/RNB1KB1R b KQkq -,b8d7
3r3r/1pp1k3/4p2p/pP2Pn2/2PbN1P1/P7/3BK2P/3R3R b - -,f5h4
8/4k3/7p/8/8/4Q2P/P5q1/3K4 b - -,e7f7
r2r2k1/p4p2/1qpR2pp/2N1p3/2Q1P1b1/1P3PP1/P5BP/2R3K1 b - -,d8d6
r1bqn1k1/pppn1rbp/3p1p2/3Pp1p1/2P1P3/2N3B1/PP1NBPPP/R2Q1RK1 b - -,d7f8
r2q1rk1/1p1n1ppp/1bn1p3/p7/P3P3/1N3BP1/1P1B1P1P/R2Q1RK1 w - -,d2c3
8/6k1/4p1B1/4N3/r4P1P/5KP1/8/8 w - -,f3g4
r2q1r1k/pp1nnpp1/4p2p/3pP1N1/b1pP2QP/P1P4R/2PB1PP1/2R1KB2 w - -,f1e2
2r1k3/1pp1n3/p3N1p1/4p1p1/4P3/2P1P2P/PP4P1/5RK1 w - -,f1f8
rn1q1rk1/5pbp/3p2p1/1p1PP3/2Q2Pn1/2NB1NPb/1P5P/R1B1R1K1 w - -,c4b5
8/4R3/pp5p/3p1kp1/K1p5/P1P5/7r/8 w - -,e7a7
r4r1k/1bbn3p/4qn2/2p1p1p1/2NpP2N/1P1B2P1/PB3PKP/R2QR3 w - g6,h4f3
2kr3r/1pp3pp/p4p2/2bQp3/8/3P4/PPP2PPP/R1B1R1K1 b - -,d8d5
2rq1rk1/1p1nb1pp/p2p1n2/P2Ppp2/2N5/R3BP2/1PP3PP/3QKB1R w K -,g2g3
r2qkb1r/pp3ppp/2n1pn2/3pNb2/3P4/2N1P3/PP3PPP/R1BQKB1R w KQkq -,g2g4
r3rnk1/1p5p/p1n3p1/1q1pp1Q1/7P/BB1PPN2/P3KPP1/7R w - -,h4h5
6k1/1p1q1pp1/1p5p/3Bp3/4Pn2/1P2Q1RP/4r1PK/8 w - -,e3c3
1q3rk1/2R2pbp/2Q2np1/3ppb2/8/1P4P1/P3PPBP/2R3K1 b - -,e5e4
r1bq1rk1/pp3ppp/2n2b2/3p4/3P1N2/P2B4/1P3PPP/R1BQ1RK1 w - -,c1e3
2r4k/3n2bp/p2q2p1/P4pP1/1PBpp2P/1QB1P3/5P2/4K2R w - -,e3d4
2kr3r/pp2pp1p/2n2npb/2Pp4/Q2P4/2Nq2PP/P4PBK/3RB2R b - -,d3c4
