8/p4p2/6k1/1R6/PP3KP1/8/8/1r6 w - -,b5b7
r5k1/1b3p2/3q2pb/1ppPp2p/2p1P3/2P1N2P/1P2QPP1/1B2R1K1 b - -,b7c8
2kr1b1r/pppq2p1/2n5/3p1p2/Q2P3p/4P1P1/PP1B1PBP/R4RK1 b - -,c8b8
8/2R1p1r1/3p1k2/2p5/2K3p1/4R3/4P3/8 w - -,e3g3
2k5/1p2q3/p3p2p/6pN/3Nb1P1/PP3n1P/2P2Q2/5K2 b - -,f3d4
3r2k1/1p1r1pb1/nq1pb2p/p7/P1PNPBP1/1P1Q3P/3R2B1/3R2K1 b - -,a6c5
3r1k2/bp3pp1/p1n2q1p/8/3pRBPP/1PP2K2/3Q4/3R4 w - -,g4g5
1Rb1r1k1/5p2/2N3pp/8/4p3/2b3PP/P4PBK/8 b - -,c8d7
8/8/6p1/3r1k1p/4R2P/P4PP1/4K3/8 w - -,a3a4
r2q1rk1/pbpnbppp/1p1p1n2/4p3/2PPP3/2N2NP1/PPQ2PBP/R1B2RK1 w - -,d4d5
2r5/3k3p/3pp1p1/BP6/1K2P3/6PP/8/8 b - -,c8c1
rnb2rk1/p3ppbp/1q3np1/2p1pPB1/1p1P4/3B1N2/PPPQN1PP/R3K2R w KQ -,d4e5
8/8/2p2kBP/2Kp4/1P6/4Pb2/8/8 w - -,g6e8
r3k2r/1bq1bppp/ppnppn2/8/2P1P3/1PN1QN1P/P3BPP1/R1BR2K1 b kq -,c6b4
rnb1k2r/pp2ppbp/6p1/1Np1P3/6n1/2P2N2/PP3PPP/R1B1KB1R b KQkq -,b8a6
R6K/8/8/1pk3P1/8/8/2p5/8 b - -,c5d4
2r1kr2/5p2/2p1p1p1/p2q1n1p/2NP1R2/2Q5/PP3P2/1K1R4 b - -,c8c7
2rqk2r/1p2bpp1/p1bpp2p/6n1/6P1/3QBP2/PPP1N2P/2KR1B1R w k -,e2d4
r2q1rk1/1pp1nppp/p2b1n2/3Pp3/6b1/1BN1PN2/PP2QPPP/R1BR2K1 w - -,e3e4
2r1r1k1/p6p/1pp2bp1/2P2p2/3P4/1P2PN2/5PP1/2RR2K1 b - -,e8e7
2n2qk1/1pNbn1pp/4p3/p2pP3/Pb1P4/1P1QBNPB/6KP/8 b - -,e7f5
