8/8/8/2p5/8/8/p1k5/B2NK3 b - -,c2b1
r1bqkb1r/p4ppp/1n1p1n2/2pP4/2B5/2N2N2/PPQ2PPP/R1B1K2R w KQkq -,c4b5
rn1q1rk1/pb1p1ppp/1p2p3/1Nn5/2P5/2P1Q1P1/P3PPBP/R1B1K2R w KQ -,g2b7
7r/8/p3pk2/1p1bN1n1/3P4/1BP3R1/P5P1/6K1 w - -,b3d5
1r4k1/p4bbp/q1p2pp1/3p4/NP1P4/P7/2Q2PPP/2R1R1K1 b - -,f7e8
r2q1r1k/1ppb2bp/p1np2pn/8/3PNN2/2P2BP1/PP3B1P/R2Q1RK1 w - -,f3g2
1r4k1/3rbp1p/p3pp2/1b6/1nN5/4P3/1P1B1PPP/R2R1BK1 w - -,d2c3
8/7k/P7/1p1p4/2nP4/2K5/P1P5/8 w - -,a6a7
r2r4/pp3pkp/4bnp1/qB6/5P2/P1N5/1P3QPP/3R1R1K w - -,b5d3
r1bqk2r/1pp2pp1/p1np1n1p/2b1p3/4P3/1BPP1N1P/PP3PP1/RNBQK2R w KQkq -,b1d2
4n1k1/5b1p/1Np2b1q/3r2p1/3P4/2P1Q1NP/6P1/5R1K b - -,d5d8
r4rk1/1p2ppbp/1qbp2p1/p1n5/2P1P3/2N1BP2/PP1Q2PP/3RRBK1 b - -,f8c8
r4rk1/pp2ppbp/2npbnp1/1N6/1qP2B2/1N2P2P/PP1QBPP1/R3K2R b KQ -,f6e4
8/p7/6K1/2N5/Pp5k/8/3n4/8 w - -,g6f5
2rk4/pRr3pp/3b1p2/3P4/8/2PKB3/P4PPP/1R6 w - -,b7c7
r1b4k/1p2q1p1/p1n2p1p/2P1n3/4BB2/2Q4P/P3NPP1/1R4K1 w - -,e2g3
r3rk2/3nb2p/pp5N/6p1/2P1Np1P/2B5/PP4P1/5R1K b - h3,e7d8
8/pp3k1p/6p1/8/8/1P1N4/2K5/8 b - -,h7h5
4r3/6kp/4q1p1/4p3/1PP1Q3/P6P/6PK/4R3 w - -,c4c5
r1bq1rk1/1p1pnppp/1PpNp3/8/3P4/6P1/3QPPBP/1RR3K1 b - -,a8a6
4r1k1/6b1/3R2pp/3nPp2/8/1P3P1P/1Br4K/4R3 w - -,h2h1
8/2r5/1R3k1p/p3ppp1/b1P5/P2BKP1P/6P1/8 b - -,c7c6
3rr1k1/4q1bp/4p1p1/1QnnP1N1/p4P2/6P1/PP4B1/R1B1R1K1 b - -,d8b8
4R3/8/8/4p3/4k3/8/1r6/4K3 b - -,e4d4
2R5/p2rkp2/1p2p1p1/r6p/P3P2P/1K1P2P1/2R2P2/8 w - -,c2c7
r2qk2r/4bpp1/p2ppn1p/8/PN1Nb3/1B6/1PP2PPP/R2QR1K1 w kq -,a4a5
6k1/b5p1/4p2p/P4p2/1p5P/1P1r2P1/2RN2K1/8 b - -,d3c3
8/pp2r2k/6pq/3p3r/3PpPb1/1Q2R1B1/PP4K1/4R3 w - -,e1g1
1nb2rk1/1p2ppbp/1qp2np1/8/2P5/1P3NP1/1B1NPPBP/r1Q2RK1 w - -,c1a1
r4rk1/1bp1q1pp/1p1p1n2/pP1Ppp2/P1P1n3/B2BP3/2Q2PPP/R3NRK1 b - -,g7g6
3rr1k1/p2nq1b1/PpQ1p1pp/8/8/2N2N1P/1PP2PP1/R3R1K1 b - -,d7c5
4rb1k/pp2r2p/2p3p1/5Q1n/4n3/1N2B2P/PPP2PP1/R3R1K1 b - -,g6f5
rr3nk1/4bp1p/pp2p1p1/2p1P3/P1P2P2/2B1P2P/3N2P1/3R1RK1 b - -,f8d7
rn1qr1k1/pbp1bppp/1p3n2/3p4/3P4/2N1B1P1/PPPQ1PBP/R3K1NR w KQ -,g1e2
2rb1rk1/1b1q1ppp/n2p1n2/1p1Pp3/1P2P3/5N2/N1B2PPP/R1BQR1K1 b - -,d8b6
3r1rk1/pb2bppp/1p2p3/8/2P5/1P1N1PP1/PB4P1/2RR2K1 b - -,f7f6
2n2rk1/3r2bp/1pp2pp1/p1p1p3/P1P1P3/2P1RN1P/3P1PP1/1RB2K2 w - -,c1b2
6n1/7k/p3RN1p/1b1r4/2r2p1p/5P2/6PK/R3B3 b - -,g8f6
r2q1rk1/ppp1p1bp/1nn3p1/5b2/3P4/2N1BN1P/PP3PP1/R2QKB1R w KQ -,d1b3
r1bq1rk1/1p1nbppp/2pp1n2/p3p3/P1PPP3/2N2NP1/1P3PBP/R1BQ1RK1 w - -,h2h3
6k1/5p2/4n3/5Q1p/7P/5BP1/3q3K/8 w - -,h2h3
3k4/5r1p/p1q1r1p1/1p2B1RP/3PpP2/2P4Q/P7/6K1 b - -,f7d7
3q1r1k/6b1/1r1p2p1/1p2p2p/4P3/1Q1P2P1/P1R2PB1/2R3K1 b - -,d8f6
8/4N3/8/q4p2/P6k/2p1PB2/1P4R1/1K6 w - -,b2c3
6k1/7p/3BP1p1/4K3/r3P3/p3r3/R5PP/8 w - -,e6e7
r1bqr1k1/pppp1ppp/8/2b1n3/2P5/1P2P3/PB2BPPP/RN1Q1RK1 b - -,a7a5
r1b1k2r/pp1n1pb1/1qn1p2p/2ppP1p1/Q2P3P/P1PB1N2/1P1N1PP1/R1B2RK1 w kq -,h4g5
3n4/1p2r1k1/p2p1qpp/P1pP1p2/2P4P/1RP2BK1/5P2/2Q5 b - -,f6e5
1k1r3r/1pq1b1pp/p1p2p2/P3n3/Q4B2/6P1/1P2PPBP/R4RK1 w - -,f4e3
4rbk1/1b1q2p1/ppN1pp1p/1P1n3Q/P1R4P/3P4/1B3PP1/4R1K1 b - -,e6e5
1rb2r2/p1q3pk/2pn2np/4bp2/8/2NB1QN1/PPPB1PPP/1R2R1K1 b - -,c8d7
8/1p2k2p/p3n3/P3K1p1/1PbpP1B1/2r5/5P2/R3N3 w - -,e1f3
1q1r3k/8/p2pBnpP/1p1Pn3/3B4/1PR5/P3Q2P/6K1 w - -,e2c2
8/4k3/5p2/N2pp1pp/1p1P4/2nKPP2/6PP/8 b - -,e7d6
3rkbnr/pp3ppp/2n5/2P1pb2/1P6/2P2N2/P2N1PPP/R1BK1B1R b k b3,e5e4
q4rk1/2Q1Rpp1/7p/8/3p4/3P2KP/2P2P2/8 w - -,e7d7
r1b1k1r1/pp3p1p/4p3/2P2p2/4n3/1NP3P1/P1P2PBP/R3K2R w KQq -,c5c6
r1bqr1k1/pp1n1ppp/2pb1n2/4p3/2QP4/1P3NP1/PB1NPPBP/R4RK1 w - -,e2e4
r4rk1/pp2qppp/3b1n2/3Bp2b/1P6/PQ2PN1P/1B3PP1/3R1RK1 b - -,f8d8
1r1q1rk1/1p1bppbp/p2p1np1/2p5/1PP5/P1NPPnPP/3B1PB1/1R1Q1RK1 w - -,d1f3
8/7p/pn2kpp1/4p3/1P6/1P1K3P/1R1N1PP1/2r5 b - -,b6d5
3B4/5kpp/8/6P1/2P1pp1P/P2n4/5P2/6K1 w - -,d8b6
3n4/p4pk1/2p3p1/2P1P3/r4P1P/3K1B1P/8/2R5 b - -,a4f4
8/2k5/Q2p1r2/P1bPP3/1p6/1P6/4K3/8 b - -,f6h6
r3r1k1/1bq1ppb1/pp1p2pp/4P3/P2N1P2/2N1Q2P/1PP3P1/3R1RK1 w - -,e5d6
7k/p2r2p1/1rb3Q1/4P2P/5B2/b1P1P3/P3KP2/1R6 b - -,a3b2
r2r4/ppb4p/2n1kpp1/1B1p4/5P2/3R4/PP4PP/2BR2K1 w - -,g2g4
2bq1rk1/rp2bp1p/p1n1p1p1/3n4/3P4/P1NB1N2/1PQ2PPP/R1B1R1K1 w - -,c1h6
6k1/5p2/2bp4/6NP/pp1B4/nP6/PK6/8 b - -,a3b5
2rr2k1/3bppbp/1qn3p1/1p2P3/p2PR3/P1B2N1P/1P3PP1/R2Q1NK1 w - -,d1e1
8/1p6/p4k2/3BRb2/3Pp3/4P3/PP1K3r/8 w - -,d2c3
2kr1b1r/ppp1nQ1p/6p1/4p3/4qP2/2P5/PP4PP/RNB2RK1 w - -,f7e6
r1b2rk1/ppq2pbp/6p1/n3p2n/P1P1P3/2PB1N1P/2Q2PP1/RNB1R1K1 b - -,a5c4
4R3/p7/1p1k2bp/2p3p1/2P5/PPK2BPP/8/8 b - -,g6e8
8/5kp1/2NR4/1p3pp1/1P6/5P1P/6PK/1r3b2 w - -,c6e5
r3nrk1/3nqp1p/1pbp2p1/1N2p3/1PP1P3/1N1B4/2Q2PPP/2R1R1K1 w - -,b5c3
r1b2rk1/pp1nqppp/2pb1n2/4p3/2QP4/5NP1/PP2PPBP/RNBR2K1 w - -,b1c3
4r3/1p1r1pk1/p3pnp1/P1Pp3p/1P1P3P/2N3P1/4RP2/1R4K1 w - -,b4b5
4r3/pp3k1p/3br1p1/3B2B1/8/7P/PP3PP1/4R1K1 w - -,g1f1
8/1bq1r1kp/6p1/pBp1p2n/P3p3/1PRN1PPP/4Q2K/8 w - -,f3e4
r3k2r/1bqp1ppp/p3pn2/1pB5/4PP2/2NB4/PPP1Q1PP/R4RK1 b kq -,c7c5
8/5p1p/5rp1/4R3/3P4/3kP3/3r1PKP/5R2 w - -,e5a5
r1bqkb1r/4pp1p/pn3np1/P2P4/1p6/2N5/1PBPQPPP/R1B1K1NR b KQkq -,b6d5
r2q3k/1p5p/p1p2p2/3P2rQ/8/2NP1P2/PP3P2/2KR4 w - -,h5f7
8/1p6/4knP1/2P1p3/1P6/3K4/8/8 b - -,e6f5
r2q1rk1/1bp2ppp/p2p1b2/8/PPnN4/1PN1B2P/5PP1/R2QR1K1 b - -,c4e3
r4rk1/1p2npp1/pq2p2p/4Pb2/3P3N/1B6/PP4PP/R2Q1RK1 w - -,g1h1
8/r7/6p1/7k/1R5p/8/6K1/8 w - -,b4b5
6k1/5r1p/7p/pp1r4/2bP2n1/P2NB2R/5PP1/3R2K1 w - -,d3f4
5rk1/b1q4p/6p1/6N1/p5Q1/P6P/3B2P1/4R2K w - -,g4e6
5rk1/4b1pp/p3bp2/3p4/1rp5/1PN1P1B1/P4PPP/R2R2K1 b - -,f8d8
5b2/p2k1b1p/1pp1npp1/1P2p3/2P1P3/P1N1BPP1/1K2B2P/8 b - -,e6d4
2r4r/pp3ppp/2n1bk2/3p4/3P1b2/1P3N2/1P1N1PPP/1B1RR1K1 b - -,e6g4
2B2r1k/5p1p/1p3R1Q/p2Pp3/4P3/3n2PP/1P2q3/6K1 w - -,h6f8
5k2/2R1b1pp/4p3/4PpN1/5P2/6P1/rr5P/2R4K b - -,e7g5
r4r1k/1p1qbppp/p1np1n2/2p5/4P3/1BN1BP2/PPP1QP1P/3R2RK b - -,d7e8
r3r3/1p2Pkpp/p2Bnp2/8/1PP3P1/P6P/4R3/R4K2 w - -,a1e1
r2qnrk1/3b1pbp/Bp3np1/2pPN1B1/P6Q/2N4P/1P3PP1/3R1RK1 w - -,e5d7
r1bqk2r/ppp2pbp/2np1np1/8/3NP3/2N1BP2/PPPQ2PP/R3KB1R b KQkq -,e8g8
r2q1rk1/3bbppp/p2pp3/1p4Pn/4P3/2N1BP2/PPPQ3P/2KR1B1R b - -,b5b4
8/8/5Q2/3qp3/3k3K/6P1/3n1P2/8 b - -,d4d3
1rb1k3/p1p4q/2p1pp2/2P3p1/2BPp2r/4P1Q1/PP4P1/2KR2R1 w - -,d1f1
3r1rk1/pR3p1p/2n3pb/8/2BP1qb1/N4N2/PP3PPP/R2Q2K1 w - -,a3c2
8/R2rk3/4p2p/6pP/6P1/4KP2/8/8 w - -,a7a8
2r2bn1/pp1q1ppk/1r5p/2pP1N2/4PP2/P1BP1R2/Q5KP/4R3 w - -,f3g3
r1bqk2r/pp2bppp/3p1n2/2p1p3/2BnP3/1PN2N1P/PBPP1PP1/R2QK2R w KQkq -,d2d3
r4k1r/pp2nppp/2p5/3n4/3N4/P4P1b/1PPBB2P/2KR3R b - -,f7f6
8/2Bk4/1P3p2/8/2P2P2/1P5p/6rP/5K2 w - -,f4f5
rnbqkb1r/pp3ppp/5n2/3p4/3p4/2N1PN2/PP3PPP/R1BQKB1R w KQkq -,e3d4
r1bR4/5pk1/p3p2p/1p3Pp1/5Q2/P6P/BP4PK/8 b - -,g5f4
6k1/pp4pp/2b1pr2/3p2Q1/3Pq1n1/2R2N1P/PP3P2/5RK1 w - -,f1e1
3q2rk/2r1bppp/1pbp4/p1n1pP2/P1P1P2P/1PN1BQPB/1R5K/5R2 b - -,d8a8
5rk1/p3p3/3p2p1/1p1P1n1p/4rP2/1PB2RP1/P2p3P/3R2K1 w - -,d1d2
2bR4/2r2ppk/7p/8/4P2P/5PP1/r5B1/1R4K1 w - -,h4h5
3rr1k1/1p1n1p1p/1qpb2p1/3p1n2/1P1P1B2/2NQPP2/3N2PP/1R3R1K w - -,f4g5
1r3rk1/2pq2pp/p2bbp2/P1p2N1P/1pPpP1P1/1P1P1P2/2QNK3/R6R w - -,f5d6
2kr1b1r/p1pp2pp/bp2p3/5q2/3PN3/5N2/PPPQ1PPP/2KRR3 w - -,f3e5
r2qkb1r/1p1b1n1p/p1nNp1p1/3pP3/7P/2PB1N2/2Q2PP1/R1B1R1K1 b kq -,f7d6
5k2/5p1p/p3p1p1/P1n1P3/3N1PP1/5K2/7P/8 w - -,f3e3
8/1p4R1/8/2p5/2P3k1/1P1K1p1p/7r/8 b - -,g4f4
r2r2k1/1bp1n1pp/1p2q3/3p1p2/QP1Pn3/2N1P1P1/5PBP/2RRB1K1 w - -,a4b3
2rr2k1/pp4p1/2n1b2p/3p3N/3q4/1P3B2/P2Q1PPP/2R2RK1 w - -,d2f4
4k3/6QP/1p5K/p1p5/P1P5/3q2P1/8/8 b - -,d3d2
r5k1/pbq1bp1p/1p2p1pB/n2rP3/4Q3/2P2N2/P4PPP/1BR1R1K1 w - -,e4f4
1rb2rk1/p1qppp1p/np3bp1/2PQ4/8/1NP1PN2/PP3PPP/R3KB1R w KQ -,c5b6
r1bq1b1N/pp1kp3/2pp4/8/4Q3/8/PP1P1PPP/nNBK3R b - -,d7c7
5k2/8/5Bp1/7p/2R5/4bPP1/5r2/7K b - -,f2f3
3r2k1/1pp2bpp/8/2P5/1P1n1r1q/3Q4/1B3PBP/4RRK1 w - -,d3g3
2r1k2r/2qbbppp/p2ppn2/1p2n3/4PB1P/1NN2P2/PPPQ2P1/1K1R1B1R w k -,f1d3
2kr4/ppn2ppr/2p1pnp1/8/P1PP2PP/1PBB1P2/2K5/3R3R b - -,h7h8
r2q1r1k/ppp1n1pp/1b3p2/3P1b2/5R2/1QN1BN1P/PP3PP1/R5K1 b - -,d8d7
1r2k2r/3bnpb1/2npp1p1/q1p3Pp/pp2P2P/3PB1N1/PPPQ1PB1/1R1N1RK1 w k -,f2f4
r1bq1rk1/1p1nbppp/p1pp4/3Pp3/2P1P1n1/2N2N2/PP1BBPPP/R2Q1RK1 b - -,c6c5
r1k4r/pppbbppp/8/4P1B1/2pR2P1/5N1P/PPP2P2/R5K1 b - -,d7c6
2rq1rk1/3b1pb1/1n2p2p/1pp3p1/p3P3/P2P1NP1/1PQB1PBP/1RR3K1 w - -,d2e3
2rqk2r/pp1nbppp/3pb3/3Np3/2P5/1N2B1P1/PP5P/R2QKB1R b k -,e8g8
2r2rk1/1p1nbppp/1q1n4/pN2p3/P1p5/5BPP/1P2QP2/R1BR2K1 w - -,b5d6
1r4k1/5pp1/3q3p/1b6/8/1Q3B1P/P4PP1/1R4K1 w - -,a2a4
2rr2k1/1p1b2pp/p7/5p2/2NNp3/1PPn3P/P4PP1/R2R2K1 w - -,f2f3
r2q1rk1/pp1bppbp/2np1np1/8/4P3/1NN5/PPP1BPPP/R1BQR1K1 w - -,e2f1
r2r1bk1/1bq2ppp/ppn1pn2/2Pp4/1P1P4/P2B1N2/1B1NQPPP/2R1R1K1 w - -,f3e5
2k1r3/5R2/r1p3PN/p2p4/P2P4/3K2P1/6P1/8 w - -,g6g7
Bn3rk1/p1p1b1pp/1p2p3/4P1p1/6q1/2B3P1/PPQ2P1P/R4RK1 b - -,c7c6
rn1q1b2/pp3kp1/1np1p1B1/4P3/3P3r/2N1B3/PPQ2P2/R3K2R b KQ -,f7g8
1rq2rk1/2p1bppp/p1Pp4/3P4/1p1p4/P2P1N2/1PQ2PPP/R4RK1 w - -,c2c4
1rr4k/p3q1bp/1n3np1/5p2/3Np3/2N1P3/P3QPPP/B2R1RK1 b - -,b6c4
r2r2k1/pQp1qpp1/1n5p/3bN3/2pP4/4P3/P3BPPP/R4RK1 w - -,b7a6
4r1k1/1b2qp1p/p2n1np1/1p2p3/4P3/5PN1/PP1QBNPP/2R3K1 w - -,f2d3
2r3k1/1b1r1pb1/p2n2p1/q1pPp1Bp/PpB1P3/1P3PN1/2RQ2PP/5RK1 w - -,f1c1
2Nn4/pp2k1pp/1b2pp2/8/4P3/6B1/PP3PPP/4K3 b - -,e7d7
r5k1/p1p1brp1/3pqn1p/2p2N2/4P2B/3Q1R1P/PPP3P1/R5K1 w - -,a1e1
r4rk1/1pqbbppp/p1nppn2/8/P2NPP2/2N1BB2/1PP3PP/R2Q1R1K b - -,a8c8:c6d4
r2q1rk1/pp1bbppp/3ppn2/8/2PnP3/2NBB3/PP3PPP/2RQ1RK1 w - -,e3d4
8/1R4pp/5k2/8/1p6/2b3P1/7P/5K2 w - -,f1e2
4r1k1/4P1p1/1p2R2p/p1p2R1P/P7/8/4K3/1r6 w - -,e2d3
r2qr1k1/1p3pbp/pn2p1p1/3pP3/3N1P2/BPPP4/R5PP/4QRK1 b - -,b6d7
8/1pp5/1b6/pP1P3p/P3k3/4P1BP/3K4/8 w - -,d5d6
4r1k1/1R3p2/p2Pq2p/P3n1p1/3Qp1P1/4P3/4B1P1/6K1 w - -,b7a7
8/4Pk1p/6p1/8/8/4N1P1/3p1PKP/r4B2 b - -,d2d1q
8/p2P4/4k2p/5p2/B1N1r2P/4K3/PP6/8 w - -,e3d3
r2q1b1k/1p1b3p/p2Q2p1/n4r2/3P1Nn1/2P3P1/PP3BBP/R4RK1 w - -,f4g6
2rq1rk1/pp1nppbp/n2p2p1/3p4/2P1P1B1/2N1B3/PP3PPP/2RQ1RK1 w - -,c4d5
8/2pk3p/1p1p4/1P1Pbp2/2P1p3/R2n3P/4KP2/8 b - -,d3b2
3r1k2/p3Rpp1/1n1P3p/1p6/1P3P2/K7/6PP/2R5 w - -,c1c7
1kr5/ppq2pp1/8/3Bp1n1/4P3/1Q6/PP3P2/1K1R4 w - -,a2a3
rnbqk2r/pp1p1ppp/2p2n2/4p3/2B1P3/P1bP4/1PP2PPP/R1BQK1NR w KQkq -,b2c3
8/8/5Rp1/7p/1b2kP2/6PP/7K/8 b - -,h5h4
