1k6/8/1K6/8/8/R7/7b/8 w - -,a3a1
8/8/8/8/3K4/8/4kp2/R7 b - -,f2f1q
r4rk1/1b1qbppp/p7/8/1P1p1B2/P1N2Q2/5PPP/3RR1K1 w - -,f3g3
r2q1rk1/1pp3pb/3p3p/p2P4/2N5/2PP2KP/P3QRB1/1R6 b - -,d8g5
2r3k1/5p1p/3p2p1/1p1P4/8/1BP4P/5PP1/4B1K1 w - -,g1f1
4rrk1/p1pq2pp/3p3b/2pP4/2P1P3/1PBR4/P4PQP/5RK1 b - -,h6f4
3q3r/r3kp2/3p1bp1/pBnP3p/1pN1Pp1P/7Q/PP4P1/3R1RK1 b - -,e7f8
r2q1rk1/pb1n1ppp/1pp1pn2/3p4/2PPP3/5NP1/PPQN1PBP/R4RK1 w - -,e4e5
2r5/5p1p/4Nkp1/5p2/8/bP2PBP1/P4PKP/3R4 b - -,f7e6
r1bq1rk1/ppp1ppbp/2np1np1/8/3P4/2P2NP1/PP2PPBP/RNBQ1RK1 w - -,b2b3
r2q1rk1/pp2bppp/2npb3/4p1B1/4P1n1/1BN2N2/PPP2PPP/R2Q1RK1 w - -,g5e7
r2qk2r/3n1pb1/pp1p3p/2pb2p1/P3P3/2P1NNP1/1P3PP1/R2QK2R w KQkq -,d1d5
3r1rkn/pp3qb1/2p1b2p/2Pp1p2/5P2/1P1B2NP/P1Q3PB/4RRK1 b - -,e6c8
r3k2r/1b2bp2/pqn1p1pn/2ppP2p/Qp1P1P2/2PB1N2/PP2N1PP/R1B1K2R w KQkq -,c1e3
2r1r1k1/1bqn1pbp/pp1pp1p1/7n/3PN3/PQP2NB1/1P3PPP/1B1RR1K1 b - -,h5g3
2b1r3/1p2rpk1/p1pR2p1/P1P4p/3KPP1P/4R1P1/6B1/8 w - -,g2f1
8/3k1p2/1p5p/p1p1b3/2P4N/1P1P4/P3KP2/8 w - -,e2f3
r1bqk2r/pp1pbppp/2n2n2/4p3/2P5/2N5/PPN1PPPP/R1BQKB1R w KQkq -,e2e4
2rr4/pb2nkp1/1p2ppN1/6p1/3P4/P5P1/1P3P1P/1B1R1RK1 w - -,g6e7
8/3Bn3/4P1p1/3pkp1p/1r2p2P/4P1P1/R4P2/5K2 w - -,a2a8
rr4k1/5pp1/2R1p2p/pBQp3q/3P4/P1R1PPPb/1P5P/6K1 w - -,g1f2
r1b2rk1/1p2nppp/p7/4p3/1n2N3/3B4/PPP2PPP/R1B1K2R w KQ -,e1g1
4r1k1/r4pp1/p2p4/1p2n1R1/2p1P1P1/6P1/PPB2PK1/1R6 w - -,f2f4
rnbqkb1r/pp2pp1p/5np1/3p4/3P1B2/2N1P3/PP3PPP/R2QKBNR b KQkq -,a7a6
2r3k1/1rqn3p/1pp1bpp1/p3p3/1PNPP3/RNQ4P/2P2PP1/R5K1 w - a6,b4a5
r6n/2p1r1pk/1p1p1p1p/pN1P4/2PPPR2/3K4/P5PP/4R3 b - -,h8g6
r4rk1/pppbqpb1/2np1npp/4p3/2BPP3/2P2N1P/PP3PP1/R1BQRNK1 b - -,c6a5
8/5pk1/2p1r1p1/1p2n2p/1P1R4/2r3KP/6P1/1B1R4 w - -,g3h2
r4rk1/pb1p2pp/1q2pn2/2p5/2P5/Q2B4/PP3PPP/R1B2RK1 w - -,c1e3
r6k/1p4qp/p3rp2/4pR2/P7/7Q/1PP3PP/5R1K b - -,a8d8
1r3rk1/2p2ppp/4bb2/8/3BB3/1pP5/P4PPP/2R2RK1 w - -,a2b3
1r5k/p6B/4p3/2pp3b/2P2q2/3P4/PP4Qp/3N1K1R w - -,g2f2
8/3b2kp/4p1p1/3pP3/1p6/1P1BbN1P/P1q3P1/7K w - -,d3c2
r1bq1r1k/1pp4p/p4p2/5n1Q/3pRp2/1BP5/PP3PPP/RN4K1 b - -,d8d6
1qr1r1k1/p3bppp/1p2pn2/1P1p4/3pP3/1P1P2P1/PB2QPBP/2RR2K1 b - -,c8c1
r1q2rk1/1pbn1pp1/p2pb2p/P3p3/2P1P3/1PNQ2P1/3B1PBP/R4RK1 b - -,d7c5
8/R2R1pk1/n1p4p/r5p1/2P2p2/3K1B2/p5PP/4r3 b - -,a2a1q
r1b1kb1r/2qn1p2/1n1pp1p1/p1p3Pp/1pPPPP1P/1P2B3/P2QN1B1/R2N1RK1 b kq -,c5d4
r1bq1rk1/2ppbppp/p1n2n2/1p2p3/4P3/2PP1N2/PPBN1PPP/R1BQK2R b KQ -,d7d5
1k1r3r/np1bq1pp/p3pp2/3pP2P/1P3P2/P1NQ1N2/2P3P1/2KR3R w - -,c1b2
2r5/5p1p/3Bk1pb/2P5/8/R4KP1/5P2/8 b - -,h6f8
5rk1/R7/3N2p1/2nPp2p/1r1n3P/2N5/5PP1/5RK1 w - -,f2f3
4rrk1/pR4p1/2p4p/P1Pq4/3p1Pn1/B2P2Pn/3Q3P/4NR1K w - -,e1f3
rn1qk2r/1p1bppb1/p2p3p/4n1p1/3NP3/2N3BP/PPPQ1PP1/R3KB1R w KQkq -,f1e2
2r3k1/3Q2p1/1pr1p2p/1P3p2/4nP2/8/P5PP/5RK1 b - -,c6c2
8/R5pk/1p5p/1P3p1n/3rb3/2R5/6P1/5BK1 b - -,d4d6
8/7p/6k1/8/3N1P1P/3rBK2/8/8 w - -,f3e4
8/N7/4k3/1pp5/8/8/5P2/5K2 b - -,b5b4
r1bk3r/1ppp1ppp/p4n2/1N6/1n2P2q/2N5/PPP1QPPP/R3KB1R w KQ -,b5d4
