8/8/4p3/1k1p2Bp/3P3P/3K4/8/6b1 w - -,g5f6
r3r1k1/2qb1pb1/p2p1npp/1p2p3/4P3/1PNQB2P/1PP2PPN/R3R1K1 w - b6,b3b4
r5k1/4ppbp/3p2p1/2pP4/4PP2/2N3KP/PR4P1/R7 b - -,g7c3
r1bqkb1r/4pppp/p1pp1n2/6B1/4PP2/2N5/PPP3PP/R2QKB1R b KQkq f3,d8b6
r4rk1/1p2qppp/2n1b3/p1p2n1Q/2Pp4/P2P2P1/1PNN1PBP/R3R1K1 w - -,g2c6
4r1k1/p1qn1pbp/1p1p1np1/4p3/8/BN1P2P1/P3PPKP/1R1Q1R2 b - -,d7c5
8/1kq4Q/1p5p/p2r2p1/Pn1p4/1R6/5PP1/4N1K1 w - -,h7e4
r1bqk2r/4bppp/p2ppn2/1p2n3/4PP2/2NB4/PPP1N1PP/R1B1QR1K b kq f3,e5d3
1r6/6k1/pr4p1/3p1p2/1B1Pn3/P7/KP5R/7R b - -,b6b7
3rrbk1/p1qb1p1p/2n2P2/1pp4Q/3pPP1B/P6P/1PP3B1/R4RK1 b - -,c6e5
8/P2k3p/6p1/1NB2p2/8/3K2PP/8/r7 w - -,c5a3
2qrr1k1/1p2npp1/pbbp1n1p/8/PPP1pPP1/2N1P2P/1BN1B1QK/3R1R2 w - -,b4b5
3r3k/pbr1q3/1ppbp1pp/3n1p2/3P1P2/P1NNP3/1P1R1PBP/2RQ2K1 b - -,h8h7
3r1rk1/1pqbnppp/p1n1p3/6N1/2P5/2N3P1/PP1RQPBP/R5K1 w - -,a1d1
1rb1k2r/4ppb1/p1pp3p/q5p1/4P3/1PN3P1/P1PQBPP1/1R2K2R w Kk -,c3a4
1r1qrbk1/1pp2p2/p1n3pp/4p3/Q3P3/P1R1BNP1/1P2PP1P/2R3K1 b - -,d8d7
8/3R3p/8/1k6/p3N3/7r/1K6/8 b - -,h3h2
r1b2r2/ppp4p/3pB2k/2nPp1b1/2P1P1Q1/2N3P1/PP4K1/R7 w - -,a1h1
8/8/1pBp4/3P2k1/2p2p2/5K2/8/8 b - -,g5f5
3q2k1/3r1p1p/ppQ2rp1/2p5/2Pp4/2PR4/6PP/3R2K1 w - -,c6e4
rn2kb1r/pp2npp1/2p1p1b1/q3P1Bp/2pP3P/2N3N1/PP3PP1/R2QKB1R w KQkq -,f1c4
8/8/2r1pk2/6p1/P2p4/4n1P1/R1Br3P/4R1K1 w - -,c2e4
r2rn1k1/1q2b1pp/b1p2p2/p3pPP1/3pP2P/P2B1QB1/1PPN4/4RRK1 w - -,d2c4
2r5/1RBk1ppp/p7/1p2Ppb1/8/P5P1/1P3PKP/8 w - -,c7a5
1rbq1r1k/1p4bp/pNp3p1/2Ppp2n/3Pp3/2B1Q1PP/PP2PPB1/2R2RK1 b - -,e5d4
8/5Q2/6pk/2n2p1p/p6P/P5PK/1P3qB1/8 w - -,f7g8
r5k1/1p3ppp/1pn4r/3pq3/8/1NP3P1/PP3PP1/R2QR1K1 b - -,e5g5
8/1p1k3p/pB1bppp1/8/PnBPPP1P/6P1/6K1/8 w - -,g2f3
5rk1/p1q3pp/2p4r/3p4/1P2pnb1/1NP1Q3/P4PPP/R3RB1K w - -,e3g3
8/p7/3R4/2P5/2KP1pk1/r7/8/8 w - -,d6g6
r1bqr1k1/1p3pnp/p2p1bpB/2pP4/P3P3/2N2B1P/1P3PP1/R2QR1K1 w - -,d1d2
r1n4k/5nb1/1p6/2pPp1pq/2P1Pp2/2B2P2/2Q1B2P/1RN3K1 w - -,c2b2
r2qk2r/pb1nbpp1/1pp1p3/8/2PPp3/2N1P3/PPQB1P1P/R3KBR1 w Qkq -,g1g7
5rk1/1q1b1rbp/6p1/p1p1p1P1/1pPnPp2/1P1P4/PN1B1RBP/3Q1RK1 w - -,g2f3
r3k2r/1bqnbppp/p1npp3/1p4P1/4PP2/1NNBBQ2/PPP4P/2KR3R w kq -,c1b1:f3h3
8/5pk1/P5p1/1p6/1Pp5/2q5/Q7/5K2 b - -,c3h3
3r1rk1/1p3pp1/pN3q1p/3B1b2/Q2n4/P6P/1P3PP1/2R1R1K1 w - -,a4a5
6k1/p1nq2pp/Pr2pp2/Rp6/5B2/1P3QP1/2P2PKP/8 w - -,c2c4
r2qk2r/ppp2ppp/1bnpbn2/8/4P3/1NN1BP2/PPP1Q1PP/R3KB1R b KQkq -,d8e7
6k1/1p1q1bp1/p1p2p1p/2Pp4/3P3P/4Q1P1/PP3PBK/8 b - -,d7e6
2r5/1p1krq2/1B1p1p2/3bn1p1/R5P1/2Q3R1/PKP1BP2/8 w - -,e2b5
2rqr1k1/1p2bppb/4pn1p/p1pp4/Pn2PP2/1NNP2P1/1PP1QBBP/3R1RK1 w - -,h2h3
r1b1qrk1/ppp1p1bp/n2p1np1/5p2/2PP4/1PN2NP1/PB2PPBP/R2QK2R w KQ -,e1g1
4q1k1/3r2pp/p1p2p2/p3p3/Pb1PP3/1P2N1P1/2R2PBP/B5K1 w - -,d4d5
rnbqr1k1/1p2ppbp/2p2np1/p2p4/2P5/1P1P1NP1/PBQ1PPBP/RN3RK1 b - -,b8d7
2r5/pp4pp/3kP3/3p1P2/5rP1/2PR3P/P2K4/2R5 b - -,f4f2
8/5pk1/R6p/7P/4BK2/p1r5/8/8 b - -,c3c5
6k1/2r2b2/p4ppp/1R1p4/2pB2B1/3N4/5KPP/8 b - -,a6b5
rn1qkb1r/1p4p1/2pp3p/p2b1p2/3NpB1P/6P1/PPP1PPB1/R2QK2R b KQkq -,g7g6
4n3/p1p1kp2/1p5p/6p1/1PPP1P2/8/P2K2BP/8 w - -,c4c5
8/8/2pk1p1p/2N3p1/3PP1P1/6K1/2Nnb2P/8 w - -,h2h3
5bk1/5ppp/1p1rn3/p2N4/1P2n1B1/P7/1B3PPP/3R2K1 w - -,f2f3
rnbqkb1r/pp3p1p/3ppnp1/2pP4/2P1P3/2N2P2/PP4PP/R1BQKBNR b KQkq -,e6d5
8/8/7p/p5p1/4pkP1/1P6/P2K3P/8 w - -,a2a3
b4r1k/2R4p/1p1n2pN/p2p4/1p1P1PP1/3BP3/PP5P/6K1 b - -,f8c8
4r1k1/p4pp1/1p2b2p/2p5/P2b1B2/5B2/5PPP/2R3K1 w - -,f3c6
r1bqkb1r/ppp3pp/8/3Bn1p1/8/8/PPP2PPP/RNBQ1RK1 b kq -,c7c6
rnbq1rk1/1p3pbp/p2p1np1/2pP4/4P3/2NBBP2/PP1Q2PP/R3K1NR b KQ -,b8d7
rnbqk1nr/ppp3bp/3p2p1/4pp2/2P5/2N1P1P1/PP1P1PBP/R1BQK1NR w KQkq -,g1e2
2rr2k1/1bq2p1p/pn1ppnpb/1p6/4P3/2P1NPP1/PPN1QBBP/3RR1K1 w - -,d1d3
r1bq1rk1/pp1nb1pp/2p1p3/2Pp1p2/3PnB2/2NBPN1P/PP3PP1/R2QK2R w KQ -,e1g1
r4rk1/ppp2pp1/3p2qp/8/PP2Pp2/2P2N1R/2Q3P1/R4K2 b - -,a8e8
8/1P3kp1/2K5/4p3/5p1P/8/1rp5/2R5 w - -,c6d5
5rk1/8/1p4qb/2pPp1nb/2P1Pr2/4RN2/2B2QP1/4RKN1 w - -,f2g3
3r4/3r4/pR2np2/2p2k1p/P2p1P2/2P1BK2/2P2P1P/3R4 w - -,c3d4
2r3k1/p4p2/3npp1p/2p5/8/P3PP2/1PR1BP1P/2K5 w - -,c2d2
2b3k1/p3q1b1/5r1p/3p4/1P3B2/3Q2P1/P3PP1P/5RK1 b - -,e7b4
1rb2rk1/2qpbppp/p3p3/1p2n1Pn/3NP3/4BP2/PPPQN2P/1K1R1B1R w - -,e2g3
4r1k1/pp1n1rpb/2n1pp1P/8/2pPp3/2P1B3/PP1NBP1q/R1Q1K1R1 w Q -,g1g7
r6k/1b3r2/pp2p1n1/2ppnB2/P4N2/2P4R/1P4PP/5R1K b - -,f7h7
2rr2k1/6pp/4p3/ppq5/3bP3/1Pp3P1/P3QPBP/2R1R1K1 w - -,c1c2
r4rk1/5pbp/3pp1p1/1B1b2B1/P2Nn3/7P/1P3PP1/R3R1K1 w - -,g5e3
2r2rk1/1b1nppbp/5np1/p7/Np6/4BNP1/PP2PPBP/2RR2K1 w - a6,e3d4
2rqnrk1/pp1n1pbp/2p3p1/3p4/2PPp3/4P2P/PP1NBPPB/R2Q1RK1 w - -,d1b3
5nk1/pb4pp/1p2p3/5p2/3N1b2/qP1B3R/6PP/2RQ2K1 b - -,f4c1
2rq1rk1/p2n1pp1/1p2pn1p/2pb4/3P3B/P2BPP2/1P2N1PP/R2QK2R b KQ -,c5d4
rn1q1rk1/3bbpnp/p2p2p1/1ppPp3/P1P1P3/1B3N1P/1P3PP1/R1BQRNK1 b - a3,b5c4
8/pkr4p/1n2p3/2R1Ppp1/2pP2P1/2P4P/2PK4/1R6 b - g3,f5f4
1q1r1rk1/1p1n1p2/p2P2p1/P1pNP2n/B1N3b1/6Pp/1P1Q3P/4RRK1 w - -,d2h6
r2q1rk1/pp1nppbp/2npb1p1/8/2P1PP2/2N1BN2/PP2B1PP/2RQK2R b K -,d7c5
r5k1/1r3p2/1pRp2p1/pN1Pb1qn/1P2Pp1p/P2B1P1P/3QN3/7K w - -,b5d6
4b1k1/6pp/8/p1Pp4/1P6/2P2nBP/P2q1PK1/R3R3 w - -,e1e8
2rr2k1/1pq3pp/p1n1b3/5p2/1PP1pP2/2Q1B3/P3B1PP/3R1RK1 b - b3,d8d1
8/8/R7/p3nN1k/5pp1/7P/r7/7K w - -,h3h4
r1bq1rk1/ppp1ppbp/1nn3p1/8/3P1B2/2N2NP1/PP2PPBP/R2QK2R w KQ -,e2e3
r2qnrk1/pp3pb1/3pp1pp/2pPn3/2P1P3/2N1B3/PP2BPPP/R2Q1RK1 w - -,f1e1
8/7p/3p2p1/1K1Pk3/PR6/5r1P/8/8 w - -,a4a5
r3r1k1/pbp1qpp1/1p1p1nnp/3Pp3/2P1P3/P1N1BP2/1P1QB1PP/R3K2R w KQ -,g2g4
3r1rk1/2p3pp/p2b4/PpBp3b/8/1NP5/1P3PPP/2R1R1K1 w - -,c5d6
5r2/1b3r2/4knQ1/pBqp4/Pp2pP1p/1P2P2N/1B4PP/5R1K w - -,b2d4
5R2/8/8/8/8/5k2/r4p2/5K2 b - -,f3g3
2R5/8/8/8/KP1k4/5r2/8/8 b - b3,d4d5
4r1k1/1bqnbp2/r2p1npp/2p1p3/p1N1P2B/2PBNP2/PP2Q1PP/R2R2K1 b - -,a6a8
r5k1/3nrpp1/p1p3b1/Pp2p1Pp/3PP2P/2P2P2/4B1N1/R2R2K1 w - -,d4e5
6k1/1p3p2/4q1p1/8/3Q2Pp/1P6/P3PP2/6K1 w - -,d4d8
4r3/p7/5pp1/2b4p/2p2B1P/PkPr2P1/1P4R1/1K3R2 b - -,f6f5
r3k2r/p2nppb1/6p1/1q1p2Q1/2pP4/2P3B1/4BPPP/R4RK1 w kq -,e2f3
1rr5/4pk2/1p1pb1p1/p2B3p/2PK1P2/PP4P1/7P/2RR4 b - -,c8c7
2br2k1/7p/4p1p1/2R2p2/2p5/5BP1/5P1P/6K1 b - -,c8a6
r2q1rk1/pb1nbppp/1pp2n2/3p4/3P1B2/1QN1PN1P/PP2BPP1/R3K2R w KQ -,e1g1
8/p5p1/2b1kp1p/Pp6/1Pp2P2/2K5/2B4P/8 b - -,g7g5
2k2r2/pp2bp2/4p1pp/2p1P3/q1P5/5QBP/PP3PP1/3R2K1 w - -,b2b3
r3k2r/ppp2ppp/2n1bB2/8/3pN3/8/PPP2PPN/3RR1K1 b kq -,g7f6
8/P7/7P/5q2/3Q4/8/2k2K2/8 w - -,f2e2
2r2rk1/pp4qp/3p2p1/3p4/6PP/8/PPPQ3R/2K1R3 w - -,h4h5
