8/p6k/R7/7p/rN3K1P/4P3/6Pn/8 b - -,a4b4
3r2k1/p4pp1/7p/1qP5/1r2pN2/3nB1P1/P2R1PKP/3Q4 w - -,d1g4
r3rbk1/2q2ppp/2p2n2/1p2nN2/p3PBP1/P6P/1PP1Q1B1/3R1RK1 w - -,e2f2
1rb2rk1/5n1p/1p1p2p1/p1pBqp2/2P2N2/QP2P1P1/P4P1P/3R1RK1 w - a6,d5g2
8/3n1pk1/3p3p/3P2p1/4PbPP/R4K2/1r3P2/3R4 w - -,h4g5
1r1r2k1/B4bpp/5p2/pP2q1n1/Pb6/1N3BP1/4QP1P/R2R2K1 w - -,a7b8
br6/1n1rk1pp/1p1p1p2/1N2pP2/2P1P1P1/P3K3/3RB2P/3R4 w - -,h2h4
r3k2r/ppp1qppp/2n2n2/1B1pb3/8/1P2PQ1P/PBPP2P1/RN2K2R w KQkq -,d2d4
1r2kb1r/1b1p1n2/1q2p3/1NP1Ppp1/2B5/4B1Q1/P1P2PP1/3RR1K1 b - -,b6c6
r7/1bp1r1pp/3pk3/p3pp2/2P5/3NPP2/PP1RK1PP/2R5 b - -,c7c5
6k1/p4pp1/5np1/8/8/2qn2N1/B3RPPP/R5K1 w - -,a1d1
3r4/1p1r1k1p/p1p1pppb/5P2/2PP2P1/2R2Q1P/1q6/3R2BK b - -,e6f5
2rq1rk1/pp2ppbp/2n3p1/4P3/3P2b1/4BN2/P3BPPP/1R1Q1RK1 b - -,b7b6
8/8/1pn3B1/p1p1k1p1/2P5/4K1P1/PP6/8 w - -,g6e4
7r/4b1k1/bq2pNp1/3pP1Q1/2pP4/p1P3P1/R1R2PK1/1r3B2 b - -,a6b5
rn1qkb1r/pp3p2/2p1p1p1/3n3p/2BP3P/2N1PQ2/PP3PP1/R1B1K2R w KQkq h6,g2g3
2rR2k1/1b2qpp1/p3pn1p/1pb1N3/8/1P2P3/PB2QPPP/1BR3K1 b - -,c8d8
5r2/p7/2q3pQ/2Pkp3/6PP/5rR1/5P2/4R1K1 w - -,e1d1
2K5/k7/8/8/8/1Q1B4/8/8 w - -,b3b7
3rnrk1/1bq1bppp/p2pp3/1p6/3BPP2/P1NB3Q/1PP3PP/R4R1K b - -,e6e5
4n3/7p/4k1p1/2Bp1p2/5PP1/3B3P/5K2/8 w - -,g4g5
8/b7/p5p1/P3p3/3pNk2/3Kp3/6P1/2N5 b - -,f4f5
1r6/3q2bk/3p2pp/1P1Pp3/4N2P/P1RQ2P1/5PK1/8 w - -,c3c6
8/2r2k2/2pR1P2/p7/3p1K2/8/P1r5/1R6 w - -,b1h1
r1b2R2/1p5R/2p3p1/1p2p1k1/8/P7/1PPK4/5Br1 w - -,d2e1
2r2rk1/1p1nbppb/2q1p2p/p2pP2P/P2P4/2P3PB/1P1NQ3/R1B2RK1 w - -,f1f2
r1b1r1k1/p1p2ppp/1p1b4/2p1p1q1/4PnN1/3PBQNP/PPP2PP1/R3R1K1 w - -,a1d1
3k4/3P4/pp3q2/8/2pR4/P7/1P2Np2/5K2 w - -,d4c4
r1r3k1/ppqbppbp/n2p1np1/3P4/P6N/R1N3P1/1P1BPPBP/3Q1RK1 w - -,d1b1
8/1b6/p1n3pp/1pK2k2/4p2P/P5P1/1PB2P2/3N4 b - -,c6e5
r4rk1/pppnqppp/3b1n2/4p3/4P1b1/5NP1/PPPNQPBP/R1B2RK1 w - -,h2h3
r3r1k1/qp2bppp/1np2n2/8/pP1PN3/P5P1/2Q2PBP/1RB2RK1 w - -,f1e1
r2qk1nr/p4pbp/2pp2p1/2p5/6b1/2N2N2/PPPP1PPP/R1BQ1RK1 w kq -,h2h3
r1bq1rk1/pppn4/4p2p/3pPpp1/8/P1P1PPB1/2P3PP/R2QKB1R w KQ -,h2h4
1rbq1rk1/p1p2ppp/2pp4/4n3/3bP3/1PNB1Q2/P1PB1PPP/R4RK1 w - -,f3g3
4k3/8/8/4B1p1/P1n5/3K4/7P/8 b - -,c4e5
r2q1rk1/p2n1ppp/bp2pn2/2pp4/2PPP3/1P3NP1/P1QN1PBP/R3K2R w KQ -,e1g1
5r2/3q1kb1/2n4p/1p1p1p2/2pP1B1P/2P4B/1P2QP1K/4R3 w - -,e2h5
8/1B1b3p/5kp1/4pp2/7P/P2K2P1/5P2/8 b - -,g6g5
1r1r2k1/1p4pp/4bp2/1q2p3/1b6/1p1PP1P1/1N1N1PBP/1QBR2K1 b - -,b5a6
8/pp6/2p1k1p1/4p1p1/2K1N1N1/1P3P1r/8/8 b - -,e6f5
8/8/4k2N/1R1p4/1Pr2p2/8/4KP1P/8 b - -,e6e5
5rk1/p4p2/1p4bp/4q1p1/3NP3/5PP1/P4QP1/3r1RK1 w - -,f1d1
