3R4/5pk1/6p1/P6p/3p1K1P/2r5/2P5/8 b - -,c3c2
5R2/8/8/6p1/4k2p/1r5P/5PK1/8 w - -,f8f7
6k1/ppr2pp1/1q2b2p/4P3/1P1p1P2/P2B1P2/3Q1K1P/3R4 w - -,f4f5
R7/3r1k2/p3pn2/2p2pB1/2Pb4/1P4P1/P5BP/5K2 w - -,g2c6
3rk3/pp4pp/2pP1p2/6n1/1PB5/P4P1b/2N4P/2K1R3 b - -,e8d7
8/3r4/5p2/4p1k1/8/1R3PK1/8/8 w - -,b3b8
8/8/1P3npk/5p2/2Q1p3/P6P/4B1PK/1r6 w - -,c4c6
3r3k/2q3p1/7p/pP2Pp1P/P4P2/3QP3/2R1KP2/8 b - -,c7e7
r4rk1/1p4b1/2pp2pp/p4p2/PPRP3P/4PN2/5PP1/R5K1 w - a6,b4a5
r1bqkb1r/pp1n1p2/2n1p2p/3pP1p1/8/1NPB1N2/PP3PPP/R1BQ1RK1 w kq -,f3d4
2r3k1/R3bppp/4p3/3pP3/p1qP4/5N2/1P1Q1PPP/6K1 b - -,e7b4
2bq1rk1/1p4bn/2pp2p1/1Pn1pp1p/2P1P3/2NP1NPP/1BQ2PBK/R7 w - f6,e4f5
r3rbk1/pp3p1n/2pp3p/4P1p1/6qP/1BP1BN2/PP1Q1PK1/3RR3 w - -,g2h2
r2k1b1r/1p1q1bp1/p1p1ppBp/3pP3/3P4/2P2P1P/PPQ3PB/R4RK1 w - -,g6d3
8/3Bb1n1/3pPk2/2p1p1p1/p7/2P3NP/1P5K/8 b - -,g7e6
1r2q1k1/1p4bp/p1p1pr2/2Pp1p2/3P4/4P2R/PPQB2PP/5RK1 w - -,d2e1
8/4bpk1/R5p1/8/4K1P1/7P/8/8 b - -,e7h4
8/2k2p2/1p4pp/p2KP3/P3P1P1/8/7P/8 w - -,e5e6
r2q1rk1/pp1nppbp/2p3p1/2p5/4P3/2NPB2P/PPP2PP1/R2Q1RK1 b - -,e7e5
rq3rk1/1b1nbppp/2npp3/pN6/P3PB2/5N2/1P2QPPP/1B1RR1K1 b - -,b7a6
4Q3/6k1/6pp/8/7P/6P1/5PK1/2qq4 w - -,e8e7
r1bqk1nr/ppp1n1bp/3p2p1/3Ppp2/2P1P3/2N3N1/PP3PPP/R1BQKB1R w KQkq f6,e4f5
B2q1rk1/3nppbp/p3b1p1/4P3/pPP4B/8/P2QN1PP/3RK2R b K -,d8a8
1rb2rk1/ppqp1ppp/3Pn3/3Q4/8/3BB3/PPP3PP/R2K1R2 b - -,c7c6
