8/3k3p/pK6/1p2p3/2R5/b5P1/P2B3P/8 b - -,b5c4
r3k2r/1bq1bp2/p2ppnp1/Npn4p/4PP2/3B4/PPPBQ1PP/3NRRK1 w kq -,d1f2
2r5/p6p/3R2p1/4p3/2P1k3/4PN2/PP3KPP/8 b - c3,e4f5
8/8/8/3k1n2/p7/3K3p/P6B/8 b - -,f5h6
7k/1p1nNrp1/p1B4p/2b5/1B4P1/P7/1P2P3/3R1K2 w - -,f1g2
r5k1/p2nrpp1/2p1q2p/2PpNb2/3P4/P3B2P/5PPK/R1Q2R2 w - -,e3f4
2r1n1k1/5ppp/4p3/4N3/3RP2P/5PP1/6K1/8 w - -,g3g4
4nr1k/p5bp/3pR1p1/6p1/8/2N2B2/P4P1P/2B3K1 b - -,g7c3
8/1p1k4/4p3/3p2p1/1p1P2P1/3KP2r/1P3R2/8 b - -,d7e7
4r1r1/pkp5/1p4p1/5p1p/3R3P/1P6/P1P2PP1/2K4R w - -,c1d2
1rB4k/1P3pp1/7p/8/8/1R2QPPK/4nq1P/8 b - -,f2f1
5rk1/2p3b1/p2pR2p/6p1/Pp1P2P1/5N1P/P4P1B/6K1 b - -,f8f3
7r/5r2/p2kNn2/1p2p1p1/8/5P2/PP4PP/4KB1R w K -,e6g5
r1b5/2p2k2/3b1p2/1p1Pp3/2n5/1BP2PBr/1P6/1K1RRN2 b - -,c8d7
2n3k1/2n1p1q1/3p1rp1/P1pP4/4Q1N1/1r1B2R1/6PP/2R3K1 b - -,f6f5
1R6/5n2/3p2k1/3PpNb1/4P3/r4PK1/6N1/8 b - -,g5d8
8/1k4p1/p2P4/2P1N3/2P2PP1/2K5/8/5r2 b - -,f1f4
r1bqkb1r/p2ppp1p/2p2np1/2p5/4P3/5N2/PPPP1PPP/RNBQR1K1 b kq -,f8g7
B4bk1/p3Qp1p/1p3np1/8/2b5/P1N4P/1P3PP1/3R2K1 b - -,f8e7
r1bq1rk1/pppp2pp/5n2/1B2pP2/3b4/2NP4/PPP2PPP/R1BQ1RK1 w - -,c3e2
3r1rk1/3q1pb1/4b2p/Q2p2p1/P2P4/1B4B1/1P3PPP/R3R1K1 w - -,a5d2
r3k2r/pbp1qpp1/1p3n1p/3p4/3P1N2/2PBP3/P4PPP/R2Q1RK1 w kq -,d1a4
r1bq1rk1/ppp1ppbp/3p1np1/n7/2PP4/1PN2NP1/P3PPBP/R1BQ1RK1 b - -,c7c5:c8d7
2rr2k1/pp1qbppp/2n1pn2/3P4/3NPP2/2N1B3/PP2Q1PP/2R2RK1 b - -,e6d5
8/8/3Pk1p1/1R3n2/1P1r3P/6P1/7K/8 b - -,d4d6
r7/5k1p/p2Rpp2/1p6/2pBbP2/P1P5/2P3PP/6K1 w - -,d6d7
3q1nk1/2pr2p1/1p1p1n1p/p2P1P2/2bBBP2/2P4P/P1Q5/1R2R1K1 w - -,e4f3
r4r1k/1p4pp/pP3n2/2Rp4/q2PpP2/4P2B/1Q5P/4R2K b - -,a4e8
3r2r1/1p2kp2/2bpp1pp/2n5/p1P1PPPP/2N1KB1R/PP6/3R4 b - -,d8c8
r2qkb1r/pp1npppp/2p5/3p1b2/3PnB2/2PBPN2/PP3PPP/RN1QK2R w KQkq -,e1g1
3r1rk1/pp2bppp/2p1p3/3n4/2NP4/2P3P1/PP3PP1/R1B1R1K1 b - -,e7f6
8/8/pr1p1k1p/1npP2p1/2B1P3/1P2K1P1/R6P/8 b - -,b5d4
r3k1nr/ppp3p1/1bnp4/4p1Bp/2B1N3/2PP1P1P/PP3P2/R4R1K b kq -,g8e7
r4rk1/pb2qpbp/1p1pn1p1/4p3/2PnP3/1P2N1P1/P2QNPBP/R1BR2K1 w - -,c1b2
r5k1/7p/1pp1p1q1/3p2p1/2bPP3/2N1Q1P1/PP5P/R5K1 b - -,a8f8
r2k3r/pp3pp1/1n3n2/1B1p4/1B1P3p/4P1P1/PP3P2/2R2K1R w - -,h1h4
8/p1r1kb2/1p5p/6pP/6B1/P3KP2/1P1R2P1/8 b - -,e7f6
r1bq1nk1/ppp2rb1/3p1n2/3P1p2/2P2PpP/2NNB3/PP4BP/R2Q1RK1 w - -,c4c5
r2r2k1/1bqnbppp/pp1ppn2/8/1PPNPP2/2NB4/P2BQ1PP/4RR1K b - b3,a8c8
2r1qrkn/pp2b1pp/3p1n2/2pPpbN1/2P5/2N3P1/PP1BQPBP/4RRK1 w - -,b2b3
r1bq1rk1/pp2bpp1/2pp1n1p/4p3/4P3/1PNPBN1P/1PP2PP1/R2Q1RK1 b - -,d6d5
1r2rbk1/1bnq1ppp/pp1p1n2/2pPP3/P1B2B2/1QN2N1P/1P3PP1/R3R1K1 b - -,b6b5
rn2k2r/p2b1nbp/2ppp1p1/q3PpP1/p2P1P2/2P2N1P/PP2B3/R1BQR1K1 w kq -,e2c4
6k1/5pp1/1R2p2p/2N5/2bP4/4PPKP/r5P1/8 w - -,c5e4
r1b1r1k1/1pb1qp1p/2p3p1/p7/3PPn2/2N2N1P/PPQ2PP1/1R2RBK1 b - -,g8h8
rn2k1nr/p1pbq1pp/5p2/8/3p4/5Q2/PB1P1PPP/RN1K1B1R w kq -,f1c4
r3kb1r/1R1bqppp/p3p3/3pP3/5P2/2N5/P1PQ1BPP/4K2R w Kkq -,f2d4
2r2rk1/1bq1bppp/p3pn2/1p1pP1B1/7P/3B1P2/PPPQN1P1/1K1R3R b - -,f6e4
2r4k/6pp/2pQR1q1/1p3p2/5n2/1P4P1/P5KP/3R4 w - -,d6f4
