8/6pk/R6p/8/5r2/7P/7K/8 w - -,h2g3
r1b1rbk1/2q2ppp/pn1p4/npp1p1B1/3PP3/1PP1NN1P/P1B2PP1/R2QR1K1 b - -,a5c6
r2qkb1r/1p3ppp/p1nppn2/2p5/P1B1P1b1/2PP1N2/1P1N1PPP/R1BQ1RK1 b kq -,f8e7
5k2/1bn1bp2/p1n1p1p1/3pP2p/N2N1P1P/1P1B2P1/P3KB2/8 w - -,d4c2
2r1rb1k/pb1q2p1/2N3Qp/1p1P1p2/4B3/P5B1/1P4PP/2RR3K b - -,e8e4
r5k1/pp1rqppn/2p1b2p/P1b1P3/5B2/2NB3P/1PP1Q1P1/R4R1K b - -,c5d4
4r1k1/5pp1/1pQ5/PPp5/6q1/3P3p/5BP1/6K1 b - -,e8e6
2k2r2/ppp3p1/2nb2n1/3p3p/1P1P4/2P2qP1/P3Q2P/RN2B1K1 w - -,e2f3
bqrr2k1/4bppp/pp2pn2/4p3/1PP1P3/PNN2P2/3QB1PP/2RR2K1 w - -,d2e3
rn3rk1/p3q1pp/bp1bpn2/2pp1p2/2PP4/BPN1PN2/P3BPPP/R1QR2K1 b - -,d5c4
3q2k1/R1p1n1pp/8/1bPp4/1P1P1PP1/2B4P/6B1/6K1 b - -,e7g6
4k3/7R/4Nb2/3P1p2/4rP2/6K1/8/8 b - -,e4e3
3rk3/4p3/pp4p1/2nPPp1p/5P1P/4KB2/P5P1/1R6 b - -,d8b8
8/8/8/Rp6/5p2/Pr6/3K2k1/8 w - -,a5a7
r2q1rk1/1b1n2pp/2p1p3/1pPp1p2/1N1Pn3/5NP1/PQ2PPBP/R4RK1 w - -,b4d3
r3r1k1/1p3pp1/2bBp1qp/p3P3/P1P5/4QP2/6PP/R4RK1 w - -,f1d1
r2r2k1/pb2qppp/1pnbpn2/8/1PNP4/P2B1N2/1B2QPPP/2R2RK1 b - -,a8c8
r1q3k1/p2p1ppp/1pnB1nb1/2p5/2Q5/5PP1/PP4BP/3RR1K1 b - -,g6f5
r4rk1/pb1n1ppp/1p6/2bN4/8/6P1/PP2PPBP/R1B2RK1 b - -,b7d5
r4rk1/p2pq1pp/1p2pb2/2pP1p1N/2P3n1/1P4P1/PB2PP1P/1R1Q1RK1 w - -,h5f6
r1br2k1/1pq1bp1p/pNp1n1p1/2P1p2n/1P2P3/2NB4/P4PPP/1RBQ1RK1 b - -,a8b8
r1bq1rk1/pp2p1bp/n1p3p1/3p4/3P4/1P3NP1/PBP1P1BP/R2QR1K1 b - -,c8f5
r2qr1k1/pb1n1pp1/1p3b1p/2pp4/3P2PP/2NBPN2/PP1Q1P2/2KR3R b - g3,g7g6
5R2/6p1/P2k4/4n3/r3P3/5BK1/8/8 w - -,f3e2
r3rk2/p2p2p1/1pqP1p1p/2pQnP2/5B2/2P1P3/P5PP/R4RK1 w - -,d5d1
r2q1rk1/bpp3pp/p1nppn2/4p3/PP2P3/2PP1N2/3N1PPP/R1BQ1RK1 w - -,d2c4
rnbq1rk1/ppp1b1pp/3p1n2/4pp2/2PP4/2N1P1P1/PP3PBP/R1BQK1NR w KQ -,g1e2
4Qbk1/1B3p2/p3b2p/8/5Pp1/6P1/4qNKP/8 w - -,e8d8
rnbqk2r/ppp2ppp/3p1n2/b3p3/1PB1P3/P1N2N2/2PP1PPP/R1BQK2R b KQkq b3,a5b6
6k1/1p2pp2/8/3p2p1/3P4/6P1/PP1R3P/4qQK1 b - -,e1d2
8/5p1k/q4np1/1pQ1R3/2p4p/P1P3P1/5P2/6K1 w - -,c5f8
