8/6K1/4kP2/6P1/8/8/8/5r2 b - -,f1f2
8/1kp4p/p4pp1/1p2P3/1P6/3r1PqP/PQ2R1P1/7K w - -,b2c2
1rb2r1k/3nNp1p/pq6/5Q2/1P6/5N2/P4KPP/2R1R3 w - -,e1e3
5rk1/1bqrbp1p/pB1ppnp1/P7/1pP1P3/3B4/1P1NQPPP/R4RK1 b - -,c7b8
r3kb1r/1b1n1pp1/pqn1p2p/1pPpP3/8/2PBBN2/PP3PPP/R2QRNK1 b kq -,f8c5
rn1q1rk1/pbppbppp/4pn2/3P4/2p5/P1N1P1P1/1P2NPBP/R1BQK2R w KQ -,e2f4
r4rk1/pp2npbp/1q1p2p1/1npPp3/8/3PP1P1/PP3PBP/R1BQNRK1 w - -,g1h1
2r5/1p2p1rp/3pkp2/p2N2pP/2P1P1P1/1P3R2/Pb4K1/5R2 w - -,f3f5
r3k2r/1p3ppp/p2q1n2/2p1nQ2/3pP3/3P2PP/PPP1N1B1/R4RK1 w kq -,b2b3
r2qkb1r/pb1n1ppp/2p1pn2/1p6/P7/5NP1/1PQPPPBP/RNB1K2R w KQkq -,b1c3
3r4/4b1p1/4n1kp/pp2P3/3BP3/PPp1K3/2N3PP/5R2 w - -,d4c3
1r1r2k1/8/p7/2pq3p/4pQ2/4P1P1/PpR2P2/1K5R w - -,c2b2
5rk1/2q2pp1/p6b/3bp3/Pp1B2Q1/1R6/2P4P/5RK1 w - -,d4e3
1qr1k3/1b3pr1/pp2pp2/2b5/2PN1Pn1/P3P3/1BQ1BKPP/2R3R1 w - -,e2g4
1k6/5R2/1pBp1p2/p1pP4/2P1K3/2P4r/1n5P/8 b - -,h3c3
1r6/1P1n3p/3kp1p1/1Rp5/2B5/2P4P/5PP1/6K1 w - -,b5b1
3r4/3P4/5N2/1p1Rp1p1/7p/4k2P/7K/8 b - -,e5e4
3r2k1/2q2p2/4p1p1/2p4p/PbN4P/4P1P1/1Q3P2/R5K1 b - -,c7d7
6Q1/p7/2k5/P1P5/8/8/1p3PK1/8 b - -,b2b1q
2qbnrk1/5ppp/8/pb1NPpP1/1p1P3N/7Q/Pn3BBP/R5K1 b - -,b5d7
