8/8/4npk1/6p1/4K2p/7P/1R4P1/8 b - -,e6f4
2nrr1k1/1p1b2bp/3p2p1/p1p2P2/2PpN1P1/P2P2NK/1PB3P1/4RR2 b - -,g7e5
r3r1k1/1pp1qppp/p2pbn2/P7/3QP3/2N5/1PP1BPPP/3R1RK1 b - -,e6d7
8/2r5/R4p1p/4pk2/3p4/8/P1PK2PP/8 w - -,a2a4
rn1qkbnr/pp3ppp/2p1p3/3p4/4P3/P1N2Q1P/1PPP1PP1/R1B1KB1R b KQkq -,b8d7:g8f6
2r3k1/1b3p1p/1p1Q2p1/p1q5/P1P2p2/1P2p3/3R2PP/1R3K2 w - -,d6c5
r1bqr1k1/pp1nnpbp/2p3p1/3pp3/1P2P3/3P1NP1/PBPN1PBP/R2QR1K1 b - -,d8c7
3r4/pB2kp2/4r3/4p1q1/1P1b2Pp/P6P/4QPK1/3RR3 w - -,e2e4
8/p1nk1p1p/4p1p1/1pp1P3/2B1PP2/P3K1P1/1P5P/8 w - -,c4e2
5k2/5p1p/pq2b1p1/1n6/2pP4/P6P/1PB2PP1/1NKRR3 b - -,b5d4
5k2/5p1p/4p1p1/N2p4/1p1P4/1P2PP2/n3K1PP/8 b - -,f8e7
r2q1rk1/p1pb1pp1/2pp1n1p/2b5/3NP3/2PB1P2/PP4PP/R1BQ1R1K b - -,a8b8
1r1qr1k1/1p4np/pN1p2pB/PbpPbp2/4P3/5B1P/1P1Q1PP1/2R1R1K1 w - f6,h6g5
3r2k1/3rq3/1p1pb3/pNn1ppp1/2P5/4QP1P/PP1R2P1/2R2BK1 w - -,c1d1
rnbq1rk1/1p2bppp/p2ppn2/8/3NP3/2NB4/PPP2PPP/R1BQ1R1K w - -,f2f4
q4nk1/3b1ppp/1Qp5/p2N4/P1BP4/5P2/6PP/4B1K1 b - -,c6d5
5k2/2pQ1p2/1p4p1/7p/4K3/1P2RP2/r2P3q/8 w - -,d7d8
r3kb1r/1pp1q1pp/p1p5/5b2/4p3/2N5/PPPPQPPP/R1B2RK1 b kq -,e8c8
r7/1p2k1pp/1B1n1p2/P3n3/P1p1P2P/2P3P1/2K5/4RB2 b - -,e5d7
4k3/3b4/p5p1/1pQ3P1/3PB3/1P6/1q6/6K1 b - -,b2a1
1rb1r1k1/2q2pbp/p2p2p1/1p3P2/2n5/P1PBBN1Q/1P4PP/4RRK1 w - -,e3d4
8/2k1r2p/p5p1/1p1R4/4Bp2/P1P2P1P/1PP2bP1/1K6 b - -,f2e3
8/5R2/p1r3p1/8/P1P5/2K1k1B1/2P4P/1r6 b - -,b1a1
r3r1k1/6bp/3p1pp1/1p1Pp3/1Q2P3/P1P1q1PP/3n2BK/R4RN1 w - -,f1e1
r2qr1k1/pbpnbppp/1p3n2/3p2B1/3P4/P1NBPN2/1PQ2PPP/R4RK1 b - -,c7c6
6k1/4pp1p/P2p1bp1/r2P4/8/8/4BPPP/3R2K1 b - -,f6c3
rn3rk1/ppq2pbp/6p1/2B1pb2/8/2P2N1P/PP2BPP1/RN1Q1RK1 b - -,c7c5
1Q4k1/p2q3p/4ppp1/2P1n1N1/8/8/5PPP/6K1 b - -,g8g7
8/1b6/p1n1p3/4kpp1/P1B4p/1P3P1P/5KP1/1N6 b - -,b7c8
8/4p3/4P1b1/3P4/p1K1k3/PpP5/1P6/8 b - -,g6e8
3n1rk1/r2qb2p/1p2p1pQ/pP1pPpN1/1n1P3P/R7/1P1B1PP1/1BR3K1 b - -,e7g5
r2qk2r/ppp1bppp/2n1b3/3np3/8/2N2NP1/PPPP1PBP/R1BQ1RK1 w kq -,f1e1
1r1q1rk1/1b2bppp/pnn1p3/2p1P3/1pP1N3/3P1N2/P2Q1PPP/BR2RBK1 b - -,a6a5
2r3k1/1br2p1p/1p1q1bp1/pB1p4/P2P4/1QR2N2/1P3PPP/2R3K1 w - -,g2g3
4B3/6k1/2R4p/6p1/1p6/2n2PP1/4PK2/1r6 w - -,e8g6
r1b1k2r/1p2nppp/p7/3pp3/1n2P3/2N5/PPP2PPP/R1B1KB1R w KQkq -,f1d3
2r5/4kpp1/p1p1pnp1/1pP1n3/4PP2/1B2B1PP/PP2K3/2Rr4 w - -,c1d1
8/5pk1/6p1/8/5PPP/5QK1/8/4q3 w - -,g3h3
1rb3k1/4b2p/pq2Ppp1/3r4/2BN4/5P2/Q5PP/3R3K w - -,c4d5
8/8/1p2k3/p1p5/P1P1K3/QP6/3q4/8 w - -,a3a1
r5k1/8/pn1Prp1p/1p1R4/7P/3B4/PPP3P1/2K4R w - -,d3f5
r3k2r/pp1q2bp/2np1p2/2pNp3/2B1PP1N/6Pb/PPP4P/R2QK2R b KQkq -,h3g4
8/8/7p/8/1r1b1k2/4p3/R3B1K1/8 b - -,b4b6
5n2/3r2kp/p4pp1/q2p4/8/4QN1P/PP3PP1/2R3K1 w - -,a2a3
8/K3k3/8/P7/3R4/8/8/1r6 w - -,a5a6
6rk/pp2rp1p/3N1npQ/3N4/4P3/5q2/PPP5/2K3RR b - -,e7d7
1q1r3k/p3nRpp/1p1P2r1/4p3/1PQ1N1Pb/P3P2P/6B1/5RK1 b - -,e7g8
1r4k1/pp2Qp1p/n3p1p1/P2pP3/3P4/1P1R2PP/1q3P2/4R1K1 b - -,b2a2
4q3/p1B2pbk/r3r1pp/1p2n3/8/1Q4NP/P3RPP1/4R1K1 b - -,e5c4
5b1r/pr3Rpp/2k5/2p5/2P3n1/4P1P1/PP5P/RNB1nK2 w - -,f7b7
rnb2rk1/pq2ppbp/3p2p1/2pP4/Pp2P3/2PB1N2/1PQ2PPP/RN2K2R w KQ -,e1g1
r2qkb1r/pp1n1ppp/2p1pn2/3p1b2/2PP4/2N2NPP/PP2PPB1/R1BQK2R b KQkq -,f8d6
r4rk1/4qp2/pQ2pp1p/3b4/Pp6/3B2PP/1PP5/4RRK1 w - -,b6e3
8/1R6/P4r1k/6p1/1PB5/K7/8/3q4 w - -,b4b5
4rrk1/Rb4pp/1q6/1p1nppN1/2P5/2P3P1/1PQ2PBP/R5K1 b - -,b5c4
Q5k1/2p1qp2/1p1p3b/1P3B1p/2P1PP1n/4B2P/5K2/8 b - -,h6f8
8/2k5/5rp1/2r1p2p/P3R3/2P5/2P1B1PP/2K5 b - -,f6f4
8/7p/1pB5/1nk4P/5PK1/8/8/8 w - -,c6b5
r5k1/ppR2ppp/4q3/8/3pr3/4R1PP/PP1QPPK1/8 w - -,e3f3
2kr1r2/pp2qpp1/1np1p2p/4N3/3Pn3/P5P1/1PP1QPP1/1K1R3R w - -,e2e4
4r1k1/7p/2Np4/1p1P2p1/5P2/2b1R3/7P/5RK1 b - -,e8e3
r3k2r/5pp1/2p3n1/pppbP1B1/P4RP1/2P5/2P2P1N/3R2K1 w - -,f4f5
r2q1rk1/3b1ppp/3p4/3Bp3/pN2P3/RnP5/1PNb1PPP/3QK2R w K -,e1f1
2rqr1k1/pp3ppp/2n5/3pN3/2pPnP2/2P1P3/P2BQ1PP/2RR2K1 w - -,e2h5
8/8/5bp1/1p3p1p/p1k4P/P4PP1/1PKB4/8 b - -,f6d4
r1bq1rk1/4bppp/p1n1p3/1p2P3/1P2pB2/P4N2/2P1BPPP/R2QR1K1 w - -,d1d8
r1b2k2/3n1p1p/3N2p1/2qPp3/PQ2P3/8/2B2PPP/1R4K1 b - -,c5c2
8/3R4/5k2/5pp1/1P6/4P1P1/1r3PK1/8 w - -,d7b7
8/p6p/1k3rp1/1p2n3/2p1P3/b1P1N3/P1K3BP/3R4 b - -,f6f2
r3r1k1/1bqnbp1p/ppnpp1p1/6P1/P3PP2/1NN5/1PP3BP/R1BQ1R1K w - -,f4f5
3rr1k1/1p2qn1p/p1pp1ppb/8/2P1P2P/BPQN1PP1/P1R3K1/3R4 b - -,h6g7
2b5/R4p1k/3p2pn/3Pp1p1/4P3/4NPNP/P5PK/2r5 w - -,a2a4
7r/5pp1/1pkPp1n1/pR5p/P1p1P3/B1P5/2P2KPP/8 w - -,e4e5
r4rk1/2p2ppp/p1p1p3/Pq6/NnQP4/6P1/1P2PP1P/R1R3K1 b - -,b5a5
rnbq1rk1/pp3ppp/4pn2/2bp4/2P2B2/2N1PN2/PP2BPPP/R2QK2R b KQ -,b8c6
2r2rk1/1pq2ppp/p2Rbn2/b3p3/N3P3/4B1PP/1PP2PB1/R2Q2K1 w - -,a4c5
r1bq1rk1/p4nbp/2pp1pp1/2p1p3/4P3/2NPB2P/PPPQ1PPN/R3R1K1 b - -,g6g5
r1bq1rk1/1ppnbppp/p1p5/4p3/4P3/3P1N2/PPP1NPPP/R1BQ1RK1 b - -,e7f6
3r1rk1/ppp2ppp/1n1q4/5Q2/4R3/P6P/BP3PP1/4R1K1 b - -,g7g6
2r1k2r/1pq2ppp/p1nppb2/8/2P1Q3/1P3N2/P4PPP/1RBR2K1 w k -,c1b2
4rr1k/1pp1q2p/2np2b1/8/1PBP1B2/p1Q1PN1P/P4P2/2K3R1 w - -,b4b5
2q5/3b3k/1p1p1p1n/3PpP1p/pPPpP2P/P7/4BN1K/3Q4 w - -,d1g1
2rq1rk1/pb1p1ppp/5b2/4p3/4P1Q1/1nN5/PPN2PPP/R2R2K1 w - -,a2b3
4b3/1N6/2p3k1/1p1p1p2/p2P1P1K/2P5/P1P5/8 w - -,a2a3
5rk1/2n2rbp/1p2p3/nPq1P3/P2p1PPP/N4B2/3Q2K1/R4R2 w - -,f1c1
2r3k1/6p1/p4p1p/1p2p3/2q2n2/P1B2P2/1PPQ2PP/R6K w - -,a1e1
2r2r1k/pp3pp1/2b1pN1p/8/2nP4/q3PBQ1/P4PPP/R4RK1 w - -,f6h5
3qkb1r/1p1n1ppp/pNrp4/4p3/Q3P1b1/4BN2/PPP2PPP/2KR3R w k -,b6d5
r4rk1/1p1bqppp/n2p1n2/p2Pp3/2P4N/6PP/PPQN1PB1/2R2RK1 b - -,g7g6
2r4k/p5bp/3pbnp1/1P2pp2/P3N3/1Q4P1/1B2PPBP/5RK1 b - -,e6b3
8/5k2/8/2P1K1p1/4R1P1/8/8/2r5 w - -,e5d5
8/2b5/4k3/2B4p/1p2P1p1/1P1K2P1/2P5/8 w - -,c5f2
6k1/4b1p1/1p2p2p/1q1pPp1Q/3P1P1P/1P1n2P1/3N2RK/2r5 b - -,c1c2
8/4kpp1/R3p1p1/1p1rP3/1P2R2P/6P1/1r3PK1/8 b - -,d5d2
8/4r1pp/2p3k1/1b1p4/pR6/P1P1BPP1/5K2/8 b - -,h7h5
r4r1k/p5qp/6p1/4pNQ1/1p6/1N6/PPP5/2K1R2R b - -,f8f5
8/1p4k1/p1p2pbp/2Ppr3/1P3RPP/4P2B/1P1K4/8 w - -,h3g2
8/8/1p3R2/5p1k/7P/5pK1/8/1r6 b - -,b1b5
2r2rk1/pp1nbpp1/2q1p1bp/3pP3/3P3P/2P3PB/PP1NQ3/R1B2RK1 w - -,a2a4
8/5R2/1b4pk/4p2p/4p2P/8/5PP1/5K2 w - -,f1e2
8/1k4p1/p2r4/7p/NP6/3p2P1/1P2B1nP/2K5 w - -,e2f3
3Q4/kp6/p7/4P3/8/8/PPP1q3/1K1R1r2 w - -,d8d4
1rbr2k1/2p1npp1/7p/R2nP3/1p6/1B3N2/1PP3PP/2B2RK1 b - -,c8g4
3rk2r/pp2bppp/2b1p3/q3P3/2BP4/8/P2N1PPP/2RQ1RK1 w k -,d2b3
3r2k1/1p3pp1/p4n1p/3p1P2/1P2p1P1/1BP1b2P/3R2K1/3R4 w - -,d2e2
r3rnk1/ppqbbpp1/2pp1n1p/3Pp3/2P1P3/2N1BNPP/PP3P2/1R1QRBK1 b - -,f6h7
3q1rk1/1b3ppp/ppp5/3r4/3Pp3/2R1P3/PPQ1BPPP/2R3K1 b - -,f8e8
r3k2r/pbp1pp1p/1p1q2pQ/n7/3PP3/2PB1N2/P4PPP/R3K2R b KQkq -,f7f6
8/2p3r1/1pp1kp2/p3p3/4P3/4K1P1/PPP2P2/7R w - -,h1d1
2r2rk1/3qbppp/2n1p3/3p4/1p1P2P1/4P2P/NPRBQP2/1K5R w - -,e2b5
rnbqkb1r/ppp2ppp/1n1p4/8/2BP4/8/PPP2PPP/RNBQK1NR w KQkq -,c4d3
2r3k1/1p1b1pp1/p2q3p/3p4/3N1P1n/1P1Q4/P3B1PP/5RK1 w - -,g2g3
1qr2rk1/pb1npp1p/1p1p1npb/2p5/Q2P4/2P1PN1P/PP1N1PPB/2R1RBK1 b - -,c8c7
rn1q1r2/pb2ppkp/1p4p1/2pP4/8/1P2PN2/P2PBPPP/R2Q1RK1 b - -,d8d5
7B/8/P7/1Rnk1pp1/8/r6P/7K/8 w - -,h8f6
b4bk1/3q2pp/pr6/3p2P1/1P1N4/2P2QB1/1n2N2P/R6K w - -,e2f4
r2q1rk1/3nppbp/1n1p2p1/1NpP4/4P3/P4N2/1PQB1PPP/R3R1K1 b - -,b6a4
1r4k1/1rb1qpp1/p2p1nnp/P1pPp3/2P1P3/RpP1B1PP/1R1N1P1K/Q2B4 w - -,b2b3
r2q1rk1/1p2ppbp/2pp1np1/p2P4/P1B1n3/2P2N2/1PQ2PPP/R1B1R1K1 w - -,e1e4
1rb1r1k1/1p1nppbp/p2p1np1/q5B1/2PN4/2N3PP/PP1QPPB1/2RR2K1 b - -,d7e5
rnbqk2r/4bppp/p1p1pn2/1p6/3P4/1BN1PQ2/PP3PPP/R1B1K1NR w KQkq -,g1e2
r2q1rk1/1ppbbppp/p2p4/3Nn3/3pPB2/1BP2Q2/PP3PPP/R3R1K1 w - -,f4e5
8/3k4/1r1pb3/2p1p2p/2P1Pp1P/1P1R1P2/4NK2/8 w - -,f2e1
8/2R5/1K6/3q4/1k6/8/8/8 w - -,c7c1
8/8/2bk4/p5p1/3K4/P7/4B3/8 b - -,c6b7
4rk2/ppp2p1p/6p1/4P3/6b1/6P1/PP4P1/2BRK1bR w K -,h1g1
7k/8/3p1b1p/1rpP2p1/1p3P2/3K2P1/3B3P/1R6 b - -,b5a5
rnbr2k1/ppp1qppp/5n2/3p4/3P4/2NBPN2/PP1Q1PPP/R3K2R w KQ -,e1g1
r7/4k3/2ppp1np/p5p1/4P1P1/4K1NP/PPP5/5R2 b - -,g6f4
2r2rk1/1p1bqpbp/p1npp1p1/8/2PNPP2/1PN1B2P/P3Q1P1/2RR2K1 w - -,d4f3
3r2k1/4bppp/Bp1qnn2/3rN3/3P4/8/PB2Q1PP/2R2RK1 w - -,c1c6
r4rk1/p1pbqppp/1bp5/3pP1n1/3N4/2N2P2/PPP2BPP/R2QR1K1 b - -,f8d8
r1bqkbnr/pp2pppp/2n5/2ppP3/5P2/6P1/PPPP3P/RNBQKBNR b KQkq f3,h7h5
3r2k1/2q2pp1/b3p2p/3n4/3N4/pNP2P1P/P3R1P1/4Q1K1 w - -,e2e6
rnb1k2r/ppp2ppp/5n2/4P3/1bp5/4P3/PP3PPP/R1BNKBNR w KQkq -,c1d2
6rk/6np/3p4/p1p1bp2/8/P2P1QNP/2q3B1/6RK w - -,g3f1
2rr2k1/1b1qbppp/ppnppn2/8/2PNP3/1PN3P1/PBR2PBP/3QR1K1 w - -,c2d2
1r3rk1/2qbbppp/p2p1n2/n1p1p3/N3P3/3PBN1P/1PP2PP1/RB1Q1RK1 w - -,e3d2
5k2/4bp2/6p1/2p1P3/4BP2/Pr4P1/2R1K2P/8 b - -,b3a3
8/5k1p/q4pp1/P1Q5/8/7P/6P1/7K w - -,h1g1
2B5/6K1/5r2/4k3/8/7P/8/8 b - -,f6f2
8/4k1pp/pp1p4/3Bn3/1PP5/3b4/P2q2PP/4R1QK w - -,c4c5
5k2/2p1n3/3p4/p2P4/1p2KPP1/1P3Q2/P4Bq1/8 b - -,g2f1
r4r1k/1p2b1pP/p1n1p3/1q2p3/4P2P/1Np2P2/PP4Q1/R1B1K2R w KQ -,b2c3
5rk1/r3bppp/2p1b3/4p3/1PP1P3/P1N5/1K1RBPPP/7R w - -,h1a1
8/5p2/2r3kp/p7/1b1B2p1/6P1/PRr2PKP/1R6 b - -,c2b2
2r2rk1/1p3ppp/p1bnp3/8/2R1PP2/6PB/1B5P/4R1K1 w - -,c4d4
3r4/8/8/p5kp/P1N1b3/1PR3P1/8/6K1 w - -,c4a5
rn3rk1/pb1qbppp/1p1ppn2/8/2PN4/1PN1PB2/PB3PPP/R2Q1RK1 b - -,b8c6
r2r2k1/p1qn1ppp/1p2pn2/2b5/2PNP3/1N4P1/PBQ2PKP/2R2R2 b - -,c5e7
8/R4ppk/4p1b1/4P2p/7P/p4PP1/2pK4/r1N5 b - -,h7h6
r1b1r1k1/ppbnqppp/2p2n2/2P1p3/3P4/2N1PN2/PBQ1BPPP/R4RK1 w - -,f1e1
4rr2/p1p3k1/4qp2/2P2Qp1/3P2P1/8/PP6/2KR3R b - -,e6f5
r3k2r/pp1nqppp/2pbpn2/8/2BP1N2/2P5/PP2QPPP/R1B2RK1 b kq -,e8g8
8/8/6k1/4R2p/5P1P/r7/6K1/8 b - -,a3a2
3rn1k1/r4p1p/p2b2p1/P1p1q3/1pP5/3BBR2/2P2QPP/4R2K w - -,e3f4
r4rk1/ppp2ppp/5n2/4R3/5q2/P4N2/1PP2PPP/R2Q2K1 w - -,d1e2
r1b2r1k/pp4pp/4p3/5pq1/NP6/P4B2/4Q2P/2RR3K b - -,f8e8
2k3r1/pp6/4qp1p/3p4/2p5/P1P2Q2/2P3rB/4RR1K b - -,e6c6
r3k2r/p3Bppp/1p2p3/q3P3/8/2P2N2/P1b1QPPP/1R1R2K1 b kq -,c2b1
r4r2/1pkbb1p1/1q2p1B1/3pP1N1/PP5P/8/2NQ1P2/R4K2 b - -,a8a4
r4rk1/4q1bn/p7/3p3Q/1p1P4/4PN2/PK2NPP1/7R w - -,h5h7
6rk/B1p5/3b4/4p2p/4Pp2/1P3Pr1/1PR3PK/R7 b - -,h5h4
r1bqk2r/ppp2ppp/2n1pn2/3p4/QbPP4/2N1PN2/PP3PPP/R1B1KB1R b KQkq -,e8g8:c8d7
r5k1/1p1R1pb1/6pp/p3r3/7P/2P1BP2/1P3P2/5RK1 b - -,e5b5
2rrb1k1/1pq2pbp/p2pp1p1/4n3/2PNB3/PP2P2P/1B2QPP1/1RR3K1 w - -,d4f3
2rb2k1/1q1n1p2/R2p1npp/1Q1Pp3/1P2P3/5P2/N3BBPP/6K1 b - -,b7b5
4k3/7n/2r5/1R4P1/2P5/3KB3/2P5/8 b - -,h7f8
1r1q1rk1/pbbnnppp/4p3/1p6/4N3/P1PP1NP1/5PBP/R1BQR1K1 w - -,a3a4
r1b1r1k1/pp3ppp/3B4/8/q4P2/6Q1/P5PP/2R1R1K1 b - -,e8e1
8/p5pp/2pk1p2/5R2/P3r3/1P1K3P/5PP1/8 b - -,e4b4
8/6k1/5p2/6p1/pp3q2/3Q3P/P1P5/1K3R2 b - -,f4e5
1rb1qr1k/p3n1bp/2np4/1pp1p3/5p2/1QPPNNPP/PP3PB1/1RB2RK1 w - -,g3f4
1rbr2k1/2q2pp1/3P4/ppn2B1p/4p2P/1P3QP1/2P1NP2/3RR1K1 b - -,c7d7
r2q1rk1/ppp2ppp/2np4/7n/2P1P2N/2N4P/PPP1Q1PB/R3K2R b KQ -,d8h4
5nk1/4Qp2/8/4pPK1/p1q5/6P1/5P1P/8 b - -,f8h7
r2q1rk1/1b3pbp/pp2p1p1/2p5/P2BPP2/2NP1N2/1P2Q1PP/R4RK1 b - -,g7d4
8/2k3pp/1p1N1p2/2p1p3/r1P5/P1RKP3/5PPP/8 b - -,c7d6
8/5p2/1bN2k2/5P2/4P3/3K4/8/8 b - -,b6c5
r2qk2r/1p2bppp/p1n1pn2/3p2B1/3P4/2NBPQ1P/PP3PP1/R4RK1 b kq -,h7h6
1k1rr3/pbp5/1n4p1/2p1qp2/2P5/2NB4/PP3QP1/2KR3R w - -,h1e1
r1bq1rk1/1p2b1pp/p2p2n1/3P1p2/2N1p3/2P1B3/PPB2PPP/R2Q1RK1 b - -,b7b5
8/2p2p1p/3bk1p1/4p3/P1R5/r5PP/3RKP2/8 b - -,f7f5
2r2k2/1b1nbPpp/p2p4/1p2p2P/4PP2/q1P1B3/2P1Q1B1/1K1R3R b - -,c8c4
r4rk1/1p2bppp/pqnpb3/3B4/8/1P3NP1/PB2PP1P/2RQ1RK1 w - -,a2a3
r1bq1rk1/pp3ppp/3b1n2/3P2B1/3pB3/5N2/PP3PPP/R2Q1RK1 b - -,d6e7
4B3/6k1/2p3p1/2Pb3p/5K1P/8/5P2/8 w - -,f4g5
3rn1k1/p2n1pp1/1pBP2qp/8/5BP1/P4Q1P/5P2/3R1K2 w - -,f1g2
1brq2k1/5ppp/pp2pn2/3r4/P1N5/3P1NP1/1B3P1P/R2Q1RK1 b - -,c8c4
8/p1p5/1b2k3/4P2p/5P2/5K2/P2B3P/8 b - -,e6f5
8/1p5p/1B2k1p1/8/6P1/1P3K1P/2n5/8 b - -,c2a1
8/7B/p7/1p6/1P3p2/k1K3P1/8/8 b - -,f4g3
2r2rk1/1b1nq1pp/1pp1p3/p2p1p2/P1PPn3/NP2PNP1/1QR2PBP/3R2K1 b - -,d7b8
3r2k1/pp1b1pbp/2n1p1p1/8/3PP3/3BBP2/P1R1N1PP/6K1 w - -,e3g5
q2rr1k1/4npb1/p1b3pp/1pNp4/1P1P2P1/P3B2P/5PB1/1Q1RR1K1 b - -,g6g5
4r3/5p2/2k5/1p1p2P1/2P1p3/2R3KB/6P1/8 b - -,b5c4
8/6k1/8/r4PpP/4R1P1/2b5/5PK1/5N2 b - -,c3e5
r1b1kb1r/2q2ppp/p1nppn2/1p6/3NP1P1/2N1BP2/PPPQ3P/2KR1B1R b kq -,c8b7
3n4/3R1nkp/1p2p1p1/p2p4/1q1P4/5N2/1P3PP1/2Q3K1 b - -,g7f8
r1bqkb1r/pp3pp1/4p3/2PpP2p/5Q2/3PPN2/PP4PP/RN2K2R b KQkq -,f8c5
