8/8/1b2k3/5pp1/2q5/5QPP/5P2/5K2 w - -,f1g1
rnb1k2r/pp2ppbp/3p1np1/8/1qBNP3/1PN5/P1PB1PPP/R2QK2R b KQkq -,b4c5
r1bq1rk1/ppp2pbp/2n2np1/4p3/4P3/2N2N1P/PPP1BPP1/R1BQ1RK1 w - -,c1g5
1b2r1k1/7p/6pB/1P1p4/6P1/3QPq1P/8/1R4K1 w - -,d3f1
4r1k1/3R1pp1/1p2r3/7p/8/P1B5/4P1B1/4K3 w - -,g2f3
8/8/3Rrk2/2p1p1pp/8/1Pr2PP1/4R1KP/8 w - -,d6e6
r4rk1/p1p1qppp/8/1bPpPn2/8/5P2/PP3BPP/RN2QRK1 w - -,g2g4
4r2k/pQnq2pp/1p1P1p2/2p3P1/5B2/1P3P2/P6P/4R1K1 w - -,e1f1
r1Q2rk1/1n3ppp/3p1b2/1p1P2B1/2pP4/2P2N2/1P4PP/4RRK1 b - -,f8c8
6k1/5p1p/6p1/1BBb1n2/1P1P4/r3p2P/r3RPP1/4R1K1 w - -,e2a2
r6r/5Rpp/2k1n3/3p1p2/3P4/p1B2P2/5P1P/2R3K1 b - -,a8a4
r1bqk2r/pp2bppp/1n2pn2/2p5/P1N5/2N3P1/1PPP1P1P/R1BQKB1R w KQkq -,c4e3
r1bqr1k1/1p1n1pbp/p2p2p1/2pP2Bn/P7/2N2NP1/1P2PPBP/R2QR1K1 b - -,d8c7
r2r2k1/ppnnq2p/6pQ/2p1P3/P1p2P2/2P4R/1P4P1/2KR1B2 w - -,f1c4
rn1qr1k1/pp3p1p/3p1bp1/2p5/2b5/2N3P1/PP2NPBP/R1BQ1RK1 b - -,f6c3
r5r1/pp2k2p/b7/2ppP3/5P2/6P1/PP1N3P/R3K2R b KQ f3,a6d3
6r1/7p/bP2nk2/4p1n1/2N2p2/P5P1/2P2P1P/3RRK2 b - -,a6c4
r1b2rk1/4qp2/p2p2pQ/1ppPb3/2P1P3/3B3P/P1N2PP1/1R3RK1 b - -,b5b4
r2r2k1/2q1bpp1/pp1pp2p/4P3/P2NbB2/8/1PPQ1PPP/R4BK1 w - -,d2e1
8/3n3p/p2k2p1/1p1Nb3/P1p1P3/2P4P/2K1B3/8 b - a3,d7c5
8/3B4/8/6k1/8/5r2/6K1/8 b - -,g5f4
8/1b2k3/p2nR2p/2p2pb1/1PP2N2/3B1R2/P6r/3K4 b - -,e7d7
r2qr1k1/1pp1bppp/p1n1pn2/3p3b/1PPP4/P3PN1P/1B1NBPP1/R2QK2R w KQ -,e1g1
r1bq1rk1/pp1nppbp/2p2np1/3p4/8/1P1P1NP1/PBPNPPBP/R2Q1RK1 b - -,b7b6
b1rq1rk1/5ppp/p3pb2/N1n5/1P3P2/R1NBp3/4Q1PP/5RK1 w - -,b4c5
5R2/8/1bk4P/2n5/2K5/8/5P2/8 b - -,c5d7
r3q1k1/3n1pBp/p2p2p1/1ppP4/2P5/5N1P/PPQ2PP1/5RK1 b - -,g8g7
5k2/8/8/8/PRp4P/8/2r5/5K2 b - -,c4c3
6k1/p4p2/6p1/8/1r4p1/2B1NbP1/Pb3P1P/6K1 w - -,c3b4
4rrk1/pp5p/4p1p1/2p5/3b2n1/1P1R1N2/P5PP/4Q2K w - -,d3d2
8/Q1p3pk/3b2rp/5pqb/4p3/1PB3P1/P2PPPR1/4R1K1 w - -,a7e3
1r6/5ppk/p5p1/4q3/P3n3/4N2P/2Q2PP1/3R2K1 w - -,d1d5
r3brk1/1pqnbp1p/p1n1p1p1/4P3/P3Q3/2NB1N2/1P3PPP/R1BR2K1 w - -,c1f4
r7/2k2p2/p1pbrpp1/1p1n3p/P2P3P/1BP1BP2/1PK2P2/3RR3 w - -,d1a1
5k2/1p5p/5pp1/1n6/1P3P2/6PB/5K1P/8 w - -,f2e3
1n4k1/4B1pp/2n1p1r1/1b3q2/N2p4/1Q3N2/PP3PPP/2R1R1K1 w - -,f3h4
3b4/1p1q1rkp/p2pRp2/2rN1Pp1/8/1PPQ4/P5PP/3R3K b - -,b7b5
2k3rr/pbqn3p/1pn2p2/3p1B1P/1PpPpb1N/P1P1B3/5PP1/R2QRNK1 b - -,c6e7
8/6pk/p7/P5pP/1PpB4/2P2PK1/r7/8 w - -,g3g4
r2q2k1/1pp2p2/p3pb2/4n1PQ/8/P3P2R/1P3P1P/4K3 w - -,g5f6
2r4k/R3bppp/p3q3/8/1P2P2P/P4QP1/5PK1/8 w - -,f3e2
rnbqkb1r/ppp2pp1/3ppn1p/8/3PP2B/5P2/PPP3PP/RN1QKBNR b KQkq -,f8e7
8/8/3KP3/2P3k1/3P1r2/7R/8/8 b - -,f4d4
3n4/1pk5/1p6/3p1B2/P2P4/2K5/8/8 b - -,c7c6
rnb2rk1/ppq1ppbp/2pp1np1/8/P2PP3/2N2N1P/1PP1BPP1/R1BQ1RK1 b - -,b8d7:e7e5
r3rbk1/1p1n1pp1/pq1p1np1/2pP4/P1P2BP1/2N2N1P/1PQ2P2/R3R1K1 b - -,b6b4
r2qkb1r/pb1p1ppp/1pn1pn2/8/3P1B2/4PN2/PP1NBPPP/R2QK2R b KQkq -,f8e7
k7/8/P1R4p/3p2p1/1P1P1rP1/7P/5PK1/3n1B2 b - -,f4f2
8/4Rp2/5P2/2pr1kP1/1pK5/1r2B2P/8/8 b - -,b3d3
rnb2rk1/p2p1ppp/5q2/Ppp5/2P5/P1p2P2/6PP/R1BQKBNR w KQ -,d1d5
1r2r2k/b2b1pp1/p2p2n1/1p3q2/3P4/1B2BNQP/PP3PP1/R3R1K1 b - -,b8c8
r4rk1/pp1nqppp/2pb1nb1/3pp3/2P4N/1P1P2P1/PB1NPPBP/2RQ1RK1 w - -,h4g6
r3k2r/1Bq1bp1p/p2p1n2/2p1pP2/8/2N5/PPPBQ1PP/4RRK1 b kq -,c7b7
rnbqkb1r/pppn1ppp/4p3/3pP3/2P5/1P6/PB1P1PPP/RN1QKBNR b KQkq c3,d5c4
rnb1k2r/ppq1ppbp/2p2np1/2P5/2BP4/2N2N2/PP3PPP/R1BQK2R b KQkq -,e8g8
r4rk1/1b2qpp1/1ppp4/4b2p/1PP1PBnP/3P1NP1/4Q1B1/1R3R1K w - -,f3h2
rnbqkbnr/pppp1ppp/8/8/2B1P3/2p5/PP3PPP/RNBQK1NR b KQkq -,g8f6:c3b2:d7d5:c3c2
8/5p2/3k1p2/5Pp1/1p4r1/3K2P1/7P/R7 b - -,b4b3
