R7/8/5p2/p3pkp1/8/r5PP/4KP2/8 w - -,a8a6
3r2k1/p4ppp/1p2q1n1/3pP1b1/3B4/P6P/1P2NPP1/1Q1R2K1 w - -,d1e1
r1b1k2r/1pqp1ppp/p1n1pn2/8/1bPNP3/2NBB3/PP3PPP/2RQK2R b Kkq -,c6e5
4rb1k/pp1n1r2/2p2Pp1/4P2p/2PB1p1P/1P1N4/P7/2KRR3 b - -,e8e6
4rb2/3q1pk1/r1n2npp/1p2p3/1P1pP3/1Q1P1NP1/2RB1P1P/2R2BK1 w - -,f1h3
r4rk1/pb1n1p1p/4pPp1/3pP2P/qpp2B2/2P1P3/1P2QP2/1BKR3R b - -,d7c5
rnbq1rk1/3nppb1/p1pp2p1/1p4Pp/2PPP2P/2N1BP2/PP1Q4/R3KBNR w KQ -,a2a4
8/7p/r1p2k2/p2pp1p1/3P4/PPR2P1P/K4P2/8 w - -,d4e5
5r2/p6k/1bR3pp/4B3/5PBP/6P1/3nP1K1/8 b - h3,h6h5
r1bqr1k1/1p2bppp/p2p1n2/4p3/3BPP2/P1N5/1PPQB1PP/R4RK1 w - -,d4e3
1Q6/4bk1p/b4pp1/8/N4P2/6P1/PPP4P/1KBq4 w - -,b8b3
3q2k1/1Q4b1/8/2p1p1p1/2PrBnP1/2N2P2/PP6/1K5R w - -,c3d5
2k4r/p4p1p/2p1pnp1/8/4N3/7P/PP2BPP1/2R3K1 b - -,f6e4
rnq1k2r/p2pbppp/1p2pn2/8/Q1PN4/2N3P1/PP2PPKP/R1B2R2 w kq -,e2e4
2rrbkn1/1p3p1p/p1nppQp1/8/PqP1P3/1PN2PP1/4N1BP/1R1R3K w - -,f6f4
r1b2rk1/2p1qpbp/1p4pn/3Pp3/1PP1P3/2NQ1N2/6PP/1RB1K2R w K -,e1g1
3q1k2/1b4p1/pp1rQn1p/8/P7/6RP/1P3PP1/4R1K1 w - -,e6e5
4r1k1/2q2bp1/3b4/8/P2P4/4N2Q/4B3/R5K1 w - -,e2d3
r1br2k1/6bp/1p1B2p1/2P1ppq1/P2nPn2/2N2B2/3N1PPP/R2QR1K1 w - -,h2h4
8/3p2pk/p1b1p1Qp/4P2P/4P3/P5N1/1P4PK/2q5 b - -,h7h8
6rb/2pb1q1k/pp1p1n1r/3P4/2PBpPPp/1P2N3/P3B1R1/3Q1RK1 b - -,h4h3
3r4/p1r2pkp/2pqpnp1/2N2n2/1PRP4/P4Q2/5PPP/1B2R1K1 b - -,f5d4
8/p2kpp1p/1r1n2p1/8/Pp1K2P1/5P2/1R2B2P/8 b - -,a7a5
r3brk1/4q1p1/2n1p1pp/pp1pP3/2pP1NPP/P1P2PQ1/2PB2K1/R1R5 b - -,a8b8
r4rk1/pp3pbp/2p3p1/4nn2/4N3/2Pq2PP/PP2QPB1/R1B2RK1 w - -,e2d3
r2qr1k1/7p/p1p2bp1/5b2/N1p1p3/6B1/PPP1QPPP/4RBK1 w - -,e2c4
2rr2k1/p1qnbppp/1p2p3/2pb4/8/1P2PNP1/PB1PQPBP/2RR2K1 w - -,e3e4
r1b1k1nB/b1q2p1p/p1p3p1/4p3/4P2Q/2Pp4/PP3PPP/R4RK1 w q -,h4h7
5r2/1b3qpk/p3Qbp1/1p2p3/4P3/P1NnBNR1/1P5P/6K1 w - -,e6g4
r1bq1k1r/p2n1p2/3p2p1/1ppP2Pp/Q1N5/2P4P/P3PP2/3RKB1R w K -,a4b5
5r2/p2kp3/1p2P3/6N1/1P4P1/4pPB1/2r1b1K1/7R b - -,d7c6
2r4r/1p2kp2/p2bpnp1/3p3p/Nn1P3P/1P2PB2/1P1BKPP1/R1R5 w - -,a4c5
r3r1k1/1p3ppp/p1pq1n2/3p2n1/1P1P4/P1N1PP2/2Q1BP1P/R5RK b - -,g5e6
8/3r1pk1/6p1/7P/q2b1Qp1/8/5P2/5RK1 w - -,f4g4
1r6/4q3/pr1p3k/1n1Pb1pp/1pB1Pp2/3Q1P2/R4BPP/2R4K w - -,f2b6
r2q1rk1/1p1nbpp1/2p1pn1p/p2pNb2/2PP4/1P4P1/PB1NPPBP/R2QR1K1 b - -,d7e5
rr6/6bk/2pp2pn/p3p2p/2b1P2P/P1B3P1/1P2NPB1/1R3RK1 w - -,f1e1
rnbq1rk1/5pbp/p2p1np1/1ppp2B1/2P1P3/2NB1N1P/PP1Q1PP1/R3K2R w KQ -,c4d5
2r5/p1n1kp2/1p1p3R/4pPr1/2P1P1B1/2N5/PP3K2/7R b - -,g5g4
4r3/r2nqk1p/p1p2pp1/2Pb4/3QpPB1/1P5P/PB4P1/2R1R1K1 w - -,e1e3
3qb3/4b1kp/1p2p1p1/1P1p1p2/3P1PP1/3BPKBP/8/4Q3 w - -,e1c1
r1bqk2r/pppn1pbp/3p1np1/3Pp3/4P3/2N3P1/PPP1NPBP/R1BQK2R b KQkq -,e8g8
8/p1r1kp2/Qp1bpp1p/3p4/1P6/P2PPN2/2q2PPP/5RK1 b - -,c2a2
5rk1/1pp3pp/1p3bp1/8/8/2P2P1P/PnNN2P1/R4K2 w - -,d2e4
k6r/2p2ppp/2N1n3/6P1/2B5/3nBPK1/P1b4P/7R b - -,a8b7
6rk/p6p/1p2p1r1/2p2p1Q/P2q3P/1PPP1B2/1K6/3R4 b - -,d4f2
rn1q1rk1/pbp3pp/1p2pn2/3p1p2/1bPP4/2N2NP1/PP1BPPBP/R2Q1RK1 w - d6,f3g5
rn3rk1/p1q2ppp/4p3/2pnP3/P7/5N2/2P2PPP/R1BQ1RK1 w - -,d1d3
