1R6/8/3nk3/1n2N2p/5P2/5K2/7P/8 w - -,b8h8
8/p7/1pp1k1pb/2p1p2p/2P1P3/1PPK1NPP/P7/8 b - -,a7a5
r3kr2/p2bbppp/2pp2n1/7B/1q1BPP2/2NQ2P1/1PP5/2KR3R w q -,d4g7
8/3b1k2/1p4pp/p1b5/P1PN1p2/1K3PrP/1B2R1P1/8 w - -,b2c3
r2qk2r/ppp2ppp/2bbpn2/8/3P4/2PB1N2/PP2QPPP/R1B1K2R w KQkq -,c1g5
3qr1k1/nr2ppb1/1p1p2pp/pNnN4/2P1P3/1P3P1P/P2Q2PB/2RR3K w - -,b5c3
8/8/7p/3k4/p4P2/P4K1P/8/8 b - -,d5e6
3q1rk1/3nbppp/pprppn2/6B1/2PQN3/1PN3P1/P3PPKP/R2R4 w - -,f2f3
6k1/p3Rr2/1n5p/2p4p/nPP4B/1B6/5PPP/2K5 w - -,c1c2
r4r2/3b2k1/3p1qp1/1p1P3p/1PpNPpnP/R4B2/3Q1PP1/4R1K1 w - -,e1a1
rnbr2k1/1p2ppbp/6p1/pP4N1/2Pp1P2/P2P4/2N2PBP/R3R1K1 b - -,h7h6
3rr1k1/2R2pbp/p5p1/1p6/2nNnB2/2P2N1P/qPQ2PP1/1R4K1 b - -,b5b4
5k1r/pp2ppbp/3p1np1/1B6/4P1bP/2P1BN2/P1P5/1K1R3R w - -,f3d2
r2q1r1k/p1p2p2/1bppbn1p/6p1/3pP3/2P2NB1/PP1N1PPP/R2Q1RK1 w - -,f3d4
r2q1rk1/1bpnbppp/p3p3/3nP3/Np1PQ3/3B1N2/PP3PPP/R1BR2K1 b - -,g7g6
r1bqk2r/4bpp1/p1pPp3/8/5Q1p/2N5/PPP1BPPP/R3K2R b KQkq -,e7d6
r2q1rk1/pp4bp/2n2pp1/3pP3/3P2b1/1QN1BN2/PP4PP/R4RK1 b - -,f6e5
3r2k1/1p3ppp/pq2pn2/R7/1PpP4/4P1P1/1P1Q1PKP/2R5 b - -,f6e4
6k1/7p/5Qp1/2p1P1P1/1p2q2P/1P4P1/P6K/8 w - -,e5e6
r1b2rk1/1p2qpbp/2p2np1/p1n1p3/P1P1P3/BPN5/2Q1BPPP/R3NRK1 b - -,f8e8
8/5pkp/R5p1/1p6/3q1N2/6PP/1R3P1K/3n4 w - -,b2a2
r1b1k2r/p1Bpqpb1/2p4p/6p1/4n3/2P5/PP2QPPP/RN2KB1R b KQkq -,d7d5
r1bq1r1k/ppp3bp/2np2p1/3Bpp2/3P4/1P4P1/PBPQPP1P/R3NRK1 w - -,d5c6
r2qkb1r/1b1npppp/p2p1n2/8/1pP1P3/5N2/1PBP1PPP/RNBQ1RK1 w kq -,f1e1
5r2/7p/5pk1/1R6/1pr5/6P1/P4R1P/6K1 w - -,b5b6
rnbq1rk1/pp2ppbp/6p1/3p4/3pnB2/2P1PN2/PP1NBPPP/R2QK2R w KQ -,e3d4
8/4k3/1rp1p1p1/4Pp1p/p2P1P2/2R2KP1/P6R/3r4 w - -,f3e3
5rk1/2p2qpp/3pp3/RpPn1p2/1r1P4/1N1Q2P1/4PPKP/5R2 b - -,e6e5
2r2rk1/pp3pp1/2nq3p/2p1p1b1/NP2Q3/P3P3/1B1P1PPP/R2R2K1 b - -,c5b4
rnbqk2r/ppp1ppbp/5np1/3p4/3P1P2/2N1PN2/PPP3PP/R1BQKB1R b KQkq d3,e8g8
r4q1k/3n3p/p2NBb2/1ppPp3/P1P4r/7P/1P3PQ1/2KR2R1 b - -,h7h6
5r2/pp4k1/2pP4/6PP/P3r3/8/1P4B1/6K1 w - -,g2e4
1rb1kb1r/2qp1ppp/2p1p3/p2nP3/4N3/6P1/PPP2PBP/R1BQ1RK1 w k -,c2c4
8/4pp1k/P2p4/1Q3P2/3q3p/8/1P6/2K5 w - -,b5b7
4r1k1/1pprn1pp/2n1bbq1/pN2pp2/2N1P3/PP1P2P1/1B2QPBP/2R2RK1 w - -,b2c3
3rr1k1/1ppq2pp/p1p2p2/2b1pP2/2P4R/3P3Q/PBP2PPP/R5K1 b - -,h7h6
r3k1nr/1pp2pbp/p2pbqp1/8/P1B1P3/1Q6/1PPN1PPP/R1B2RK1 b kq -,b7b6
8/3k2p1/1b1p4/1p6/3NP3/2R1K1P1/1P3P1r/8 b - -,b6d4
4Qbk1/5pp1/4p3/4P2p/7P/1pB2P2/1P4PK/2q5 w - -,h2g3
2rq1rk1/pp2bp1p/2npbpp1/3N4/2B1P3/6N1/PPPQ1PPP/R3K2R b KQ -,c6e5
8/7p/r1n1kp2/1p1p2p1/1b1P2P1/5N1P/4KP1B/2R5 w - -,h2g3
2r2kr1/4bp1p/p3qp2/2pp4/8/1P2PQ2/P3NPPP/2R2RK1 w - -,f1d1
2b5/2N1qnk1/p2n1pp1/1pQPp2p/PP2P2P/6N1/6PK/3B4 b - a3,b5a4
r3r1k1/pqpn1pb1/2b2npp/4p3/1p2P3/BP3PPN/P1PNQ1BP/3RR1K1 w - -,a3b2
r2qr1k1/4nppp/1p2pn2/p2p4/3P4/6P1/PPQ1PPNP/2RRB1K1 w - -,c2c7
5rk1/2p1r1np/1p1p2p1/p2Pp3/4P3/1P1BP1bP/P1RB2P1/3R2K1 w - -,d1c1
rq3rk1/6pp/2p1bbn1/2B5/p2NpP2/1P4PP/PP2NQ2/1K1R3R b - -,a4b3
r1bqk2r/bp2nppp/p1n5/3p4/8/1NP2N2/PP2BPPP/R1BQ1RK1 w kq -,b3d4
2r3k1/p4p1p/6p1/BRn5/3b4/3B2PP/P4P2/6K1 w - -,d3b1
8/8/7p/6p1/5kP1/PR5P/2P4r/5K2 b - -,h2c2
4kb1r/pp4pp/8/4N3/2p5/4p1P1/PP2RP1P/7K w k -,e5c4
r1b2rk1/pp1pnp1p/6p1/5p2/2PN4/4PB1q/PP1Q1P1P/R3K2R b KQ -,e7c6
8/1p6/p2p4/P1pP4/2P1B1pk/5p2/2P2K2/8 b - -,h4g5
8/5kp1/p3b2p/1p1npp2/8/1P3PP1/P2BPK1P/5B2 b - -,g7g5
8/p5k1/1p4p1/6P1/P1B4P/1P2p1K1/3r4/8 w - -,g3f3
r6k/pp1r2b1/7p/2BBp1p1/2P3b1/1P4P1/P5KP/2R2R2 b - -,a8e8
1r6/r2pkp1p/2n1p3/p1N1P1p1/R4P2/1PP5/6PP/3R2K1 w - g6,g2g3
r3r1k1/3nqpp1/2pp1np1/p3p3/2P5/P1N1PP2/1PQN2PP/1R3RK1 w - -,e3e4
r1bqk2r/pppnbppp/8/3pN3/3P4/3B4/PPPn1PPP/R1BQ1RK1 w kq -,c1d2
2rq1rk1/1b1nbp1p/4p3/p2p2p1/Pp1P1B2/1Q4P1/1P1NPPBP/2RR2K1 w - g6,f4e3
r3r1k1/p1q1b2p/1nbp1ppB/2n1p1N1/p3P3/2N4P/1PP2PP1/R2QRBK1 w - -,g5f3
8/8/3r1k2/4p1pp/R3K1P1/7P/8/8 b - g3,h5g4
1r4k1/p3pnbp/5pp1/7q/Q2P2bP/4NNR1/PP2BP2/4K3 b - -,g4f3
6k1/5p1p/R3p1p1/1P6/5r2/4K2P/P5P1/8 b - -,f4b4
8/2nb4/1p1p4/1PpPp3/2P1P2k/2N5/5K2/5B2 w - -,f1e2
r4rk1/pb1np1bp/1q1n1pp1/R2p4/1P1P3B/3BPN2/3N1PPP/1Q3RK1 w - -,d3c2
r1b1k2r/3p1ppp/pq2pn2/1pb5/2nNPP2/4B1P1/PPP1N1BP/R1Q1K2R w KQkq -,e4e5
3R4/kp5r/p3R3/2P5/1P5p/PK2P1b1/8/8 b - -,b7b5
r3qrk1/5ppp/p2Qp1b1/1pB2nP1/8/2P4P/PP3PB1/R3K2R w KQ -,d6f8
4n1k1/1b5p/3p1qp1/2pP3n/1pN5/1P2NB2/7P/3Q3K b - -,h5g7
4R3/2kr1p2/2p3p1/p1p4p/p4K1P/1P1P1PP1/2P5/8 w - -,b3a4
2kr1b1r/1ppbpppp/p1nq1n2/8/2B5/2NP1N2/PPP2PPP/R1BQR1K1 b - -,d7g4
r1bqr1k1/pp2bppp/4p3/3nN1B1/PnBP4/2N5/1P2QPPP/R2R2K1 w - -,g5d2
8/8/p6p/1pr1PRpk/8/6K1/1P6/8 b - -,a6a5
8/3nk3/3p1b2/2pP1KB1/2P5/1P6/8/3B4 w - -,g5d2
8/1p3p1K/1k6/p7/3r2P1/5r1P/4R3/7R b - -,a5a4
5b2/5pk1/4qp1p/8/6PP/4NQ2/5P2/5K2 b - -,g7h7
8/8/2Bn4/2N2k1p/8/4PK2/8/8 b - -,d6c4
8/5k2/p3r3/2R1P1p1/6P1/1P2n3/P6N/6K1 w - -,g1f2
6k1/1pr5/2q1p2p/2rpP1pP/p1nQ1pP1/P1NR1P2/1PP1R3/2K5 b - -,c4a3
3Q4/p4pbk/1p4p1/4q2p/1PP3bP/1N1p2P1/r4PB1/5RK1 w - -,b3c1
8/kpp5/p1n2Pq1/8/P3R1P1/2P1RN2/6K1/8 w - -,g4g5
2kr1b1r/pp1b1pp1/6np/2qP4/4Q3/2BB1N2/PP3PPP/2KRR3 b - -,h8g8
r4rk1/1p2qpb1/p2ppnnp/2pP2p1/P1P1P3/2N4P/1PQBBPP1/4RRK1 w - -,g2g3
r3k2r/2p1qpp1/pp1b1nnp/3Pp3/P3P3/1QN1BP2/1P1N2PP/R3K2R w KQkq -,c3e2
8/4rkp1/6p1/5p2/1R5P/3K2P1/5P2/8 w - -,b4b6
r1br2k1/p3bppp/1p6/3PP3/2P1P3/1NB4P/P5B1/R6K w - -,b3d4
rr4k1/1q2ppbp/3p2p1/2pP4/P1b1P3/1P3P2/3BQ1PP/1RR3K1 w - -,e2c4
r1b1kb1r/2q2ppp/2nppn2/p7/4P3/1NNBB3/1PP1QPPP/R4RK1 w kq -,f2f4
4r1k1/p4p1p/2p1q1p1/2P5/Q1R1bP2/6P1/4PK1P/4R3 b - -,e4d3
r2b1k1r/1bq2p2/p2ppp1p/1pn4Q/3NPPB1/P1N5/1PP3PP/2KRR3 w - -,c1b1
r3r3/3b1q1k/pp1p1np1/2pP2B1/1PP1pP2/P3N2P/3QN1P1/1R4K1 w - -,g2g4
1r3rk1/5p2/p5p1/3p3p/qPbQ3P/P5P1/3K1PB1/1R5R w - -,g3g4
8/5kp1/5n2/p2p4/PbnPpP2/1p2P2B/4N3/2BN2K1 w - -,h3c8
1r2r1k1/1bpq1pb1/1pnp2p1/p4p1p/1PPP4/P1N1PNP1/3Q1PBP/2R2RK1 w - a6,c3b5
8/3q1pk1/4p3/p6p/6pN/1p4P1/7P/5Q1K w - -,f1a1
8/3q1rpk/7p/4B3/pQ6/5N1P/6PK/8 w - -,b4e4
r1bqr1k1/2p2pp1/1bpp1n1p/p3p3/4P3/2PP1NNP/PP3PP1/R1BQR1K1 w - -,c1e3
8/1K6/p7/P4Q1p/8/7P/4k3/6q1 w - -,f5h5
r1b1qrk1/pp1n1pp1/3p1n1p/2pPp3/2P2P1B/2PBP3/P3N1PP/R2QK2R w KQ -,h2h3
r1bq1rk1/2b1nppp/pp2p3/2pp4/Pn2PP2/2NP1N2/1PP2QPP/RBB2RK1 b - -,c8b7
1rb3k1/5pb1/pn4p1/3p2Pp/8/1NN2r1P/PP2B3/2K4R w - -,e2f3
8/1p6/4k3/1P1N3p/p1P2K2/8/2b5/8 b - -,a4a3
r1bq1rk1/1p2npbp/4p1p1/p7/P2ppP1Q/1B1P4/1PP3PP/R1BN1RK1 w - -,d3e4
rr6/3kqnb1/2ppp1pp/1PB5/4P1PP/1Q3P2/PP6/1K1R1B1R b - -,d7c8
r3r1k1/1qp2pbp/1p4p1/p1nNp3/P1N1P3/1PP5/2Q2PPP/R2R2K1 b - -,a8d8
8/5N2/5R2/p1pp3p/P7/4k2K/2q5/5N2 b - -,e3d4
r7/1q1b1pbk/n1p2npp/pp1Pr3/3N4/P1N1B2P/3Q2PK/1B1R1R2 w - -,d5c6
r2q1rk1/pb2bppp/1p6/2npB3/4n3/2N2NP1/PP2PPBP/2RQR1K1 b - -,c5e6
8/4R3/7P/8/4k1p1/4p3/4K3/7r b - -,e4f4
1rbq1rk1/1ppn1pbp/p1np2p1/8/2PNP3/2NBBP2/PP1Q2PP/R4RK1 w - -,d3e2
3Q4/p4Rrk/1pp5/8/3p4/P3q2P/1P4P1/7K w - -,d8h4
r2q3k/pb3rpp/3pnP2/1pp1p3/4PnNP/3P1B2/PPP2P1K/R1BQ2R1 w - -,c1f4
8/1ppk1rb1/p1n1R2p/5rp1/2Pp4/P4N1P/1P1BRPP1/6K1 b - -,f7e7
6q1/p3p2k/1p2P1rp/2pPp3/2P3p1/6P1/P4QKP/5R2 w - -,f2f7
rnbq1rk1/2p1ppbp/p2p1np1/1p6/2PPP1P1/2N1B3/PP2BP1P/R2QK1NR w KQ b6,g4g5
r4rk1/p4ppp/1np1p3/6N1/3P4/8/PP3PPP/R2R2K1 w - -,a1c1
4r1k1/1p1q1ppn/2pr1n2/4p2p/p3P2P/P1P1P1Q1/BP3RPN/5RK1 w - -,f2f5
k2r1b1r/pb2q3/5p1p/3ppQpP/8/1P1P2P1/PBPN1P2/2KRR3 w - -,f2f4
8/5kpp/8/2pK4/8/1R4P1/2P4P/r7 b - -,a1f1
3r2k1/2q3pp/2p1p3/PpPrNp1b/3P1P1P/P1Q1K1P1/3R4/R7 b - -,d8a8
r3r1k1/2qbbppp/p2p4/1pnPP2n/8/BPP2N1P/2BN1PP1/R2QR1K1 b - -,d6e5
3k4/5p2/2b1p1p1/2b1P1P1/1pP2P2/1P2p1K1/2B1N3/8 b - -,d8c7
1rbq1rk1/5pbp/p1nppnp1/1p6/1PP1P3/2NP2P1/4NPBP/1RBQ1RK1 w - b6,c4b5
r3nrk1/p1q1b1pp/3p4/2p2Np1/1p2PP2/1P6/PBP1Q2P/2KR3R w - -,e2c4
3r1k2/pp3pp1/2n5/3r3p/8/1P1pPNPP/P2R1PK1/3R4 w - -,f3e1
5rk1/2q3pp/b1prp3/PpQnNp2/4P3/5PP1/6BP/R2R2K1 b - -,f8d8
1b3k2/6p1/1P1n2Kp/2B4P/5p2/1B3P2/8/8 b - -,f8e8
2kr1b1r/ppp1pppp/5n2/3Pnq2/2P5/5B2/PP3PPP/RNBQ1RK1 w - -,f3e2
rnb1k2r/pp1ppp1p/6p1/q1PQP3/4n3/2P5/P1P1NPPP/R1B1KB1R b KQkq -,e4c5
3n4/5k2/p2r2p1/5p1p/Pr1p1P1P/1p1P4/1R2KB2/2R5 w - -,e2f3
r2qkb1r/p3nppp/2pp3P/2p1p1B1/4P1b1/3P1N2/PPP2PP1/RN1QK2R b KQkq -,g7h6
