8/2pn1k1p/3p4/P2Pp3/2P1N3/8/8/3K4 b - -,f7e7
r1bqkbnr/1p1n1p1p/2p3p1/p3p3/P1B1P3/2N2N2/1PP2PPP/R1BQK2R w KQkq -,c1g5
8/4r2p/p1k3p1/P5B1/1Pp5/1bPp3P/5RP1/2K5 b - -,e7e1
1r2r1k1/3q1pbp/1P2b1p1/p2pp3/P7/BQ1P2P1/4PPBP/1R1R2K1 w - -,d1c1
r2qrbk1/1b1n1ppp/pp1pp3/3n4/P2PNB2/2PB1N1P/1P2QPP1/R3R1K1 w - -,f4d6
r4rk1/1p4np/p2p1q1Q/3R1p2/8/1P6/PP3PPP/3R2K1 w - -,h6f6
r3r1k1/3np2p/3p1pp1/2pb4/P4B2/2P2N1P/3K1PP1/1R2R3 b - -,a8a6
2r3k1/5ppp/2r5/1p6/P7/1b4B1/5PPP/R3R1K1 w - -,a4b5
8/8/1pk3pp/pR6/P4K1P/1P4P1/6r1/8 b - -,g2f2
8/8/8/5P2/8/6k1/1p3r2/1R1K4 b - -,f2f5
3rbrk1/bp2q1pn/2pp1p1p/1p2pP2/2P1P2P/P1NP1QP1/6BK/1RB2R2 w - -,c4b5
r3kr2/pb1p3p/2q1pbp1/2p5/2P2P2/1P1B3P/P1Q3P1/R1B1R1K1 w q -,d3e4
r1bqkb1r/pp2pppp/2n5/2pN4/3P4/5N2/PPP2PPP/R1BQKB1R b KQkq -,d8d5
R7/4p2p/P3Bkp1/3P1p2/5P2/5bP1/r6P/5K2 b - -,f3e2
r4rk1/pR3ppp/1b1Nb1n1/3pP3/8/3B2B1/1q3PPP/3Q1RK1 w - -,d1h5
7Q/2k5/2p1q3/2p5/2P3p1/4P1P1/5PK1/8 w - -,h8h7
r3k2r/1p2p3/p2p3p/2n1b1p1/2BNP3/2P2P2/PP5P/1K1R2R1 w kq -,h2h4
5r1k/bppN4/p1q4p/P5p1/1P1n4/R3r3/3Q1P2/3K3R w - -,h1h6
n2r2k1/3q2p1/2R1pp2/Q2n2p1/1p1P4/1P3B1P/P2B1PP1/6K1 b - -,d7c6
1r4k1/p4ppp/1r1npq2/1p6/3P4/1RP2B2/P3QPPP/1R4K1 w - -,e2c2
1r1q1rk1/p3ppbp/bpn2np1/2pp4/P3P3/2PP1NP1/1PQN1PBP/R1B1R1K1 b - -,d5d4
r2qk2r/1p1nppb1/p2p2p1/3P4/4P3/4BPPp/PP1QB2P/R4RK1 w kq -,a1c1
r4rk1/2pnq1pp/1p1p4/p2Ppp2/1PP1b3/P4NP1/3QPPBP/2RR2K1 b - -,e4f3
2r2rk1/p5pp/1p2p2q/2PpP3/1P1B3b/2K1p3/P1Q1B3/6RR b - -,b6c5
