8/p7/k3pP2/Pp1pP1K1/1B1P4/8/1r6/8 w - -,b4e1
8/2p1k3/2b5/2R5/2P3Br/1PK5/8/8 b - -,h4g4
8/p7/5kp1/7p/3N1P2/rP2K1P1/8/8 b - -,a7a5
r1b1rnk1/1pq2ppp/2nb4/p1p1p3/2PpP3/PP1P1NP1/1BQN1PBP/4RR1K w - -,f3g1
r1bq1rk1/4b1pp/2p1ppn1/p1ppP3/2P2P2/1P1P1N2/P3N1PP/R1BQ1RK1 b - c3,a5a4
r2q1rk1/5pbp/2p1bnp1/2Bpp3/4P3/1PN2P2/P1PQ2PP/1K1R1B1R w - -,g2g4
1r3bk1/2p2p2/p1nr2pp/1p1p4/1P1P4/P1NBPP1P/5P2/3R1RK1 w - -,d1c1
8/5p1p/r4k2/P7/5p2/5P2/4K1P1/R7 b - -,f6e5
r1b1k2r/2q2p2/p2p1npb/4p2p/1p2P3/1N1B1PN1/PPP1Q1PP/1K1R3R w kq -,g3f1
1k1r4/2bq1p2/p1p1p1p1/Pp1pP1Pr/1PnP1B1p/2PB3Q/R3KPP1/7R w - -,e2e1
rn1qkb1r/5ppp/p4n2/3ppP2/Pp6/3B4/NPP2PPP/R1BQ1RK1 w kq -,c1g5
3r2k1/p6p/3q1bp1/1pNbNp2/1n1P1P2/4Q1P1/P2R2BP/6K1 w - -,a2a3
6k1/2rb2pp/1p1qpn2/pP1pNp2/P2PnN2/3BP2P/1Q3PP1/R5K1 w - -,h3h4
3r3r/2k5/1pb2p2/pB1pn1pp/P1P4P/1P3P2/1K1R1BP1/3R4 w - g6,h4g5
2kr1q1r/pppb2bp/1n1p4/3Pp2R/P1P1N1P1/4B3/1P2BP2/R2QK3 b Q a3,c8b8
1r3rk1/2N2ppp/4b3/p1b3P1/8/3B2R1/1PP4P/2KR4 b - -,e6c8
8/2k5/8/1r4n1/P3p3/8/1PP5/1K2R3 w - -,a4b5
8/3q4/6p1/1p2k3/7b/2P5/Q4pP1/1R5K w - -,a2e2
r1bqk1nr/4ppbp/p1pp2p1/2p5/4PP2/2NP1N2/PPP3PP/R1BQK2R w KQkq -,e1g1
4rb1k/3R4/p3r2n/P1p1p2p/1P4n1/2BR2PB/1Q1Nq3/6K1 w - -,d2f3
r3kbnr/pp1n1ppp/2q1p3/3pP3/1P1P4/P1N2N2/5PPP/R1BQK2R w KQkq -,c1d2
r1b1k2r/p3ppbp/2pp2p1/q3n3/2P1P3/1RN4P/P2BBPP1/3Q1RK1 b kq -,e8g8
r2qkbnr/p3pppp/2pp4/2p5/4P1b1/5N1P/PPPP1PP1/RNBQ1RK1 b kq -,g4h5
