8/8/5qpk/4p3/6Qb/3B4/4K3/8 w - -,d3g6
5R2/8/8/3r4/4k3/2n3K1/7P/8 w - -,h2h4
2r2qrk/pp1b4/n1p1pn1p/3pNpp1/PPPP4/3NP1PP/2Q2PB1/R4RK1 w - -,c2b2
2r1r3/1q1n1pbk/ppp1b1pp/4P3/1NPp1P2/BP4PP/P2R2B1/R1Q3K1 w - -,b4c2
6rk/p3qp1p/1p1bbp2/2pp1p2/3P1P2/2P1PQ1P/PP1N2P1/2KR3R b - -,e7d7
1r3rk1/3b1pp1/p3pn1p/q2Pn3/3N2P1/bPN1BP2/P1P4P/QK1R1B1R b - -,a3b4
r2q1rk1/ppp3bp/3p2p1/2n2b2/2PB4/2N3P1/PP3PBP/R2Q1RK1 b - -,a7a5
7r/4kpbp/p3P1p1/1p2P3/2p5/8/PPP3PP/R3R1K1 b - -,e7e6
5rk1/p7/1pp2r1p/3P2pn/8/3QB1q1/PP4P1/3RR1K1 b - -,g3h4
7r/1p4R1/p2k3p/3b1p1P/8/P7/1P2NPP1/6K1 b - -,d6e5
5rk1/2p2rp1/p2p4/3bqN2/4P2p/1P1P4/P2Q2PP/2R1R1K1 w - -,d2g5
r1b2rk1/pp4pp/2n1pq2/8/2PPp3/P3B3/2Q1NPPP/R4K1R w - -,a1d1
7k/2p2p1p/1b3p2/p2n1N2/PpN3r1/8/1P3PP1/R4RK1 w - -,c4b6
2rqk3/5p2/3p3r/p1nN2np/1p2P1p1/1P2Q1P1/1B3P1P/R4RK1 b - -,c5e4
3Q4/8/5pk1/8/4p2q/8/5P2/5K2 w - -,d8g8
8/8/1bk1r3/1R6/PP6/8/K7/8 w - -,b5h5
8/r7/6k1/5p2/5P1P/4R1P1/3K4/8 w - -,d2e2
3r1rk1/pppb2p1/3p2n1/2PPp2q/PP2Pp2/1N3P2/4Q2P/R3NR1K w - -,f1g1
r2qrbk1/pp1b1pp1/2np1n1p/3Np3/Q1P1P3/5N1P/PP3PP1/R1B1RBK1 w - -,a4b3
r2q1rk1/pp2npp1/1bn1b2p/1B1p4/7B/1N3N2/PPP1QPPP/R3K2R w KQ -,e1g1
rnbqkb1r/4pp1p/p2p1np1/1PpP4/8/4PN2/PP3PPP/RNBQKB1R w KQkq -,b1c3
1r3rk1/1bq1ppbp/1N4p1/1Q2N3/8/2P1B2P/1P3PP1/R4RK1 b - -,g7e5
2q3k1/3b1p2/p2b1np1/2nPB2p/1p2P2P/1P3P2/2B2NP1/Q4N1K b - -,c5b7
2r2rk1/pp3pp1/2n1p3/2Qn2qb/3PB2p/PP5P/1B1N1PP1/2R1R1K1 w - -,d2f3
1rbq1rk1/1ppnbppp/p3p3/4P3/2p2P2/2N3P1/PPQ1P1BP/R1BR2K1 b - f3,d8e8
k1br1b1r/p3q3/5p1p/3ppQpP/5P2/1P1P2P1/PBPN4/2KRR3 w - -,f5g6
8/8/1r6/3n3p/5p2/3k1N1P/1R3K2/8 w - -,b2d2
8/pp2k3/6p1/2pP3p/P1P1P3/4K1P1/8/8 b - -,e7f6
3b4/8/p2PR2P/8/1pK5/5k2/4p3/8 w - -,h6h7
3q1rk1/4pp1p/p2p2p1/n1pP4/1nPbP1b1/2N2PP1/P2N2BP/R1QR1K2 b - -,f7f5
r4rk1/pp1n1pb1/2p2npp/4p2q/2P1P3/2NQBNPb/PP3P1P/R3R1KB b - -,f8d8
bq6/4nrk1/6pp/1BQp4/1P2P3/8/5PPP/2R2RK1 w - -,e4d5
3q1rk1/2n1bpp1/p3r1p1/3p4/Q2P1P2/4N1P1/4P1BP/3RB1K1 w - -,d1d3
2b2r1k/2p1np1r/1p1p2pp/p1nPp3/P1P1P1PN/4P2P/1PBN1R1K/5R2 w - -,h2g3
r2qr1k1/ppp2pp1/5n1p/4pb2/2P5/P1BP2PP/1P3PB1/R2Q1RK1 w - -,g2b7
1r1q1rk1/3bppbp/2np2p1/pPpN4/8/P2P2PP/1P1BPPB1/1R1Q1RK1 b - -,b8b5
r2kr3/p2p1ppp/b2b4/N1nP4/1p6/5BP1/PP2NP1P/R2R2K1 w - -,e2d4
1r6/R7/6p1/6k1/p6R/7K/r6P/8 w - -,h4g4
r4rk1/1p1b1pb1/p3p3/1PPpPq1p/P2B2pn/N1PN4/4QPPP/R4R1K w - -,c5c6
r3k2r/pb1npp1p/2p2np1/1p6/3PN3/3B4/PPPK1PPP/R5NR b kq -,f6e4
rnbq1rk1/pp2ppbp/2p2np1/3p4/1PP5/5NP1/PB1PPPBP/RN1QK2R w KQ d6,c4d5:b1a3
3bn1r1/1k3p2/p3p1p1/1pBpP2p/3P3P/1P1BKPP1/1P5R/8 b - -,e8g7
7k/6p1/5n2/1Q4Np/1p3P1P/6P1/3qr1B1/5R1K w - -,b5b8
2r1r1k1/ppqn1pbp/2p3p1/P3p1B1/2QPp3/2P1PP1P/1P1N2P1/R4RK1 b - -,e5d4
r4rk1/1p2ppbp/2bp1np1/q7/p1PBPP2/2N2B2/PP2Q1PP/3R1RK1 w - -,e4e5
r1b2q1r/2kn2b1/ppp1Qn1p/3p4/P2P4/3BB3/1PP1N1PP/4RRK1 w - -,c2c4
r1bqk2r/pp3pp1/2n2n1p/3p4/1b1p3B/2N1PN2/PP2BPPP/R2QK2R w KQkq -,f3d4
r4q1r/3k1p1p/b1p3p1/4PP2/1pP4Q/3B4/6PP/R4R1K b - -,f8e7
1r1q1rk1/1p2bppp/p1np1n2/2p1pP2/P1P1P3/2N5/1BPPN1PP/R2Q1RK1 w - -,e2g3
r1bqk2r/pp2bppp/2n1pn2/2pp2B1/3P4/2PBP3/PP1N1PPP/R2QK1NR w KQkq -,f2f4
r1r3k1/p3pp1p/3pbbp1/qp1N4/4P3/1B3P2/PPPQ2PP/1K1R3R b - -,a5d2
r2q1rk1/pb3ppp/3p1b2/1p1NpP2/4P3/1P6/1PP1N1PP/R2Q1RK1 b - -,b7d5
rnbq1rk1/ppp1bppp/4p3/8/3P4/3BBN2/PPPQ1PPP/R3K2R b KQ -,b8c6
r5k1/pp6/3b4/3pqB2/5p2/1P5P/P2Q1P2/2R2RK1 b - -,e5f5
2k3r1/3r4/p1bpp3/1p3pNB/n6P/K1P3P1/P1P5/4RR2 w - f6,e1e6
r4rk1/2p3p1/p4p1p/1p2b2Q/3pP2N/P2P3P/1Pq2PP1/R3R1K1 b - -,c7c5
r2q1rk1/1b2bppp/pp1pp3/4n3/2P1P3/1PN1B1P1/P4PBP/R2QR1K1 b - -,b7c6
r3k2r/2q1bppp/p1p1bn2/1p2p3/4P1PP/2N1BP2/PPP2Q2/2KR1B1R b kq -,a6a5:f6d7
r2nk2r/p2qnpp1/1p2p2p/2ppP2P/P2P1Q1N/2P4R/2P2PP1/R1B2K2 w - c6,g2g4
5rk1/ppp1n3/3pp1p1/6P1/3P4/2P4r/PP2KPR1/R1B5 w - -,c1d2
r7/ppn1r1kp/2p2pp1/4p3/P3P3/3N1P1P/1PPRn1P1/3R2K1 w - -,d2e2
5rk1/ppp2ppp/2n2rq1/8/3P1Q2/3B1NN1/PP3P2/3R2K1 w - -,f4e3
r2q1rk1/ppp2pp1/1bnpbn1p/4p3/4P3/1BNPBN1P/PPPQ1PP1/R4RK1 b - -,d6d5
4rbk1/1NN2pp1/p1b4p/5n2/2p5/P1P2PB1/3R1KPP/8 b - -,e8c8
r2q1rk1/p3b1p1/3N3p/2pPp3/1n2N3/7Q/PP3PPP/R4RK1 b - -,e7d6
r3qr1k/p2bb1p1/1pp1n2p/3p1p2/2nP1B2/2NNPPP1/PP2R1BP/3QR1K1 b - -,e7f6
4r3/4PR1p/6p1/3k2P1/5P2/3K4/8/8 b - -,d5e6
8/7k/p5p1/2bq1p2/P1N5/1P5P/4QP2/6K1 w - -,e2e5
r1bq1rk1/pp2ppbp/2np1np1/2pN4/5P2/1P2PN2/PBPP2PP/R2QKB1R w KQ -,d5f6
r2qkbnr/pppn1ppp/4p3/3p4/6b1/1P1PPN2/PBP2PPP/RN1QKB1R b KQkq -,g8f6
1k1r1b2/pp1n1pp1/6p1/2pN2P1/4PP2/7B/PP1Bn3/1K1R4 w - -,d2a5
r2q1rk1/1pp1b1pp/4b3/p3Np2/Pn1PP3/B1N3P1/3Q1P1P/1R2R1K1 b - -,f5e4
2k5/8/1q4p1/5p1p/P1P5/3P3P/6PK/1R2r3 w - -,b1b6
r2q1rk1/pb2bppp/1ppPpn2/8/3P1B2/5BP1/PPQ1PP1P/RN3RK1 b - -,e7d6
1R6/5ppk/r7/P1p4p/1nN5/7P/5PP1/6K1 b - -,f7f6
8/6k1/3p4/3P2K1/2P5/8/8/8 w - -,g5f5
2rr2k1/p1q1bppn/bpn1p2p/2ppP2P/5B2/2PP1NP1/PP2QPBN/R3R1K1 w - -,e2d2
r2r1k2/3n1p2/2R3p1/2p5/P1P5/1p2PN1P/R4P1K/8 w - -,a2b2
4rrkb/4q2R/3p2p1/1p1Pn1P1/p1nBB3/PN4Q1/2P4R/6K1 b - -,e7h7
3r4/4rpk1/p2b2pp/1p6/2pqBP2/P4Q1P/5RP1/5RK1 w - -,e4g6
r3k2r/2pqbppp/2p1b3/p2pP3/8/1N1Q4/PPP2PPP/R1B1R1K1 b kq -,a5a4
7r/pb2k1b1/1p2np2/2p1p1pp/2P5/PPB1P2P/3NBPP1/3R2K1 b - -,e5e4
4rrk1/5pb1/1p4p1/1P5p/1Q1pPNqP/P2N2P1/6BK/2R5 w - -,b4d6
3rq1k1/1p5p/p1p1pbr1/2Pp1p2/PP1P4/4P1BR/2Q3PP/5RK1 b - a3,d8d7
2r2rk1/1p2bpp1/pnnpb2p/q3p3/P3P3/BPN2Q1P/2P2PP1/1N1RRBK1 w - -,a3d6
3r2k1/3q4/7Q/3p1N2/6P1/1P6/2PP4/1K6 w - -,h6g6
8/p5Qp/kp6/3q4/P1p4P/2P3P1/2r2B2/6K1 w - -,g7f6
8/8/6p1/7p/3k3P/4NP2/n2B1K2/8 w - -,e3g2
r1bqk2r/pp1n1ppp/2pbpn2/3p4/2PP4/1P1BPN2/PB3PPP/RN1QK2R b KQkq -,d8e7:b7b6:e8g8
2rq1rk1/p3bppp/2p1p3/1p1nP3/3PN3/6Q1/PP3PPP/R1BR2K1 b - -,g8h8
1r4k1/pp3nbp/2n1r1p1/3q1p2/P1Np1P2/B2P1N2/2P1P2P/1R2QRK1 w - -,b1b5
rn1q1rk1/pb2bppp/1p2pn2/6B1/3P4/2NB1N2/PP2QPPP/R4RK1 b - -,b8c6
6rk/p6p/1p2p2q/3pPp2/3P4/2PbQ3/PP4BP/4R2K b - -,h6g6
7R/8/5ppk/8/4p1Pp/7P/5PK1/4r3 b - -,h6g5
8/7p/1P1k4/2p4p/p2p2P1/Pb1B2K1/1P6/8 w - -,g4g5
rnbqkb1r/p1p2p1p/1p2pp2/8/3P4/4B3/PPP2PPP/R2QKBNR w KQkq -,d1f3
6k1/3R1np1/1r5p/4p3/4N2P/1P4P1/5K2/8 w - -,e4c5
4R3/5k2/6p1/1p6/1PbpR1pP/5P2/7K/1r6 w - -,f3g4
r4rk1/p1p1npp1/1p3n2/3p3p/2qP4/P1P1P1N1/3B1PPP/1Q2RRK1 w - h6,f2f3
8/4Q3/5nkp/3r2p1/6P1/1p3P2/1K6/8 w - -,e7e3
1r2r1k1/6p1/7p/5p2/1P2P2P/pR3P2/P1P3P1/1KR2q2 w - -,c1f1
r1bqkb1r/pp1n1ppp/2p1p3/3p4/2PPn3/1P2PN2/P2N1PPP/R1BQKB1R w KQkq -,d2e4
r1bq1rk1/ppn1ppbp/3p1np1/2pP4/2P1P3/2NB4/PP2NPPP/R1BQ1RK1 w - -,h2h3
r1bq1rk1/ppp2ppp/2nb4/4p3/4n3/3P1NP1/PPP2PBP/R1BQ1RK1 w - -,d3e4
8/p4k2/4p3/5pR1/6P1/8/r3n1B1/6K1 w - -,g1h1
4rrk1/pp6/6nq/3p1ppp/3Pp2P/2P1P1P1/PP1NQ1R1/R5K1 b - -,e8e7
rnbq1rk1/1pp1ppbp/p2p1np1/8/3PP3/2N1BP2/PPPQ2PP/R3KBNR w KQ -,h2h4
1k6/5p2/PP2n2p/1K4p1/3p2P1/2pB4/5P1P/8 b - -,e6d8
8/2k4p/1b1r4/5p2/4qQ2/6P1/5P1P/R5K1 w - -,a1c1
5k2/4n1pB/8/8/5P2/8/6PP/6K1 w - -,h7e4
r4rk1/4bppp/p3pn2/R2Nq3/1n6/1N1BB2Q/1PP3PP/5RK1 b - -,e6d5
2rq3r/p4nk1/N1npb1p1/2p1p3/2P1P2b/2NP1P2/P6R/1RQ1B1KB w - -,h2h4
rnb1k2r/ppppqpbp/5np1/8/2P1p3/P1N1PN2/1P1PBPPP/R1BQK2R w KQkq -,f3d4
8/1p5p/p2n1Npk/5p2/7P/3r2P1/4RK2/2R5 b - -,g6g5
4r1k1/4qpp1/2pr4/2B3Pn/P3p3/4P2P/1P3QB1/4R1K1 w - -,c5d6
6k1/8/8/8/5pb1/PP1N3p/3K4/8 w - -,d2e1
r2r2k1/p5qp/2p1b3/5p2/3pp3/1P1B4/P1P1QPPP/R3R1K1 b - -,g8h8
r2qkb1r/1p2pppp/p1n2n2/3p1b2/Q2P1B2/2N1PN2/PP3PPP/2R1KB1R b Kkq -,e7e6
r1b3k1/pp1n2pp/2pqpr2/3p1p2/2PPn3/1P1BPN2/P1QN1PPP/R1R3K1 b - -,f6h6
4r1k1/p4pbp/3R2p1/3P4/1r6/4N1P1/5P1P/4R1K1 b - -,g7d4
r2qk2r/ppp2ppp/3bb3/3p4/3P4/1B3P2/PPP1Q1PP/R1B1K2R w KQkq -,c1e3
4rq1k/5rb1/3p3p/p2Np2P/1pPn2N1/3Q2R1/PP3P2/R3K3 b Q -,e5e4
2r1k1r1/1q1pbpPp/p3p3/5n2/Np1B1P2/2P5/PP4PP/R2Q1RK1 b - -,b7e4
r1bq1rk1/p2nppbp/1p1p1np1/2p5/2PP4/1PN1PN2/PB2BPPP/R2QK2R w KQ -,e1g1
r4rk1/p1p2pp1/1pPp3p/3PpP2/5n1q/2PBKP2/P5PP/1R1Q2R1 b - -,f4d5
1r3k2/1r3qb1/1Bp1p1p1/2Pb1pP1/2BP1P2/4P1K1/1R3Q2/R7 w - -,c4d3
r1r4k/1pq1bp1p/p2p1npB/4p2n/2b1P2N/1BN4Q/PPP2PPP/2RR2K1 w - -,h4f3
