2B1R3/3P1k2/pb3p2/3K4/r7/8/8/8 w - -,d5c6
r1bqkb1r/pppn1ppp/4pn2/3p2B1/3P4/2NBP3/PPP2PPP/R2QK1NR b KQkq -,f8e7
r3r1k1/3n2bp/pp1Bp1p1/2p5/2P1N3/5n1P/PP3PP1/1K1R3R w - -,g2f3
4r3/1p6/5k1p/pP3p2/1bN5/1P1B1N1P/5P2/3K4 w - -,c4e3
4R3/1p1r4/1Pp1nkpp/2p1b3/2N1P2P/R2P4/5PK1/8 b - -,e5f4
3r4/2bk2pp/pp3p2/2pn4/P1N1R3/1P1P2PP/2KB1P2/8 b - -,d8e8
8/8/4R3/4P2p/5P1P/5k2/7K/1r6 b - -,b1b2
3rr1k1/1pq2pp1/2p1p2p/p7/PbPP4/1P1R1N1P/4QPP1/3R2K1 b - -,b4d6
1rb1nqrk/3n1p1p/p2p2pb/2PPp3/2P1P3/5NP1/2QBNPBP/1R2R1K1 b - -,b8b1
8/8/4rkp1/4p3/4K3/8/6R1/8 w - -,g2f2
r3r1k1/1p3pp1/1p6/pP1q4/Pb1P1B1p/3Q2P1/5P1P/R2R2K1 b - -,h4g3
5rk1/p4r1p/6p1/2pPQ3/3qB3/5P1P/P5P1/1R5K w - -,e5d4
8/2k5/4b3/1PK1P3/8/8/8/8 w - -,b5b6
8/6pk/2n4p/1r6/1PR5/r4N1P/p2B2PK/R7 b - -,b5b6
r1bq1rk1/pp3pbp/1n4p1/4p3/P7/2P4P/1P1NBPPB/R2Q1RK1 b - a3,c8e6
8/R3k3/8/4pp1p/4N2P/1r3nP1/4K3/8 b - -,e7d8
2kr3r/p2p1Npp/b1p1p3/2b1Pp2/q1Pn1P2/P5K1/1P2Q1PP/1RB2B1R w - -,e2d3
5rk1/pq3ppp/1p2p1n1/3n2B1/2NP4/P5P1/1P2QP1P/2R3K1 b - -,f8c8
6k1/6p1/5q1p/2b5/P3Q3/4P1P1/4NK2/8 w - -,e2f4
8/6p1/5p1p/4pP2/2b1P2P/1k2K3/8/1N6 b - -,b3b2
8/8/6p1/2r1k2p/2B4P/3K2P1/6N1/8 b - -,c5a5
r4k2/2p3pp/1b3p2/4p3/bPB1P3/2K2PN1/6PP/4N3 b - -,c7c5
8/8/8/5B2/5K2/6P1/5k2/3b4 w - -,f5g4
2b3k1/2q1br1p/2pppp2/7N/1PPP3Q/8/1B3PPP/R5K1 b - -,c7b7
rnb2rk1/ppqpb1pp/4p3/8/2P1B3/PN2B1P1/1P3P1P/R2Q1RK1 w - -,d1h5
rnbqk2r/ppp1b1pp/3p1n2/4pp2/2PP4/2N3P1/PP2PPBP/R1BQK1NR w KQkq -,e2e3:g1f3
4k3/2R3K1/3n4/7r/1p3p1P/1P4PB/5P2/8 w - -,g7g6
2qr2k1/pbr1bp1p/1pp1p1p1/3nN3/3PNP2/1Q2P3/PP1R1PBP/2R3K1 w - -,a2a3
4r1k1/1p1b1p2/6p1/p2p2qp/3Nr2P/P1P2PP1/1P3K2/4R2R w - -,h4g5
r1bqr1k1/1pnn1pbp/p1p3p1/2PpP3/1P3B2/1QN1PN1P/P3BPP1/R4RK1 b - -,d7e5
r3nqk1/5p2/b1p1p1pp/1p1rP3/p2PN3/2P1Q1P1/P1B2PKP/3R3R b - -,f8g7
8/7p/p5p1/2p3B1/3pkP2/8/b2K2P1/8 b - -,c5c4
2n3k1/1pq2pp1/p3p2p/3pP3/1b1P3B/1P1Q1P1P/P3N1P1/6K1 w - -,f3f4
2q1r1k1/1p4pp/p2b1p2/3P1b2/2Q5/4BN2/PP3PPP/3R2K1 w - -,c4c8
3r2k1/1q2Npb1/p7/Pp3n1p/1P6/2Q1RNP1/5PKP/8 b - -,f5e7
r1bq1rk1/pp2ppbp/2p2np1/3n4/3P4/1BN1PN1P/PP3PPB/2RQK2R b K -,d5c3
6k1/1p3p2/2pp1qp1/2b3rp/p1P2N2/P3rB1Q/1P1R1P2/3R1K2 w - -,f2e3
8/4k3/7R/5n2/4p3/8/4K3/8 w - -,h6g6
2k5/8/1KP5/8/P6n/8/8/8 b - -,h4f5
