1B5k/7p/p5p1/1p6/8/7P/PP3PP1/6K1 b - -,h8g7
r1bqk2r/ppp2pbp/6p1/4p2n/2B1P3/2P5/PP2QPPP/RNB2RK1 w kq -,a2a4
r1b1kb1r/2q2ppp/pn2p3/1p1n4/2pP4/NPP2N2/P1B1QPPP/R1B2RK1 w kq -,b3c4
r3kb1r/p1pn1ppp/1p2pB2/8/2PP4/2PB4/P2Q1P1P/R3K2b w Qkq -,f6h4
2r3Rr/p4p2/1p2pN1p/1k1pPn1P/2nP4/P1P5/4KP2/2B3R1 w - -,g8h8
8/5p2/5k2/1P6/7P/PR6/7K/2r5 w - -,b5b6
8/6Q1/2P5/P4k2/r3B3/3K4/7P/8 b - -,f5e6
3q2k1/1p1b1p2/4p3/p2pPpbQ/Pn1P3p/2r1N2P/6P1/RB2R1K1 w - -,e3g4
rn2kb1r/pp3ppp/2p1pnb1/q7/2B5/2NPB1N1/PPP2PPP/R2Q1RK1 b kq -,f8e7
r1bq1rk1/1ppnbppp/p4n2/3p4/3P4/1PNBPN2/P4PPP/R1BQ1RK1 b - -,f8e8
5rk1/1p1nnpbp/r1p1p1p1/3p4/p2PP3/2P3PP/PP1N1PB1/R1B2RK1 w - -,a1b1
r4rk1/4Q1pp/pPp1pp2/P2pPn2/3P4/3N1N2/5PPP/2R3K1 b - -,f5e7
7k/p1r2p2/r6P/6R1/2p2P2/P1R1P3/4KP2/8 b - -,a6h6
5r2/p3q1kr/1pp1p1p1/4P1p1/P2P1nP1/1P2QR1P/5R1K/5B2 b - -,e7d7
2r1r3/pp2ppkp/2npb1p1/3N4/4PP2/1B6/PPPR2PP/2K1R3 b - f3,g7f8
3rq1k1/5pp1/1p2p2p/p2n4/2RPQ3/P5P1/1P3PKP/2R5 w - -,e4c2
3R4/5pk1/p5p1/1p5p/8/PP1n1P1P/1q3bP1/3Q3K b - -,f2d4
3r2k1/5pp1/4q2p/5N2/5R1P/2n3P1/PQ4K1/8 b - -,e6e1
4k3/7p/6p1/2bPpp2/3pP3/4r1P1/P2R1NKP/8 w - -,d2c2
3k4/8/1P6/2Pp2P1/1n1P4/p7/6P1/1B4K1 b - -,b4c6
N2n1b1r/pp2pkpp/5n2/3p1B1b/3P1B2/2P2P2/Pq4PP/RN1QK2R b KQ -,e7e6
8/1pq3kp/4R1p1/2p5/P1Bb1R2/1P4P1/5P2/6K1 w - -,e6e8
r1bq1rk1/ppp2pbp/3p1np1/4N3/4P3/2N1B3/PPP1BPPP/R2Q1RK1 b - -,d6e5
rn3rk1/pp2bppp/4pn2/1q1p4/2pP1B2/2P1PN1P/1PB2PP1/RQ2K2R w KQ -,g2g4
6k1/1bp2ppp/p7/1p1P4/2P3P1/8/PP2q3/RNB3K1 w - -,b1c3
4q1k1/2p2ppp/1rp1p3/RnN5/3P4/4P1P1/2Q2P1P/6K1 b - -,b6b8
6k1/1r1np3/3ppb2/2nP2p1/6P1/4B3/4PPB1/2R3K1 w - -,d5e6
8/6pp/b2k4/P5B1/2n5/4KPP1/8/8 w - -,e3e4
rnb1kb1r/pp1p1ppp/4pn2/q7/2PN4/8/PP1BPPPP/RN1QKB1R b KQkq -,a5b6
