R7/8/5kn1/5p2/7p/7P/5K2/8 w - -,f2e3
2r2bk1/2r2p1p/p3p1p1/1p1pP3/n4P2/2P1BN2/PP2RKPP/1R6 w - -,e3d4
4rrk1/2p1q2p/1p1p1npb/pP1P1n2/P1QPpP2/R5PP/3NBP2/2B1R1K1 b - -,e4e3
2r2r1k/2qn1Ppp/3p4/3Bp2P/1p2Pn2/1N2QP2/PpP4R/1K1R4 w - -,h5h6
rn2k2r/1bp2ppp/pp1q1n2/3p4/3P4/P1N2N2/1P2PPPP/2RQKB1R w Kkq -,e2e3
3Rk3/4bpp1/Q1p1p1p1/8/1r6/5qB1/P4P1P/5RK1 b - -,e7d8
8/4Rp1k/6p1/7p/1p1b1r1P/1Q1r1qP1/5P2/5RK1 w - -,g3f4
2r5/p5pp/1pPkp3/1P1r1p2/2R2P2/P6P/4R1PK/8 w - -,a3a4
2k1r3/2p2ppp/1pn5/2p1Pb2/5P2/PPN4P/3RNKP1/8 b - -,f5e6
8/6p1/3kB2p/3P3P/3r1bP1/4p3/4R1K1/8 w - -,g2f3
8/8/p4R1p/3k1P1P/r5P1/8/2K5/8 b - -,a4g4
2r3k1/5p2/4b1p1/R2pb2p/8/2p5/P2qNQPP/4R1K1 w - -,e1c1
1r3rk1/p2b1pb1/2p2npp/2P3N1/2B5/1P2pP2/P3N1PP/3RK2R w K -,g5e4
4nrk1/2nq2b1/p2p3p/2pP1pp1/PrP5/5N1P/2B1QPPB/R3R1K1 w - -,a1d1
3rk1r1/pb1n1pBp/1p2p3/2b5/2P5/5N2/PP3PPP/2KR1B1R w - -,g7d4
1r3rk1/5pbp/1n4p1/p1pq4/Pn2NP2/1p3B1P/1P2R1P1/1QR3K1 b - -,d5d3
8/1pB5/2p3p1/p1b3k1/P3P1pp/1PNK4/5P2/8 b - -,c5f2
6k1/ppN3bp/3p4/2PPp1n1/1q2P2p/8/P3Q2B/3K4 w - -,c5d6
r1bqkb1r/ppn2ppp/2n1p3/2p5/8/2N2NP1/PP1PPPBP/R1BQ1RK1 w kq -,a2a3
2k2r2/pp1n3p/2pq2p1/R7/3P4/1B4PP/PPP1rn2/R4QK1 w - -,f1e2
r1r3k1/p1q1pp1p/4b1p1/1p2b3/5P2/3BP3/PPP2QPP/R1B1K2R b KQ -,e5c3
2bb1rk1/r1qn1ppp/p5n1/2pPp3/2P2P2/P1NN4/2QB2BP/1R3RK1 w - -,c3e4
r1b2rk1/2q2ppp/1p1ppb2/pPn5/N1P1PP2/P3Q2P/R3B1P1/2BR2K1 w - -,a4c5
2rnr1k1/1pp3bp/p3bpp1/3Np3/4P3/PP3N1P/1BPR1PP1/5RK1 b - -,d8f7
2r1r1k1/5ppp/pq3n2/1pbPp3/8/1P4PP/PBPQ2BK/2R2R2 w - -,c1e1
5rk1/pb2qrbp/1p4p1/2pPpnP1/2P1N3/1P2Q1BP/P5B1/2R2RK1 w - -,e3d3
2rq1r2/p2n1p1k/4pp1p/8/6QN/6P1/P4PBP/3R2K1 b - -,c8c5
5rk1/2pb1rqp/1p1p2pR/pP1Pp1P1/2P1P3/3B4/P1KB3Q/7R b - -,d7g4
b3r1k1/P4pbp/8/1N1pqP2/4p3/6Q1/PPr2PPP/R3RBK1 w - -,a2a4
8/2R2p2/1k4p1/1p4P1/3PKP2/8/5P2/8 b - -,b6c7
3qk2r/r2n3p/ppn3p1/2p3N1/7R/2P5/PP1Q1PPP/3R2K1 w - -,h4e4
r3r1k1/1bqn1p1p/pp1p1npQ/2p5/P2pPN1N/6PP/1PP2PB1/R4RK1 w - -,f1e1
rnbqk2r/pp3ppp/5n2/1NbPp3/8/4P3/PP3PPP/RNBQKB1R b KQkq -,e8g8
rn1q1rk1/pp1bb1pp/4pn2/3p1p2/3P4/2N2NP1/PPQ1PPBP/R1B2RK1 w - -,f3e5
8/p2nr1k1/6p1/1Np1r2p/1nR5/5B1P/1P4P1/1K1R4 w - -,c4c1
4k3/2R5/8/8/1p4P1/4r3/1K6/8 w - -,c7c4
rn2kb1r/1b1p1pp1/pq2pn2/1p5p/3NP3/2PB2N1/PP3PPP/R1BQK2R w KQkq h6,f2f3
8/8/6Rp/4p1b1/2kr3P/6P1/5P2/6K1 b - -,g5d2
1rr3k1/1bqnbppp/p2pp3/1p4P1/3QPP2/P3B3/NPP1B2P/1K1R2R1 w - -,a2c3
3k4/pp4p1/5p2/7p/1P1P4/1K1RNP2/7b/6r1 w - -,d4d5
r3qrk1/p1P2pbp/6p1/3Q4/5P2/6P1/PP5P/R1B2RK1 b - -,a8c8
rnbqk2r/pp3pb1/2pppnpp/8/2BPP2B/2N2Q2/PPP1NPPP/R3K2R b KQkq -,g6g5
r2qk2r/pp3ppp/2n1p3/2bpPn2/5B2/8/PPP1BPPP/RN1Q1RK1 w kq -,e2d3
r2r1bk1/pp3p1p/5np1/1nPpN3/1P1P4/3KN1P1/1B3P1P/R3R3 w - -,e3d1
8/ppp5/3k2R1/8/1K1P4/2P2n2/PP6/8 b - -,d6d7
3rn1k1/pbpq2pp/1p3p2/8/1PPQp1N1/P3P2P/1B3PP1/3R2K1 b - -,d7d6
