8/1p6/4k3/1PP4p/5K2/1b6/N7/8 b - -,b3a2
r5k1/2qnppbp/1n1p2p1/2pP2B1/1pP1P2P/1P4P1/4QPB1/1N1R2K1 b - -,g7f6
rnbq1rk1/p1p1bppp/4pn2/1p1pN3/3P4/6P1/PPP1PPBP/RNBQ1RK1 w - -,c1f4
r1r2k2/1npR1ppp/pbN1p3/1p2P3/1P2P3/2B3P1/5PKP/R7 b - -,b7d8
1r3rk1/3pppbp/bqp2np1/p7/2P5/2N1P1P1/PPQ2PBP/R1B1R1K1 w - -,b2b3
4R3/5p2/Pp3P2/3pPk2/r2p4/8/3K4/8 b - -,a4a6
2kr2r1/1pp2p2/p1q5/6p1/1P1B4/4RPpb/P1PQ1K1P/R7 w - -,h2g3
2r3k1/5pb1/p1qBp1p1/1rPp3p/1P6/1R2P2P/Q4PP1/2R4K w - -,b3a3
2r2rk1/p4pp1/2Nb1n1p/1P2p3/2Qpq3/5NP1/1P2PPKP/R1R5 w - -,g2g1
3k3r/2p5/1p1n2p1/pPpPp3/2P1PpPr/1P1R3P/6B1/5RK1 b - -,d8e7
r1bq1rk1/bpp2pp1/p1np1n1p/4p3/P1B1P3/2PPBN2/1P1N1PPP/R2Q1RK1 w - -,a4a5
r2qr1k1/ppp2ppp/2b1pn2/8/P1pPP3/BnP3P1/3N1PBP/R2Q1RK1 w - -,d2b3
1r3rk1/2p2pp1/p1n2q1p/P1b1p3/2N1P3/2P2N2/2Q2PPP/R3R1K1 b - -,f6e6
8/6k1/7p/1p6/nP1N4/P1pK3P/8/8 w - -,d4b5
r5k1/1bqn1p1p/4p1p1/1p2P1N1/1bp2P2/2Q5/r1B3PP/1R3R1K w - -,b1b4
r1b2r1k/ppp1q1pp/2nb4/3np3/5p2/PP1PPNP1/1BQN1P1P/R3KB1R w KQ -,g3f4
4r2r/pp1b2kp/3bppp1/2qp3n/6N1/2PBP3/PP1NQPPP/1R3RK1 w - -,f2f3
5r1k/3q3p/pb1p1p2/1p1PnN2/7Q/P7/1PP1B1PP/5R1K w - -,h2h3
3r2k1/pp3npp/2p1qp2/4p3/1B4P1/1P1rPPQP/P1R2K2/2R5 b - -,d8d5
8/R4pkp/4p1p1/P5P1/5nN1/r7/7P/6K1 b - -,f4h3
8/2k5/2pR2P1/4P3/1p6/r1PK4/8/8 w - -,d3e4
8/3Q2kp/5bp1/8/8/1q3P2/4K1P1/7R b - -,g7f8
6k1/4p1r1/1p1p4/2p2P2/P6B/2Pn1K2/1P5R/8 b - -,d3e5
r2qnrk1/p2p1ppp/bpn1p3/2p5/2PPP3/P1PB4/4NPPP/R1BQ1RK1 w - -,f2f4:e2g3
r4r1k/1ppqn1pp/1p3p2/3P1b2/5R2/1QN2N1P/PP3PP1/R5K1 w - -,f3d4
r2q1rk1/1b2npbp/p2p2p1/1p6/2pPP3/3n2P1/PP2RPBP/R1BQNNK1 b - -,d3c1
8/5p2/4p3/1p2P1kp/p2P4/P4K1P/1P6/8 w - -,f3g3
8/6pk/p1q5/2P4p/PPQ5/8/8/1K6 w - -,b4b5
2r1k2r/pp1qppbp/2np1np1/8/2PNP3/8/PP2QPPP/RNBR2K1 w k -,d4f3
r4rk1/3n1ppp/pp1b4/2pP4/7q/3BPP2/PBQ2P1P/R4RK1 w - -,f3f4
3r4/p1kqbp1p/Ppp2p1r/3Pp3/B1P1Q3/7P/1P3PP1/R3R1K1 b - -,c6d5
r3qrk1/1b1nbpp1/pp2pn1p/2p5/P1BP3B/2N1PN2/1P2QPPP/2RR2K1 b - -,e7d6
3r2k1/5ppp/5n2/2bp4/4N3/P1q1P1PB/1r2RP1P/1Q1R2K1 b - -,b2b1
5rn1/pp1q2rk/3ppbpp/2p1p2P/2N1P1Q1/2PP1NP1/PP3PK1/R6R b - -,g6g5
3r3k/1p4b1/4p1Qp/1BqP4/4P3/6R1/r4PPP/5RK1 b - -,d8g8
3R4/5p2/3P1k2/4p3/4P1p1/4K1P1/3r1P2/8 b - -,d2d4
rnbqk2r/ppp1bppp/3p1n2/4p3/2P5/2N1P1P1/PP1P1PBP/R1BQK1NR b KQkq -,c7c6
1r1q1rk1/pb1nppbp/1p1p2p1/8/P2PP3/1B2BP1P/1P2Q1P1/RN3RK1 b - -,e7e5
r4k1r/1bq2ppp/1pN1pn2/1Bb3B1/4P3/P7/1PQ2PPP/2KR3R w - -,e4e5
r5k1/5p1p/p5p1/2pr4/R7/8/PP3PPP/5RK1 w - -,f1c1
2rr2k1/1p4pp/p3pn2/P2bNp2/1qBPn3/5N1P/1PR1QPP1/R5K1 b - -,d5c4
8/1Bn3p1/1p1kpp1p/8/1PP2PP1/2K4P/8/8 b - -,e6e5
4nbkn/3q2r1/3p4/1N1Pp1pp/4Pp2/1Q3P2/4BBPP/2R4K w - -,b3c3
3B3b/2Q2p2/5Ppk/3p3p/p1b4P/2R5/5qPK/8 w - -,c7g3
r2qk2r/pp1n1ppp/2p1pnb1/8/PbBP3N/1QN1P3/1P3PPP/R1B2RK1 b kq -,a7a5
8/5p2/1p1npk2/2p2r2/1PPp2p1/3P2P1/4RPK1/R7 b - -,c5b4
8/1R3p2/4k1p1/4p2p/7P/5P2/3r2P1/5K2 w - -,b7a7
1r4k1/p1br1pp1/1n2p1p1/4Pn2/q1PP4/P3BB2/4QPPP/2RR2K1 w - -,d4d5
8/8/1pN1n3/p1p5/P1P5/k1K5/8/8 w - a6,c6e7
1r4k1/3rbp2/4q1p1/1pppP2p/p4P1P/2P2QP1/PP1R3K/2NR4 b - -,b8d8
r1b2rk1/ppq1bppp/2pp1nn1/2P1p3/1P1P4/2N2NP1/PB2PPBP/2RQ1RK1 b - -,e5e4
r5k1/1p4b1/3q3p/p1pPpP2/P3P1p1/1PB2r1P/1Q5K/R3R3 w - -,h2g2
8/8/2N2b2/5k1p/2P2p2/4pP1P/4K3/8 w - -,c6b4
2kr3r/1p3ppp/2p1p3/3n3P/PR1P4/8/1PP1BPP1/R3K3 w Q -,b4b3
3r4/3Pk3/8/p6R/B2n1p2/P6P/8/5K2 b - -,d4e6
rnb2rk1/p3bppp/2p1pn2/8/PpNq4/6P1/1PQ1PPBP/RNB2RK1 w - -,c1e3:f1d1
2rqk2r/3bbpp1/p2ppn1p/1p2n3/3NP3/2N1B3/PPP1QPPP/3RRBK1 w k b6,f2f4
4r3/4r3/1p4p1/p2p1pkp/3Pp3/P3P1P1/KP3PP1/2R4R w - -,a2b3
1rbr2k1/5p1p/2np2pb/2q1p3/ppP1P2P/1P1QN1P1/P1N2PBK/3R1R2 w - -,g2h3
8/7k/1p1p4/p2Pp3/P2pP2P/1P2b1P1/3R2B1/7K b - -,e3d2
6k1/3b4/7p/5p2/3q1N2/6KP/8/2R2R2 w - -,c1d1
3r1rk1/5ppp/pbqp2b1/1p2p3/4Pn2/2P2NNP/PPBQ1PP1/2R1R1K1 w - -,c1d1
r2r2k1/pp1q1pbp/2nppnp1/8/2PNP3/2N1B2P/PP3PP1/2RQR1K1 b - -,b7b6
6k1/5p2/p3pp1p/1p6/8/P1n2P2/2Pr2PP/R3NK2 w - -,a1c1
3rk2b/p2b3q/1pQ2pp1/4p3/2P4N/1PB3P1/P3PP2/R3K3 w Q -,c6d6
2r1k2r/3pbp1p/4b1p1/4P3/1p6/pPqB4/P1P2QPP/1KB1RR2 b k -,e7g5
r1b1k2r/pp1nppb1/1qp2n1p/3p3P/3P1Bp1/3BPP2/PPP3P1/RNQ1K1NR w KQkq -,g1e2
1r6/p2br1kp/2p1pqp1/1p1n4/1P1PR2P/P4NP1/1Q3PB1/4R1K1 w - -,f3e5
1rbq1rk1/1pp2pbp/p2p1np1/n2Pp3/2P1P3/2N2NPP/PP3PB1/R1BQ1RK1 w - -,b2b3
6k1/8/6P1/4B2K/1p6/8/P2b4/8 w - -,h5g4
8/7B/5kP1/8/8/6p1/5K2/8 w - -,f2g3
