1r2r3/6k1/2RP4/4b3/p7/2N5/P1K1R3/8 w - -,d6d7
r2qkb1r/1p1b1p2/p1npp2p/8/3NNP1p/8/PPP3PP/2KRQB1R w kq -,d4f5
r2r2k1/1b2bpp1/2p1p2p/4P2N/nqP5/8/1PQN1PPP/3RRBK1 w - -,d2e4
r3r3/p4p1k/1pp1nnpp/2B1p3/2P1P3/qPN2BP1/P1QR1P1P/5RK1 b - -,a3c5
rnb1k2b/pp2pp2/3p1n2/2q3p1/8/2P3B1/PP1NPPP1/R2QKBN1 w Qq -,e2e4
r1bq2rk/4bpnp/np1p2pB/p1pPp3/2P1P1P1/P1N2N1P/1PB1QP2/R5RK w - -,g1g2
r4r1k/pppqbppp/3pbn2/8/3nP3/1BP5/PP1N1PPP/R1BQR1K1 w - -,c3d4
r1bqkbnr/5ppp/p1ppp3/8/4PB2/2N5/PPP2PPP/R2QKB1R w KQkq -,d1d2
r1b2r1k/2p3pp/1p1p1np1/p2P4/1PP1PP2/P1N1N1K1/7P/2R1R3 w - -,f4f5
rn2k1nr/pp4pp/2p1bq2/3p4/2PPp3/1Bb1N3/PP3PPP/R1BQK2R w KQkq -,b2c3
r5k1/p2n1pp1/1pb1p2p/2Q5/8/4PN2/PP2BPPP/5RK1 b - -,b6c5
r2qk2r/2p1bppp/p2p4/np1Pp3/4P1bn/1PP1BN2/P1BN1PPP/R2QR1K1 b kq -,e8g8
8/1p3R2/b1p5/2P5/1Pkp1p2/5Pp1/6P1/4K3 w - -,e1d2
1k1r1b1r/ppp4q/8/2P5/3nRpP1/PN1p1P2/1P1Q3P/R1B3K1 w - -,b3d4
8/1b1r4/p4pkp/1p3N2/6Q1/1P5P/P7/1K6 b - -,g6h7
8/1br1kp1p/p3p1p1/1p1pP3/5P2/PP1BK1P1/2P1R2P/8 b - -,e7d7
8/1BK2p2/5n1k/2B1pPp1/4P3/8/8/8 b - -,g5g4
2rr2k1/pbq1bp1p/1p2pnp1/6B1/B2P3P/P1PQ1N2/5PP1/R3R1K1 w - -,a1c1
r4rk1/pp1nbpp1/1qp1pn1p/3p1b2/3P1B2/1QP1PN1P/PP1NBPP1/R4RK1 w - -,f3e5:f1c1:c3c4
8/1pp1k3/4b3/pP2p2p/P1P1K1p1/5rP1/3R1b1P/2R5 w - -,c1d1
Q5k1/5p2/p5p1/7p/1P2P3/q5PP/5PK1/8 b - -,g8g7
r1bq4/ppp2rbk/7p/5N2/2Pp2P1/1P1Q4/P4PBP/R4RK1 b - -,c8f5
2r2rk1/pb1pq1pp/1p3b2/1NnP1p2/4n3/5NP1/PPQBPPBP/3R1RK1 b - -,b7d5
5k2/p4p2/1p2p1p1/n6p/P1B4P/1PR1P3/1r3PP1/5K2 w - h6,g2g3
3r2k1/1R3p1p/4p1p1/p7/P7/1P3q1P/3r1PP1/1R4K1 w - -,g2f3
r3k2r/1pqnbpp1/2p1p1p1/8/p2P4/1QB1PPP1/PP5P/1K1R1B1R w kq -,b3c2
r5k1/pppq2bp/2npprp1/6B1/4P1Q1/2PN3P/PP3PP1/R4RK1 b - -,f6f7
4r1k1/3r1p1p/pn4p1/1p3P2/3Pp3/PP6/4R1PP/2BR3K w - -,g2g4
2r4k/6pp/4bp2/1p6/8/qN1P3P/2P2QP1/R5K1 b - -,a3b2
2b1r1k1/5pp1/1p6/p2pr2p/1qpQ1R2/4P1P1/PPBK3P/3NR3 w - -,d4c3
5bk1/pb3pp1/1p3q1p/3Rn3/8/P3BN1P/1P2QPP1/6K1 w - -,d5e5
r2qkb1r/pppb1p2/2n2npp/4N3/3P4/2NB4/PP3PPP/R1BQ1RK1 b kq -,c6e5
rnbqkbnr/ppp1pp1p/3p2p1/8/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq d3,f8g7:g8f6
5r1k/4Rp2/p2p1Pp1/2p3rp/P1P3nP/4N3/2P2K2/5R2 w - -,f2g1
8/1pnb4/p1p2pk1/2P1p2p/1P2P1pP/P1KB2P1/5P2/2N5 b - -,d7e6
r4rk1/pp3p2/2p3pp/4P3/2P1P2q/4Q3/PP3PK1/R2R4 b - -,a8d8
r2r2k1/1bqn1ppp/2p2n2/ppP1p3/4P3/3BBN1P/PPQ2PP1/2R1K2R w K -,e1g1
r2q1rk1/pp2ppb1/1n1p2pp/3P1b2/2P5/1PN1BB2/P4PPP/2RQ1RK1 b - -,g6g5
8/5k2/4N3/6K1/6PP/8/2b5/8 w - -,e6d4
2Q5/5ppk/4p2p/8/N3n3/1P4P1/P4PKP/4q3 w - -,c8c2
r2q1r2/1p1nppkp/2bp2p1/p7/2P1P3/1PNB4/P2Q1PPP/R4RK1 w - -,a1e1
8/pp3pk1/3q1bpp/1p1B4/4P3/5QP1/PP3P1P/6K1 w - -,g1g2
r3rbk1/1pqn1b1p/2pp1pp1/p1n5/2P1PP2/1PN3P1/P1NQ1BBP/1R2R1K1 b - -,a8d8
8/7p/3k4/R5p1/1P1B2p1/4P2n/5r2/4K3 b - -,f2c2
r1bqkbnr/pppp1pp1/6n1/3Pp2p/4P2P/2N5/PPP2PP1/R1BQKBNR w KQkq e6,g2g3
5R2/8/8/8/3K1pk1/4r3/8/8 b - -,e3e7
6k1/1b2ppbp/6p1/2p5/4P3/P4P1N/1nK1B1PP/r1B4R w - -,e2b5
6k1/6p1/p3p2p/q2p4/3P4/1P5P/2Q2PPK/8 b - -,a5b6
r2qk2r/pp1n1pb1/2p1p1p1/3pPn1p/3P1Pb1/2N2NP1/PPPQBB1P/R3K2R b KQkq -,g7f8
r3r2k/1p4pp/2bR1p2/p3p3/2P1n3/2B5/PP3PPP/4RBK1 w - -,d6c6
r2q1r2/pp2npk1/2npb1pp/2p1p3/4P3/2PP1NP1/PP1N1PBP/R1Q2RK1 b - -,f7f5
r2q1rk1/ppp2pbp/2n2np1/4p3/2QPP3/2N1BB2/PP3PPP/R3K2R w KQ e6,d4d5
2r2rk1/q4ppp/p2p4/1p1NpP2/2n3P1/4bNQP/P1b3B1/3RR2K w - -,f5f6
r1b2r2/p1q2p1k/3Rp1p1/1p5n/4N1P1/1PP5/P2Q1P1P/2KR4 b - g3,f7f6
r7/8/1K2k3/1B2r3/P2R4/1P6/8/8 b - -,a8b8
r1qr2k1/p2n1pbp/1p1p2p1/4p3/2pPPB2/2P2N1P/PP1Q1PP1/R3R1K1 w - e6,f4g3
8/8/2p1R3/6P1/2p2P2/3k2r1/8/3K4 b - -,g3g2
2r1qr1b/1bp2k1P/p2p1npB/1pnPp3/P3P1p1/2N1N3/1PP1QP2/2KR3R b - -,b5b4
r2nk2r/2qbb2p/2ppp1p1/p5P1/4P2P/2N1B3/PPPQB3/2KR1R2 b kq h3,e6e5
K7/4q3/6p1/8/6kP/4p3/8/7Q b - -,e3e2
r3r1k1/1pq2pbp/p1npbnp1/2p1p3/1PP5/P1NPN1P1/4PPBP/1RBQ1RK1 b - -,c5b4
r1q2rk1/1bpn4/1p1ppbpp/p4p2/2PP1P2/P2BP3/1PQN1BPP/2R2RK1 b - -,c7c5
1r3k2/6r1/p2nBp2/n2P2P1/2pN3P/1p6/P5R1/5RK1 w - -,a2b3
1nb1kb1r/r2pppp1/p5qp/P1NPP3/1p6/5N2/1PP2PPP/R2QKB1R b KQk -,a7c7
r2q1rk1/1b3pbp/3p2P1/p1nNp3/2P1P3/R3N1P1/1P3PB1/3Q1RK1 b - -,f7g6
3q1rk1/1b1nbpp1/p3pB1p/2r5/Pp6/2NBPN2/1P2QPPP/R2R2K1 b - -,e7f6
r2q1rk1/1p1n1pp1/p1p2bp1/2Ppp1n1/1P1P4/4PP2/P2BN1PP/1BRQ1RK1 b - -,e5d4
r3k1nr/pppq1pbp/2npb1p1/3Np3/2P1P3/6P1/PP1PNPBP/R1BQK2R w KQkq -,d2d3
3rr1k1/pp3pbp/1qpp1np1/2n5/3NP1b1/1PN3P1/PBPQ1PBP/1R2R1K1 w - -,a2a3
rn1qk2r/p3bppp/b3pn2/4N3/PppP4/8/1P2BPPP/RNBQ1RK1 w kq -,f1e1
6kn/2q1rpp1/p2p1n1p/N1pPp3/1r2P2P/3PP1PB/1P1Q1R1K/R7 b - -,b4b6
r1b1r1k1/1pq2ppp/2pb4/p1n1p3/2P1P3/4BNP1/PPQ2PBP/R4RK1 w - -,h2h3
r1b1k2r/pp1p1ppp/2n1p3/qN2P3/1b3P2/2P5/P1PB2PP/R2QKB1R b KQkq -,b4c5
5rk1/3Qppbp/p5p1/5P2/2p3P1/4q1NP/P2R2K1/8 w - -,d2e2
6k1/5p1p/1R4p1/4P3/5n2/5N1P/1P3PPK/3r4 b - -,d1f1
8/8/8/6kp/8/r4PK1/p7/R7 w - -,g3g2
5nk1/q3bp2/bpp3p1/3pPpPp/1P1P1P2/2PNB3/4Q2P/2N3K1 b - -,a6c4
rnbq1rk1/ppp1bppp/3p1n2/4p3/2P5/P1NPPN2/1P3PPP/R1BQKB1R b KQ -,b8d7
1N2k3/2R5/4p3/p3P1Pp/2P1r3/bP5P/4K1P1/8 w - -,e2f3
8/p7/7p/5k2/4Nn2/1P6/P1K4P/8 w - -,e4g3
8/8/1p6/p7/Pr4k1/2K2pp1/R5P1/8 w - -,g2f3
r5nr/6pp/p1n1k3/bp1N1p2/4pB2/8/PPP1BPPP/R2R2K1 w - -,d5c7
1R1Bq3/3r2k1/p1p5/2Pp3p/P2Pp3/4PpPQ/5P1K/8 b - -,d7d8
r1bnkb1r/ppp2pq1/6pp/4p3/2B1N3/2PP2Q1/P1P2PPP/R1B1K2R w KQkq -,c1b2
8/6k1/8/6p1/P3K1P1/1r3p2/1PR5/8 b - -,g7f6
r3r1k1/1p3p1p/pqn1b1p1/4P3/3p4/R2B2B1/PP3PPP/1Q3RK1 w - -,f2f4
8/5r2/P7/2kN1p2/1N4p1/2K3P1/8/8 b - -,f7a7
r1r2qk1/1p2ppbp/n2p2p1/1N6/p1P1PP2/Pn2B2P/1PR1BQP1/3R3K b - -,a6c5
8/1B6/P6p/6p1/3k2P1/8/r7/4K3 b - -,d4c5
r2k2r1/1pq4p/p3R3/2Pp1p2/1P6/2P2P2/P1Q3Pb/R4K2 w - -,c2f5
rnbq1r2/4ppkp/2p3p1/pp6/3P4/PB3N2/1PPQ2PP/2KR3R b - -,d8b6
8/5p1p/Rp3p2/3bp1k1/3n4/1P2RN2/P2r2PP/1K6 b - -,d4f3
5r1k/1p2r1qp/3p1n2/P2Pp1p1/2N1Pp2/2R2P2/4Q1PP/2R3K1 b - -,f8d8
2r2rk1/2q1n2p/1p1pbppQ/n1p1p3/4P3/P1PP1NPB/3N1P1P/1R1R2K1 b - -,e6h3
r1bq1rk1/p3bppp/1pn1p3/8/3P4/2PB1N2/P4PPP/1RBQR1K1 b - -,c8b7
3n4/3k3Q/4p3/3pP3/3P2r1/8/4K3/8 b - -,d7c6
5rk1/p3Qppp/1p1P4/8/q3P3/7P/P4PP1/5RK1 b - -,f8e8
r1b4k/pp1q2bp/3p3r/3N4/4P3/5B1n/PPN2PKB/R2Q1R2 b - -,h3g5
r1b2rk1/4bpp1/p3pn1p/2qp4/5QP1/2NB2B1/PPP2P1P/2KR3R b - -,f6h5
r7/5pk1/2pq1bp1/1p1p4/6N1/2PQ3P/1P2RPP1/6K1 w - -,g2g3
r1n2rk1/p2q2b1/1p1p2p1/PP1Ppp1n/4P2p/2NQBP1P/4N1P1/R4RK1 w - -,d3c4
3r2k1/p4B1p/2qp2p1/1ppNpbb1/8/2P3P1/PP2QP1P/3RR1K1 b - -,g8f7
2k4r/pppb2pp/3q1p2/3p1Q2/3P4/2N2P2/PPP3PP/2KR4 w - -,f5d5
2r1kb1r/1b2pp1p/p2p2pP/1pn3P1/2qNPP2/PPN1B3/2PQ4/2KRR3 b k -,c5b3
2k4Q/2p1q2p/6p1/P7/5B1P/5P1K/6P1/1r6 b - -,c8b7:c8d7
4r2k/p3B1pp/1p6/3B1p2/3n4/2N3P1/PP5P/2n2K2 w - -,e7g5
r2r2k1/2b1q2p/6p1/p2p1pN1/Pp1PbP2/1Pp1P2P/5QP1/R1B2RK1 b - -,h7h6
3R1bk1/p4p2/6pp/1p4N1/n7/7P/P1P5/1K6 w - -,g5f3
8/7p/4p1p1/pp1kPpP1/5P2/1P1P3P/1P2K3/8 b - -,d5d4
r1bqkb1r/1p3ppp/p3pn2/3pN3/3Pn3/2PB4/PP3PPP/RNBQR1K1 b kq -,f8e7
8/2k5/8/1pN1pb1P/1P1q4/6Q1/6PK/8 w - -,g3g7
2rq1rk1/1B1nppbp/pp1p2p1/8/1PPp4/P3P2P/3Q1PPB/1R1R2K1 b - -,d4e3
8/1p3R2/1pr3pk/p4p1p/P1BPp2P/1P1nP1P1/5P2/6K1 w - -,f7b7
r1b1nk1r/pp1nqpb1/3p3p/2pP2p1/QP2PB2/2NB1N1P/P4PP1/2R1K2R w K -,f4e3
r5k1/2q1pp1p/3p2p1/2pPb3/4P3/PrN3PP/1P1Q1PK1/1R2R3 w - -,e1e3
r1bqkbnr/pp1ppp1p/6p1/1B6/3pP3/2P5/PP1P1PPP/RNBQ1RK1 b kq -,f8g7
4k3/6Rp/b3p3/2p5/1B6/P4P2/4P1KP/2r5 w - -,g7c7
r1bq1rk1/pp2bppp/2n1pn2/3p4/2P2B2/P1N1PN2/1PQ2PPP/R3KB1R w KQ -,c4d5:f1d3
rr4k1/2q1ppbp/b2p2p1/2pPn3/8/1PN3PP/PB2PPB1/1R1Q1RK1 w - -,d1c2
5r1r/2pq2k1/3p4/p1pP2p1/3nP2P/1P4P1/P2R2Q1/3B1RK1 w - -,d2f2
1n1q1rk1/4bpp1/p2p1n1p/rp1Pp3/1PP5/B4N1P/5PP1/R2QRBK1 b - -,a5a4
r3r1k1/1bq2pbp/p1p2np1/1pn1p1B1/4P3/2N2N1P/PPPQ1PP1/3RRBK1 w - -,d2d6
r1bq1rk1/ppp1bppp/2n2n2/3p4/3NP3/2P1B3/PP1NBPPP/R2QK2R w KQ d6,d4c6
r1bq1rk1/pppnppb1/3p3p/6p1/3PP3/2N2Nn1/PPPQBPPP/3R1RK1 w - -,f2g3
r2q1rk1/1b2ppbp/pn3np1/1p1pN3/P1pP1B2/2P1P2P/1P1N1PP1/RB1QR1K1 w - -,b1c2
r1bq1rk1/5pbp/2p2np1/2Bpp3/4P3/1PN2P2/P1PQ2PP/1K1R1B1R b - -,c8e6
R4rk1/3n1pbp/1qnpp1p1/2p5/4PP2/1pPP1N1P/1P1B2PK/1B1Q1R2 b - -,f8a8
3r1rk1/3Rpp1p/pqp2npQ/4p3/4N1P1/1P3P2/PKP5/5B1R b - -,f6h5
8/1kn5/p2r4/8/K7/8/8/7R w - -,h1g1
r1b1kbr1/5p2/pn1p4/N3pPq1/1p2P3/1B1R4/PPP1Q1p1/1K4R1 w q -,d3d2
r2qk2r/1bp1npbp/pp1p2p1/3P3n/P1B5/2N1BN2/1PPQ1PP1/R3K2R w KQkq -,g2g4
8/1p3ppk/2p3rp/P4Q2/K1P1P3/1P1n4/1q3P2/R2R4 b - -,b2c3
6k1/5p1p/1q1pbb2/1p6/1P3Q2/P7/N3BPPP/6K1 b - -,b6d4
5r2/p1p3pp/4k3/4p3/8/4K1P1/PPP4P/3R4 b - -,f8b8
r1br2k1/pp2qpp1/2p1pn1p/3nN3/3P1P2/1BN1PQ2/PP4PP/2RR2K1 w - -,g1h1
r1b2rk1/ppp1qpbp/5np1/4p3/4P3/2PBB2P/PP2QPP1/RN3RK1 b - -,b7b6
2rrb1k1/ppq1bppp/2nppn2/2p5/4P3/P1PP1NPP/1P1NQPB1/R1BR2K1 w - -,b2b3
r1r2bk1/R4pp1/4q2p/1Q2p3/R7/4B2P/5PP1/6K1 b - -,a8b8
3r1rk1/1p1nbppp/q7/p1pp1P2/PnN1P3/1PN1B3/4Q1PP/3R1RK1 w - -,e4d5
2k3r1/p1p3pp/1p3p1n/7R/2P5/4bB1P/PB1r2P1/1R5K w - -,b2c1
r4rk1/2pb1ppp/5n2/ppqPp3/2P1P3/6PP/PP1N2BK/2RQ1R2 b - -,b5b4
2kr3r/p1qn1Pp1/1pp1p3/3b4/3PQ3/2B1PN2/PP3P2/R3K1R1 w Q -,e4g4
r2qk1nr/pp1nbpp1/2p1b2p/3p4/3P1BP1/2N1PN1P/PP3P2/R2QKB1R w KQkq -,f1d3
4R3/p7/1p4P1/8/P4K2/8/5k2/4q2r w - -,e8e1
r1bq2k1/ppp4p/3p2p1/3Nr3/2P5/1P3p2/P1Q3PP/R4RK1 w - -,f1f3
2rr2k1/1p1q1bb1/p1ppp1p1/5pPp/P1PP1P2/1P1B1PP1/1BQ3K1/4R2R w - -,g3g4
5rk1/p2q1pp1/1n2p2p/1B1bP3/8/6P1/PQ3P1P/2R1N1K1 b - -,d7e7
1q4k1/1p1n1pbp/1P1p4/2pNrpp1/2P5/r2PPQP1/5PBP/1R3RK1 w - -,f1d1
r4bk1/1r3ppp/1n1pp3/pn4P1/2R1PP1P/1P1NNK2/P7/B1R5 w - -,c4c2
1r4k1/BP1q1p1p/3bb1p1/p2pp3/P7/1Q1P2P1/4PPBP/1R4K1 w - -,a7b8
2kn4/ppp2p2/5rp1/3p2q1/3P1N1p/2P1Q2P/PP3PP1/5RK1 w - -,f4d3
1r1rqbk1/2p2n1p/p3p1p1/4Pp2/n1P2P2/1N2B3/P1B1Q1PP/R4RK1 w - -,c4c5
r4rk1/1bppb1pp/np2pB2/p4p1q/2PP4/2N2NP1/PPQ1PPBP/3R1RK1 b - -,f8f6
3r4/5kp1/2r2p2/p3p3/1pP1P1PP/1P1pBR2/P1n2K2/3R4 b - -,a5a4
r4rk1/3q1p2/1pp1p1p1/p2pPn1p/P2P1P2/1PPQ3N/6PP/3RR1K1 b - f3,f8c8
2r2rk1/2q3p1/p1p4p/1pPppP2/1P6/P4PB1/6BK/2Q2R2 b - -,f8f5
2r3k1/p3q1bp/4p1p1/2pp4/3P4/5N1P/PP1Q1PP1/2R1r1K1 w - -,d2e1
rnb1kbnr/ppp1qppp/3p4/4p3/4P3/5NP1/PPPP1PBP/RNBQK2R b KQkq -,c8g4
2k1rb1r/p1ppq1pp/b1p5/3nN3/2P5/P7/1P2QPPP/R1B1KB1R w KQ -,f2f4
r2q2k1/1p1Pr2p/2p1n1p1/2P2p2/2B5/P6P/Q7/bN1R3K w - -,a2a1
r7/2p2kpp/2pp1n2/p4b2/N1P5/5N2/PP3PPP/4R1K1 w - -,f3d4
2q1r1k1/p3bp2/1p1pb1pp/1Pp1pn2/2P1N3/P2PP1P1/1B3P1P/R2Q1RK1 w - -,a3a4
r4r1k/p5pp/1p1n4/2bR4/2P1qN2/1Q4PP/P7/R3B2K w - -,h1h2
2r1r1k1/2qnbp1p/pp1pp1p1/6Pn/2PN1P2/1PN1PQ2/PB3RKP/3R4 b - -,e7f8
k7/1p6/3r1p2/1P6/8/2KBp3/2P5/8 b - -,f6f5
r1b1k1r1/ppp1bp1p/3q1npB/4Q3/2B1P3/5P2/PPP3PP/RN2K2R w KQq -,e5d6
r1bq1rk1/1p1n2pp/p2p1b2/3P1p2/P4P2/N7/1PP1B2P/R1BQ1R1K b - -,d7c5
r3r1k1/1n3p1p/1q3np1/pp1p4/2pP2P1/P1B1PP2/RP1Q3P/4RNK1 b - -,g8g7
r2qrbk1/1b1n1p1p/p2p1np1/1p1P4/P1p1P3/5NNP/1PB2PP1/R1BQR1K1 w - -,c1d2
r7/ppp2k1r/3p1p1p/8/4P3/3PP1RP/PPP3P1/R5K1 w - -,a1f1
3q1r2/2Qnp1kp/3p1pp1/8/3BPP2/8/P4PKP/2R5 b - -,d8a8
3r4/2q2p1k/1b3n1p/ppp1NP2/7Q/1PP4P/P1B2PP1/4R1K1 b - -,d8d2
3r2k1/pp4pp/2p5/8/4pR1P/P1B1n3/1PP5/2K5 w - -,c3d2
r7/P7/8/4k3/R2n4/8/3Kp3/1R6 b - -,d4c6
2r5/8/2P5/1PK3p1/8/6kp/8/4R3 w - -,b5b6
r1bqk2r/ppp3b1/3p2pn/3Ppp1p/4P2P/2N1BP2/PPPQB1P1/2KR3R b kq -,f5f4
r1b2rk1/ppq1b1pp/1n2p3/2ppPp2/2P2P2/1P1BP3/PB1N2PP/R2Q1RK1 w - -,d1c2
2r5/5ppk/p2B1b2/3P1P2/7p/1P3QP1/4R1KP/q7 b - -,a1b1
1r3bk1/2p3pp/p3bp2/2n1p3/q2PP3/2B1NPP1/3Q2NP/3R3K b - -,e5d4
r2q1rk1/pp3pbp/2np1np1/2p5/2P1PPb1/2NB1N1P/PP4P1/R1BQ1RK1 b - -,g4f3
5rk1/7p/3pB3/2b3K1/1p2P3/1Rp5/2n4P/4R3 b - -,g8h8
r1b1k2r/pp3ppp/4p3/8/4n3/4K3/PPPN1PPP/R6R w kq -,d2e4
r2r2k1/1pqbppbp/2p2np1/p1n5/P3P3/1NP2N1P/1PQ2PP1/R1B1RBK1 b - -,c5e6
8/5pkp/4p1p1/n1p1P3/2pbPPPK/1r6/1PR1R2P/8 w - -,g4g5
r3r1k1/1p3qbp/6p1/2pb4/n3p3/P5P1/2N1PPBP/QRBR2K1 w - -,b1b2
8/1b3k2/1p1Bn3/5p1p/2B2P2/P3K1P1/8/8 b - -,b7c6
3r2k1/5pp1/4p2p/2Q1P3/1p4KP/1r4P1/5P2/8 w - -,h4h5
8/5R2/8/p3k3/r5p1/6P1/5PKP/8 w - -,h2h3
8/3R1p2/5kp1/2N3p1/8/1r4P1/5PKP/8 b - -,b3b4
8/p1bBr1k1/4P1p1/P2R1p1p/5P2/4K1PP/8/8 b - -,g7f6
3r2r1/p4pbp/1pk1p2p/8/1PPp4/PR1K2P1/3N1P1P/4R3 w - -,f2f4
8/R4pkp/4R1p1/1P2p3/P4r2/2r4P/6P1/7K w - -,e6e5
3rr1k1/1pq2ppB/p2b1n2/3p4/7Q/P1N1Pb2/1P1B1PPP/R2R2K1 b - -,f6h7
6r1/p3b2R/k1p5/P2nP3/1ppP1P2/2P3P1/2K5/6R1 b - -,b4c3
r2q1rk1/pp2bppp/1n2pn2/3pN3/2pP4/2P1P1B1/PPQN1PPP/R4RK1 w - -,e3e4
r4r1k/2n2ppp/p2R4/1q2PN2/3P2P1/1B2Q2P/P4P2/6K1 w - -,a2a4
4k3/3rr2p/1p6/8/Q7/1P4P1/3p1P1P/6K1 w - -,a4a8
