8/8/6N1/8/ppk5/n7/3K4/8 b - -,b4b3
r2q1rk1/3bbpp1/p1np1n1p/1p1Bp3/4P3/2N1BN1P/PPP2PP1/R2Q1RK1 w - -,a2a3
rn1qkb1r/1p1bpp1p/p2p1np1/8/3NP3/2N1BPP1/PPPQ3P/R3KB1R b KQkq -,f8g7
r4rk1/3nq1pp/1pn1p3/2pp1p2/p2P1P2/2P1PN2/PP1NQ1PP/R4RK1 w - -,f1c1
3r1bk1/ppqn1pp1/2p4p/2n1pN2/4P3/1PB3PP/P1P1QPB1/3R2K1 b - -,c5e6
3r3r/p1kn1b1p/1p3p2/3P2p1/1Pn2PP1/7P/P1R2BB1/R5K1 b - -,b6b5
r2r2k1/1p2qpbp/1np2np1/p3p3/P2P4/2N1PQ1P/BPRB1PP1/3R2K1 w - -,d4e5
r4rk1/1p3pb1/p1ppb1p1/q3n2p/2PBPN1P/1PN2PP1/1P1Q1K2/3R1B2 w - -,f2g2
3n2k1/r5pp/1q1p1r2/p1pPB2P/4Pp2/1P3P2/P2Q2B1/KRR5 b - -,d6e5
r1bq1rk1/1pp2ppp/3p1n1b/p1nPp3/2P1P3/1P3N1P/P1BN1PP1/R1BQ1RK1 b - -,c7c6
r4rk1/1bqp1ppp/p3Bn2/8/1p2P3/2bP2N1/P2BQPPP/1RR3K1 b - -,a6a5
4b3/1p5p/5N2/2P3k1/n2K4/P7/1p6/1B6 w - -,f6e8
r3q3/1p1bp1bk/n2p2pp/3P1p2/1P1NP1n1/3Q2P1/N4PBP/B1R3K1 b - e3,a6c7
5qk1/1p4b1/p2p2p1/3Pp3/2Q1P1b1/1P2B1Pp/P3B2P/6K1 b - -,g4d7
r3qrk1/pp2p1bp/1nn1b3/6N1/6PQ/1PN5/P3PPBP/R2R2K1 b - -,h7h6
8/3B2bk/3p2pp/3P1p2/1P2nP2/4B2P/6P1/6K1 b - -,e4c3
r1b1k1r1/1pq1bpp1/p3pn2/2n1P1p1/3N4/2NB3Q/PPP3PP/2KRR3 w q -,e5f6
b3k2r/3nb1pp/2p1pn2/1p2N3/2p1P3/2N3PB/1P3P1P/2BR2K1 w k -,e5d7
8/2b5/K1P1k2p/3pp1p1/3pP1P1/3P4/3B3P/8 b - -,d5e4
2bnk1q1/r7/p2p1RPr/2p1p3/1p2P2P/3P2Q1/PPP3B1/R5K1 b - -,a7g7
8/7p/p7/1p1k1pp1/6P1/P3PK2/1PR2P1P/7r b - -,h1h2
r3kbnr/1bqp1ppp/p1n1p3/8/Pp1NP3/3B4/1PPNQPPP/R1B2RK1 w kq -,d4c6
8/3b1nk1/pq1p1ppr/1p1P4/3PB1P1/1P1QN3/P4PK1/2R5 b - -,f7g5
r1r3k1/1p2ppbp/p2pb1p1/3P2B1/4P3/1P3P2/P2KB1PP/2R4R b - -,e6d7
8/5p1p/1nnkp3/p1rp1p2/5P2/PR4P1/1P1RB2P/6K1 b - -,b6d7
2k2r2/1b6/1p6/2p2p2/4PB2/2P4r/2P2P1P/R4R1K b - -,f5e4
6k1/5pp1/6np/P1R5/r3P1P1/1p4K1/3N1P2/8 b - -,b3b2
r1bqk2r/pp1n1ppp/5n2/3p2B1/3Pp3/2b3PN/PP2PPBP/R2Q1RK1 w kq -,b2c3
8/4kp2/6pp/1RP5/1P3P1r/4K3/8/8 w - -,b5b7
r2q1rk1/pp2n1pp/1bp3n1/1B1p4/3PNPP1/1Q2B2P/PP6/R4RK1 w - -,b5d3
2r5/5pkp/4p1p1/1b6/2NbP3/1B1K1P2/4R1PP/8 b - -,c8d8
