4b3/7p/4N3/6P1/p5k1/2P5/1P1K4/8 w - -,c3c4
4n3/1p2R3/2b4k/6p1/p1PB2P1/P3K3/8/8 w - -,d4e5
1n3r2/1k1p1p2/1p6/rp1PR2p/2p4P/8/PP2PP2/R3KB2 w Q -,e2e4
r1bqr1k1/pp1n1ppp/2p1pb2/3p4/2PP2P1/1PB1PN2/P1Q2P1P/R3KBR1 w Q -,g4g5
8/7p/2r1pkp1/p2p4/1pR2P2/P1P1K1P1/1P5P/4R3 b - -,c6c4
1Q6/8/5pk1/8/6p1/4q1P1/8/6K1 w - -,g1g2
r2q1rk1/2p1bppp/p5b1/1p1nN3/6P1/1PPPB2P/1P2QP2/RN3RK1 b - -,e7d6
5k2/1p2Rp2/2b2P2/3p2Pp/p2p4/P2r2PN/8/5K2 w - -,g5g6
1r6/3nkppp/2b1p3/3n4/3P4/1P6/3BBPPP/2N2RK1 b - -,c6b5
8/6p1/6k1/r4nP1/P6P/1P2K3/4B1R1/8 w - -,e3f4
rnbqk2r/ppp5/4pn1p/3pNpp1/1b1P4/2N1P1B1/PPP2PPP/R2QKB1R b KQkq -,e8g8
r1bqr1k1/pp1n1pbp/2pp1np1/8/2PNP3/2N1B2P/PPQ2PP1/2KR1B1R w - -,g2g4
k1brr3/pp1n1p2/2p3p1/3p4/3P1PP1/3BRP2/PP1qN3/1KR3Q1 w - -,d3e4
2r1k2r/5pp1/p4n1p/1pbqNQ2/3p4/1N4P1/PP2PPKP/R4R2 w k -,g2h3
rnb2rk1/pp2bppp/1q1ppn2/8/3NPP2/2N5/PPP1B1PP/R1BQ1R1K b - -,b8c6
r2q1rk1/bpp2pp1/p3bn1p/3pp1P1/4P3/1PPP1N1P/1P2QP2/R1B1KN1R b KQ -,d5e4
r1b2rk1/p1p2ppp/2pq4/3n4/3P4/2N2N2/PP1Q1PPP/2R2RK1 b - -,f8d8
8/6k1/8/8/6KP/4bR2/5p2/8 b - -,g7h6
4n2k/pp6/3p1b1p/8/3P3p/1B2BP2/PP2K1P1/8 b - -,f6g5
r2q1rk1/1bnnbppp/1pp1p3/p2pP3/2PP3P/P4NP1/1PQN1PB1/R1B1R1K1 b - h3,h7h6
8/2r4k/1p3K1p/p1b5/P7/1P1R4/3R4/8 b - -,c7c6
4b2r/1p2k3/4p3/p2pPpNp/2pP1r1P/P1P3P1/1P1R2K1/8 w - -,g3f4
2qr1bk1/1b3pp1/2p1p2p/3n4/p2P3P/Pr1N2P1/1PQ2PB1/2BRR1K1 b - -,b7a6
8/3q3K/6QP/8/8/k7/8/8 w - -,h7g8
r2qr1k1/1bpn1pbp/1p3np1/p3p3/P7/2P1PN1P/1PQNBPPB/R4RK1 b - -,d8e7
r3r1k1/pb1n1pp1/7p/2p5/3p2q1/Q2BPN1P/PPR2PP1/3R2K1 b - -,g4h5
8/5p2/3k1N2/7p/2nP1K2/8/5P1P/8 b - -,h5h4
2n4r/p2b1k2/1pNp4/PP1Pp3/4PpP1/7r/R4R1P/4N2K b - -,d7g4
rn4r1/ppp2RBp/1b2k1p1/4N3/1P2P3/2P5/P1K3PP/5R2 b - -,g8g7
r5k1/5p1p/5qp1/1P1Pb3/4P3/3Q2P1/7P/6BK w - -,b5b6
8/3k2bp/6p1/6PP/1ppr1PK1/8/1P6/2B1R3 w - -,h5g6
rn2k2r/1bq1bppp/pp1ppn2/8/2PNPB2/2N3P1/PP3PBP/R2QR1K1 b kq -,b8d7
q3rrk1/2pb1ppp/1p1p1P2/p3n3/P2BPR1P/R5P1/2P1B1K1/3Q4 w - -,h4h5
7r/2b5/1p1p1k2/pP1B1p2/2P1p2r/P3K3/6R1/6R1 b - -,h4h3
5k2/1pr1pn1Q/5pBp/6p1/6P1/1b5P/5P1K/8 w - -,g6f7
rnbqkb1r/pp3p1p/3p1np1/2pP4/8/5N2/PPP1BPPP/RNBQ1RK1 b kq -,d8b6
1r1qk2r/4bpp1/p1b1p3/1pPpPn1p/P4P2/2P3PP/1P2N1BK/R1BQ1R2 b k -,e7c5
8/3k1p2/q3p3/1NBpPp1p/3P1P2/1Q5P/6r1/3K4 w - -,c5a3
r2qr1k1/1p3p2/2pp4/5bp1/P1B1n3/3Q1P1P/1PP3P1/1K1RR3 b - -,e4g3
3r1r1k/7p/6pq/p1b5/2P1PNP1/2Q4P/PP2R3/5R1K b - -,c5d4
