5k2/1R3b1p/6r1/p7/P7/3N2K1/3P3P/8 w - -,g3f4
r2q1rk1/pp1n1pbp/2np2p1/2p1p3/4PP2/2PP2PP/PP3QB1/R1BN1RK1 w - -,f4f5
2rB4/2Pk4/1p2b1pp/1P6/4p3/4P3/7K/2R5 b - -,e6d5
5rk1/3nrp1p/p2N1n2/bp3Pp1/6P1/PB1R3P/1B6/2R2K2 w - -,d6c8:c1c2
3b1k2/7p/1Pp3p1/3b4/K6P/5N2/3N4/8 w - -,b6b7
2kr3r/1pp2pp1/8/1PbP3p/5qb1/1Q3N2/PR1pRPPP/3B2K1 b - -,c5d6
3q1rk1/5ppp/2n1p3/3pP1b1/1p1Pb2P/rPp2NP1/1nP2P1N/1RQ1RBK1 w - -,h4g5
r4r1k/2p1p2b/p7/4P3/2p1P3/2N5/PPK3P1/3R3R w - -,d1d7
r7/3k1p2/1R4p1/8/2rB4/4P3/P4PK1/8 w - -,b6b7
8/1k5p/2Q3p1/1p3b1P/p4Pn1/P7/1PP1r1P1/2KR3R b - -,b7c6
rnq2rk1/2p2ppp/p2bpn2/1p6/3P3N/6P1/PPQBPPKP/RN3R2 w - -,f1c1
6k1/p4p2/6p1/1p2p3/1P1pP1pP/1PqPbP2/1R2Q1K1/2r2B2 w - -,f3g4
rnbqkb1r/1pp1pppp/p4n2/8/P1pP4/2N2N2/1P2PPPP/R1BQKB1R b KQkq a3,b8c6:e7e6
r1bqkb1r/1p3ppp/2n2n2/p1p1p3/2Pp4/P2P1NP1/1P1NPPBP/R1BQK2R w KQkq a6,d1a4
2r2rk1/p3q2p/2p5/1PPpb1pb/P2Npp2/Q3P1P1/5PBP/1R2R1K1 b - -,e7f6
2rrq2k/6pp/p4p1b/5N2/7P/3B1bQ1/1PP3P1/5R1K w - -,f1f3
r3r1k1/pp3ppp/8/3p4/3Q2b1/5NP1/PqN1RPBP/2R3K1 b - -,b2c1
3r2k1/p1q1npp1/1pprp2p/5n2/3P1PQ1/P2R2P1/1P2NPBP/3R2K1 w - -,g2e4
rn2k2r/pp1bbppp/2p1pn2/q7/2BP4/2N1BP2/PPP1N1PP/R2Q1RK1 w kq -,d1d2
rnbq1rk1/pp4pp/2pbpn2/3pNp2/2PP4/2N3P1/PP2PPBP/R1BQ1RK1 b - -,c8d7
r5k1/1q2bppp/3n4/3P4/P7/3Q2P1/5PBP/3R2K1 w - -,d3d4
5k2/4pp1p/1n1p2p1/2pP4/4PP2/1PB3P1/5K1P/8 w - -,c3a5
3b4/p5rk/7p/4Qb1q/2PN4/P2PR1P1/1P3PK1/8 b - -,h5h3
