8/2N2n2/p5k1/1p6/8/1PP5/P6r/1K3R2 b - -,f7d6
r4rk1/p2nqpp1/1ppbpn1p/3P3b/1P6/PQ1P1NPP/1B1NPPB1/R4RK1 b - -,c6d5
b1rq1rk1/3nbppp/p2p1n2/4pP2/1p2P3/1NN1BB2/PPP2QPP/R4RK1 w - -,c3d5
2q3k1/3r1p1p/p3pbp1/3b4/2p1B3/5P2/PPP1Q1PP/1KBR4 w - -,g2g3
r2qrbk1/5pp1/pp2p2p/4N3/3PQ3/6P1/PP3PP1/2RR2K1 b - -,f8d6
r1b2rk1/pp3ppp/2n5/3N4/8/b4NP1/P3PPBP/1R3RK1 w - -,b1b3:f3d2
rn2kb1r/pp2pppp/1qp2n2/3p4/2PP2b1/1QN1PN2/PP3PPP/R1B1KB1R b KQkq -,b6b3:e7e6
5rk1/2n1qnbp/pr1p2p1/2pP4/4RP2/2N2B1P/1P1Q2PB/R5K1 b - -,e7f6
B7/8/7R/2K5/8/6p1/7p/6k1 w - -,h6g6
r4r1k/1p1b3p/1npp1b2/q1nPp3/p1P1Pp1P/P1N2P2/1PQNBBR1/1K5R b - -,b6c8
r5k1/ppqnrpp1/2p2pbp/8/3PP3/3B3P/PPPN1QP1/R4RK1 w - -,a1e1
6k1/1R1n2p1/8/4p1r1/7r/1P6/1P3PB1/2R3K1 w - -,c1c4
1r4k1/2qprppp/5b2/p2B4/1p2P3/1P1R3P/P3QPP1/3R2K1 b - -,b8e8
8/4k1p1/7p/8/1n2KPPP/2b5/3R4/8 b - -,c3d2
r2q1rk1/3n1pp1/p2p1b2/1p1P3p/P4P2/2P1B2P/1P4B1/R2Q1RK1 b - -,f8e8
5r2/1pp3p1/3bbk1p/p3p3/P1p1P3/2P2N2/1P2KPPP/R4N2 b - -,f8d8
r2br1k1/1p3qPn/3p3p/pP1N4/2n1p2P/P3P1QB/1B3P2/2KR3R w - -,b2a1
3r1k2/5qpp/2QP4/5p2/8/3p2P1/P4P1P/3R2K1 b - -,f7a2
rn3rk1/1p2bppp/1pb1pn2/3pN3/3P1B2/2N3P1/PP2PPBP/R4RK1 w - -,f1c1
4r2k/1pb3pp/2pp1p2/2q5/2P2P2/1R2PR1P/2QB2PK/r7 b - -,c5a7
r1b1nrk1/2q1bppp/p1npp3/1p6/4PP2/1NNBB1Q1/PPP3PP/4RRK1 b - -,c8b7
r1b2rk1/p1q3bp/2p1p1p1/3pn2P/2p5/P1P3B1/RPB1QPP1/1N3RK1 b - -,g6h5
5r2/4r2k/q5nP/P1pPp1R1/4P1Q1/5PK1/1P6/R7 b - -,f8f4
r2qr1k1/1pp2pbp/1n4p1/p7/1nbp4/1PN1PNP1/P4PBP/RQBR2K1 w - -,e3d4
2rr2k1/5pp1/3p1nnp/2q1pN2/4P3/P2RQN1P/5PP1/4R1K1 w - -,f3h4
r1bqkb1r/pp1pnppp/4p3/1Bp5/3nP3/5N2/PPPP1PPP/RNBQR1K1 w kq -,b5f1:f3d4
