3K4/kr6/8/4Q3/8/8/8/8 w - -,d8c8
3r1rk1/1b1nbppp/pqn1p3/2p5/2P1NP2/PP3NP1/1B2Q1BP/R3R1K1 w - -,e2c2
2krq2r/1ppn4/3b1pp1/3P3p/1PPB1PnN/P7/3N2PP/R1Q2RK1 w - -,c4c5
8/4p1k1/2R2pp1/7p/8/2B2KPP/5P2/3r4 w - -,c6c7
1r2kb1r/p1Rp1p2/b3p3/qp2Pnp1/4B3/6B1/P1Q2PP1/2RK2N1 w k -,e4f5
8/3N3n/8/5P2/3N2k1/4P3/4K3/2b5 w - -,e3e4
rn1qk2r/p3npp1/1p2p2p/2ppP2P/b2P4/P1PB1N2/2P2PP1/R1BQK2R b KQkq -,c5c4
3r2k1/pp4pp/1npr4/8/8/1PN4P/P1R2PP1/4R1K1 w - -,c2e2
8/1R4p1/p1r4k/7p/3K4/P5PP/8/8 b - -,c6d6
8/5b2/3k2p1/2p4p/8/1P5P/P3rPP1/R5K1 b - -,f7d5
8/1pr2k2/5np1/p5p1/PbPR4/1P3P1P/5P2/3R1K2 b - -,f7e6
4r1k1/2pn1rbp/1pNn4/p2Pp1q1/P3PpP1/1P1N4/1B2Q1PP/2R2RK1 b - -,g7f6
1r6/prp2k2/2pb2bp/3p1np1/N2P4/P4PPB/1PP1RB1P/2K1R3 w - -,c2c3
6k1/P7/rB2n1p1/2p1pp2/1pP2b1K/3R3P/6P1/8 w - -,d3d6
b4k2/2nn1ppp/1ppp4/6P1/1PP1PP2/2N5/1B2BK1P/8 w - -,e2g4
2r3k1/5p1p/4p1p1/5n2/1B3P2/PK6/3R3P/8 b - -,f5e3
r1b3k1/5p2/2pq1B1p/p2p4/6p1/2Q5/PPP1rPPP/R4RK1 b - -,c8f5
2bq1rk1/2rn1pb1/2Bp2pp/p3p3/P2P4/2P1NPP1/3QN2P/1R3RK1 w - -,c6b5
8/6k1/1R4n1/3N4/4P1p1/7p/P2b1K2/8 b - -,g6e5
r4rk1/1ppb1p2/p4q1p/3Pb1p1/P3Pp2/2NB1P2/1PQ3PP/2R2R1K w - g6,c3d1
r3nr2/p2q2bk/3p3p/1PpPpb2/1n5P/P1N1B3/1P1QBP2/2KRN2R b - -,e8f6
2b5/2r1p3/1p1p1kp1/p1r4p/P1PK1P2/1P2R1PP/6B1/4R3 b - -,c5f5
2R2Q2/5p1p/p4kp1/P4r2/1p1P2q1/6Pn/1P3P1P/4RK2 w - -,c8c6
1b1r2k1/1p1rqpp1/p1n1b2p/3p4/1P1NnN2/PQ2P2P/1B3PP1/1BRR2K1 b - -,c6d4
4rrk1/5p2/3b2pp/p2P3q/P3Q1PP/3B3R/2P5/R6K b - g3,h5e5
r1bq1rk1/4p1b1/p2p2pp/2pPBp1n/1p5P/4PP2/PPPQ1NP1/2KNRB1R b - -,g7e5
3r1rk1/p3q1b1/1p1Nn2p/2p1Pp2/5P2/PP4PB/1BQR3P/7K w - -,h3f5
r3r1k1/2q2ppp/p7/1pbp4/P3n3/1NP2N2/1PQ2PPP/R3R1K1 w - -,f3d4
8/8/2Pk4/6K1/5n2/p7/B6P/8 b - -,f4g2
8/5b2/p7/1p6/3kp1BP/P7/1P1K4/8 w - -,b2b4
7n/6R1/5k2/8/4K3/8/8/8 w - -,g7c7
r2q2k1/pp5p/2n3p1/3p1b2/5P2/3Q4/PP2N2P/R4R1K w - -,d3e3
2rr1k2/5p1p/q3p1p1/5n2/ppNp2P1/P1P5/1P2Q1BP/5RK1 w - -,g4f5
1r4k1/p2n3p/5np1/4p3/1r2P3/5PP1/2R2BB1/K5NR b - -,b4b1
3K4/8/p7/6p1/2P3kp/8/P3p1PP/4R3 w - -,e1e2
3k4/1p2N3/3p4/2p5/2p1R3/5P2/PP1q3P/4R2K b - -,d2b2
