8/8/8/3q1pk1/P1B2Rp1/6P1/5P1K/8 b - -,d5d6
r2qk2r/1b1nbppp/p3pn2/1pp5/P7/3P1NP1/1PQ1PPBP/RNB2RK1 w kq -,a4b5:b1c3
rnbq1rk1/pp3pbp/3p1np1/1BpPp3/PP2P3/N1P2N1P/5PP1/R1BQR1K1 b - b3,a7a6
2r5/1p3pk1/3b2p1/3p1p2/Q2P1N2/3KP2P/Pq2NPR1/8 b - -,b2b1
8/5rkp/2p1q1p1/1p1pPp2/r1nP1PP1/P5RP/6QK/2B2R2 b - -,a4a6
2rr4/5ppp/p3k3/1p2P3/4b1P1/P1B1P3/1P3K1P/R2R4 b - -,e4c2
3r3r/pkp1q1pp/2n1pb2/2pp4/3P4/2P2N2/PP2QPPP/2KR3R w - -,e2b5
r4r1k/ppq3bp/3N4/1BP5/1P2Q3/P2p1p2/5P2/1RB2K2 b - -,g7c3
8/5p2/2q2N2/4P3/3P4/3K4/6k1/8 w - -,d4d5
3rk2r/p1p1qpbp/bn4p1/Q1B5/2P2p2/1P6/P3B1PP/RN3RK1 b k -,e7g5
r1b1kb1r/pppp1ppp/2n5/4P3/2P1n2q/P3BN2/1P2PPPP/RN1QKB1R b KQkq -,h4h5
8/6r1/4p1p1/p5Rp/P2PpP1k/2P1P3/3Kb3/8 b - -,e2g4
r3r1k1/bp1qnpp1/2pp1n1p/p3pb2/1PP1N3/P1NPP3/1BQ1BPPP/R3R1K1 b - -,f6h7
r1bq1rk1/pp2npbp/4p1p1/3p4/3pPP2/P2P4/BPP1N1PP/R1B1QRK1 b - -,d5e4
r2q1rk1/ppbn1ppp/2p2n2/4p2b/1PP5/P1N2NPP/3BPPB1/R2Q1RK1 w - -,f3h4
8/8/B4n1p/P1bk4/8/6P1/3NPP2/6K1 b - -,c5b4
2rq1rk1/pp1n1pbp/2p2np1/3p4/2PPp3/4P2P/PP1NBPPB/R2Q1RK1 b - c3,f6e8
r2qkb1r/pp1bpppp/2Bp1n2/6B1/3QP3/5N2/PPP2PPP/RN2K2R b KQkq -,d7c6
r3r1k1/pbqnbppp/1p2pn2/3p4/2PP4/PP1B1N2/1B1NQPPP/3R1RK1 w - -,f3e5
8/6p1/1b2p2p/7P/3kP3/5PP1/4K3/8 b - -,b6c7
8/2b2pp1/4p2p/2k5/5P2/p3P3/K6P/8 b - -,c5d5
r1b1k2r/ppp1qppp/2np1n2/4p3/2PP4/5NP1/PP1NPPBP/R2Q1RK1 w kq -,d4d5
1r4k1/R3p1bp/3p1pp1/2p5/2P1P3/1r2B1P1/5P1P/3R2K1 b - -,b3b1
4q3/P7/8/K7/5Qk1/4P1p1/1P6/8 b - -,g4h3
8/7p/PkB3p1/1P6/8/2N4n/8/4K3 w - -,c3d5
2r1r2k/6bp/5pp1/Q3n3/5q2/2P5/P3RNPP/3RB1K1 b - -,e5f3
r3r2k/ppp2pp1/2np2b1/4p1p1/1PB1P1PP/2PP2N1/P4PK1/R3R3 b - -,g5h4
r1b2rk1/pp1pb1pp/4p3/4B3/8/2P4n/PPBNKP1P/R6R w - -,a1f1
8/2nk1pp1/3p3p/1p6/4P3/3NKP2/1P4PP/8 b - -,c7a6
5r1k/1Qp2qpp/3p1r2/R3p3/4Pn2/2P1R2P/1P2BPP1/6K1 w - -,a5a8
2r2k2/4ppbp/p1N3p1/5b2/p2P4/4PP2/1P2B1PP/2R3K1 w - -,e2a6
r1bq1rk1/pppnbpp1/3p1n1p/4p3/3PP3/2N1BN1P/PPP1BPP1/R2Q1RK1 b - -,c7c6
r3R1k1/p5p1/bpP1p2p/4N3/8/8/PP3PPP/4R1K1 b - -,a8e8
r1bqk2r/p3npbp/3p2p1/2p1p3/1PPnP3/2N1BP2/P3N1PP/R2QKB1R w KQkq -,a2a3
r1b1k2r/1ppnqpb1/p2pp2p/6pn/3PP3/2PB1NB1/PP1NQPPP/R3K2R w KQkq -,d2c4
rnb1k3/pp3pp1/2p2q2/2bp2r1/4n3/1PP1PN1P/PB3PB1/RN1QK2R w KQq -,g2f1
1B6/7p/pp4p1/2pP4/2P1k3/2P4b/P3K3/8 w - -,b8a7
2r3k1/7p/p2pN1pQ/3P4/1n2p3/2p4P/5PP1/2q3K1 w - -,h6c1
r1b2rk1/p4p2/2pb1p1p/3p4/8/2NB4/PPP2PPP/4RRK1 w - -,e1e2
3N4/4p3/5kp1/3P3p/r6P/5BK1/6P1/8 w - -,d8c6
6k1/P1K3pp/8/5p2/R7/8/1r2p2P/8 b - -,e2e1q
4k3/1Q6/2P5/6pp/3P1p2/3K4/q5P1/8 b - -,a2a3
r3kbnr/1pp2q2/p3bp2/2N4p/4P3/2N1Q1B1/PPP2PK1/R4R2 b kq -,f8h6
8/8/PQ4pk/8/4q3/K1P4p/1P6/8 w - -,b6b8
3r2k1/p3ppbp/1pN1n1p1/1P1q4/P3n3/4BNPP/4PPK1/2Q2R2 b - -,d8d7
2r1b1k1/p4pp1/1pn1p2p/2q5/8/2P2NP1/PPBRQPP1/6K1 w - -,e2e4
1r3rk1/6b1/p2pB3/2p1p2P/q6Q/1b6/P1R1PP2/2B2RK1 b - -,g8h8
r1b2rk1/1pqpbppp/p1n1pn2/8/P2NP3/2N3P1/1PP2PBP/R1BQ1RK1 w - -,d4b3:c3e2
1r1r1k2/1p1nbp2/p1b1p1pp/2p1P3/2P2P2/1P2BN2/P2RBKPP/3R4 b - -,f8e8
1r1rb1k1/1nq1bppp/p7/1p2pP2/3NB1P1/1PP1B2P/P4Q2/2R2R1K w - -,f5f6
3br1k1/1p1q1ppp/r1n5/p3p3/2P3N1/P3P1P1/1P3PBP/2RQR1K1 b - -,d7d1
r1b1r1k1/2qnbppp/pp1pp3/4n3/P3P3/1N1BBP2/1PP1NQPP/R2R2K1 w - -,a1c1
2r2rk1/5p1p/p6p/2b1p3/4Qq1n/2N3N1/PP3P1P/R4R1K b - -,f4e4
rn1qkb1r/ppp1pppp/8/3n3b/8/2N2N1P/PPPP1PP1/R1BQKB1R w KQkq -,f1c4
r1bqk2r/ppp3pp/2nbpn2/3p4/3P1N2/5N2/PPP2PPP/R1BQKB1R w KQkq -,f1b5
6k1/6p1/4p1pp/3p4/3P1KP1/r6P/5P2/8 w - -,h3h4
5r1k/6pp/2N1b3/1p2p3/3p4/1Pn3P1/P2R1PP1/2B3K1 b - -,d4d3
2k5/2p3Bp/8/1p1n4/1Pp5/2P2P1P/8/6K1 w - -,g1f2
8/8/8/2p5/1qN2k2/3K4/8/3B4 b - -,b4b1
2rq2k1/pp1bn3/4pr1p/3nNpp1/3P4/PBN5/1P1Q1PPP/R3R1K1 w - g6,e5d7
5rk1/p1qb3p/1p1pp1r1/3P1pR1/2PQ1P2/4PN2/P6P/1R5K b - -,c7c5
r2q1rk1/ppp1n1b1/1n2p2p/3p1ppP/3PP3/1BN1BPQ1/PPP3P1/2KR3R w - f6,g3e1
3k4/3n2Rp/1p1r1p2/p7/5PB1/8/P4KPP/8 b - -,h7h6
r1bq1rk1/p1p1b1pp/2p1p3/3pB3/3Pn3/1N3N2/PPP2PPP/R2Q1RK1 b - -,a7a5
r1bqk2r/ppp1ppbp/1n4p1/5n2/8/2NPBNP1/PP2PPBP/R1Q1K2R w KQkq -,e3d2
rn2k2r/pp2b2p/2p1bpp1/8/2B1q3/2Q2N2/PP1P1PPP/R1BK3R w kq -,d2d3
r4rk1/pp1qpp2/1bn1b2p/1N1p2pB/2P5/6B1/PP2QPPP/R2R2K1 b - -,d5d4
r4Bk1/pq3ppp/R4n2/8/4p3/8/1PP1QPPP/5RK1 b - -,g8f8
8/5p2/4kB2/4P2P/6K1/8/8/6r1 w - -,g4f4
3r1rk1/2q2pb1/1Nn4p/1p2pbpP/2p5/2P1B1P1/1P2QPB1/R3R1K1 w - -,e2f3
rn1qk1nr/1ppb1pbp/p2p2p1/3Pp3/4P3/2P2N2/PPB2PPP/RNBQ1RK1 b kq -,g8e7
r4rk1/1bqnppbp/p2p1np1/1ppP4/4P3/P1NBBN1P/1PPQ1PP1/3RK2R w K -,e3h6
3Rk2r/1pp1npb1/p1n1b1pp/4p3/2P5/NN2B1P1/PP2PPBP/R5K1 b k -,c6d8
8/2p5/p4k2/P1PPp1p1/4p1K1/4P2P/8/8 w - -,g4h5
r5k1/5pp1/8/2B1n2p/8/P5P1/3N1PK1/8 b - -,e5d3
8/5pkp/4p3/4P1p1/3B1b2/R4P2/2r1r1PP/6RK b - -,g7g6
7R/3k4/1K6/p3r3/P7/8/8/8 w - -,h8h7
r2q1rk1/p1pn2pp/1p1p4/3Ppb2/2P5/P3BP2/1P1NQ1PP/R1R3K1 b - -,d7c5
6k1/6b1/8/3rP3/3P4/5R1p/7P/7K b - -,d5d4
r4rk1/ppq1ppb1/2p2npp/5b2/3P4/1QP1BN1P/PP2BPP1/R3R1K1 w - -,f3e5
r2qk2r/1b1nbppp/p3pn2/1p6/2pP4/1QN2NP1/PP2PPBP/R1BR2K1 w kq -,b3c2
8/8/4kn1p/8/B1R3P1/1P4K1/8/3r4 b - -,d1g1
1R6/p3rk1p/p1B2bp1/3N4/3r4/7P/3n1PP1/2R3K1 b - -,e7e5
4r3/p4pk1/2b3p1/2Np2p1/8/2P4P/PP3PP1/R5K1 w - -,b2b4
3nk1r1/5p2/2r5/3pPpP1/p1pP1P2/BpP2R2/1K6/7R b - -,e8d7
8/3n2B1/5p2/1Q4p1/8/1kq3P1/p4P2/3K4 b - -,c3b4
8/4p3/Rp1pPk2/p4r2/8/2P5/PP6/2K5 b - -,b6b5
5nk1/7p/3r2p1/4Rp2/1P6/p1N4P/P5P1/6K1 w - -,e5a5
5k2/1p3pp1/7p/3p4/3P4/1P2P2P/1KB2BP1/r1r5 b - -,c1c2
2Q5/5pk1/6p1/p6p/P3q3/4P1P1/5K2/8 b - -,e4a4
r1bq1rk1/pp2bppp/4pn2/3pB3/8/2N3P1/PPP1PPBP/R2Q1RK1 b - -,f6d7
7k/pp1r4/3P1n1N/4b3/8/1P3BP1/7P/6K1 w - -,g3g4
r2r1k2/5ppp/3B1b2/p2n1N2/1ppP2P1/P6P/1P3PK1/R3R3 b - -,f8g8
8/1pB2k2/4b1n1/1PK2p2/2P3p1/1B4P1/2R5/2r5 b - -,c1b1
1r6/5kp1/4pp2/3p1n1P/1P6/2P2P1K/r2B2R1/1R6 b - -,b8h8
r1b2rk1/pp2bppp/q1p2p2/8/3P4/2P1BN2/PP2QPPP/R3K2R b KQ -,b7b6
2r3k1/1R3pp1/P6p/8/1B4P1/2p1P3/4BPKP/r7 b - -,c3c2
6k1/pbq2pbp/4p1p1/2p1P3/1p2rP2/4Q1R1/PPP1B2P/3RK3 w - -,e3d2
r1n2rk1/3npq1p/3p1ppQ/PppP4/4PP2/1P2N3/4B1PP/R4RK1 b - -,d7b8
r2qkbnr/1p1n1ppp/p1p1p3/3pP3/3P2b1/3BBN2/PPP1NPPP/R2QK2R b KQkq -,c6c5
5rk1/3q1rbp/pp3p2/2p1pR2/P2pQ2B/1P1P2P1/2P4P/5RK1 b - -,b6b5
2b1r1k1/2Bn1pb1/5npp/6N1/2BR1QP1/7P/1qP2P2/r2R2K1 w - -,c4f7
r3k2r/1b3p1p/p5n1/1p6/4pP2/2P1N3/qPQ1BP1P/2KR3R w kq -,c2d2
rn1qk2r/1bpp1ppp/1p2pn2/p7/1bPP4/1QN2NP1/PP2PPBP/R1B1K2R b KQkq -,e8g8
8/4k3/1p5p/3RPBpP/P4b2/5P2/6Kr/8 w - -,g2f1
2br4/1p2q1kp/rnp1p1p1/p3Np2/P1pP3P/R3P1P1/1P2BP2/2QR2K1 w - -,b2b3
8/4r2p/2k3p1/1R3p2/1P3P2/4P3/5P1P/5K2 w - -,b5c5
4r3/1p1n4/1rp2k2/p2p2p1/P2P4/1PR1PN1P/R4K2/8 b - -,f6f5
6k1/r2n1pp1/P7/1Bp1q2p/4p3/4Q1P1/5P2/2R3K1 w - -,c1d1
rnbqk2r/pp2bppp/4pn2/8/3P4/2N2N2/PP3PPP/R1BQKB1R b KQkq -,e8g8
5rk1/1p1b1ppp/1p6/r3qP2/Pp1pP3/1B1P4/6PP/R3QRK1 b - -,e5e7
rnbq1rk1/4bppp/1pp1pn2/p2p4/2PP4/1PN2NP1/P1QBPPBP/R4RK1 b - -,c8a6
8/p1p1kp2/1p2b3/4K3/8/P1P5/1P2B3/8 b - -,f7f6
8/pb3rkp/1p3qp1/3p1p2/3PBQ1P/1P2N1P1/P4P2/3R2K1 b - -,f5e4
r2qr1k1/6pp/pnp2b2/3ppb2/8/2N3B1/PPPQBPPP/R3R1K1 w - -,e2f1
8/p5pk/2Q5/1p3q1p/3P3P/P1P2PB1/2r3PK/8 b - -,a7a5
r4r1k/2q2p1p/2p2p2/p1Pp1P2/1p1P4/1P2R2P/P1Q3P1/4R1K1 w - -,c2f2
8/8/4n3/8/p5Pp/1kP2N1P/1P1K4/8 w - -,d2c1
1r2n3/Rp1bq2k/1P1p2p1/3P1pPp/2B1pP1P/1Q2P3/1B4K1/8 b - -,h7g8
5rk1/r4p2/2pNnRpP/1p2P1p1/p7/P1P3P1/1P6/2K4R b - -,e6c5
5rk1/2n1n3/3q3p/1p1p1ppQ/3Pp3/1PP1P1PP/5RNK/5N2 b - -,g8g7
1qr2rk1/pb1n1ppp/1p1bpn2/1Pp5/2QP4/2N1P2P/PB1NBPP1/2R2RK1 b - -,f8d8
r3k2r/pp1qbpp1/1np1bn1p/4N3/3P1B2/2PB2N1/PP4PP/R2Q1RK1 b kq -,d7c8
8/6pp/K1k5/1p6/4nPPP/P7/P7/8 b - -,e4f2
