8/1pr2p2/p3k3/7p/P3PP2/3RK3/P6P/8 b - -,c7c2
r2q1rk1/4b1pp/2p1pn2/2Pp1p1b/1PpP1P2/2N3P1/2QBP1BP/1R3RK1 w - -,b1a1
r1b1kb1r/pp1n1ppp/1qn1p3/2ppP3/3P4/2P2N2/PP1NBPPP/R1BQK2R w KQkq -,d2b3
8/4Pk2/4Np2/7p/4b2P/5Pp1/4K3/8 b - -,g3g2
1kbr2r1/ppb2p2/2p1pq2/3p4/2PP4/2N1Pn2/PPQ1BP2/K1BR3R w - -,h1h5
r2r1k2/1p2ppbp/2b3p1/2pN4/p1P1P3/5P2/PP2B1PP/2RR2K1 w - -,c1c2
8/1R6/3p4/3r4/7P/2pr1RPK/2k5/8 w - -,f3f2
rnb2rk1/1pp1qpp1/3p1n2/p2Pp2p/2P1P3/5NP1/PP1N1PBP/R2Q1RK1 w - -,d1c2
k7/2p1r3/p3n2p/2P4r/1P6/4R1P1/PBK2P2/5R2 b - -,h5h2
r4rk1/2p1bppp/1np5/4p3/2P5/PN1PQ1Pq/3B1P1P/1R3RK1 b - -,e7f6
2kr1b1r/ppq2ppp/2p1pn2/8/2PP2b1/3B4/PP1BNPPP/R2Q1RK1 w - -,d2c3
r2qk2r/1b2bppp/ppnppn2/8/P3P3/1NNB1P2/1PP3PP/R1BQ1RK1 w kq -,c1f4
2r5/1p2r3/2P1p1k1/1P1pP3/6pp/8/2R3PP/2R3K1 b - -,b7b6
8/p3r2k/5bpp/3B1p2/2P1p3/3r4/P2PRPPP/1R3K2 b - -,d3a3
r2q1rk1/pp1nppbp/2pp2p1/8/2PPb3/1PB1PNP1/P3QPBP/R4RK1 b - -,e7e6
6r1/1bkp4/3q2B1/p2P2QP/1pr5/6P1/3R2K1/3R4 w - -,d2d4
8/pp4k1/6p1/3Pb2p/P3P1bP/1nN5/5B2/K1R5 w - -,a1b2
8/pr3pk1/2R1n1p1/3p3p/3N4/1P2PP1P/4K1P1/8 w - -,d4e6
6k1/5p1p/1pB1p1p1/1P6/8/5P1P/6P1/3n2K1 b - -,g8f8
3r4/5k1p/5bp1/1pBPpp1P/bP2p1P1/R3P3/5PB1/6K1 w - -,d5d6
8/p2k4/1p1ppb1p/1r6/3P1pPP/P2K1N2/1PR2P2/8 b - g3,f4g3
4r3/7k/p4qpp/1p2P3/8/4P1P1/4P1KP/4R3 w - -,e5f6
rnbqk2r/1pp1bppp/p3pn2/4N3/2pP4/6P1/PP2PPBP/RNBQK2R w KQkq -,e1g1
1r1r4/1p2k2p/p1n5/2NNpp2/1PPn4/P2R4/5PPP/3R1K2 b - -,e7f7
1rb1r1k1/1q3pbp/p1p3p1/1p1Pp3/P3B3/1QP1P1BP/5PP1/R2R2K1 b - -,c6c5
3knr2/r1q1bp1p/2Pp1p2/p2B1P2/1p6/4R1P1/PPP1Q2P/2K1R3 b - -,a5a4
r1bq1rk1/pppnnpbp/3p2p1/4p3/2PP4/2N2NPP/PP2PPB1/R1BQ1RK1 b - -,h7h6
r2q1rk1/1p1nppbp/p1p3p1/8/3P2b1/1Pn1PN2/PB2BPPP/2RQ1RK1 w - -,b2c3
4rr1k/1pp5/3p1q2/p2P1Bpp/P1PPP2b/1P1K2pR/8/2B4Q w - -,c1g5
r3k2r/2qbbppp/p1npp3/1p4Pn/4P3/1NN1BP2/PPPQ3P/2KR1B1R w kq -,f3f4
1r1q1rk1/pp2bpp1/n1p1pn1p/N7/1P6/P4BP1/3PPP1P/R1BQ1RK1 w - -,c1b2
rqb2rk1/pp2bppp/4pn2/1Nn3N1/2BR4/8/PPP1QPPP/R1B3K1 b - -,e6e5
3r4/1kp3p1/1pb1rp1p/p1pNP3/2P2PP1/6KP/PP6/3RR3 b - -,f6e5
8/5p2/6kp/P3Q1p1/4p1q1/4P3/6P1/3r1BK1 w - -,e5b5
r1b2krR/4bp2/pqp1p1p1/3pP3/5B2/7Q/PPP2PPP/R5K1 w - -,h3h6
8/3r2p1/pR6/5rk1/PP1B3R/4P1K1/4b1P1/8 w - -,h4h7
1r2r1k1/p4p1p/2p3p1/8/4b2P/4NqP1/PQ3P1K/R3R3 w - -,b2e2
5R2/2p3rk/1p1p2q1/3P2b1/1PPQ3p/r3p2P/4R1P1/5N1K w - -,f1h2
