8/2k4p/3R1r1P/2P5/PK6/8/8/8 b - -,f6f4
r1bqr1k1/pp1nbppp/2p1pn2/2Pp4/3P1B2/2N2NP1/PPQ1PPBP/R2R2K1 w - -,b2b4
7r/2k1n1p1/4b1P1/1p2P3/p1pPB2K/P1P5/3B4/5R2 w - -,h4g3
1r4k1/Q4pp1/3Rp2p/1p6/1Pn5/P4PP1/5PBP/q5K1 w - -,g2f1
8/5p2/3k4/2p5/1p1q1p1p/1P1rbPpP/P1R3P1/1Q2R2K w - -,c2e2
8/8/R7/5p2/5k2/2r5/5K2/8 w - -,a6a4
3r1rk1/b2q1pp1/2p3n1/1p2p2p/pPPpP1nP/P2P1NPB/1BQR1PK1/4R3 b - -,f7f5
4rrk1/ppp3p1/1N1p4/3P1q1p/2R1p3/1P2P1P1/P4P1P/3Q1RK1 b - -,c7b6
8/8/p2p2k1/1pn3b1/8/8/P1P1R3/7K w - -,h1g1
4r1k1/pp3ppp/5q2/3p4/4n1b1/2P1P3/PP2N1PP/R2QRK2 w - -,f1g1
8/1p3k2/p2r2pp/P7/1R6/8/1P3KP1/8 b - -,d6d7
8/4k3/8/4p1N1/2K1P2p/5P2/6bP/8 w - -,c4d5
3r1qkb/pb1r1p1p/np1pp1p1/1N1N3n/2P1PP2/4B2Q/PP1RB1PP/3R2K1 w - -,d5c3
8/p1k5/4K2p/2P3r1/2R3P1/8/P7/8 b - -,c7c6
1r3q1k/3R1prp/1p6/P1p2Qb1/1P4p1/2P3P1/2B2P2/4R2K b - -,b6a5
8/8/8/R5p1/6k1/5p2/4r3/6K1 b - -,g4f4
2R5/8/5pp1/8/4k3/2b1P1P1/2r2P2/5K2 w - -,f1g2
r4rk1/bppqnppp/p1np4/3Np3/1PP3b1/P3P1P1/1B1PNPBP/R2Q1RK1 w - -,d5e7
4r2k/1p3q1p/2b4r/p1pNpp2/2P2P2/1P3QRB/P7/3R1K2 w - -,f4e5
5rkb/2PQ4/1B1p2pp/3Pp1q1/4P3/5pPP/5P2/5NK1 b - -,g5c1
r2qkb1r/pp1n1ppp/2p1pn2/3p1b2/3P4/2P2PPN/PP2P1BP/RNBQ1RK1 b kq -,f8e7
8/r4pk1/4p1pp/p1RpP3/3P3P/P4P2/6P1/6K1 w - -,g1f2
1r6/3RP3/6nk/3B2pp/8/4KP2/8/8 w - -,d5e4
r1bqr1k1/pp3pbp/n2p1np1/1NpP4/5B2/5NP1/PP2PPBP/R2Q1RK1 b - -,g7f8
r2q1rk1/pb1nbpp1/1pp1pn1p/3p4/2PP3B/2N1PN2/PPQ1BPPP/R2R2K1 b - -,a8c8
r6k/1pR2b2/p2pBB2/Pr1Pn2p/1P1NP2P/5P2/8/6K1 b - -,h8g8
6R1/2k4r/1R2p3/4Pp2/2pP4/P1P2K2/1P6/8 b - -,c7b6
8/p5k1/1p4p1/3pq2p/5r2/P1PQ3R/6P1/7K w - -,h3e3
8/8/8/4B3/6P1/5K2/p1k5/8 w - -,g4g5
2n2r1k/1b1q3p/1p2p3/pP1pPp2/P7/1Q2BP2/2R1B1PP/6K1 w - -,b3c3
4r3/2pb1kp1/1p1n3p/3Pp3/p3P3/P1PBKNP1/7P/1R6 b - -,d7g4
2r2k2/5pp1/p1rp4/4pP2/1N2n2p/2P4P/RP4PK/3R4 b - -,c6b6
r4rk1/pp1nqpp1/2pb1np1/3pp3/2P5/1P1P2P1/PBRNPPBP/3Q1RK1 b - -,f8c8
8/3k3p/r1prp1p1/1p6/1p3P2/1P4P1/P1R1R1KP/8 w - -,e2e5
r1b2r2/p5k1/2pp1n2/4pp2/2P2n2/2N2N1P/PP2BPP1/R4RK1 w - -,f1d1
1rq2rk1/R3bppp/1p1p4/2pR4/4P3/1B3PP1/1PP1QP2/6K1 b - -,b8b7
1kr5/4qb2/p4p2/1prp1ppp/P2Q3P/2P1P1P1/1P1K1P2/RR3B2 b - -,e7b7
1nbq1r1k/1r3ppp/p1p2b2/P2p4/1p1P4/1B1NBP2/1PPQ2PP/R4RK1 w - -,f1e1
3rk2r/pp2bppp/1qp1pn2/8/3P4/1Q5P/PPP1BPP1/R1BR2K1 b k -,e8g8
6k1/3nbppp/b3pn2/2pp4/1p1P4/1P2PNP1/2PN1P1P/B4BK1 b - -,a6f1
4k3/8/p3p3/bp6/4q1pB/4Q1P1/3n1P2/4N1K1 w - -,e1c2
rnb2rk1/pp2q1pp/2p1p3/3p1p2/2PPn3/P1NBPN2/1P3PPP/R2Q1RK1 b - -,f8f6
7k/R7/4NP2/2n3Kp/p7/1r6/7P/8 w - -,e6c5
