5b2/7k/4KP2/8/3B2R1/8/3r4/8 b - -,d2h2
1r6/8/P3k2p/1P5P/5p2/2K3p1/8/R7 b - -,g3g2
8/p7/3k2p1/P1pr3p/5p1P/2K3P1/8/4R3 w - -,g3f4
5bk1/p5p1/1p2pp1p/2n5/3BP3/P6P/1P1N1PP1/5K2 b - -,c5d7
3r1rk1/pp1b2pp/2p1p3/4P1q1/2QP1pP1/5P2/PP4BP/3RR1K1 b - -,g5e7
4q1k1/1rp3pp/p4p2/2RP4/3Q4/2B2PPb/PN5P/6K1 w - -,d4e4
r2qk2r/pp1bbppp/3ppn2/2p5/3nPPP1/1PN2N2/PBPPQ2P/R3KB1R w KQkq -,f3d4
1k1r3r/4qppp/3p1n2/1bp1p3/Q1PnP3/P3BP2/3R2PP/2K2B1R w - -,c4b5
5r1k/1q4pp/1p6/2b5/P1QNp3/5PP1/3N1K1P/8 w - -,f3f4
r1bq1rk1/1p1n1ppp/p1n1p3/3pP3/1b3P2/1NNBB3/PPPQ2PP/2KR3R b - -,b7b5
r3k2r/p1p2pb1/1pN3pp/8/P7/2P1PPn1/6PP/2R2K1R w kq -,h2g3
r1b2r1k/1q1nbppp/p2ppn2/8/Np1NP3/1B2BPQ1/PPP3PP/R2R2K1 w - -,g3f2
5r2/4p1kp/p2p2n1/1p2pq2/2p5/P2PQPRP/1PP4K/6R1 b - -,c4d3
4r2k/5Rp1/1pQn3p/p7/2PqpP2/P5P1/1P5P/4R2K b - -,d4f2
r1b2rk1/pp3ppp/2nqpn2/3p4/8/1N3NP1/PPP1PPBP/R2QK2R w KQ -,e1g1
2r2rk1/p4p1p/1p4pQ/n2pPp2/3P4/2R2NP1/Pq4P1/5RK1 b - -,b2c3
r1bq1rk1/ppn2pbp/3p1np1/2pPp1B1/2P1P1P1/2N2N1P/PP2BP2/R2QK2R b KQ -,a7a6
1kq3r1/p2bp3/1p1p4/2pPbp2/8/P1PPNB2/1P2QP2/1K5R b - -,e5f6
7k/3R4/8/5K2/6PP/8/8/6r1 b - -,h8g8
r1b2r1k/p1n1q1bp/1pp3p1/3p1p2/2PP2n1/1Q2PNP1/PP3NBP/1RB2RK1 b - -,c8a6
3q4/1R3P2/1p6/p3p3/P1BpP1p1/3P4/1k2N2P/4K3 b - -,b2c2
3bk3/1b3pp1/p3p3/1pBqPnN1/1P1pNP2/3P4/P4QPP/2R4K b - -,f7f6
4r1k1/r2n1pb1/2pp1qpp/8/2PPpB2/6PB/4PP1P/1RQ2RK1 w - -,d4d5
r3k1nr/1bqnbp1p/pp1pp1p1/8/4P3/1NNB4/PPPBQPPP/4RRK1 w kq -,f2f4
r2r2k1/1p1n1pbp/p1b1p1p1/2p1P3/2P2P2/4BN2/PP1RB1PP/5RK1 b - -,g7f8
r3k2r/pp3pp1/2p1pn1p/7P/3PQ3/P4N2/1PP2PP1/R3K2R b KQkq -,f6e4
1r3rk1/n2nbppp/pq1p4/1ppP4/4PP2/1PN3PP/PB2Q1B1/3R1R1K b - -,e7f6
r2q1rk1/pp1nbppp/2pp1nb1/4p3/2PPP2N/2N1B1PP/PP3PB1/R2Q1RK1 b - -,a7a6
3rrbk1/1p2qp1p/p1n3p1/3p4/8/1PBQPN1P/P4PP1/2RR2K1 w - -,d1d2
r1b1r1k1/1p3pbn/pq1p1npp/2pP4/P4P1B/2NBPN1P/1P1Q2P1/R4RK1 w - -,a1e1
r4k2/1b3ppp/4pn2/p1p1N3/P4P2/1P1B4/2P3PP/3R2K1 w - -,d3b5
4rr1k/pQ2Npbp/4b1p1/2P5/6n1/8/P2p2PP/1R3RK1 b - -,g4e3
6r1/pp5k/2b1p3/3rB3/5P2/3pK2P/PP5R/2R5 b - -,g8g3
rnbq1rk1/ppp1ppbp/3p1np1/8/2B1P3/2PP1N2/PP3PPP/RNBQ1RK1 b - -,c7c5
6k1/6p1/7p/2R2n2/2N5/1P6/2rB3b/4K3 b - -,f5d4
2rr4/1p2kpp1/p2p1n2/P3p3/1PP1PP2/2R3P1/5KB1/3R4 b - -,c8c7
r6r/3kbp2/4q1p1/1p1pP2p/pPNP1P2/P2Q4/6PP/1RB2RK1 b - -,b5c4
2kr3r/1p1nq3/p3p2p/2ppPppP/3P4/1RP2NQ1/P1PK1PP1/7R b - -,c8c7
r2q1rk1/1b3ppp/pn1p2n1/1ppP4/4PPP1/1P3NNP/PBB5/1R1Q2K1 b - -,f7f6
r3kb1r/1bqn1ppp/pp1p1n2/4pN2/2P1P3/1PNB4/PB3PPP/R2QR1K1 b kq -,g7g6
r1bqkb1r/pp1n1ppp/2p1pn2/3p4/8/1P3NP1/PBPPPPBP/RN1QK2R w KQkq -,e1g1
8/2p5/2r2kpp/P2R4/1P1P1pP1/2K2P1P/8/8 w - -,d5c5
rnbqk2r/ppp1ppb1/3p1npp/8/2PPP3/2N1B3/PP3PPP/R2QKBNR b KQkq -,f6g4:e8g8
4Q3/r5kp/q4pp1/8/p1PR4/7P/6P1/7K b - -,a4a3
r2qk2r/pp1nppb1/2p2npp/6N1/2NP2b1/6P1/PPQ1PPBP/R1B2RK1 w kq -,g5f3
r1b1r1k1/1pqn1pbp/p2p1np1/P1pP4/8/N1N3P1/1P2PPBP/R1BQ1RK1 w - -,a3c4
1k5r/pp1Q1pp1/q7/P1pP1N2/1nP5/R4KP1/1P6/8 b - -,a6c4
3r1k2/p3Npp1/1p5p/4R3/5Pb1/P5P1/1P1p1K1P/4R3 w - -,e7c6
r1bq1rk1/pp1nbppp/2n1p3/2ppP3/3P4/2PB1N2/PP1N1PPP/R1BQ1RK1 w - -,f1e1
1krq1r2/pp5p/2n1b1p1/PN1pp3/1P5P/3B2P1/1QP2P2/1R3RK1 w - -,b5a7
5rk1/5p1p/1Q1ppR2/4n3/2P1P3/2N3P1/3rbPBq/4K3 b - -,d2b2
5rk1/5ppp/p3p3/4B3/q2P4/1nn5/5PPP/4QRK1 w - -,e1c3
8/2k2p2/2p1p1pp/PbK1P3/5P1P/6P1/6B1/8 b - -,h6h5
r2r2k1/pb2qpp1/1p1p1n1p/2pP4/1P6/PQ2PN2/2B2PPP/R2R2K1 b - -,a8c8
r4rk1/4pp2/bn1p1q1p/2pPb1p1/P3P3/1P2N1PP/1BQ2PB1/1RR3K1 b - -,e5b2
rnbqkb1r/p4ppp/2p1p3/3nP3/PpBP4/5N2/NP3PPP/R1BQK2R b KQkq -,f8e7:a7a5
8/8/R7/Pp2pk2/1P3r2/2pK4/8/8 b - -,f4b4
r3k2r/pb1q1pbp/1p1pn3/2p5/4PN2/2PPN3/PP3RBP/R2Q2K1 b kq -,e8c8
8/2R2k2/1B6/p2p1p1p/3P1qp1/5P1P/PP4P1/7K b - -,f7e6
6k1/2q4r/5Q2/r2P3P/5P2/2PR4/6PK/8 w - -,h5h6
8/2p1k1p1/2B2n1p/p1PPp3/4P2P/P1NK1bP1/8/8 b - -,f3h1
8/8/pk6/2R3p1/6r1/8/4K3/8 w - -,c5f5
rnbqk2r/ppp1bppp/4pn2/3p4/2PP1B2/P1N5/1P2PPPP/R2QKBNR b KQkq -,a7a6
8/8/8/6p1/4pk1p/1r6/R4KPP/8 b - -,g5g4
r1b1kb1r/3p1ppp/p1p1pn2/4q3/Q1P5/4BB2/PP3PPP/RN2K2R w KQkq -,e1g1
5nk1/2p1r1p1/1r2P2p/3p1p1P/2bP1N2/qp2Q1PB/1R6/1R4K1 w - -,h3f5
rnbq1rk1/ppb2ppp/4pn2/2Pp4/1P6/P1N1P1N1/4BPPP/R1BQK2R b KQ -,b7b6
rn3rk1/5ppp/ppqppn2/8/2P5/5NP1/PPQNPPKP/R2R4 w - -,a1c1
r3r1k1/3R2pp/pq1B1b2/2p1pQ2/2P5/6P1/P4P1P/4R1K1 b - -,b6b4
4rr2/pb2q1kp/3n2p1/2ppnp2/8/1P2PP1N/P2Q2PP/1N1RRBK1 b - -,g6g5
3r1k1r/pp1b1p2/1q1bp2p/4R1p1/3P2Q1/1B4B1/PP3PPP/3R2K1 w - -,e5e1
1r2b1k1/pq3pbp/6p1/1p1Np2n/2r1P3/P4N1P/1PP2QP1/2BRR1K1 w - -,b2b3
5R2/8/5k2/5p1p/1r2P3/6P1/6KP/8 b - -,f6g6
1k1rr3/pp3p1p/5P2/2p5/3PpR2/1PP3P1/P4K1P/2R5 w - -,f2e3
8/7r/5k2/6R1/6K1/8/5P2/8 w - -,g5f5
1r1q2k1/p1pb1Nr1/1p1p3b/1P1P3B/P5p1/2BPPn2/5Q1P/4RRK1 w - -,g1h1
r4rk1/pp2p1bp/4p1p1/2p1P3/4NP2/3P4/PPP4P/R3KR2 b Q -,g7h6
r1bqk1nr/ppp2pbp/2np2p1/3N4/2PP4/5N2/PP2BPPP/R1BQ1RK1 b kq -,g8e7
r2qnrk1/1p4bp/3pb1p1/p2Npp2/2P1P3/P2BBP2/1P2n1PP/2RQ1RK1 w - -,d1e2
8/8/4k3/2b1Pp2/1p3B1R/r7/2K5/8 b - -,a3f3
r4rk1/1pq1bppp/4b3/1Bnnp3/p7/N1N1BP2/PPP1Q1PP/R4RK1 w - -,c3d5
4rrk1/2pb1qb1/3pp1pp/1NPn1n2/3P3P/3Q1NP1/1P2RPB1/2B1R1K1 w - -,b5c3
rn2k1r1/p1p1np1Q/1pq1p3/3pP2p/3P4/P1Pb1N2/2PB1PP1/R3K2R w KQq -,h7d3
r7/1p2rk1p/p1p2pp1/3p4/3Pn3/1P2P1PP/P1R2PK1/2R1N3 b - -,a8e8
6k1/R7/4P1n1/3p2K1/p1pP2N1/2P5/6r1/8 b - -,g6f8
2b3k1/4q1pp/r1p1p3/p1p4P/PrPpR1N1/1P1P2P1/3Q1P2/1R4K1 b - -,a6b6
1k1r4/1p3pb1/p3b1pp/4N3/3R1P2/4B3/P3rKPP/8 w - -,f2e2
r6r/1p1bkpbp/p2p1np1/4p3/2P1PB2/NN3P2/PP4PP/1K1R3R w - -,f4e3
r1r2k2/1p1bnp1p/p3p1p1/6N1/2PP4/1P1B4/5PPP/R3R1K1 b - -,h7h6
r4r1k/pbqn2pp/1p1p4/P1pPp3/2P1Pp2/R1PB1P2/1Q1B2PP/R5K1 w - -,d3c2
3RN3/2P1npkp/6p1/2r3P1/4p3/p6P/5PK1/8 b - -,g7f8
R7/6pk/1P5p/P7/8/5P1P/1r1r2P1/6RK w - -,a8c8
r7/1p2k1pp/2p1b3/p4p2/1P1R1P2/5P2/1PB1P2P/6K1 w - -,g1f2
2qr2k1/4bppp/p7/2P2r2/1P6/5PB1/P2Q2PP/1R2R1K1 w - -,d2e2
2r5/1p6/p2p2p1/P2Pn2p/1PPK1k2/3B2R1/7P/8 w - -,d3e2
2qB1bk1/1p3ppp/n2Pr3/1Npn4/2P5/6PP/5PBK/1Q1R4 b - -,d5f6
1r1r2k1/p4p1p/2p1p1b1/2Q5/5P2/1PNPR1P1/P6q/2KR4 b - -,d8d7
5k2/5p2/5r2/2p3Q1/2Pq4/2p1RBP1/Pr3PKP/8 b - -,c3c2
8/8/8/4p2p/3k3n/5K2/8/5N2 w - -,f3g3
1rb2rk1/2q2pb1/p2pp1pn/1pp4p/4PP2/3PBNPP/PPP1Q1BK/3R1R2 w - -,f3h4
6k1/1p2Qb1p/p5p1/P7/3NK2P/8/8/7q w - -,e4f4
r1b1k2r/pp1nb1pp/1q2p3/3pPp1P/3P1P2/P4N2/1P4P1/1RQ1KBNR w Kkq f6,f1d3
r4rk1/1pp2pbp/2npb1p1/p1q5/2PpPN2/PP1P2PP/1B3PBK/R2Q1R2 w - -,f4d5
r2r2k1/pb3pp1/1pp1pq1p/8/2PP4/4Q1P1/PP1R1PBP/4R1K1 b - -,d8d7
6k1/pp1q4/4p1Qp/6p1/1P1b1p2/P5B1/5PPP/6K1 b - -,d4g7
8/5pkn/2p4p/2Bp1Bp1/1P4P1/5P1P/5K2/3b4 w - -,f2e1
8/5p1p/3kb1p1/3p4/3K1P2/4P1P1/6BP/8 w - -,g2f3
r1b1k2r/p1q2ppp/1pnppn2/2p5/2PPP3/2PB1N2/P1Q2PPP/R1B2RK1 b kq -,e6e5
