8/3k4/4N2R/4K3/8/8/8/r7 w - -,h6h7
r2qk2r/1b1nppbp/p2p1np1/1p6/4PP2/1NNBB3/PPP3PP/R2Q1RK1 w kq -,a2a3
r2q1rk1/pp1bRpp1/7p/2QN4/7P/8/PP3PP1/3R2K1 b - -,d8c8
1r2kb1r/2q2ppp/p3p3/2P1p3/Qp2b3/4B3/PP2BPPP/2R2RK1 b k -,e4c6
r2r2k1/ppb2ppp/4b3/4p3/P1N1n3/1P2P3/1B2BPPP/R2R2K1 w - -,d1d8
rn1q1rk1/1p2bppp/2p1pnb1/p2p4/4P3/PP1P1NP1/2PNQPBP/R1B2RK1 b - -,b8a6
1r3rk1/2qn1ppp/1b2p2n/1p1pP3/p2B4/2PQ1N2/PP1N1PPP/R4RK1 w - -,f3g5
r4k1r/1b3pp1/p1n1p2p/1pqpP3/5P1Q/2N5/PPP3P1/1K1R1B1R w - -,f1d3
6k1/5pbp/3p2p1/1PnPp3/2B5/P6P/5PP1/6K1 w - -,b5b6
8/3b1ppk/7p/pRBr4/2n5/8/1P3PP1/R5K1 w - -,b5a5
rn1q1rk1/1p2ppbp/2p1bnp1/3p4/p1PP4/1P3NP1/PB1NPPBP/R2Q1RK1 b - -,a4a3
r2qk2r/1p2bppp/p3pnb1/2Pp2B1/1P6/2P2N2/P2N1PPP/R2QR1K1 w kq -,f3e5
8/8/2p2p2/p1p1p1k1/P1P1P3/3P1KP1/1r6/R7 w - -,f3e3
2r5/b1p1nk1p/p2p1ppq/8/2Q1PP2/B5PP/PPR4K/3R4 b - -,f7f8
8/3k3p/3P4/4RN2/1b1K1B2/2r5/6P1/8 b - -,c3c2
1r4k1/1r3ppp/p6q/2bNPQ2/8/3R4/1PP3PP/1K3R2 w - -,b2b3
2b1k3/b5pp/p2Bnp2/3Bp3/1PN5/4P3/5PPP/5K2 b - -,e6d8
7k/Np3p2/p1p3p1/7p/8/1PPQ3P/5qP1/7K w - -,d3d4
k1r5/pb3ppp/RR6/2Pp4/8/4B1P1/P1r2P1P/5K2 w - -,a6a5
3r4/1q3p1k/pprpb1pb/3Np3/P1P1P1BP/1P1R4/4QPK1/7R b - -,e6d5
7N/8/8/p1b4p/4k2P/1P3p2/P7/5K2 b - -,e4f4
8/pp3k1p/4p1p1/1P1p2B1/n4PPP/2rBPK2/P7/2bR4 w - -,d3f1
5r2/5kpp/p1PP4/5p2/2Bp4/8/6PP/7K b - -,f7f6
rn3rk1/1bppqppp/1p2p3/p7/2PP4/2Q2NP1/PP2PPBP/R4RK1 b - -,b8a6:d7d6
8/7p/3pk1p1/4pPP1/2Pp1P2/1P1R1K1P/7r/8 b - -,g6f5
8/R7/3k1P2/6p1/1p6/p7/6r1/1K6 w - -,a7a5
4k3/3b1p2/1pq5/2pnp2p/4N2P/3P1P2/1P1BP1Rb/R3K3 w Q -,g2h2
r1bq1rk1/pp2n1b1/2pp1npp/1P1PppN1/2P1P3/2N2B2/P4PPP/R1BQR1K1 w - -,g5e6
1r1q2k1/1p2rp1p/p2n2p1/P1pP4/3bbPP1/2N5/1P4BP/R1BQ1R1K w - -,f4f5
r1b2rk1/ppq1bppp/2nppn2/2p5/3PP3/2P3PP/PP2NPB1/RNBQ1RK1 w - -,d4d5
r1bqkbnr/pp3p1p/2np2p1/2p1p3/2P5/2N2NP1/PP1PPPBP/1RBQK2R b Kkq -,f8g7
5k2/3Rb3/1p1p4/3P4/2Pr3p/7P/4B3/5K2 w - -,d7c7
1r1qk2r/ppnbb1pp/2n2p2/2p1p3/4N3/3PB1P1/PP1NPPBP/2RQ1RK1 b k -,b7b6
1r1q2k1/p5p1/4RrNp/n2p4/2p5/b1P3N1/PPQ3PP/1K1R4 w - -,d1e1
2rr2k1/1pqnbpp1/p2pbn2/P3p2p/4P3/2N1BP2/1PPQB1PP/R1NR2K1 b - -,g7g6
1rq2rk1/p2bn1b1/1p1p3p/nPp3p1/2P1Pp2/P2P1N1P/3BNPBK/1R1QR3 w - -,d2a5
1Q6/3r1k2/6b1/4Q3/6P1/7P/1P3KP1/3q4 b - -,d1c2
r5r1/3q1k1p/2p1b1p1/1p1pPp2/pPnB1PP1/P2QPB1P/6RK/6R1 w - -,d4c5
r3nr1k/4bp1P/p2p3B/2q4Q/4P3/1P5b/1pP2P1P/1K4R1 w - -,h5h3
r2q3r/p2knpp1/1pn1p2p/3pP2P/b1pP3N/P1P5/2P1BPP1/R1BQ1RK1 b - -,e7g6
6rk/pb1n1q1p/2pb1p1B/2p1pP2/N1Pp2RN/1P1P2QP/P5P1/6K1 b - -,g8g4
r2qkb1r/1p1n1ppp/p1p1p3/2Pp4/3P1P1n/2N1P1N1/PPQ3PP/R3KB1R b KQkq -,f7f5
2r2rk1/pp1bppbp/3p1np1/8/qn1PP3/NQ2B1PP/PP2NPB1/1R2R1K1 w - -,b3a4
5k2/7R/4pp1p/3p2pr/3P4/6P1/5P2/6K1 b - -,g5g4
r4rk1/pbpnq1pp/1p2p3/2P1Ppb1/3P4/2N1P3/P1Q1B1PP/R1B2RK1 w - -,c5b6
5k2/7p/3p2p1/2pP1n1q/4NP2/2P5/5Q1K/8 w - -,h2g2
3r1q1k/pb1p1prp/1bnP1N1Q/7N/2p1PpP1/P1P5/6BP/1R3R1K w - -,b1b5
1n4k1/2N2pbp/6p1/4p3/P7/6P1/5P1P/2B3K1 b - -,b8c6
6k1/pp3pp1/2p1nnp1/3p1q2/3P4/2P2N1P/PP1NQPP1/6K1 w - -,e2e5
n7/2n2kp1/p6p/1p2PP1P/2p4N/P3BK2/1P6/8 w - -,f3e4
rnbqk2r/pp2ppb1/7p/2p3p1/4P3/2P2NP1/PP1N1PP1/R2QKB1R w KQkq -,f1b5
r3k2r/1p3ppp/p1b1pn2/8/P4PP1/2N4P/1PP5/2KR1BR1 b kq f3,f6d5
8/3K4/8/3k1p2/7p/6P1/7P/8 b - -,h4h3
2r1r1k1/1q3ppp/p1p5/3p4/3Qb3/1P2P1P1/P4PBP/2RR2K1 w - -,f2f3
8/4k3/1p2P3/1p3p1p/1b3r2/pB2R2P/P7/2K5 b - -,h5h4
1r2rbk1/1b1n1p1p/p3q1p1/1PpnP1B1/1P2B3/5N1P/4NPP1/R2QR1K1 b - -,a6b5
1r1q3k/1p1b2b1/pNn1p1pp/2Pp4/3P4/B3P1P1/P5BP/1R1Q2K1 w - -,d1g4
r2r2k1/pb2ppbp/1pn3p1/q1p5/3PP3/2P1BN1P/P2QBPP1/3R1RK1 w - -,d2c2
8/pn3pn1/2prbk1p/4p1p1/1pN1P3/5PB1/PP2K1PP/1BR5 b - -,e6c4
3rr1k1/pb3qb1/1p1ppnp1/2n5/P3PP2/2N1B1Q1/1PPN2B1/R4RK1 w - -,a1e1
r1b3k1/pp3rpN/2nq3p/3pp3/3P2n1/3B2PP/PP2NP2/R2Q1RK1 w - -,h3g4
r2q1rk1/ppp2pbp/2npbnp1/8/4PP2/2NBB2P/PPP1N1P1/R2QK2R w KQ -,g2g4
2rq1rk1/1p3pp1/p1bbpn1p/8/1PBP4/P1NQB2P/5PP1/2R2RK1 w - -,f1e1
r2q1rk1/pp1n1pp1/2pnp1p1/6P1/PbBPP3/2N1BP2/1P5P/R2Q1RK1 w - -,c4e2
r1bqkb1r/pp3ppp/2n1pn2/3p4/3p4/1P1BPN2/P1PN1PPP/R1BQK2R w KQkq -,e3d4
3r2k1/1pp2p2/p1nrq1pp/4p3/1P2Pn2/2P1NN1P/P1QR1PP1/3R2K1 b - -,g8g7
r1b2rk1/1ppn2np/3p2p1/p2Pppq1/2P1PP2/2NN2P1/PP4BP/R2Q1RK1 b - f3,e5f4
3q1rk1/3nbppp/p4n2/1p2p3/3p4/P2B1PBP/NP3P2/1Qr2RK1 w - -,f1c1
4k3/1b3p1p/p2Bp3/4P1r1/8/5P2/P4K1P/5R2 w - -,f2e3
3r3r/P1pk1ppp/2q3n1/8/1b1BP3/8/2P1QPPP/R4RK1 b - -,f7f6
r2qk2r/1ppb1pb1/p1np2pp/3N4/3NP2P/4BP2/PPPQ2P1/1K1R3R b kq -,c6e5
1q2r1k1/5R1p/3b2p1/8/5NQ1/7P/5PPK/8 w - -,f7f5:g4d7
5rk1/5bp1/1pp2q2/3p1P1p/5Q2/2PB3P/r2BR3/5RK1 b - -,f8a8
2r1r1k1/5pb1/1P2p1p1/p2pP2p/1p2nP2/1P2Q3/1Nq2BPP/3RR2K w - -,e1e2
r2q1rk1/ppp1bppp/2npbn2/4p3/P1B1P3/3P1N2/1PP2PPP/RNBQR1K1 w - -,c2c3:b1c3:a4a5
6n1/1p4kp/2r2pp1/2qNp3/p3P1P1/P2P3P/1P3RK1/3Q4 b - -,b7b5
8/1p1k1pp1/p1r1p3/2P4p/5P2/P1RKP1P1/7P/8 w - -,d3d4
5rk1/3n3p/1q2pbp1/2nb4/1p1N1P2/1P2Q3/rBBN2PP/1R3R1K w - -,d2c4
r2q1rk1/ppb1n1pp/2n1bp2/2p1p3/P1NpPP1N/1P1P2P1/2P1Q1BP/R1B2RK1 b - -,a7a6
1r2rbk1/5ppp/pqbp1n2/2p5/2PpPPP1/R2P3P/1P2N1B1/2BQ1RK1 b - -,a6a5
r4k2/3n1p1Q/pp1p2p1/5PP1/P3q3/1NR5/1PnBr2P/5RK1 w - -,h7h8
r3r1k1/5p2/p3bPpB/1p4P1/2pPp3/P3P1b1/1P4K1/3R1R2 w - -,g2g3
r5k1/2p3pp/3b4/pP6/P3p2r/6qP/6P1/R4RQK w - -,a1a2
1r1q1rk1/pp1b2p1/1nn1pb1p/2pp4/7P/2PP1NP1/PP3PBN/R1BQR1K1 w - -,c1f4
2k5/Qpp1q2p/2bp2p1/P2n1p2/3N1P2/5N2/1PP2PP1/2K5 b - -,e7e4
r2r2k1/pp2ppbp/2n3p1/2p2b2/q2Pn3/2P1PNP1/PB1NQP1P/R2R1BK1 w - -,d2e4
1r1r4/3b2bk/6pp/4pp2/8/1P1PQ1P1/2P1R1BP/7K b - -,d7e6
4k2r/1p3p1p/p2R4/8/4Pp2/8/PPr3PP/3R2K1 b k -,e8e7
rnbr4/4kpp1/p2p3p/1p1Pp3/8/BP1B1P2/P1P3PP/2KR3R b - -,b8d7
r1bqnrk1/pp2bppp/4p3/4R3/2Pp4/1P4P1/PB1P1PBP/RN1Q2K1 b - -,f7f6
8/1R6/6p1/3k3p/8/1P3K2/2r2B1P/2n5 w - h6,b7d7
R7/6k1/P4p2/8/8/5KP1/r7/8 b - -,a2a4
r4rk1/pp1q1pp1/4pn1p/2b5/7B/5N2/PPP1QPPP/R4RK1 w - -,f3e5
r4rk1/pp1n1pp1/1qpb1n1p/3pp3/4P3/1NPP1BPP/PP3P2/R1BQ1RK1 w - -,f3g2
2b4q/1p2r1k1/p1p3pr/2PpPp1p/P2P1Q2/1R1BP2P/3K2P1/6R1 w - -,g2g4
r1bq1rk1/p1p1bppp/1p2pn2/n7/3P4/P1N1PN2/BP2QPPP/R1B2RK1 b - -,f6d5
2rb2k1/3R2np/2N1ppp1/4B3/3P1P2/1P2P1PP/P7/6K1 w - -,e5d6
r3kbnr/pppqp1pp/2n2p2/3p4/3P1BP1/2N2B1P/PPP1PP2/R2QK2R b KQkq -,e7e5
r1b2rk1/pp2qppp/2pp1n2/8/2P5/PNQ1P3/1P2BPPP/3RK2R b K -,d6d5
rnb2rk1/2qnppbp/2pp2p1/p3P3/PP1PNP2/3B1N2/1P4PP/R1BQ1R1K b - -,a5b4
r7/1p1bpq1k/3p2pp/3P1p2/1P2B3/2B3PP/5P2/1QR3K1 b - -,f5e4
8/2b4p/1p3k2/pn4P1/4pP2/4P2P/3N2K1/1B6 b - -,f6g7
rn3rk1/1p1n3p/p4p2/2pp1b2/5P2/4PN2/PP2B1PP/R1BR2K1 b - -,d7b6
3r4/pk3pp1/Npnnp1b1/1B1p2Pp/PB1P3P/1P2PP2/5K2/2R5 b - -,d6b5
r1b2rk1/ppq1bppp/1nn1p3/2p1P3/8/1BP2N2/PP1NQPPP/R1B2RK1 w - -,f1e1
r4r2/1p3pkp/1np3pb/p2pP3/P2N1Nb1/1P4P1/2P1BP1P/3RR1K1 b - -,g4d7
rnbq1rk1/pp3pb1/3p1npp/2pP4/2P4B/2NB4/PP2NPPP/R2QK2R b KQ -,b8d7
8/pk1qr1p1/1p3n2/3p2Q1/7P/2N5/PP4P1/2KR4 w - -,c3d5
r1q2rk1/p3ppbp/2p1nnp1/2PpB3/Q7/N3PB2/P2P1PPP/R4RK1 w - -,d2d4
6k1/5p2/2p3p1/4P1Pp/2N2P2/7P/5BBK/rb6 b - -,a1a4
r2b2k1/1b1nqrp1/4p1B1/p3Pp2/1p3P2/3N3P/PP2Q2K/R3BR2 w - -,e2h5
3r1r1k/6pp/1p6/1Pb1B3/p2p1P2/Pb1B2K1/6PP/2R4R w - -,h2h4
rnbqr1k1/pp2bppp/3p1n2/2p5/3NPP2/2N5/PPP1B1PP/R1BQ1RK1 w - c6,d4b3
4r1k1/1p5p/2p3p1/p1Pp1p2/4q3/PP2PR2/5PPP/3Q2K1 b - -,g6g5
r4rk1/1qpb1pbp/1p1pnnp1/p7/2PNP3/1PN1BPPP/P4QB1/3RR1K1 b - -,a8d8
2kr1b1r/pppq4/2n5/5p2/2Pp4/PN3PP1/1P1Q2KP/R1B1R3 b - -,f5f4
5b2/3r1k2/2q2pp1/1p4r1/2p1PNPQ/2P2K2/1P2R3/7R w - -,h4h8
