6R1/3R4/2rnp2k/1p3p2/p7/6PK/5P2/8 w - -,d7e7
r3r1k1/1p6/2pNbP2/pPPp2P1/8/6K1/P5B1/4R3 w - -,g5g6
r1bq1rk1/pp3p1p/4p3/3p1p2/3P2Pb/1QNBPN1P/PP3n1R/R3K3 w Q -,h2f2
2rr2k1/pb3p1p/1p2p1p1/8/3NnP2/BP2PK2/P5PP/R2R4 w - -,d1c1
2r2rk1/4ppbp/2n3p1/p7/1p5N/2P5/PP1RBPPP/1R4K1 b - -,b4c3
8/5k1p/3B4/1r2pp2/1P3b1P/8/2K5/3R4 b - -,f4g3
3r1r1k/p6p/1pB2p2/1Pp1b1p1/2P5/3PR1P1/5PKP/2R5 b - -,f8f7
r1b5/pp5p/6pk/3Bq3/2P1Qp2/1P6/P4P1P/5R1K b - -,e5e4
1rbqnrk1/1p3pbp/pn1p2p1/1PpPp3/2P1P3/P1N1B1P1/4NPBP/R2Q1RK1 w - -,d1b3
2k3r1/4bp2/1pp1pp1p/1p1r3P/3P4/2P1RN2/PP3PP1/2KR4 w - -,g2g3
5k2/5ppp/1pRNp3/r7/p2pPP2/P2n2P1/1P4BP/6K1 b - -,d3b2
6k1/1r1rn1q1/pp1p3p/2pP1p2/P5p1/5QN1/1PP2PPP/3RR1K1 w - -,f3d3
r2qk2r/1bpn1pp1/1p1ppn1p/p7/1bPP3B/2NBPN2/PP3PPP/R2Q1RK1 b kq -,b4c3
5b2/1p1r1pk1/6p1/1R1NpnPp/1P2p3/7P/B2B1P2/K7 w - -,d2c3
1r4k1/1q3npp/2n1p3/3p1p2/1P6/N1Q3P1/K2B1P1P/1R6 b - b3,b8a8
4r1k1/pb3pb1/1pq3p1/4p2p/4Pn2/1NP1B1NP/PPQ3P1/3rR1K1 w - -,e1d1
4k3/1p3p2/4p1p1/1b6/5QP1/6KP/P4P2/3r4 b - -,d1d3
1r1qr1k1/3b1p1p/p1pp1bpB/4p3/2PnP3/5NPP/PP3PBK/2RQ1R2 w - -,f3d4
8/6k1/3Q3p/2P1p1p1/4P3/2q3PP/5PK1/8 b - -,g7h7
r1b2rk1/pp1n1pbp/1qpp1np1/4p3/2PPP3/2N2NPP/PP3PB1/R1BQR1K1 b - -,b6b4:e5d4
r3q1k1/p2n2pp/1p3r2/4pp2/1QPPP3/7R/P2N2PP/5RK1 w - -,d4e5
1r4k1/6p1/6rp/2QpP3/pn1P2q1/2R1B3/P2N1P2/R3K3 b - -,g4f5
1R6/q4krp/3pp3/2b5/P4B2/2NB4/4K1bP/1R6 b - -,a7a5
rnbq1rk1/pp1p1ppp/4pn2/2b5/2P5/P3PN2/1P3PPP/RNBQKB1R b KQ -,d7d5
r1bqkb1r/pp1ppppp/2n2n2/1Bp5/4P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq -,g7g6:c6d4:a7a6:d8c7:d7d6
8/5pk1/1p1p1r2/1P2p2q/2PpP1p1/3P2Pn/R4PB1/2Q2K2 b - -,h3g5
r2q1rk1/pb3ppp/np3b2/3p4/2pP4/PQN2NP1/1P2PPBP/3RK2R w K -,b3c2
r2qk1nr/3bbppp/p2pp3/1p1Pn3/4P3/P1NB1N2/1P3PPP/R1BQR1K1 b kq -,e5d3
3r1rk1/pp3p1p/6p1/8/1P6/P1B5/4RPPP/3q1RK1 w - -,f1d1
2b2rk1/pp3p2/2p1p1pp/2q1P3/2P5/3Q4/PPB2PPP/3R2K1 w - -,d3e4
6k1/p4ppp/1p3b2/2p5/P1n1B3/2P3PP/1P3P2/2B2K2 b - -,h7h6
2r1k2r/1p3p1p/p2p1R2/3Np3/4P3/3n4/PP4PP/R5K1 b k -,c8c2
1r1q1rk1/p1n1ppbp/3p1np1/1ppP4/2B1PP2/2NQ3P/PPP3P1/R1B2RK1 w - b6,c3b5
r2q1r1k/p4npp/2pp4/8/3QPPb1/4B3/PPP3PP/RN3RK1 w - -,b1c3
2kr1b1r/pp3p1p/2n2np1/1BP1pb2/1P6/2P2N2/P4PPP/RNB1K2R w - -,b1a3
2r1r1k1/p4p1p/2p1b1p1/2Qp4/3P3q/P2BR3/1P3PP1/4R1K1 b - -,h4e7
1qb5/1r4bk/3p1npp/1N1Pp3/4P3/3QB1NP/6P1/5RK1 w - -,b5c3
8/8/2p5/4pk1p/2r4P/5P1K/3P1BP1/8 w - -,f2e3
b2r1nk1/4b1pp/4pp2/1p6/3PP3/4B1P1/2N2PBP/1R4K1 b - -,d8c8
2rq3r/1p3pk1/3p2p1/p1PP4/1P2N1Pn/5B1b/P4Q2/2R1R1K1 w - -,g4g5
r1b1r1k1/pp1nqpp1/2pbpn1p/3p4/2PP4/1PNBPN2/PBQ2PPP/R4RK1 w - -,f1e1
3k4/3P1pp1/8/p3bPp1/1ppqP3/P6P/1PQ3B1/1K6 w - -,a3b4
